DZ21,catholic_bg_pct,proj_unity_pct,provenance
N20000001,9.2,23.7,modelled
N20000004,44.3,44.4,modelled
N20000005,6.3,21.9,modelled
N20000006,36.1,39.5,modelled
N20000007,87.7,70.0,modelled
N20000008,52.6,49.3,modelled
N20000009,18.3,29.0,modelled
N20000010,5.9,21.7,modelled
N20000011,23.5,32.1,modelled
N20000012,18.5,29.1,modelled
N20000013,28.2,34.9,modelled
N20000015,91.6,72.3,modelled
N20000016,54.4,50.4,modelled
N20000017,87.1,69.7,modelled
N20000018,84.5,68.1,modelled
N20000019,44.7,44.6,modelled
N20000020,52.6,49.3,modelled
N20000022,93.8,73.6,modelled
N20000023,58.3,52.7,modelled
N20000025,44.5,44.5,modelled
N20000026,5.0,21.2,modelled
N20000027,47.6,46.3,modelled
N20000028,58.3,52.7,modelled
N20000030,13.9,26.4,modelled
N20000031,4.9,21.1,modelled
N20000032,85.4,68.7,modelled
N20000033,85.8,68.9,modelled
N20000034,86.8,69.5,modelled
N20000035,50.1,47.8,modelled
N20000036,47.3,46.2,modelled
N20000037,43.9,44.2,modelled
N20000038,39.5,41.6,modelled
N20000039,33.9,38.2,modelled
N20000040,55.1,50.8,modelled
N20000041,37.6,40.4,modelled
N20000042,40.0,41.8,modelled
N20000043,34.6,38.7,modelled
N20000044,39.5,41.6,modelled
N20000045,48.2,46.7,modelled
N20000046,19.7,29.9,modelled
N20000047,29.7,35.8,modelled
N20000048,44.4,44.4,modelled
N20000049,59.7,53.5,modelled
N20000051,71.1,60.2,modelled
N20000052,32.2,37.2,modelled
N20000053,43.3,43.8,modelled
N20000054,13.9,26.4,modelled
N20000055,12.9,25.8,modelled
N20000056,29.6,35.7,modelled
N20000057,47.8,46.5,modelled
N20000058,18.8,29.3,modelled
N20000059,53.9,50.1,modelled
N20000060,41.3,42.6,modelled
N20000061,26.9,34.1,modelled
N20000062,18.6,29.2,modelled
N20000063,37.7,40.5,modelled
N20000064,32.8,37.6,modelled
N20000065,41.3,42.6,modelled
N20000066,53.4,49.8,modelled
N20000067,45.8,45.3,modelled
N20000068,35.8,39.4,modelled
N20000069,33.3,37.9,modelled
