id,year,topic,geography_level,confidence,title
DC2126NI,2011,community_background,assembly_area,medium,RELIGION OR RELIGION BROUGHT UP IN BY BROAD AGE BANDS BY SEX
DC2126NI,2011,community_background,super_output_area,medium,RELIGION OR RELIGION BROUGHT UP IN BY BROAD AGE BANDS BY SEX
DC2126NI,2011,community_background,unknown,medium,RELIGION OR RELIGION BROUGHT UP IN BY BROAD AGE BANDS BY SEX
DC2126NI,2011,community_background,ward,medium,RELIGION OR RELIGION BROUGHT UP IN BY BROAD AGE BANDS BY SEX
DC2201NI,2011,ethnicity,unknown,medium,COUNTRY OF BIRTH BY ETHNIC GROUP
DC2202NI,2011,age_structure,unknown,medium,MAIN LANGUAGE BY ETHNIC GROUP
DC2203NI,2011,age_structure,unknown,medium,PROFICIENCY IN ENGLISH BY ETHNIC GROUP
DC2204NI,2011,ethnicity,unknown,medium,PASSPORTS HELD (CLASSIFICATION 1) BY ETHNIC GROUP
DC2205NI,2011,ethnicity,unknown,medium,PASSPORTS HELD (CLASSIFICATION 2) BY ETHNIC GROUP
DC2206NI,2011,ethnicity,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 1) BY ETHNIC GROUP
DC2207NI,2011,ethnicity,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 2) BY ETHNIC GROUP
DC2208NI,2011,age_structure,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 1) BY KNOWLEDGE OF IRISH
DC2209NI,2011,age_structure,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 2) BY KNOWLEDGE OF IRISH
DC2210NI,2011,age_structure,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 1) BY KNOWLEDGE OF ULSTER-SCOTS
DC2211NI,2011,age_structure,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 2) BY KNOWLEDGE OF ULSTER-SCOTS
DC2212NI,2011,country_of_birth,unknown,medium,COUNTRY OF BIRTH BY NATIONAL IDENTITY (CLASSIFICATION 1)
DC2213NI,2011,country_of_birth,unknown,medium,COUNTRY OF BIRTH BY NATIONAL IDENTITY (CLASSIFICATION 2)
DC2214NI,2011,age_structure,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 1) BY MAIN LANGUAGE
DC2215NI,2011,age_structure,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 2) BY MAIN LANGUAGE
DC2216NI,2011,age_structure,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 1) BY PROFICIENCY IN ENGLISH
DC2217NI,2011,age_structure,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 2) BY PROFICIENCY IN ENGLISH
DC2218NI,2011,population_by_area,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 1) BY PASSPORTS HELD (CLASSIFICATION 1)
DC2219NI,2011,population_by_area,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 1) BY PASSPORTS HELD (CLASSIFICATION 2)
DC2220NI,2011,population_by_area,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 2) BY PASSPORTS HELD (CLASSIFICATION 1)
DC2221NI,2011,population_by_area,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 2) BY PASSPORTS HELD (CLASSIFICATION 2)
DC2222NI,2011,age_structure,unknown,medium,COUNTRY OF BIRTH BY MAIN LANGUAGE
DC2223NI,2011,age_structure,unknown,medium,COUNTRY OF BIRTH BY PROFICIENCY IN ENGLISH
DC2224NI,2011,country_of_birth,unknown,medium,COUNTRY OF BIRTH BY PASSPORTS HELD (CLASSIFICATION 1)
DC2225NI,2011,country_of_birth,unknown,medium,COUNTRY OF BIRTH BY PASSPORTS HELD (CLASSIFICATION 2)
DC2226NI,2011,community_background,unknown,medium,KNOWLEDGE OF IRISH BY COUNTRY OF BIRTH BY RELIGION OR RELIGION BROUGHT UP IN BY AGE
DC2227NI,2011,community_background,unknown,medium,KNOWLEDGE OF ULSTER-SCOTS BY COUNTRY OF BIRTH BY RELIGION OR RELIGION BROUGHT UP IN BY AGE
DC2228NI,2011,population_by_area,unknown,medium,PASSPORTS HELD (CLASSIFICATION 1) BY KNOWLEDGE OF IRISH
DC2229NI,2011,age_structure,unknown,medium,PASSPORTS HELD (CLASSIFICATION 2) BY KNOWLEDGE OF IRISH
DC2230NI,2011,age_structure,unknown,medium,PASSPORTS HELD (CLASSIFICATION 1) BY KNOWLEDGE OF ULSTER-SCOTS
DC2231NI,2011,age_structure,unknown,medium,PASSPORTS HELD (CLASSIFICATION 2) BY KNOWLEDGE OF ULSTER-SCOTS
DC2232NI,2011,age_structure,unknown,medium,PROFICIENCY IN ENGLISH BY MAIN LANGUAGE
DC2233NI,2011,age_structure,unknown,medium,PASSPORTS HELD (CLASSIFICATION 1) BY MAIN LANGUAGE
DC2234NI,2011,age_structure,unknown,medium,PASSPORTS HELD (CLASSIFICATION 2) BY MAIN LANGUAGE
DC2235NI,2011,age_structure,unknown,medium,PROFICIENCY IN ENGLISH BY PASSPORTS HELD (CLASSIFICATION 1)
DC2236NI,2011,age_structure,unknown,medium,PROFICIENCY IN ENGLISH BY PASSPORTS HELD (CLASSIFICATION 2)
DC2237NI,2011,religion,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 1) BY RELIGION
DC2238NI,2011,community_background,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 1) BY RELIGION OR RELIGION BROUGHT UP IN
DC2239NI,2011,religion,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 2) BY RELIGION
DC2240NI,2011,community_background,unknown,medium,NATIONAL IDENTITY (CLASSIFICATION 2) BY RELIGION OR RELIGION BROUGHT UP IN
DC2241NI,2011,religion,unknown,medium,COUNTRY OF BIRTH BY RELIGION
DC2242NI,2011,community_background,unknown,medium,COUNTRY OF BIRTH BY RELIGION OR RELIGION BROUGHT UP IN
DC2243NI,2011,religion,unknown,medium,KNOWLEDGE OF IRISH BY RELIGION BY AGE BY SEX
DC2244NI,2011,community_background,unknown,medium,KNOWLEDGE OF IRISH BY RELIGION OR RELIGION BROUGHT UP IN BY AGE BY SEX
DC2245NI,2011,religion,unknown,medium,KNOWLEDGE OF ULSTER-SCOTS BY RELIGION BY AGE BY SEX
DC2246NI,2011,community_background,unknown,medium,KNOWLEDGE OF ULSTER-SCOTS BY RELIGION OR RELIGION BROUGHT UP IN BY AGE BY SEX
DC2247NI,2011,religion,assembly_area,medium,ETHNIC GROUP BY RELIGION
DC2247NI,2011,religion,super_output_area,medium,ETHNIC GROUP BY RELIGION
DC2247NI,2011,religion,unknown,medium,ETHNIC GROUP BY RELIGION
DC2247NI,2011,religion,ward,medium,ETHNIC GROUP BY RELIGION
DC2248NI,2011,community_background,assembly_area,medium,ETHNIC GROUP BY RELIGION OR RELIGION BROUGHT UP IN
DC2248NI,2011,community_background,super_output_area,medium,ETHNIC GROUP BY RELIGION OR RELIGION BROUGHT UP IN
DC2248NI,2011,community_background,unknown,medium,ETHNIC GROUP BY RELIGION OR RELIGION BROUGHT UP IN
DC2248NI,2011,community_background,ward,medium,ETHNIC GROUP BY RELIGION OR RELIGION BROUGHT UP IN
DC2249NI,2011,religion,assembly_area,medium,PASSPORTS HELD (CLASSIFICATION 1) BY RELIGION
DC2249NI,2011,religion,super_output_area,medium,PASSPORTS HELD (CLASSIFICATION 1) BY RELIGION
DC2249NI,2011,religion,unknown,medium,PASSPORTS HELD (CLASSIFICATION 1) BY RELIGION
DC2249NI,2011,religion,ward,medium,PASSPORTS HELD (CLASSIFICATION 1) BY RELIGION
DC2250NI,2011,community_background,assembly_area,medium,PASSPORTS HELD (CLASSIFICATION 1) BY RELIGION OR RELIGION BROUGHT UP IN
DC2250NI,2011,community_background,super_output_area,medium,PASSPORTS HELD (CLASSIFICATION 1) BY RELIGION OR RELIGION BROUGHT UP IN
DC2250NI,2011,community_background,unknown,medium,PASSPORTS HELD (CLASSIFICATION 1) BY RELIGION OR RELIGION BROUGHT UP IN
DC2250NI,2011,community_background,ward,medium,PASSPORTS HELD (CLASSIFICATION 1) BY RELIGION OR RELIGION BROUGHT UP IN
DC2251NI,2011,religion,assembly_area,medium,PASSPORTS HELD (CLASSIFICATION 2) BY RELIGION
DC2251NI,2011,religion,super_output_area,medium,PASSPORTS HELD (CLASSIFICATION 2) BY RELIGION
DC2251NI,2011,religion,unknown,medium,PASSPORTS HELD (CLASSIFICATION 2) BY RELIGION
DC2251NI,2011,religion,ward,medium,PASSPORTS HELD (CLASSIFICATION 2) BY RELIGION
DC2252NI,2011,community_background,assembly_area,medium,PASSPORTS HELD (CLASSIFICATION 2) BY RELIGION OR RELIGION BROUGHT UP IN
DC2252NI,2011,community_background,super_output_area,medium,PASSPORTS HELD (CLASSIFICATION 2) BY RELIGION OR RELIGION BROUGHT UP IN
DC2252NI,2011,community_background,unknown,medium,PASSPORTS HELD (CLASSIFICATION 2) BY RELIGION OR RELIGION BROUGHT UP IN
DC2252NI,2011,community_background,ward,medium,PASSPORTS HELD (CLASSIFICATION 2) BY RELIGION OR RELIGION BROUGHT UP IN
DC2253NI,2011,religion,unknown,medium,COUNTRY OF BIRTH BY RELIGION BY AGE
DC2254NI,2011,community_background,unknown,medium,COUNTRY OF BIRTH BY RELIGION OR RELIGION BROUGHT UP IN BY AGE
DC2301NI,2011,age_structure,unknown,medium,GENERAL HEALTH BY ETHNIC GROUP BY AGE BY SEX
DC2302NI,2011,age_structure,unknown,medium,LONG-TERM HEALTH PROBLEM OR DISABILITY BY ETHNIC GROUP BY AGE BY SEX
DC2303NI,2011,age_structure,unknown,medium,LONG-TERM HEALTH PROBLEM OR DISABILITY BY GENERAL HEALTH BY ETHNIC GROUP BY AGE
DC2304NI,2011,country_of_birth,unknown,medium,COUNTRY OF BIRTH BY GENERAL HEALTH BY LONG-TERM HEALTH PROBLEM OR DISABILITY
DC2305NI,2011,age_structure,unknown,medium,PROFICIENCY IN ENGLISH BY GENERAL HEALTH BY LONG-TERM HEALTH PROBLEM OR DISABILITY BY AGE BY SEX
DC2306NI,2011,religion,unknown,medium,GENERAL HEALTH BY RELIGION BY AGE BY SEX
DC2307NI,2011,community_background,unknown,medium,GENERAL HEALTH BY RELIGION OR RELIGION BROUGHT UP IN BY AGE BY SEX
DC2308NI,2011,religion,unknown,medium,LONG-TERM HEALTH PROBLEM OR DISABILITY BY RELIGION BY AGE BY SEX
DC2309NI,2011,community_background,unknown,medium,LONG-TERM HEALTH PROBLEM OR DISABILITY BY RELIGION OR RELIGION BROUGHT UP IN BY AGE BY SEX
DC2401NI,2011,sex,unknown,medium,TYPE OF COMMUNAL ESTABLISHMENT BY ETHNIC GROUP BY SEX
DC2402NI,2011,ethnicity,unknown,medium,TENURE BY NUMBER OF CARS OR VANS BY ETHNIC GROUP OF HRP
DC2403NI,2011,ethnicity,unknown,medium,TENURE BY OCCUPANCY RATING (ROOMS) BY ETHNIC GROUP
DC2404NI,2011,ethnicity,unknown,medium,TENURE BY OCCUPANCY RATING (ROOMS) BY ETHNIC GROUP OF HRPs
DC2405NI,2011,ethnicity,unknown,medium,HOUSEHOLD SIZE BY ETHNIC GROUP OF HRP
DC2406NI,2011,sex,unknown,medium,TYPE OF COMMUNAL ESTABLISHMENT BY COUNTRY OF BIRTH BY SEX
DC2407NI,2011,country_of_birth,unknown,medium,TENURE BY OCCUPANCY RATING (ROOMS) BY COUNTRY OF BIRTH 
DC2409NI,2011,country_of_birth,unknown,medium,COUNTRY OF BIRTH OF HRP BY HOUSEHOLD SIZE
DC2412NI,2011,religion,unknown,medium,TYPE OF COMMUNAL ESTABLISHMENT BY RELIGION BY SEX
DC2413NI,2011,community_background,unknown,medium,TYPE OF COMMUNAL ESTABLISHMENT BY RELIGION OR RELIGION BROUGHT UP IN BY SEX
DC2414NI,2011,religion,unknown,medium,TENURE BY NUMBER OF CARS OR VANS BY RELIGION OF HRP
DC2415NI,2011,community_background,unknown,medium,TENURE BY NUMBER OF CARS OR VANS BY RELIGION OR RELIGION BROUGHT UP IN OF HRP
DC2416NI,2011,religion,assembly_area,medium,TENURE BY OCCUPANCY RATING (ROOMS) BY RELIGION
DC2416NI,2011,religion,super_output_area,medium,TENURE BY OCCUPANCY RATING (ROOMS) BY RELIGION
DC2416NI,2011,religion,unknown,medium,TENURE BY OCCUPANCY RATING (ROOMS) BY RELIGION
DC2416NI,2011,religion,ward,medium,TENURE BY OCCUPANCY RATING (ROOMS) BY RELIGION
DC2417NI,2011,community_background,assembly_area,medium,TENURE BY OCCUPANCY RATING (ROOMS) BY RELIGION OR RELIGION BROUGHT UP IN
DC2417NI,2011,community_background,super_output_area,medium,TENURE BY OCCUPANCY RATING (ROOMS) BY RELIGION OR RELIGION BROUGHT UP IN
DC2417NI,2011,community_background,unknown,medium,TENURE BY OCCUPANCY RATING (ROOMS) BY RELIGION OR RELIGION BROUGHT UP IN
DC2417NI,2011,community_background,ward,medium,TENURE BY OCCUPANCY RATING (ROOMS) BY RELIGION OR RELIGION BROUGHT UP IN
DC2418NI,2011,religion,assembly_area,medium,TENURE BY RELIGION OF HRP
DC2418NI,2011,religion,super_output_area,medium,TENURE BY RELIGION OF HRP
DC2418NI,2011,religion,unknown,medium,TENURE BY RELIGION OF HRP
DC2418NI,2011,religion,ward,medium,TENURE BY RELIGION OF HRP
DC2419NI,2011,community_background,assembly_area,medium,TENURE BY RELIGION OR RELIGION BROUGHT UP IN OF HRP
DC2419NI,2011,community_background,super_output_area,medium,TENURE BY RELIGION OR RELIGION BROUGHT UP IN OF HRP
DC2419NI,2011,community_background,unknown,medium,TENURE BY RELIGION OR RELIGION BROUGHT UP IN OF HRP
DC2419NI,2011,community_background,ward,medium,TENURE BY RELIGION OR RELIGION BROUGHT UP IN OF HRP
DC2420NI,2011,religion,assembly_area,medium,HOUSEHOLD SIZE BY RELIGION OF HRP
DC2420NI,2011,religion,super_output_area,medium,HOUSEHOLD SIZE BY RELIGION OF HRP
DC2420NI,2011,religion,unknown,medium,HOUSEHOLD SIZE BY RELIGION OF HRP
DC2420NI,2011,religion,ward,medium,HOUSEHOLD SIZE BY RELIGION OF HRP
DC2421NI,2011,community_background,assembly_area,medium,HOUSEHOLD SIZE BY RELIGION OR RELIGION BROUGHT UP IN OF HRP
DC2421NI,2011,community_background,super_output_area,medium,HOUSEHOLD SIZE BY RELIGION OR RELIGION BROUGHT UP IN OF HRP
DC2421NI,2011,community_background,unknown,medium,HOUSEHOLD SIZE BY RELIGION OR RELIGION BROUGHT UP IN OF HRP
DC2421NI,2011,community_background,ward,medium,HOUSEHOLD SIZE BY RELIGION OR RELIGION BROUGHT UP IN OF HRP
DC2501NI,2011,age_structure,unknown,medium,HIGHEST LEVEL OF QUALIFICATION BY ETHNIC GROUP BY SEX
DC2502NI,2011,age_structure,unknown,medium,HIGHEST LEVEL OF QUALIFICATION BY ETHNIC GROUP BY AGE
DC2503NI,2011,age_structure,assembly_area,medium,COUNTRY OF BIRTH BY HIGHEST LEVEL OF QUALIFICATION
DC2503NI,2011,age_structure,super_output_area,medium,COUNTRY OF BIRTH BY HIGHEST LEVEL OF QUALIFICATION
DC2503NI,2011,age_structure,unknown,medium,COUNTRY OF BIRTH BY HIGHEST LEVEL OF QUALIFICATION
DC2503NI,2011,age_structure,ward,medium,COUNTRY OF BIRTH BY HIGHEST LEVEL OF QUALIFICATION
DC2506NI,2011,age_structure,assembly_area,medium,HIGHEST LEVEL OF QUALIFICATION BY MAIN LANGUAGE
DC2506NI,2011,age_structure,super_output_area,medium,HIGHEST LEVEL OF QUALIFICATION BY MAIN LANGUAGE
DC2506NI,2011,age_structure,unknown,medium,HIGHEST LEVEL OF QUALIFICATION BY MAIN LANGUAGE
DC2506NI,2011,age_structure,ward,medium,HIGHEST LEVEL OF QUALIFICATION BY MAIN LANGUAGE
DC2507NI,2011,age_structure,unknown,medium,PROFICIENCY IN ENGLISH BY HIGHEST LEVEL OF QUALIFICATION BY AGE BY SEX
DC2508NI,2011,religion,assembly_area,medium,HIGHEST LEVEL OF QUALIFICATION BY RELIGION BY SEX
DC2508NI,2011,religion,super_output_area,medium,HIGHEST LEVEL OF QUALIFICATION BY RELIGION BY SEX
DC2508NI,2011,religion,unknown,medium,HIGHEST LEVEL OF QUALIFICATION BY RELIGION BY SEX
DC2508NI,2011,religion,ward,medium,HIGHEST LEVEL OF QUALIFICATION BY RELIGION BY SEX
DC2509NI,2011,community_background,assembly_area,medium,HIGHEST LEVEL OF QUALIFICATION BY RELIGION OR RELIGION BROUGHT UP IN BY SEX
DC2509NI,2011,community_background,super_output_area,medium,HIGHEST LEVEL OF QUALIFICATION BY RELIGION OR RELIGION BROUGHT UP IN BY SEX
DC2509NI,2011,community_background,unknown,medium,HIGHEST LEVEL OF QUALIFICATION BY RELIGION OR RELIGION BROUGHT UP IN BY SEX
DC2509NI,2011,community_background,ward,medium,HIGHEST LEVEL OF QUALIFICATION BY RELIGION OR RELIGION BROUGHT UP IN BY SEX
DC2510NI,2011,religion,unknown,medium,HIGHEST LEVEL OF QUALIFICATION BY RELIGION BY AGE BY SEX
DC2511NI,2011,community_background,unknown,medium,HIGHEST LEVEL OF QUALIFICATION BY RELIGION OR RELIGION BROUGHT UP IN BY AGE BY SEX
DC2601NI,2011,age_structure,unknown,medium,ECONOMIC ACTIVITY BY ETHNIC GROUP BY AGE BY SEX
DC2603NI,2011,age_structure,unknown,medium,OCCUPATION BY ETHNIC GROUP BY SEX
DC2604NI,2011,age_structure,unknown,medium,INDUSTRY BY ETHNIC GROUP BY SEX
DC2605NI,2011,age_structure,unknown,medium,NS-SEC BY ETHNIC GROUP BY SEX
DC2606NI,2011,age_structure,unknown,medium,ECONOMIC ACTIVITY BY COUNTRY OF BIRTH BY AGE BY SEX
DC2607NI,2011,age_structure,unknown,medium,OCCUPATION BY COUNTRY OF BIRTH BY SEX
DC2608NI,2011,age_structure,unknown,medium,INDUSTRY BY COUNTRY OF BIRTH BY SEX
DC2611NI,2011,age_structure,unknown,medium,PROFICIENCY IN ENGLISH BY INDUSTRY BY EMPLOYMENT STATUS BY HOURS WORKED
DC2612NI,2011,age_structure,assembly_area,medium,ECONOMIC ACTIVITY BY MAIN LANGUAGE
DC2612NI,2011,age_structure,super_output_area,medium,ECONOMIC ACTIVITY BY MAIN LANGUAGE
DC2612NI,2011,age_structure,unknown,medium,ECONOMIC ACTIVITY BY MAIN LANGUAGE
DC2612NI,2011,age_structure,ward,medium,ECONOMIC ACTIVITY BY MAIN LANGUAGE
DC2613NI,2011,age_structure,unknown,medium,OCCUPATION BY PROFICIENCY IN ENGLISH BY SEX
