type,file_name,url,publication_title,publication_slug
pdf,1937-census-preliminary-report.PDF,https://www.nisra.gov.uk/files/nisra/publications/1937-census-preliminary-report.PDF,1937 Census - Reports,/publications/1937-census-reports
pdf,1937-census-topographical-index.PDF,https://www.nisra.gov.uk/files/nisra/publications/1937-census-topographical-index.PDF,1937 Census - Reports,/publications/1937-census-reports
pdf,1951-census-antrim-county-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1951-census-antrim-county-report.pdf,1951 Census - Reports,/publications/1951-census-reports
pdf,1951-census-armagh-county-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1951-census-armagh-county-report.pdf,1951 Census - Reports,/publications/1951-census-reports
pdf,1951-census-belfast-county-borough-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1951-census-belfast-county-borough-report.pdf,1951 Census - Reports,/publications/1951-census-reports
pdf,1951-census-down-county-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1951-census-down-county-report.pdf,1951 Census - Reports,/publications/1951-census-reports
pdf,1951-census-fermanagh-county-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1951-census-fermanagh-county-report.pdf,1951 Census - Reports,/publications/1951-census-reports
pdf,1951-census-general-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1951-census-general-report.pdf,1951 Census - Reports,/publications/1951-census-reports
pdf,1951-census-londonderry-county-borough-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1951-census-londonderry-county-borough-report.pdf,1951 Census - Reports,/publications/1951-census-reports
pdf,1951-census-preliminary-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1951-census-preliminary-report.pdf,1951 Census - Reports,/publications/1951-census-reports
pdf,1951-census-questionnaire.pdf,https://www.nisra.gov.uk/files/nisra/publications/1951-census-questionnaire.pdf,1951 Census - Reports,/publications/1951-census-reports
pdf,1951-census-second-preliminary-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1951-census-second-preliminary-report.pdf,1951 Census - Reports,/publications/1951-census-reports
pdf,1951-census-tyrone-county-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1951-census-tyrone-county-report.pdf,1951 Census - Reports,/publications/1951-census-reports
pdf,1961-census-antrim-county-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1961-census-antrim-county-report.pdf,1961 Census - Reports,/publications/1961-census-reports
pdf,1961-census-armagh-county-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1961-census-armagh-county-report.pdf,1961 Census - Reports,/publications/1961-census-reports
pdf,1961-census-belfast-county-borough-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1961-census-belfast-county-borough-report.pdf,1961 Census - Reports,/publications/1961-census-reports
pdf,1961-census-down-county-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1961-census-down-county-report.pdf,1961 Census - Reports,/publications/1961-census-reports
pdf,1961-census-fermanagh-county-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1961-census-fermanagh-county-report.pdf,1961 Census - Reports,/publications/1961-census-reports
pdf,1961-census-fertility-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1961-census-fertility-report.pdf,1961 Census - Reports,/publications/1961-census-reports
pdf,1961-census-general-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1961-census-general-report.pdf,1961 Census - Reports,/publications/1961-census-reports
pdf,1961-census-londonderry-county-borough-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1961-census-londonderry-county-borough-report.pdf,1961 Census - Reports,/publications/1961-census-reports
pdf,1961-census-questionnaire.pdf,https://www.nisra.gov.uk/files/nisra/publications/1961-census-questionnaire.pdf,1961 Census - Reports,/publications/1961-census-reports
pdf,1961-census-tyrone-county-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1961-census-tyrone-county-report.pdf,1961 Census - Reports,/publications/1961-census-reports
