SA2011,Label,Population,Catholic_bg,Protestant_bg,Other_None_bg,Proj_UI_decided_pct,provenance
N00000001,Aldergrove_1,1113,14.5,46.4,39.1,32.8,modelled
N00000002,Aldergrove_2,351,67.0,29.1,3.9,62.0,modelled
N00000003,Aldergrove_2,237,47.3,50.2,2.5,46.7,modelled
N00000004,Aldergrove_2,616,51.9,43.3,4.8,50.9,modelled
N00000005,Aldergrove_2,374,49.5,43.0,7.5,49.9,modelled
N00000006,Aldergrove_2,251,60.2,34.7,5.1,57.2,modelled
N00000007,Aldergrove_3,245,25.3,67.8,6.9,31.4,modelled
N00000008,Aldergrove_3,288,30.6,56.2,13.2,37.3,modelled
N00000009,Aldergrove_3,727,19.4,70.6,10.0,27.9,modelled
N00000010,Aldergrove_3,242,12.4,78.9,8.7,22.2,modelled
N00000011,Balloo,293,31.4,63.1,5.5,35.6,modelled
N00000012,Balloo,264,31.8,62.1,6.1,36.1,modelled
N00000013,Balloo,268,33.2,61.6,5.2,36.9,modelled
N00000014,Balloo,460,39.1,52.2,8.7,42.4,modelled
N00000015,Balloo,226,32.7,63.3,4.0,36.2,modelled
N00000016,Balloo,223,22.9,67.7,9.4,30.4,modelled
N00000017,Ballycraigy,340,12.6,74.7,12.7,23.6,modelled
N00000018,Ballycraigy,229,11.8,77.7,10.5,22.3,modelled
N00000019,Ballycraigy,261,5.0,83.1,11.9,17.6,modelled
N00000020,Ballycraigy,236,9.7,80.9,9.4,20.4,modelled
N00000021,Ballycraigy,269,15.6,72.1,12.3,25.7,modelled
N00000022,Ballycraigy,269,13.4,77.0,9.6,23.2,modelled
N00000023,Ballycraigy,218,5.0,83.0,12.0,17.6,modelled
N00000024,Clady,533,12.0,80.7,7.3,21.5,modelled
N00000025,Clady,460,15.0,78.3,6.7,23.6,modelled
N00000026,Clady,466,21.9,72.3,5.8,28.5,modelled
N00000027,Clady,540,57.2,37.2,5.6,55.1,modelled
N00000028,Clady,236,72.5,22.0,5.5,66.6,modelled
N00000029,Clady,403,10.2,78.9,10.9,21.2,modelled
N00000030,Clady,375,20.3,74.9,4.8,27.0,modelled
N00000031,Cranfield,707,88.8,10.2,1.0,77.6,modelled
N00000032,Cranfield,386,58.5,36.3,5.2,56.0,modelled
N00000033,Cranfield,498,57.6,38.6,3.8,54.9,modelled
N00000034,Cranfield,474,39.2,54.0,6.8,41.9,modelled
N00000035,Cranfield,291,52.2,43.0,4.8,51.1,modelled
N00000036,Cranfield,345,59.1,33.3,7.6,57.2,modelled
