DZ21,Label,Population,Catholic_bg,Protestant_bg,Other_None_bg,Proj_UI_decided_pct,provenance
N20000176,Macedon_C5,412,8.7,66.0,25.2,20.6,modelled
N20000177,Macedon_B5,353,47.6,35.4,17.0,50.2,modelled
N20000178,Macedon_E1,438,53.2,31.5,15.3,54.3,modelled
N20000179,Macedon_E2,591,14.0,67.9,18.1,22.3,modelled
N20000180,Macedon_D2,482,1.9,78.6,19.5,12.5,modelled
N20000181,Macedon_F1,462,6.5,77.7,15.8,15.0,modelled
N20000182,Macedon_D3,680,3.7,75.6,20.7,14.6,modelled
N20000183,Macedon_F2,423,5.0,77.5,17.5,14.4,modelled
N20000184,Macedon_F3,416,3.4,69.0,27.6,17.1,modelled
N20000185,Macedon_E3,242,9.1,70.2,20.7,19.1,modelled
N20000186,Macedon_H1,203,31.0,53.2,15.8,35.7,modelled
N20000187,Macedon_F4,371,4.6,78.7,16.7,13.7,modelled
N20000188,Macedon_H2,500,23.4,65.6,11.0,27.4,modelled
N20000189,Macedon_J1,572,1.9,80.8,17.3,11.7,modelled
N20000190,Macedon_G1,358,5.6,76.8,17.6,14.9,modelled
N20000191,Macedon_E4,405,7.9,74.6,17.5,16.9,modelled
N20000192,Macedon_G2,259,3.5,83.4,13.1,11.3,modelled
N20000193,Macedon_G3,238,5.0,79.4,15.5,13.6,modelled
N20000194,Macedon_K1,357,3.1,76.8,20.2,13.8,modelled
N20000195,Macedon_G4,530,6.0,78.9,15.1,14.3,modelled
N20000196,Macedon_J2,216,6.5,81.0,12.5,13.6,modelled
N20000197,Macedon_K2,213,6.1,78.4,15.5,14.5,modelled
N20000198,Macedon_K3,358,5.6,80.7,13.7,13.4,modelled
N20000199,Macedon_G5,512,2.5,79.3,18.2,12.6,modelled
N20000200,Macedon_K4,561,6.2,80.0,13.7,13.9,modelled
N20000201,Macedon_J3,567,41.1,46.0,12.9,43.1,modelled
N20000202,Macedon_K5,398,3.3,78.4,18.3,13.3,modelled
N20000203,Macedon_J4,314,37.3,42.4,20.4,42.8,modelled
N20000204,Macedon_J5,383,33.2,48.3,18.5,38.6,modelled
N20000205,Macedon_H3,321,19.6,61.4,19.0,27.4,modelled
N20000206,Macedon_H4,283,23.3,61.8,14.8,28.8,modelled
N20000207,Macedon_L1,448,88.4,8.7,2.9,79.1,modelled
N20000208,Macedon_L2,484,81.6,10.1,8.3,75.5,modelled
N20000209,Macedon_L3,499,85.4,7.4,7.2,78.3,modelled
N20000210,Macedon_L4,659,86.2,8.6,5.2,78.2,modelled
N20000211,Glengormley_Urban_C1,615,29.4,55.3,15.3,34.2,modelled
N20000212,Glengormley_Urban_A1,514,5.1,70.6,24.3,17.2,modelled
N20000213,Glengormley_Urban_A2,391,9.2,66.0,24.8,20.9,modelled
N20000214,Glengormley_Urban_B1,322,10.6,81.4,8.1,15.3,modelled
N20000215,Glengormley_Urban_C2,498,24.3,60.2,15.5,29.9,modelled
N20000216,Glengormley_Urban_B2,280,12.9,72.5,14.6,19.9,modelled
N20000217,Glengormley_Urban_A3,594,16.8,67.3,15.8,23.7,modelled
N20000218,Glengormley_Urban_B3,586,17.7,69.1,13.1,23.4,modelled
N20000219,Glengormley_Urban_C3,722,46.4,39.2,14.4,48.2,modelled
N20000220,Glengormley_Urban_B4,434,19.8,71.0,9.2,23.6,modelled
N20000221,Glengormley_Urban_D1,524,16.8,68.3,14.9,23.3,modelled
N20000222,Glengormley_Urban_E1,482,20.3,64.9,14.7,26.3,modelled
N20000223,Glengormley_Urban_D2,491,27.7,55.8,16.5,33.2,modelled
N20000224,Glengormley_Urban_B5,461,38.0,54.0,8.0,38.5,modelled
N20000225,Glengormley_Urban_E2,310,11.6,60.6,27.7,24.1,modelled
N20000226,Glengormley_Urban_D3,605,28.1,56.4,15.5,33.1,modelled
N20000227,Glengormley_Urban_C4,489,34.4,50.9,14.7,38.1,modelled
N20000228,Glengormley_Urban_E3,426,15.3,64.3,20.4,24.2,modelled
N20000229,Glengormley_Urban_E4,462,12.8,66.2,21.0,22.4,modelled
N20000230,Glengormley_Urban_D4,522,29.9,52.9,17.2,35.3,modelled
N20000231,Glengormley_Urban_F1,488,46.5,39.8,13.7,48.0,modelled
N20000232,Glengormley_Urban_G1,316,51.6,38.9,9.5,50.6,modelled
N20000233,Glengormley_Urban_F2,479,54.1,34.2,11.7,53.6,modelled
N20000234,Glengormley_Urban_G2,422,54.7,31.5,13.7,55.0,modelled
N20000235,Glengormley_Urban_G3,366,46.7,36.9,16.4,49.2,modelled
N20000236,Glengormley_Urban_H1,440,38.6,47.7,13.6,41.3,modelled
N20000237,Glengormley_Urban_H2,415,32.3,48.7,19.0,38.1,modelled
N20000238,Glengormley_Urban_F3,584,67.8,22.4,9.8,64.4,modelled
N20000239,Glengormley_Urban_G4,463,44.7,46.2,9.1,44.6,modelled
N20000240,Glengormley_Urban_F4,348,54.3,30.5,15.2,55.2,modelled
N20000241,Glengormley_Urban_G5,291,28.2,55.0,16.8,33.7,modelled
N20000242,Glengormley_Urban_H3,451,23.7,54.8,21.5,31.8,modelled
N20000243,Glengormley_Urban_J1,354,72.0,16.9,11.0,68.5,modelled
N20000244,Glengormley_Urban_J2,692,77.0,15.5,7.5,71.3,modelled
N20000245,Glengormley_Urban_J3,398,89.2,6.3,4.5,80.4,modelled
N20000246,Glengormley_Urban_K1,543,79.9,13.1,7.0,73.6,modelled
N20000247,Glengormley_Urban_K2,457,71.3,19.0,9.6,67.4,modelled
