DZ21,Label,Population,Catholic_bg,Protestant_bg,Other_None_bg,Proj_UI_decided_pct,provenance
N20000871,Titanic_E2,401,10.7,67.8,21.4,20.8,modelled
N20000872,Titanic_D5,460,22.0,51.1,27.0,32.5,modelled
N20000873,Titanic_F2,327,8.3,81.0,10.7,14.4,modelled
N20000874,Titanic_F3,312,7.1,66.7,26.3,19.6,modelled
N20000875,Titanic_E3,458,20.7,52.8,26.4,31.3,modelled
N20000876,Titanic_G1,252,17.9,59.1,23.0,27.5,modelled
N20000877,Titanic_F4,528,6.1,71.6,22.3,17.2,modelled
N20000878,Titanic_J1,351,31.3,40.5,28.2,41.0,modelled
N20000879,Titanic_E4,265,16.6,60.0,23.4,26.6,modelled
N20000880,Titanic_F5,418,12.4,67.2,20.3,21.8,modelled
N20000881,Titanic_G2,467,14.8,65.3,19.9,23.6,modelled
N20000882,Titanic_B2,499,23.0,22.0,54.9,44.6,modelled
N20000883,Titanic_G3,373,13.4,66.0,20.6,22.8,modelled
N20000884,Titanic_B3,304,12.8,60.9,26.3,24.5,modelled
N20000885,Titanic_B4,389,19.8,60.9,19.3,27.6,modelled
N20000886,Titanic_H1,455,70.3,20.9,8.8,66.2,modelled
N20000887,Titanic_H2,639,94.5,3.6,1.9,83.9,modelled
N20000888,Titanic_J2,522,19.2,53.3,27.6,30.4,modelled
N20000889,Titanic_K1,282,11.7,65.6,22.7,22.1,modelled
N20000890,Titanic_K2,480,20.2,58.3,21.5,28.8,modelled
N20000891,Titanic_J3,371,17.3,57.4,25.3,27.9,modelled
N20000892,Titanic_N1,523,7.5,74.2,18.4,16.8,modelled
N20000893,Titanic_L1,519,17.0,62.8,20.2,25.6,modelled
N20000894,Titanic_H3,548,60.6,29.4,10.0,58.4,modelled
N20000895,Titanic_K3,230,17.8,55.7,26.5,28.9,modelled
N20000896,Titanic_H4,729,86.7,8.2,5.1,78.5,modelled
N20000897,Titanic_K4,412,18.7,55.6,25.7,29.3,modelled
N20000898,Titanic_Q1,268,20.5,58.6,20.9,28.9,modelled
N20000899,Titanic_J4,444,20.9,49.5,29.5,32.7,modelled
N20000900,Titanic_N2,357,6.2,71.7,22.1,17.2,modelled
N20000901,Titanic_L2,358,39.4,32.7,27.9,47.7,modelled
N20000902,Titanic_R1,606,26.6,55.1,18.3,33.0,modelled
N20000903,Titanic_N3,429,8.4,73.4,18.2,17.5,modelled
N20000904,Titanic_P1,513,58.7,25.7,15.6,59.0,modelled
N20000905,Titanic_L3,408,22.3,50.2,27.5,33.0,modelled
N20000906,Titanic_J5,216,12.0,54.2,33.8,26.9,modelled
N20000907,Titanic_Q2,403,18.1,53.3,28.5,29.9,modelled
N20000908,Titanic_S1,429,18.9,51.3,29.8,31.1,modelled
N20000909,Titanic_R2,693,14.4,69.1,16.5,21.9,modelled
N20000910,Titanic_L4,385,11.2,61.6,27.3,23.5,modelled
N20000911,Titanic_N4,277,3.6,80.5,15.9,12.6,modelled
N20000912,Titanic_P2,349,26.1,45.0,28.9,36.8,modelled
N20000913,Titanic_S2,318,25.5,51.3,23.3,34.0,modelled
N20000914,Titanic_T1,341,18.5,55.4,26.1,29.2,modelled
N20000915,Titanic_T2,283,13.1,57.2,29.7,26.1,modelled
N20000916,Titanic_Q3,402,23.9,49.0,27.1,34.2,modelled
N20000917,Titanic_Q4,435,19.8,49.0,31.3,32.4,modelled
N20000918,Titanic_P3,335,15.8,63.9,20.3,24.7,modelled
N20000919,Titanic_T3,421,8.3,66.3,25.4,20.4,modelled
N20000920,Titanic_Q5,325,16.9,63.4,19.7,25.4,modelled
N20000921,Titanic_T4,308,7.5,68.5,24.0,19.1,modelled
N20000922,Titanic_S3,420,11.2,67.4,21.4,21.2,modelled
N20000923,Titanic_R3,372,11.8,68.5,19.6,21.0,modelled
N20000924,Titanic_P4,486,21.8,45.3,32.9,34.8,modelled
N20000925,Titanic_U1,238,21.8,47.9,30.3,33.7,modelled
N20000926,Titanic_X1,321,28.0,55.8,16.2,33.4,modelled
N20000927,Titanic_W1,586,10.6,57.0,32.4,25.1,modelled
N20000928,Titanic_S4,305,20.0,50.5,29.5,31.9,modelled
N20000929,Titanic_R4,320,16.2,57.8,25.9,27.3,modelled
N20000930,Titanic_U2,237,13.1,61.6,25.3,24.4,modelled
N20000931,Titanic_T5,508,18.3,52.4,29.3,30.4,modelled
N20000932,Titanic_W2,352,20.5,53.1,26.4,31.0,modelled
N20000933,Titanic_U3,398,21.9,45.0,33.2,34.9,modelled
N20000934,Titanic_Y1,489,33.1,42.5,24.3,40.9,modelled
N20000935,Titanic_X2,449,7.3,82.2,10.5,13.6,modelled
N20000936,Titanic_W3,519,12.1,65.5,22.4,22.4,modelled
N20000937,Titanic_X3,471,20.2,57.3,22.5,29.2,modelled
N20000938,Titanic_U4,306,21.6,51.3,27.1,32.3,modelled
N20000939,Titanic_Y2,348,32.8,46.6,20.7,39.2,modelled
N20000940,Titanic_Z1,325,20.9,44.3,34.8,34.8,modelled
N20000941,Titanic_Z2,629,22.6,55.6,21.8,31.0,modelled
N20000942,Titanic_Y3,430,37.7,37.2,25.1,45.1,modelled
N20000943,Titanic_Z3,367,25.6,42.5,31.9,37.6,modelled
N20000944,Titanic_Y4,366,48.1,26.8,25.1,53.9,modelled
N20000945,Ormiston_B1,385,15.3,65.7,19.0,23.7,modelled
N20000946,Ormiston_A1,324,12.7,69.8,17.6,20.9,modelled
N20000947,Ormiston_A2,374,6.4,74.6,19.0,16.2,modelled
N20000948,Ormiston_B2,381,6.8,67.5,25.7,19.2,modelled
N20000949,Ormiston_A3,580,4.8,80.9,14.3,13.0,modelled
N20000950,Ormiston_B3,488,18.2,62.9,18.9,26.1,modelled
N20000951,Ormiston_A4,288,9.4,77.1,13.5,16.5,modelled
N20000952,Ormiston_C1,438,14.8,70.5,14.6,21.6,modelled
N20000953,Ormiston_C2,572,10.8,78.8,10.3,16.4,modelled
N20000954,Ormiston_A5,337,9.5,77.7,12.8,16.3,modelled
N20000955,Ormiston_C3,394,12.2,75.6,12.2,18.3,modelled
N20000956,Ormiston_B4,828,10.4,76.0,13.6,17.4,modelled
N20000957,Ormiston_D1,443,11.7,71.8,16.5,19.7,modelled
N20000958,Ormiston_D2,666,10.8,72.4,16.8,19.0,modelled
N20000959,Ormiston_F1,498,11.2,74.7,14.1,18.3,modelled
N20000960,Ormiston_C4,538,9.9,73.2,16.9,18.3,modelled
N20000961,Ormiston_D3,453,11.3,75.9,12.8,17.8,modelled
N20000962,Ormiston_D4,657,5.2,77.3,17.5,14.5,modelled
N20000963,Ormiston_F2,334,19.8,63.2,17.1,26.7,modelled
N20000964,Ormiston_E1,389,6.9,77.6,15.4,15.2,modelled
N20000965,Ormiston_C5,529,15.7,68.6,15.7,22.7,modelled
N20000966,Ormiston_E2,422,16.6,58.1,25.4,27.3,modelled
N20000967,Ormiston_F3,495,17.2,54.1,28.7,29.2,modelled
N20000968,Ormiston_E3,533,15.4,62.3,22.3,25.1,modelled
N20000969,Ormiston_E4,595,13.4,68.4,18.2,21.8,modelled
N20000970,Ormiston_G1,519,16.8,59.3,23.9,26.9,modelled
N20000971,Ormiston_F4,536,14.7,72.4,12.9,20.8,modelled
N20000972,Ormiston_H1,202,33.7,43.1,23.3,41.0,modelled
N20000973,Ormiston_H2,331,19.0,54.4,26.6,29.9,modelled
N20000974,Ormiston_G2,434,17.3,69.6,13.1,23.0,modelled
N20000975,Ormiston_G3,597,21.9,61.1,16.9,28.5,modelled
N20000976,Ormiston_H3,497,27.8,50.9,21.3,35.2,modelled
N20000977,Ormiston_J1,426,13.6,67.8,18.5,22.1,modelled
N20000978,Ormiston_J2,373,24.4,59.5,16.1,30.2,modelled
N20000979,Ormiston_N1,536,15.5,65.7,18.8,23.8,modelled
N20000980,Ormiston_L1,523,8.0,75.5,16.4,16.5,modelled
N20000981,Ormiston_J3,476,15.1,69.7,15.1,22.0,modelled
N20000982,Ormiston_F5,621,17.4,68.1,14.5,23.7,modelled
N20000983,Ormiston_G4,597,18.4,68.3,13.2,24.0,modelled
N20000984,Ormiston_H4,557,25.0,58.3,16.7,31.0,modelled
N20000985,Ormiston_H5,283,24.0,59.7,16.3,30.0,modelled
N20000986,Ormiston_J4,330,9.4,80.9,9.7,15.0,modelled
N20000987,Ormiston_K1,492,7.7,74.8,17.5,16.7,modelled
N20000988,Ormiston_N2,700,13.9,69.9,16.3,21.4,modelled
N20000989,Ormiston_L2,438,2.3,82.0,15.8,11.4,modelled
N20000990,Ormiston_K2,381,6.3,78.7,15.0,14.5,modelled
N20000991,Ormiston_J5,358,8.4,74.6,17.0,17.1,modelled
N20000992,Ormiston_P1,394,13.2,72.3,14.5,20.1,modelled
N20000993,Ormiston_K3,547,10.1,72.2,17.7,18.8,modelled
N20000994,Ormiston_K4,570,3.9,81.4,14.7,12.3,modelled
N20000995,Ormiston_R1,783,23.4,60.9,15.7,29.2,modelled
N20000996,Ormiston_L3,432,4.9,75.9,19.2,15.0,modelled
N20000997,Ormiston_N3,661,18.9,65.4,15.7,25.4,modelled
N20000998,Ormiston_P2,371,12.7,71.2,16.2,20.3,modelled
N20000999,Ormiston_L4,273,5.5,78.0,16.5,14.4,modelled
N20001000,Ormiston_Q1,359,6.1,74.4,19.5,16.1,modelled
N20001001,Ormiston_N4,465,15.3,74.4,10.3,20.2,modelled
N20001002,Ormiston_P3,262,9.2,76.0,14.9,16.9,modelled
N20001003,Ormiston_Q2,337,7.1,67.7,25.2,19.3,modelled
N20001004,Ormiston_L5,461,1.5,77.2,21.3,12.9,modelled
N20001005,Ormiston_R2,537,17.5,73.9,8.6,21.4,modelled
N20001006,Ormiston_P4,651,9.5,69.9,20.6,19.4,modelled
N20001007,Ormiston_S1,771,10.9,67.4,21.7,21.0,modelled
N20001008,Ormiston_P5,560,9.6,75.0,15.4,17.5,modelled
N20001009,Ormiston_Q3,430,8.1,64.2,27.7,21.1,modelled
N20001010,Ormiston_R3,437,24.3,61.6,14.2,29.4,modelled
N20001011,Ormiston_S2,567,5.6,74.6,19.8,15.8,modelled
N20001012,Ormiston_T1,290,3.4,73.1,23.4,15.5,modelled
N20001013,Ormiston_S3,548,6.6,77.4,16.1,15.1,modelled
N20001014,Ormiston_T2,502,5.4,75.3,19.3,15.4,modelled
N20001015,Ormiston_T3,612,10.8,73.9,15.4,18.4,modelled
N20001016,Ormiston_T4,654,10.2,70.9,18.8,19.3,modelled
N20001017,Lisnasharragh_B1,320,17.2,63.1,19.7,25.6,modelled
N20001018,Lisnasharragh_A1,250,6.8,68.8,24.4,18.7,modelled
N20001019,Lisnasharragh_A2,509,21.4,54.4,24.2,30.9,modelled
N20001020,Lisnasharragh_B2,636,12.7,69.5,17.8,21.0,modelled
N20001021,Lisnasharragh_D1,455,34.7,38.7,26.6,43.2,modelled
N20001022,Lisnasharragh_B3,454,9.0,71.4,19.6,18.6,modelled
N20001023,Lisnasharragh_A3,448,17.9,60.3,21.9,27.0,modelled
N20001024,Lisnasharragh_C1,579,59.4,25.6,15.0,59.4,modelled
N20001025,Lisnasharragh_B4,266,15.4,64.3,20.3,24.3,modelled
N20001026,Lisnasharragh_D2,412,26.0,51.5,22.6,34.2,modelled
N20001027,Lisnasharragh_C2,364,40.1,42.0,17.9,44.2,modelled
N20001028,Lisnasharragh_A4,537,17.1,64.8,18.1,24.9,modelled
N20001029,Lisnasharragh_D3,337,33.5,43.6,22.8,40.7,modelled
N20001030,Lisnasharragh_C3,347,42.9,42.4,14.7,45.4,modelled
N20001031,Lisnasharragh_B5,326,10.7,69.6,19.6,20.1,modelled
N20001032,Lisnasharragh_D4,319,28.8,47.0,24.1,37.2,modelled
N20001033,Lisnasharragh_E1,546,10.1,70.9,19.0,19.3,modelled
N20001034,Lisnasharragh_B6,559,8.1,76.6,15.4,16.1,modelled
N20001035,Lisnasharragh_F1,567,63.3,26.5,10.2,60.8,modelled
N20001036,Lisnasharragh_F2,404,26.2,53.2,20.5,33.6,modelled
N20001037,Lisnasharragh_F3,466,40.8,45.3,13.9,43.2,modelled
N20001038,Lisnasharragh_E2,544,16.4,69.3,14.3,22.7,modelled
N20001039,Lisnasharragh_G1,561,10.7,71.8,17.5,19.2,modelled
N20001040,Lisnasharragh_N1,617,5.5,72.6,21.9,16.6,modelled
N20001041,Lisnasharragh_H1,562,10.3,70.5,19.2,19.6,modelled
N20001042,Lisnasharragh_F4,474,58.2,35.0,6.8,55.1,modelled
N20001043,Lisnasharragh_J1,268,9.3,72.4,18.3,18.4,modelled
N20001044,Lisnasharragh_H2,411,10.9,70.1,19.0,20.0,modelled
N20001045,Lisnasharragh_G2,385,10.9,67.8,21.3,20.9,modelled
N20001046,Lisnasharragh_E3,780,12.2,67.2,20.6,21.7,modelled
N20001047,Lisnasharragh_G3,554,9.2,75.6,15.2,17.0,modelled
N20001048,Lisnasharragh_J2,304,9.2,74.3,16.4,17.5,modelled
N20001049,Lisnasharragh_N2,361,18.3,64.0,17.7,25.7,modelled
N20001050,Lisnasharragh_N3,584,15.6,66.6,17.8,23.5,modelled
N20001051,Lisnasharragh_J3,436,9.9,73.2,17.0,18.3,modelled
N20001052,Lisnasharragh_N4,429,21.2,64.8,14.0,26.7,modelled
N20001053,Lisnasharragh_L1,749,28.3,55.3,16.4,33.7,modelled
N20001054,Lisnasharragh_J4,483,11.8,62.9,25.3,23.2,modelled
N20001055,Lisnasharragh_H3,305,8.2,74.4,17.4,17.0,modelled
N20001056,Lisnasharragh_P1,613,13.1,66.9,20.1,22.2,modelled
N20001057,Lisnasharragh_K1,333,58.9,27.9,13.2,58.2,modelled
N20001058,Lisnasharragh_L2,554,4.3,75.6,20.0,14.8,modelled
N20001059,Lisnasharragh_K2,450,38.7,37.3,24.0,45.5,modelled
N20001060,Lisnasharragh_J5,438,14.8,60.7,24.4,25.5,modelled
N20001061,Lisnasharragh_K3,577,56.7,15.8,27.6,62.1,modelled
N20001062,Lisnasharragh_K4,290,70.0,14.5,15.5,68.6,modelled
N20001063,Lisnasharragh_P2,633,51.0,32.2,16.7,53.0,modelled
N20001064,Lisnasharragh_K5,329,47.7,24.9,27.4,54.5,modelled
N20001065,Lisnasharragh_L3,547,11.7,67.6,20.7,21.3,modelled
N20001066,Lisnasharragh_Q1,623,46.9,23.0,30.2,54.9,modelled
N20001067,Lisnasharragh_N5,364,14.6,72.5,12.9,20.6,modelled
N20001068,Lisnasharragh_P3,464,52.4,37.7,9.9,51.4,modelled
N20001069,Lisnasharragh_P4,465,65.8,21.1,13.1,64.1,modelled
N20001070,Lisnasharragh_Q2,669,59.6,19.0,21.4,62.2,modelled
N20001071,Lisnasharragh_R1,394,65.7,23.1,11.2,63.2,modelled
N20001072,Lisnasharragh_Q3,529,68.8,20.4,10.8,65.7,modelled
N20001073,Lisnasharragh_R2,547,77.9,13.5,8.6,72.5,modelled
N20001074,Lisnasharragh_N6,445,42.0,43.1,14.8,44.6,modelled
N20001075,Lisnasharragh_P5,469,68.0,23.0,9.0,64.3,modelled
N20001076,Lisnasharragh_R3,611,71.8,19.1,9.0,67.6,modelled
N20001077,Lisnasharragh_R4,632,50.0,38.8,11.2,50.0,modelled
N20001078,Lisnasharragh_R5,287,47.4,40.8,11.8,48.0,modelled
N20001079,Botanic_A1,353,51.8,17.0,31.2,59.5,modelled
N20001080,Botanic_A2,1466,29.6,13.0,57.4,51.2,modelled
N20001081,Botanic_B1,374,58.0,19.0,23.0,61.5,modelled
N20001082,Botanic_B2,404,88.6,4.7,6.7,80.8,modelled
N20001083,Botanic_B3,449,89.8,3.3,6.9,81.9,modelled
N20001084,Botanic_A3,774,17.8,38.8,43.4,35.6,modelled
N20001085,Botanic_A4,555,24.3,12.1,63.6,49.2,modelled
N20001086,Botanic_B4,396,78.0,8.3,13.6,74.6,modelled
N20001087,Botanic_C1,901,24.0,21.6,54.4,45.2,modelled
N20001088,Botanic_C2,472,23.1,26.5,50.4,42.9,modelled
N20001089,Botanic_A5,227,5.3,76.2,18.5,15.0,modelled
N20001090,Botanic_C3,626,21.9,26.5,51.6,42.3,modelled
N20001091,Botanic_D1,382,11.8,49.2,39.0,28.7,modelled
N20001092,Botanic_E1,475,6.3,77.5,16.2,15.0,modelled
N20001093,Botanic_F1,401,4.5,80.0,15.5,13.1,modelled
N20001094,Botanic_D2,378,84.4,5.8,9.8,78.5,modelled
N20001095,Botanic_F2,540,12.4,65.7,21.9,22.4,modelled
N20001096,Botanic_E2,453,14.1,61.8,24.1,24.7,modelled
N20001097,Botanic_C4,315,12.1,61.3,26.7,24.0,modelled
N20001098,Botanic_E3,372,16.4,63.7,19.9,25.0,modelled
N20001099,Botanic_H1,332,34.3,28.0,37.7,47.3,modelled
N20001100,Botanic_F3,398,13.8,57.3,28.9,26.4,modelled
N20001101,Botanic_D3,502,39.4,38.4,22.1,45.4,modelled
N20001102,Botanic_F4,300,28.0,43.0,29.0,38.5,modelled
N20001103,Botanic_H2,503,44.7,17.1,38.2,56.3,modelled
N20001104,Botanic_G1,481,13.5,62.2,24.3,24.3,modelled
N20001105,Botanic_H3,332,55.1,24.4,20.5,58.0,modelled
N20001106,Botanic_E4,507,21.3,49.9,28.8,32.7,modelled
N20001107,Botanic_H4,424,55.0,17.2,27.8,60.8,modelled
N20001108,Botanic_F5,218,26.1,36.2,37.6,40.3,modelled
N20001109,Botanic_D4,554,78.5,7.9,13.5,75.0,modelled
N20001110,Botanic_H5,284,49.3,31.0,19.7,52.8,modelled
N20001111,Botanic_G2,382,8.9,58.9,32.2,23.6,modelled
N20001112,Botanic_H6,512,44.5,17.0,38.5,56.2,modelled
N20001113,Botanic_J1,478,62.6,17.4,20.1,64.1,modelled
N20001114,Botanic_J2,430,65.3,14.2,20.5,66.6,modelled
N20001115,Botanic_K1,621,41.9,33.0,25.1,48.6,modelled
N20001116,Botanic_G3,338,11.2,69.2,19.5,20.5,modelled
N20001117,Botanic_G4,321,11.8,62.6,25.5,23.4,modelled
N20001118,Botanic_N1,484,70.5,11.4,18.2,70.1,modelled
N20001119,Botanic_J3,411,55.2,24.3,20.4,58.1,modelled
N20001120,Botanic_J4,596,63.9,15.1,21.0,65.6,modelled
N20001121,Botanic_P1,632,63.0,21.5,15.5,62.6,modelled
N20001122,Botanic_L1,252,43.7,17.9,38.5,55.5,modelled
N20001123,Botanic_H7,443,39.7,31.2,29.1,48.4,modelled
N20001124,Botanic_L2,617,43.8,26.9,29.3,51.9,modelled
N20001125,Botanic_K2,333,33.6,25.8,40.5,47.8,modelled
N20001126,Botanic_K3,652,30.8,30.7,38.5,44.6,modelled
N20001127,Botanic_N2,534,68.5,12.0,19.5,68.9,modelled
N20001128,Botanic_U1,254,23.2,42.9,33.9,36.4,modelled
N20001129,Botanic_K4,423,22.2,47.3,30.5,34.2,modelled
N20001130,Botanic_N3,537,78.8,7.6,13.6,75.3,modelled
N20001131,Botanic_N4,597,63.8,19.8,16.4,63.7,modelled
N20001132,Botanic_L3,505,43.6,23.6,32.9,53.2,modelled
N20001133,Botanic_L4,784,37.6,33.5,28.8,46.5,modelled
N20001134,Botanic_N5,580,56.7,21.2,22.1,60.0,modelled
N20001135,Botanic_R1,616,47.7,25.3,26.9,54.3,modelled
N20001136,Botanic_Q1,487,45.6,29.8,24.6,51.6,modelled
N20001137,Botanic_R2,475,48.6,25.1,26.3,54.8,modelled
N20001138,Botanic_T1,462,51.1,20.6,28.4,57.7,modelled
N20001139,Botanic_R3,647,42.7,25.3,32.0,52.1,modelled
N20001140,Botanic_S1,557,38.8,37.7,23.5,45.4,modelled
N20001141,Botanic_T2,314,57.0,20.1,22.9,60.6,modelled
N20001142,Botanic_Q2,618,41.1,30.1,28.8,49.5,modelled
N20001143,Botanic_R4,547,46.1,23.4,30.5,54.4,modelled
N20001144,Botanic_S2,525,44.8,25.1,30.1,53.1,modelled
N20001145,Botanic_P2,222,54.5,27.9,17.6,56.3,modelled
N20001146,Botanic_T3,273,48.4,30.8,20.9,52.4,modelled
N20001147,Botanic_T4,416,20.4,36.8,42.8,37.6,modelled
N20001148,Botanic_R5,427,37.9,40.5,21.5,43.9,modelled
N20001149,Botanic_U2,642,36.9,37.5,25.5,44.6,modelled
N20001150,Botanic_W1,391,44.5,29.4,26.1,51.3,modelled
N20001151,Botanic_Q3,541,46.0,30.9,23.1,51.3,modelled
N20001152,Botanic_S3,344,44.2,27.6,28.2,51.8,modelled
N20001153,Botanic_Q4,638,46.4,37.5,16.1,48.9,modelled
N20001154,Botanic_W2,307,43.6,20.5,35.8,54.4,modelled
N20001155,Botanic_W3,438,53.9,21.7,24.4,58.5,modelled
N20001156,Botanic_S4,677,43.0,32.6,24.4,49.3,modelled
N20001157,Botanic_Q5,408,48.5,28.7,22.8,53.3,modelled
N20001158,Botanic_P3,435,63.2,19.3,17.5,63.6,modelled
N20001159,Botanic_W4,437,54.0,21.3,24.7,58.7,modelled
N20001160,Botanic_W5,321,62.0,21.5,16.5,62.2,modelled
N20001161,Botanic_U3,411,54.5,29.0,16.5,55.9,modelled
N20001162,Botanic_X1,2149,44.5,24.0,31.5,53.4,modelled
N20001163,Botanic_T5,328,45.4,23.2,31.4,54.2,modelled
N20001164,Botanic_W6,524,63.2,20.2,16.6,63.3,modelled
N20001165,Botanic_P4,477,60.0,23.1,17.0,60.7,modelled
N20001166,Botanic_P5,552,68.7,15.2,16.1,67.7,modelled
N20001167,Botanic_X2,668,55.5,29.8,14.7,56.0,modelled
N20001168,Botanic_Y1,499,48.5,27.7,23.8,53.7,modelled
N20001169,Botanic_X3,527,58.4,28.7,12.9,57.8,modelled
N20001170,Botanic_Y2,464,54.3,30.8,14.9,55.1,modelled
N20001171,Botanic_X4,293,46.8,33.8,19.5,50.5,modelled
N20001172,Botanic_Y3,1015,41.4,41.5,17.1,45.0,modelled
N20001173,Botanic_Y4,418,48.1,34.2,17.7,50.9,modelled
N20001174,Botanic_Y5,570,55.1,28.9,16.0,56.2,modelled
N20001175,Botanic_Z1,344,44.8,33.7,21.5,49.6,modelled
N20001176,Botanic_Z2,437,60.4,31.6,8.0,57.5,modelled
N20001177,Botanic_Z3,484,55.6,33.5,11.0,54.6,modelled
N20001178,Botanic_Z4,541,48.8,31.4,19.8,52.4,modelled
N20001179,Balmoral_A1,268,59.7,20.9,19.4,61.4,modelled
N20001180,Balmoral_A2,290,63.4,25.2,11.4,61.4,modelled
N20001181,Balmoral_A3,280,59.3,27.1,13.6,58.8,modelled
N20001182,Balmoral_A4,469,60.1,29.4,10.4,58.2,modelled
N20001183,Balmoral_A5,454,64.1,25.1,10.8,61.7,modelled
N20001184,Balmoral_B1,744,74.2,17.3,8.5,69.3,modelled
N20001185,Balmoral_A6,505,57.0,32.7,10.3,55.5,modelled
N20001186,Balmoral_B2,536,69.2,19.2,11.6,66.4,modelled
N20001187,Balmoral_F1,255,56.1,30.2,13.7,56.1,modelled
N20001188,Balmoral_F2,352,68.5,21.3,10.2,65.2,modelled
N20001189,Balmoral_E1,435,71.5,21.8,6.7,66.3,modelled
N20001190,Balmoral_D1,497,90.5,6.2,3.2,81.1,modelled
N20001191,Balmoral_C1,431,71.2,20.0,8.8,67.0,modelled
N20001192,Balmoral_D2,520,87.7,7.3,5.0,79.4,modelled
N20001193,Balmoral_E2,353,71.7,17.8,10.5,68.0,modelled
N20001194,Balmoral_C2,343,43.4,43.4,13.1,45.2,modelled
N20001195,Balmoral_D3,679,74.7,16.6,8.7,69.8,modelled
N20001196,Balmoral_E3,404,60.4,29.2,10.4,58.4,modelled
N20001197,Balmoral_D4,436,90.8,4.4,4.8,81.9,modelled
N20001198,Balmoral_E4,495,65.5,27.5,7.1,61.4,modelled
N20001199,Balmoral_E5,542,58.7,27.7,13.7,58.3,modelled
N20001200,Balmoral_F3,458,53.9,35.6,10.5,53.0,modelled
N20001201,Balmoral_C3,471,39.1,42.5,18.5,43.6,modelled
N20001202,Balmoral_H1,393,70.5,20.1,9.4,66.6,modelled
N20001203,Balmoral_G1,466,18.5,57.9,23.6,28.2,modelled
N20001204,Balmoral_H2,479,87.3,9.4,3.3,78.3,modelled
N20001205,Balmoral_G2,366,31.1,47.8,21.0,37.9,modelled
N20001206,Balmoral_G3,154,13.0,70.8,16.2,20.6,modelled
N20001207,Balmoral_C4,326,4.6,80.4,15.0,13.1,modelled
N20001208,Balmoral_J1,560,3.4,78.9,17.7,13.1,modelled
N20001209,Balmoral_H3,400,46.5,45.0,8.5,45.9,modelled
N20001210,Balmoral_G4,494,15.8,67.8,16.4,23.1,modelled
N20001211,Balmoral_J2,464,13.4,69.8,16.8,21.2,modelled
N20001212,Balmoral_H4,280,92.5,5.7,1.8,82.1,modelled
N20001213,Balmoral_G5,344,22.7,52.3,25.0,32.3,modelled
N20001214,Balmoral_J3,427,34.0,52.2,13.8,37.4,modelled
N20001215,Balmoral_N1,656,13.7,70.7,15.5,21.0,modelled
N20001216,Balmoral_J4,291,35.7,43.6,20.6,41.6,modelled
N20001217,Balmoral_F4,562,31.1,53.4,15.5,35.7,modelled
N20001218,Balmoral_L1,371,55.0,33.2,11.9,54.4,modelled
N20001219,Balmoral_J5,424,36.1,47.2,16.7,40.4,modelled
N20001220,Balmoral_N2,534,21.7,57.1,21.2,30.0,modelled
N20001221,Balmoral_N3,443,44.9,29.6,25.5,51.4,modelled
N20001222,Balmoral_K1,381,11.0,68.2,20.7,20.8,modelled
N20001223,Balmoral_K2,623,13.6,68.1,18.3,22.0,modelled
N20001224,Balmoral_F5,394,7.9,71.6,20.6,18.0,modelled
N20001225,Balmoral_K3,238,9.2,72.7,18.1,18.2,modelled
N20001226,Balmoral_L2,422,47.4,41.7,10.9,47.6,modelled
N20001227,Balmoral_K4,272,9.6,68.8,21.7,19.9,modelled
N20001228,Balmoral_P1,361,8.6,75.3,16.1,16.8,modelled
N20001229,Balmoral_P2,417,10.3,73.4,16.3,18.4,modelled
N20001230,Balmoral_L3,625,66.1,22.1,11.8,63.8,modelled
N20001231,Balmoral_L4,553,49.5,36.9,13.6,50.5,modelled
N20001232,Balmoral_P3,608,24.5,65.6,9.9,27.8,modelled
N20001233,Balmoral_N4,492,51.6,37.6,10.8,51.1,modelled
N20001234,Balmoral_P4,468,26.9,48.5,24.6,35.8,modelled
N20001235,Collin_A1,319,90.9,5.0,4.1,81.7,modelled
N20001236,Collin_A2,704,97.3,0.6,2.1,86.3,modelled
N20001237,Collin_D1,435,95.9,1.6,2.5,85.3,modelled
N20001238,Collin_A3,268,95.5,1.5,3.0,85.2,modelled
N20001239,Collin_B1,670,92.8,3.7,3.4,83.1,modelled
N20001240,Collin_C1,532,87.2,7.1,5.6,79.2,modelled
N20001241,Collin_E1,615,96.1,1.0,2.9,85.6,modelled
N20001242,Collin_C2,730,91.1,7.0,1.9,81.0,modelled
N20001243,Collin_E2,719,95.8,2.5,1.7,84.9,modelled
N20001244,Collin_D2,792,96.3,1.0,2.7,85.7,modelled
N20001245,Collin_A4,440,97.5,2.3,0.2,85.7,modelled
N20001246,Collin_F1,723,95.6,2.6,1.8,84.7,modelled
N20001247,Collin_D3,479,88.1,5.6,6.3,80.2,modelled
N20001248,Collin_E3,465,91.6,6.5,1.9,81.5,modelled
N20001249,Collin_C3,648,21.1,58.8,20.1,29.1,modelled
N20001250,Collin_F2,408,93.6,3.2,3.2,83.7,modelled
N20001251,Collin_D4,695,95.3,2.3,2.4,84.7,modelled
N20001252,Collin_E4,547,93.2,3.3,3.5,83.4,modelled
N20001253,Collin_J1,736,94.2,2.7,3.1,84.1,modelled
N20001254,Collin_F3,657,74.0,14.8,11.3,70.3,modelled
N20001255,Collin_B2,754,91.0,4.4,4.6,82.0,modelled
N20001256,Collin_G1,482,93.6,1.7,4.8,84.2,modelled
N20001257,Collin_G2,597,95.6,2.7,1.7,84.8,modelled
