ref,ext_start_date,ext_end_date,ext_start_year,ext_end_year,ext_display,ext_undated,ext_circa
HA/8/1487,1956,1959,1956,1959,1956-1959,,
D3007/D/2/10/1,1791-01-12,1791-01-12,1791,1791,12 January 1791,,
D4437/2/1/14/2/21,1992-09-15,1992-09-15,1992,1992,15 September 1992,,
D4785/15/2/1/8,2007-11-12,2007-11-12,2007,2007,12 November 2007,,
D4790/2/22/4/5,1996-02-13,1996-02-13,1996,1996,13 February 1996,,
TRANS/2A/35/101B,1901,1901,1901,1901,1901,,
D4790/4,2000,2000,2000,2000,c. 2000,,1
T1129/240,1832,1832,1832,1832,1832,,
CR1/25/A,1778,1936,1778,1936,1778 – 1936,,
D4682/1/2/12,1903-07-14,1904-07-14,1903,1904,14 July 1903 – 14 July 1904,,
