election_key,date,body,constituency,absent_party,absent_party_contested,winner,parties_present
parliament-of-northern-ireland__1921-05-24,1921-05-24,parliament-of-northern-ireland,Queen's University of Belfast,Nationalist Party,9/10,UUP,Sinn Féin | UUP
house-of-commons-of-the-united-kingdom__1924-10-29,1924-10-29,house-of-commons-of-the-united-kingdom,Belfast East,Sinn Féin,7/10,UUP,UUP
house-of-commons-of-the-united-kingdom__1924-10-29,1924-10-29,house-of-commons-of-the-united-kingdom,Belfast South,Sinn Féin,7/10,UUP,UUP
house-of-commons-of-the-united-kingdom__1924-10-29,1924-10-29,house-of-commons-of-the-united-kingdom,Queen's University of Belfast,Sinn Féin,7/10,UUP,UUP
parliament-of-northern-ireland__1925-04-03,1925-04-03,parliament-of-northern-ireland,Belfast East,Nationalist Party,6/10,UUP,Independent Unionist | NI Labour | UUP
parliament-of-northern-ireland__1925-04-03,1925-04-03,parliament-of-northern-ireland,Belfast North,Nationalist Party,6/10,UUP,Independent Unionist | NI Labour | UUP
parliament-of-northern-ireland__1925-04-03,1925-04-03,parliament-of-northern-ireland,Belfast South,Nationalist Party,6/10,UUP,Independent Unionist | Town Tenants Association | UUP
parliament-of-northern-ireland__1925-04-03,1925-04-03,parliament-of-northern-ireland,Queen's University of Belfast,Nationalist Party,6/10,UUP,UUP
parliament-of-northern-ireland__1929-05-22,1929-05-22,parliament-of-northern-ireland,Belfast Falls,UUP,40/49,Nationalist Party,NI Labour | Nationalist Party
parliament-of-northern-ireland__1929-05-22,1929-05-22,parliament-of-northern-ireland,East Tyrone,UUP,40/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1929-05-22,1929-05-22,parliament-of-northern-ireland,Foyle,UUP,40/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1929-05-22,1929-05-22,parliament-of-northern-ireland,Mid Londonderry,UUP,40/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1929-05-22,1929-05-22,parliament-of-northern-ireland,Mid Tyrone,UUP,40/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1929-05-22,1929-05-22,parliament-of-northern-ireland,South Armagh,UUP,40/49,Nationalist Party,Independent Nationalist | Nationalist Party
parliament-of-northern-ireland__1929-05-22,1929-05-22,parliament-of-northern-ireland,South Down,UUP,40/49,Nationalist Party,Independent Labour | Nationalist Party
parliament-of-northern-ireland__1929-05-22,1929-05-22,parliament-of-northern-ireland,South Fermanagh,UUP,40/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1929-05-22,1929-05-22,parliament-of-northern-ireland,West Tyrone,UUP,40/49,Nationalist Party,Nationalist Party
house-of-commons-of-the-united-kingdom__1929-05-30,1929-05-30,house-of-commons-of-the-united-kingdom,Fermanagh and Tyrone,UUP,9/10,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1933-11-30,1933-11-30,parliament-of-northern-ireland,Belfast Central,UUP,39/49,Nationalist Party,Irish Republican | Nationalist Party
parliament-of-northern-ireland__1933-11-30,1933-11-30,parliament-of-northern-ireland,Belfast Falls,UUP,39/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1933-11-30,1933-11-30,parliament-of-northern-ireland,East Tyrone,UUP,39/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1933-11-30,1933-11-30,parliament-of-northern-ireland,Foyle,UUP,39/49,Nationalist Party,Independent Republican | Nationalist Party
parliament-of-northern-ireland__1933-11-30,1933-11-30,parliament-of-northern-ireland,Mid Londonderry,UUP,39/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1933-11-30,1933-11-30,parliament-of-northern-ireland,Mid Tyrone,UUP,39/49,Nationalist Party,Nationalist Party
