party,candidacies,bodies,suggested_action
Republican Labour,12,"parliament-of-northern-ireland:10,house-of-commons-of-the-united-kingdom:1,northern-ireland-assembly:1",republican-adjacent but a distinct party from Sinn Féin
Republican Labour Party,12,local-government:12,republican-adjacent but a distinct party from Sinn Féin
Democratic Left (Ireland),11,local-government:11,
Lab.,10,dail-eireann:10,
G.P.,10,dail-eireann:10,
Non party/Fis Nua,10,"dail-eireann:7,ireland-european:3",
Socialist Environmental Alliance,10,"local-government:5,northern-ireland-assembly:3,european-parliament:1,house-of-commons-of-the-united-kingdom:1",
Democratic Partnership,10,northern-ireland-forum-for-political-dialogue:10,
Progressive Unionist,10,parliament-of-northern-ireland:10,unionist-adjacent — not in the supplied list; confirm before labelling
BNP,9,"local-government:6,northern-ireland-assembly:3",
People's Democracy,9,"parliament-of-northern-ireland:7,northern-ireland-assembly:2",
National Centre Party (Ireland),8,dail-eireann:8,
Independent Health Alliance,8,dail-eireann:8,"registered party in the Republic, not an unaffiliated candidate"
Non party/Fathers Rights Responsibilities,8,dail-eireann:8,
Unity,8,house-of-commons-of-the-united-kingdom:8,
Northern Ireland Labour Representation Committee,8,northern-ireland-assembly:8,
Socialist Workers,7,dail-eireann:7,
Labour and Trade Union Group,7,"house-of-commons-of-the-united-kingdom:4,local-government:3",
Independent Farmer,6,dail-eireann:6,independent — set per candidacy in alignment_overrides.csv
Ailtirí na hAiséirghe,6,dail-eireann:6,
Liberty Republic,6,dail-eireann:6,
Ir Lab,6,house-of-commons-of-the-united-kingdom:6,
Anti H-Block,6,"local-government:4,house-of-commons-of-the-united-kingdom:2",
Sinn Féin Workers',6,ireland-european:6,republican-adjacent but a distinct party from Sinn Féin
Ulster's Independent Voice,6,"northern-ireland-forum-for-political-dialogue:5,northern-ireland-assembly:1",
Republican Sinn Féin,6,northern-ireland-assembly:6,republican-adjacent but a distinct party from Sinn Féin
Independent (Thomas O'Brien),6,northern-ireland-forum-for-political-dialogue:6,independent — set per candidacy in alignment_overrides.csv
Independent (Oliver McMuIlan),6,northern-ireland-forum-for-political-dialogue:6,independent — set per candidacy in alignment_overrides.csv
Ind. Unionist Party,6,parliament-of-northern-ireland:6,unionist-adjacent — not in the supplied list; confirm before labelling
Commonwealth Labour Party,6,parliament-of-northern-ireland:6,
Communist (NI),6,parliament-of-northern-ireland:6,
National League,5,"dail-eireann:4,parliament-of-northern-ireland:1",
National Labour Party (Ireland),5,dail-eireann:5,
Ireland First,5,"ireland-european:3,dail-eireann:2",
Labour '87,5,"local-government:4,european-parliament:1",
Ulster Liberal Party,5,local-government:5,
Anti-Partitionist,5,parliament-of-northern-ireland:5,
Clann Éireann,4,dail-eireann:4,
Independent Fianna Fáil,4,"ireland-european:3,dail-eireann:1",independent — set per candidacy in alignment_overrides.csv
Non party/An Chomhdhail Phobail | People's Convention,4,dail-eireann:4,
Ecology,4,"northern-ireland-assembly:2,european-parliament:1,house-of-commons-of-the-united-kingdom:1",
IIP,4,house-of-commons-of-the-united-kingdom:4,
D.U. U.U.U.C.,4,local-government:4,
Natural Law Party,4,local-government:4,
Éirígí,4,local-government:4,
Democrats and Veterans,4,local-government:4,
Socialist Republican Party,4,parliament-of-northern-ireland:4,republican-adjacent but a distinct party from Sinn Féin
Irish Worker League,3,dail-eireann:3,
LAB.,3,dail-eireann:3,
Irish Democratic Party,3,dail-eireann:3,
Rabharta,3,dail-eireann:3,
Centre Party of Ireland,3,dail-eireann:3,
Party for Animal Welfare,3,dail-eireann:3,
United Labour Party,3,"house-of-commons-of-the-united-kingdom:2,european-parliament:1",
Ulster Third Way,3,"european-parliament:1,house-of-commons-of-the-united-kingdom:1,northern-ireland-assembly:1",
Ind Nat,3,house-of-commons-of-the-united-kingdom:3,
Ind Lab,3,house-of-commons-of-the-united-kingdom:3,
Communist Party of Ireland (Marxist-Leninist),3,house-of-commons-of-the-united-kingdom:3,
Libertas,3,ireland-european:3,
Irish Labour Party,3,local-government:3,
People's Democracy (Ireland),3,local-government:3,
Belfast Labour,3,parliament-of-northern-ireland:3,
Local Option,3,parliament-of-northern-ireland:3,
Irish Republican,3,parliament-of-northern-ireland:3,republican-adjacent but a distinct party from Sinn Féin
Independent Republican,3,parliament-of-northern-ireland:3,independent — set per candidacy in alignment_overrides.csv
Independent Irish Labour,3,parliament-of-northern-ireland:3,independent — set per candidacy in alignment_overrides.csv
Ind. Labour Group,3,parliament-of-northern-ireland:3,
Labour Unionist,2,dail-eireann:2,unionist-adjacent — not in the supplied list; confirm before labelling
Irish Unionist,2,dail-eireann:2,unionist-adjacent — not in the supplied list; confirm before labelling
Córas na Poblachta,2,dail-eireann:2,
Irish Workers' Party,2,dail-eireann:2,
P.D.,2,dail-eireann:2,
W.P.,2,dail-eireann:2,
United Left Alliance,2,dail-eireann:2,
S.P.,2,dail-eireann:2,
A.A.A.,2,dail-eireann:2,
P.B.P.A.,2,dail-eireann:2,
Independent - Northern Ireland independence,2,"european-parliament:1,house-of-commons-of-the-united-kingdom:1",independent — set per candidacy in alignment_overrides.csv
Rep Lab,2,house-of-commons-of-the-united-kingdom:2,
An Rabharta Glas – Green Left,2,ireland-european:2,
National Front (UK),2,local-government:2,
Republican Network for Unity,2,local-government:2,republican-adjacent but a distinct party from Sinn Féin
Procapitalism,2,northern-ireland-assembly:2,
Ulster Christian Democratic Party,2,northern-ireland-forum-for-political-dialogue:2,
Independent (Arthur Templeton),2,northern-ireland-forum-for-political-dialogue:2,independent — set per candidacy in alignment_overrides.csv
Town Tenants' Association,2,parliament-of-northern-ireland:2,
Irish Parliamentary,1,dail-eireann:1,
Joint Panel Nomination (Pro/Anti Treaty),1,dail-eireann:1,
National Labour,1,dail-eireann:1,
Irish Workers' League,1,dail-eireann:1,
Independent Fine Gael,1,dail-eireann:1,independent — set per candidacy in alignment_overrides.csv
NON-P,1,dail-eireann:1,
Immigration Control Platform,1,dail-eireann:1,
Irish Socialist Network,1,dail-eireann:1,
C.S.P.,1,dail-eireann:1,
South Kerry Independent Alliance,1,dail-eireann:1,"registered party in the Republic, not an unaffiliated candidate"
Fís Nua,1,dail-eireann:1,
D.D.I.,1,dail-eireann:1,
F.N.,1,dail-eireann:1,
NON-P.,1,dail-eireann:1,
R.I.,1,dail-eireann:1,
Irish Postmasters' Union,1,dail-eireann:1,
United People,1,dail-eireann:1,
S.P.B.P.,1,dail-eireann:1,
A.,1,dail-eireann:1,
T.N.P.A.P.N.,1,dail-eireann:1,
R.I,1,dail-eireann:1,
100% Redress,1,dail-eireann:1,
Right to Change,1,dail-eireann:1,
Ind Rep,1,house-of-commons-of-the-united-kingdom:1,
CWLP,1,house-of-commons-of-the-united-kingdom:1,
Volunteer Political Party,1,house-of-commons-of-the-united-kingdom:1,
Derry Labour and Trade Union Party,1,house-of-commons-of-the-united-kingdom:1,
SDP,1,house-of-commons-of-the-united-kingdom:1,
National Democrats (UK),1,house-of-commons-of-the-united-kingdom:1,
Democratic Socialist,1,ireland-european:1,
Identity Ireland,1,ireland-european:1,
Ul Un U.U.U.C.,1,local-government:1,
Pensioner,1,local-government:1,
Third Way (UK organisation),1,local-government:1,
Ulster Constitution Party,1,northern-ireland-assembly:1,
National Front,1,northern-ireland-assembly:1,
Newtownabbey Labour,1,northern-ireland-assembly:1,
Northern Ireland First,1,northern-ireland-assembly:1,
South Belfast Unionists,1,northern-ireland-assembly:1,unionist-adjacent — not in the supplied list; confirm before labelling
Democracy First,1,northern-ireland-assembly:1,
Animal Welfare Party,1,northern-ireland-assembly:1,
Resume NI,1,northern-ireland-assembly:1,
Heritage Party,1,northern-ireland-assembly:1,
Unbought Tenants,1,parliament-of-northern-ireland:1,
Town Tenants Association,1,parliament-of-northern-ireland:1,
Ulster Democratic,1,parliament-of-northern-ireland:1,
Ulster Protestant League,1,parliament-of-northern-ireland:1,
Independent Progressive Unionist,1,parliament-of-northern-ireland:1,independent — set per candidacy in alignment_overrides.csv
Federation of Labour,1,parliament-of-northern-ireland:1,
Ulster Protestant Action,1,parliament-of-northern-ireland:1,
World Socialist Party,1,parliament-of-northern-ireland:1,
New Ireland Movement,1,parliament-of-northern-ireland:1,
Unofficial Unionist,1,parliament-of-northern-ireland:1,unionist-adjacent — not in the supplied list; confirm before labelling
People's Progressive Party,1,parliament-of-northern-ireland:1,
