id,title,sourceSlugOrId,provider,organisation,confidence,readiness
census-00001-bdr03,"2002 Population in each Constituency, as defined in the Electoral (Amendment) (No. 2) Act, 1998 for elections to Dail Eireann",BDR03,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00002-cna23,"Population by Sex, Detailed Marital Status, Province County or City and CensusYear",CNA23,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00003-f1008,"Population by Electoral Divisions in County Dublin, by Birthplace",F1008,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00004-hhr01,HSE Health Region Populations - Census 2022,HHR01,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00005-a0601,1996 Population Usually Resident in the State at each Census Since 1981,A0601,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00007-b0532,2002 Population Aged 15 Years and Over in Employment (ILO) and Average Hours Worked in the Week before Census Day,B0532,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00008-b0533,2002 Population Aged 15 Years and Over in Employment (ILO) and Average Hours Worked in the Week before Census Day,B0533,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00009-b0534,2002 Population Aged 15 Years and Over in Employment (ILO) and Average Hours Worked in the Week before Census Day,B0534,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00012-bsr16,2002 Population Aged 15 Years and Over in Employment (ILO) by Average Hours Worked in the Week before Census Day,BSR16,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00013-b1219,2002 Population Aged 15 Years and Over in Employment (ILO) by Average Hours Worked in the Week before Census Day,B1219,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00017-b0102,2002 Population at Each Census Since 1841,B0102,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00019-b0915,2002 Population At Work Aged 15 Years and Over Usually Resident in the State and Present in their Usual Residence on Census Night,B0915,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00020-b1201,2002 Population for Relevant Censuses,B1201,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00021-b1203,2002 Population for Relevant Censuses,B1203,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00022-b0445,2002 Population Usually Resident  in the State and if  Present in their Usual Residence on Census Night,B0445,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00023-b0430,2002 Population Usually Resident and Present in their Usual Residence on Census Night,B0430,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00024-b0909,2002 Population Usually Resident and Present in their Usual Residence on Census Night,B0909,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00025-b0910,2002 Population Usually Resident and Present in their Usual Residence on Census Night,B0910,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00026-b0911,2002 Population Usually Resident in the State and Present in their Usual Residence on Census Night,B0911,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00027-b0912,2002 Population Usually Resident in the State and Present in their Usual Residence on Census Night,B0912,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00028-b0913,2002 Population Usually Resident in the State and Present in their Usual Residence on Census Night,B0913,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00029-b0914,2002 Population Usually Resident in the State and Present in their Usual Residence on Census Night,B0914,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00030-b0916,2002 Population Usually Resident in the State and Present in their Usual Residence on Census Night,B0916,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00031-b0917,2002 Population Usually Resident in the State and Present in their Usual Residence on Census Night,B0917,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00032-b0918,2002 Population Usually Resident in the State and Present in their Usual Residence on Census Night,B0918,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00033-b0919,2002 Population Usually Resident in the State and Present in their Usual Residence on Census Night,B0919,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00034-b0920,2002 Population Usually Resident in the State and Present in their Usual Residence on Census Night,B0920,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00035-b0921,2002 Population Usually Resident in the State and Present in their Usual Residence on Census Night,B0921,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00036-b0901,2002 Population Usually Resident in the State at each Census Since 1981,B0901,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00037-b0902,2002 Population Usually Resident in the State at each Census Since 1981,B0902,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00038-cd970,Population Aged 3 Years and Over Usually Resident and Present in the State on Census Night,CD970,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00039-cdp02,Population and Actual and Percentage Change for each Census Year from 1926,CDP02,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00041-cd111,Population at Each Census,CD111,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00042-fy001,Population at Each Census,FY001,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00044-f1001,Population at Each Census,F1001,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00046-ey001,Population at Each Census from 1841 to 2016,EY001,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00049-c0102,Population at Each Census Since 1841,C0102,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00053-c1215,Population At Work Aged 15 Years and Over Usually Resident in the State and Present in their Usual Residence on Census Night,C1215,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00054-c1301,Population for Relevant Censuses,C1301,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00055-c1303,Population for Relevant Censuses,C1303,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00056-c1202,Population Usually Resident and Present in the State at each Census since 1986 by Average Distance Travelled (in kilometres),C1202,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00057-c1207,Population Usually Resident and Present in their Usual Residence on Census Night,C1207,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00058-c1208,Population Usually Resident and Present in their Usual Residence on Census Night,C1208,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00059-c1209,Population Usually Resident and Present in their Usual Residence on Census Night,C1209,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00060-c1210,Population Usually Resident and Present in their Usual Residence on Census Night,C1210,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00061-c1211,Population Usually Resident in the State and Present in their Usual Residence on Census Night,C1211,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00062-c1212,Population Usually Resident in the State and Present in their Usual Residence on Census Night,C1212,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00063-c1213,Population Usually Resident in the State and Present in their Usual Residence on Census Night,C1213,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00064-c1214,Population Usually Resident in the State and Present in their Usual Residence on Census Night,C1214,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00065-c1216,Population Usually Resident in the State and Present in their Usual Residence on Census Night,C1216,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00066-c1217,Population Usually Resident in the State and Present in their Usual Residence on Census Night,C1217,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00067-c1218,Population Usually Resident in the State and Present in their Usual Residence on Census Night,C1218,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00068-c1219,Population Usually Resident in the State and Present in their Usual Residence on Census Night,C1219,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00069-c1220,Population Usually Resident in the State and Present in their Usual Residence on Census Night,C1220,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00070-c1221,Population Usually Resident in the State and Present in their Usual Residence on Census Night,C1221,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00071-cd003,Population Usually Resident in the State at Each Census Since 1986,CD003,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00072-c1201,Population Usually Resident in the State at each Census Since 1986,C1201,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00073-e6010,Population Usually Resident in the State at Each Census Since 1986,E6010,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00074-sap2016t2t3sa,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2016T2T3SA,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00075-sap2016t2t3cty,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2016T2T3CTY,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00076-sap2016t2t3prov,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2016T2T3PROV,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00077-sap2016t2t3ed,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2016T2T3ED,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00078-sap2016t2t3lpt,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2016T2T3LPT,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00079-sap2016t2t3gael,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2016T2T3GAEL,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00080-sap2016t2t3con13,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2016T2T3CON13,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00081-sap2016t2t3nuts,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2016T2T3NUTS,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00082-sap2016t2t3lea14,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2016T2T3LEA14,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00083-sap2016t2t3lea19,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2016T2T3LEA19,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00084-sap2016t2t3set,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2016T2T3SET,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00085-sap2011t2t3ed,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2011T2T3ED,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00086-sap2016t2t3con17,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2016T2T3CON17,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00087-sap2011t2t3prov,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2011T2T3PROV,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00088-sap2011t2t3cty,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2011T2T3CTY,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00089-sap2011t2t3lea08,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2011T2T3LEA08,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00090-sap2011t2t3clt,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2011T2T3CLT,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00091-sap2011t2t3gael,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2011T2T3GAEL,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00092-sap2011t3t1dc07,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2011T3T1DC07,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00093-sap2011t2t3dc07,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2011T2T3DC07,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00094-sap2011t2t3sa,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2011T2T3SA,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00095-sap2022t2t3prov,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2022T2T3PROV,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00096-sap2022t2t3cty,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2022T2T3CTY,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00097-sap2022t2t3sa,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2022T2T3SA,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00098-sap2022t2t3town22,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2022T2T3TOWN22,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00099-sap2022t2t3lea22,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2022T2T3LEA22,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00100-sap2022t2t3lpt,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2022T2T3LPT,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00101-sap2022t2t3nuts,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2022T2T3NUTS,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00102-sap2022t2t3ed,Usually resident population aged 1 year and over by usual residence 1 year before Census Day,SAP2022T2T3ED,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
