id,title,organisation,provider,jurisdiction,attributionLicence
census-01277-ibp04,Population aged 15 or over living 10km from Northern Ireland and across State,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02098-cpni18,Population aged 3 years and over usually resident by other main language - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02099-cpni19,Population aged 3 years and over usually resident by other main language - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02228-cpni05,Population Change - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02246-cpni06,Population Density - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02255-cpni02,Population Distribution (5-year age bands) - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02283-ibp03,Population living 10 km from Northern Ireland and across State,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02284-ibp01,Population living within 10 km of a border crossing into Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02285-ibp02,Population living within 10 Km of a border crossing into Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02309-cpni14,Population Usually Resident - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02310-cpni15,Population Usually Resident - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02311-cpni16,Population Usually Resident - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02636-cpni01,Population- Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-02790-census-2021-alternative-populations-data-specifications,census 2021 alternative populations data specifications,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-02791-census-2021-alternative-populations-for-northern-ireland-all-tables,census 2021 alternative populations for northern ireland all tables,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-02792-census-2021-population-and-household-estimates-for-northern-ireland-quality-assu,census 2021 population and household estimates for northern ireland quality assurance report 24 may 2022,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-02793-census-2021-population-and-household-estimates-for-northern-ireland-tables-24-ma,census 2021 population and household estimates for northern ireland tables 24 may 2022,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-02794-the-future-of-census-and-population-statistics-in-northern-ireland-nisra-recomme,the future of census and population statistics in northern ireland nisra recommendation,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-02795-the-future-provision-of-census-of-population-information-for-northern-ireland,the future provision of census of population information for northern ireland,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-02796-census-2021-addressing-information-paper,census 2021 addressing information paper,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-02949-census-area-explorer-health-and-care-data-2021,census area explorer health and care data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03048-2021-2011-census-questionnaire-comparability-report,2021 2011 census questionnaire comparability report,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03049-2021-census-communal-establishment-questionnaire,2021 census communal establishment questionnaire,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03050-2021-census-household-continuation-questionnaire,2021 census household continuation questionnaire,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03051-2021-census-household-questionnaire,2021 census household questionnaire,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03052-2021-census-individual-questionnaire,2021 census individual questionnaire,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03053-2021-census-outputs-geography-paper,2021 census outputs geography paper,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03054-2021-census-statistical-outputs-strategy,2021 census statistical outputs strategy,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03055-2021censusqualityassurancestrategy,2021CensusQualityAssuranceStrategy,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03056-census-2001-commissioned-table-ext20251212,census 2001 commissioned table ext20251212,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03057-census-2011-commissioned-table-ct0619ni,census 2011 commissioned table ct0619ni,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03058-census-2021-census-quality-survey-information-paper,census 2021 census quality survey information paper,NISRA,NISRA,Northern Ireland,OGL-v3.0
