class,keep,drop,name,keep_years,drop_years
LGR-2014,100596,102272,Oliver McMullan,1993-2011,2019-2023
LGR-2014,10176,104499,Brendan Curran,1985-2011,2014-2014
LGR-2014,69704,104912,John Carson,1973-2011,2014-2014
LGR-2014,69704,105206,John Carson,1973-2011,2019-2019
LGR-2014,10518,105335,James Brown,1977-2011,2014-2014
FORUM-DUPLICATE,100074,100808,Alliance list,1996-1996,1996-1996
FORUM-DUPLICATE,100074,101408,Alliance list,1996-1996,1996-1996
FORUM-DUPLICATE,100074,106319,Alliance list,1996-1996,1996-1996
FORUM-DUPLICATE,100074,106320,Alliance list,1996-1996,1996-1996
LGR-2014,80140,102173,Dermot Curran,1973-2011,2014-2019
FORUM-DUPLICATE,100084,101794,UUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100084,101795,UUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100084,103072,UUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100084,108578,UUP list,1996-1996,1996-1996
LGR-2014,101307,101418,Joe Boyle,2014-2023,2001-2011
FORUM-DUPLICATE,100108,100815,Green list,1996-1996,1996-1996
FORUM-DUPLICATE,100108,100816,Green list,1996-1996,1996-1996
FORUM-DUPLICATE,100108,106329,Green list,1996-1996,1996-1996
FORUM-DUPLICATE,100108,106330,Green list,1996-1996,1996-1996
FORUM-DUPLICATE,100109,102404,Independent (Alan Chambers) list,1996-1996,1996-1996
FORUM-DUPLICATE,100817,102404,Independent (Alan Chambers) list,1996-1996,1996-1996
FORUM-DUPLICATE,101413,102404,Independent (Alan Chambers) list,1996-1996,1996-1996
FORUM-DUPLICATE,102404,106331,Independent (Alan Chambers) list,1996-1996,1996-1996
LGR-2014,80795,102288,Jim Speers,1977-2011,2014-2019
LGR-2014,85957,102325,William King,1977-2011,2014-2019
LGR-2014,32086,102392,Robert Hill,1973-2011,2014-2019
FORUM-DUPLICATE,100130,101063,Ulster Democratic Party list,1996-1996,1996-1996
FORUM-DUPLICATE,101063,101796,Ulster Democratic Party list,1996-1996,1996-1996
FORUM-DUPLICATE,101063,108581,Ulster Democratic Party list,1996-1996,1996-1996
FORUM-DUPLICATE,101063,108582,Ulster Democratic Party list,1996-1996,1996-1996
FORUM-DUPLICATE,101063,108583,Ulster Democratic Party list,1996-1996,1996-1996
FORUM-DUPLICATE,100157,100527,NI Women's Coalition list,1996-1996,1996-1996
FORUM-DUPLICATE,100157,100798,NI Women's Coalition list,1996-1996,1996-1996
FORUM-DUPLICATE,100157,103793,NI Women's Coalition list,1996-1996,1996-1996
FORUM-DUPLICATE,100157,103794,NI Women's Coalition list,1996-1996,1996-1996
LGR-2014,101020,105492,Jayne Dunlop,1997-2011,2014-2014
LGR-2014,100612,101374,Yvonne Boyle,1989-2011,2014-2023
LGR-2014,100159,101312,Sean Clarke,1989-2011,2019-2023
LGR-2014,100159,102249,Sean Clarke,1989-2011,2014-2014
LGR-2014,94331,101363,Alan Graham,1977-2011,2014-2023
LGR-2014,44065,105472,Roy Thompson,1981-2011,2014-2014
FORUM-DUPLICATE,100187,101793,UKUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100187,103071,UKUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100187,108574,UKUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100187,108575,UKUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100187,108576,UKUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100187,108577,UKUP list,1996-1996,1996-1996
LGR-2014,104345,106607,Gary Middleton,2014-2014,2011-2011
LGR-2014,45065,101350,Tom Campbell,1985-2011,2014-2023
LGR-2014,42476,105413,Robert Stewart,1973-2005,2014-2014
LGR-2014,102243,107216,Pat Catney,2014-2023,2011-2011
LGR-2014,105042,107493,Kellie Armstrong,2014-2014,2011-2011
LGR-2014,100415,105970,Declan O'Loan,1989-2011,2014-2014
LGR-2014,101671,105238,Mervyn Storey,2001-2011,2023-2023
LGR-2014,101372,101687,Paul Berry,2014-2023,2001-2011
FORUM-DUPLICATE,100344,100533,DUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100532,100533,DUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100533,101410,DUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100345,100812,Democratic Left list,1996-1996,1996-1996
FORUM-DUPLICATE,100345,101411,Democratic Left list,1996-1996,1996-1996
FORUM-DUPLICATE,100345,101412,Democratic Left list,1996-1996,1996-1996
FORUM-DUPLICATE,100345,102403,Democratic Left list,1996-1996,1996-1996
FORUM-DUPLICATE,100345,106326,Democratic Left list,1996-1996,1996-1996
FORUM-DUPLICATE,100346,100534,Natural Law list,1996-1996,1996-1996
FORUM-DUPLICATE,100347,100534,Natural Law list,1996-1996,1996-1996
FORUM-DUPLICATE,100534,106339,Natural Law list,1996-1996,1996-1996
FORUM-DUPLICATE,100534,106340,Natural Law list,1996-1996,1996-1996
LGR-2014,40279,103910,John Anderson,1977-2005,2014-2014
LGR-2014,65726,102183,Fraser Agnew,1981-2011,2014-2019
LGR-2014,59496,101317,Paul McLean,1989-2011,2014-2023
LGR-2014,57287,101327,John Smyth,1997-2011,2014-2023
LGR-2014,43122,102278,Henry Cushinan,1985-2011,2019-2023
LGR-2014,42382,101373,Bill Kennedy,1989-2011,2014-2023
LGR-2014,50739,101380,Trevor Wilson,1989-2011,2014-2023
FORUM-DUPLICATE,100421,103074,Ulster Independence Movement list,1996-1996,1996-1996
FORUM-DUPLICATE,100422,103074,Ulster Independence Movement list,1996-1996,1996-1996
FORUM-DUPLICATE,103073,103074,Ulster Independence Movement list,1996-1996,1996-1996
FORUM-DUPLICATE,103074,103075,Ulster Independence Movement list,1996-1996,1996-1996
FORUM-DUPLICATE,103074,108584,Ulster Independence Movement list,1996-1996,1996-1996
LGR-2014,101720,105449,Philip McGuigan,2001-2011,2014-2014
LGR-2014,100579,101336,Michael Henderson,1993-2011,2014-2023
LGR-2014,101476,104476,Ian McCrea,2001-2011,2019-2019
LGR-2014,105076,107531,Danny Kinahan,2019-2019,2005-2005
LGR-2014,102195,106642,Dermot Kennedy,2014-2023,2005-2005
LGR-2014,102313,102860,Trevor Clarke,2014-2019,2005-2011
LGR-2014,101023,105538,Eugene McMenamin,1997-2011,2014-2014
LGR-2014,101666,105223,John Stewart,1973-2011,2014-2014
LGR-2014,101033,102354,Chris McGimpsey,1993-2005,2014-2019
LGR-2014,102470,104133,Mel Lucas,2005-2011,2023-2023
LGR-2014,105166,107667,Niall Ó Donnghaile,2014-2014,2011-2011
FORUM-DUPLICATE,100535,100536,PUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100536,101414,PUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100536,102409,PUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100536,102410,PUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100536,106341,PUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100536,106342,PUP list,1996-1996,1996-1996
FORUM-DUPLICATE,100537,100538,SDLP list,1996-1996,1996-1996
FORUM-DUPLICATE,100537,100821,SDLP list,1996-1996,1996-1996
FORUM-DUPLICATE,100537,101415,SDLP list,1996-1996,1996-1996
FORUM-DUPLICATE,100537,106343,SDLP list,1996-1996,1996-1996
FORUM-DUPLICATE,100537,106344,SDLP list,1996-1996,1996-1996
FORUM-DUPLICATE,100539,100822,Sinn Féin list,1996-1996,1996-1996
FORUM-DUPLICATE,100822,101416,Sinn Féin list,1996-1996,1996-1996
FORUM-DUPLICATE,100822,102411,Sinn Féin list,1996-1996,1996-1996
FORUM-DUPLICATE,100822,102412,Sinn Féin list,1996-1996,1996-1996
FORUM-DUPLICATE,100822,106345,Sinn Féin list,1996-1996,1996-1996
FORUM-DUPLICATE,100822,106346,Sinn Féin list,1996-1996,1996-1996
FORUM-DUPLICATE,100822,106347,Sinn Féin list,1996-1996,1996-1996
LGR-2014,26884,102168,Michael Coyle,1993-2011,2014-2023
LGR-2014,100545,101311,James Baird,1973-2011,2014-2023
LGR-2014,78627,102184,Arnold Hatch,1981-2011,2014-2019
LGR-2014,58986,102189,Norman Hillis,1993-2011,2014-2019
LGR-2014,24515,104763,Pat Cox,1985-2011,2014-2014
LGR-2014,2672,102262,David Browne,1993-2011,2014-2019
LGR-2014,78740,101354,Allan Bresland,1993-2011,2014-2023
LGR-2014,49548,100802,John Boyle,1981-2011,2014-2023
LGR-2014,93135,102284,Robert Mulligan,1993-2011,2014-2019
LGR-2014,57583,102359,Jonathan Craig,1993-2011,2019-2023
FORUM-DUPLICATE,100799,100800,Workers' Party list,1996-1996,1996-1996
FORUM-DUPLICATE,100800,101304,Workers' Party list,1996-1996,1996-1996
FORUM-DUPLICATE,100800,101305,Workers' Party list,1996-1996,1996-1996
FORUM-DUPLICATE,100800,101306,Workers' Party list,1996-1996,1996-1996
FORUM-DUPLICATE,100800,103796,Workers' Party list,1996-1996,1996-1996
FORUM-DUPLICATE,100800,103797,Workers' Party list,1996-1996,1996-1996
LGR-2014,101335,101542,Philip Smith,2014-2023,2001-2011
LGR-2014,101695,105217,Mairtin O'Muilleoir,1985-1993,2014-2014
