code,label,pop,C,P,O,UI_v2,prov
N00000001,,1113,14.5,46.4,39.1,36.1,modelled
N00000002,,351,67.0,29.1,3.9,64.1,modelled
N00000003,,237,47.3,50.2,2.5,48.7,modelled
N00000004,,616,51.9,43.3,4.8,53.0,modelled
N00000005,,374,49.5,43.0,7.5,52.1,modelled
N00000006,,251,60.2,34.7,5.1,59.4,modelled
N00000007,,245,25.3,67.8,6.9,33.5,modelled
N00000008,,288,30.6,56.2,13.2,39.7,modelled
N00000009,,727,19.4,70.6,10.0,30.1,modelled
N00000010,,242,12.4,78.9,8.7,24.4,modelled
N00000011,,293,31.4,63.1,5.5,37.7,modelled
N00000012,,264,31.8,62.1,6.1,38.2,modelled
N00000013,,268,33.2,61.6,5.2,39.0,modelled
N00000014,,460,39.1,52.2,8.7,44.6,modelled
N00000015,,226,32.7,63.3,4.0,38.2,modelled
N00000016,,223,22.9,67.7,9.4,32.6,modelled
N00000017,,340,12.6,74.7,12.7,25.9,modelled
N00000018,,229,11.8,77.7,10.5,24.5,modelled
N00000019,,261,5.0,83.1,11.9,19.8,modelled
N00000020,,236,9.7,80.9,9.4,22.6,modelled
N00000021,,269,15.6,72.1,12.3,28.0,modelled
N00000022,,269,13.4,77.0,9.6,25.4,modelled
N00000023,,218,5.0,83.0,12.0,19.9,modelled
N00000024,,533,12.0,80.7,7.3,23.6,modelled
N00000025,,460,15.0,78.3,6.7,25.7,modelled
N00000026,,466,21.9,72.3,5.8,30.6,modelled
N00000027,,540,57.2,37.2,5.6,57.3,modelled
N00000028,,236,72.5,22.0,5.5,68.8,modelled
N00000029,,403,10.2,78.9,10.9,23.4,modelled
N00000030,,375,20.3,74.9,4.8,29.1,modelled
N00000031,,707,88.8,10.2,1.0,79.7,modelled
N00000032,,386,58.5,36.3,5.2,58.1,modelled
N00000033,,498,57.6,38.6,3.8,57.0,modelled
N00000034,,474,39.2,54.0,6.8,44.0,modelled
N00000035,,291,52.2,43.0,4.8,53.2,modelled
N00000036,,345,59.1,33.3,7.6,59.4,modelled
N00000037,,285,80.4,17.2,2.4,73.8,modelled
N00000038,,406,76.8,20.0,3.2,71.3,modelled
N00000039,,1262,82.7,15.0,2.3,75.5,modelled
N00000040,,265,75.1,20.8,4.1,70.3,modelled
N00000041,,462,92.6,6.5,0.9,82.5,modelled
N00000042,,410,78.3,19.3,2.4,72.2,modelled
N00000043,,1245,80.3,17.7,2.0,73.6,modelled
N00000044,,312,71.2,22.8,6.0,68.0,modelled
N00000045,,515,11.5,83.9,4.6,22.3,modelled
N00000046,,394,7.9,85.3,6.8,20.3,modelled
N00000047,,374,17.1,77.0,5.9,27.0,modelled
N00000048,,304,17.4,75.3,7.3,27.7,modelled
N00000049,,254,26.8,66.5,6.7,34.6,modelled
N00000050,,299,20.4,75.6,4.0,28.9,modelled
N00000051,,313,78.0,14.1,7.9,73.8,modelled
N00000052,,309,61.8,31.4,6.8,61.2,modelled
N00000053,,261,57.5,28.4,14.1,60.3,modelled
N00000054,,266,18.8,61.3,19.9,33.0,modelled
N00000055,,266,20.3,74.4,5.3,29.2,modelled
N00000056,,283,24.0,65.4,10.6,33.8,modelled
N00000057,,279,21.5,63.4,15.1,33.4,modelled
N00000058,,266,19.9,70.3,9.8,30.4,modelled
N00000059,,226,20.4,60.6,19.0,33.9,modelled
N00000060,,394,26.9,65.0,8.1,35.2,modelled
N00000061,,273,23.8,67.4,8.8,33.0,modelled
N00000062,,351,23.6,67.2,9.2,33.0,modelled
N00000063,,431,18.1,67.1,14.8,30.7,modelled
N00000064,,279,57.3,30.5,12.2,59.6,modelled
N00000065,,389,32.4,60.2,7.4,39.1,modelled
N00000066,,264,43.2,48.9,7.9,47.4,modelled
N00000067,,316,46.8,39.2,14.0,52.2,modelled
N00000068,,371,24.5,63.3,12.2,34.7,modelled
N00000069,,334,50.0,39.5,10.5,53.5,modelled
N00000070,,243,42.4,54.7,2.9,45.2,modelled
N00000071,,283,44.5,47.0,8.5,48.6,modelled
N00000072,,1753,31.8,56.6,11.6,40.0,modelled
N00000073,,521,32.2,55.5,12.3,40.6,modelled
N00000074,,1047,42.2,48.5,9.3,47.2,modelled
N00000075,,410,40.0,47.3,12.7,46.6,modelled
N00000076,,344,43.6,48.3,8.1,47.8,modelled
N00000077,,275,54.9,41.8,3.3,54.8,modelled
N00000078,,488,45.7,42.4,11.9,50.7,modelled
N00000079,,564,9.6,85.3,5.1,21.1,modelled
N00000080,,424,6.6,84.4,9.0,20.1,modelled
N00000081,,339,5.3,88.5,6.2,18.2,modelled
N00000082,,342,9.1,88.3,2.6,19.8,modelled
N00000083,,650,7.5,84.5,8.0,20.4,modelled
N00000084,,456,3.7,88.8,7.5,17.4,modelled
N00000085,,437,57.7,34.6,7.7,58.4,modelled
N00000086,,395,82.0,13.7,4.3,75.6,modelled
N00000087,,913,68.5,27.5,4.0,65.3,modelled
N00000088,,216,17.1,79.6,3.3,26.1,modelled
N00000089,,478,81.8,14.0,4.2,75.4,modelled
N00000090,,392,82.1,13.5,4.4,75.7,modelled
N00000091,,476,69.5,25.2,5.3,66.5,modelled
N00000092,,504,12.1,81.5,6.4,23.4,modelled
N00000093,,421,50.4,46.8,2.8,51.2,modelled
N00000094,,492,41.9,53.9,4.2,45.2,modelled
N00000095,,468,68.2,29.3,2.5,64.6,modelled
N00000096,,464,15.9,78.2,5.9,26.1,modelled
N00000097,,850,37.1,51.3,11.6,44.1,modelled
N00000098,,1192,36.8,49.9,13.3,44.4,modelled
N00000099,,258,50.4,40.3,9.3,53.4,modelled
N00000100,,341,60.7,26.7,12.6,62.3,modelled
N00000101,,282,47.9,33.7,18.4,54.5,modelled
N00000102,,318,38.1,47.8,14.1,45.6,modelled
N00000103,,623,37.4,48.0,14.6,45.3,modelled
N00000104,,322,54.7,32.9,12.4,57.7,modelled
N00000105,,327,19.9,70.9,9.2,30.2,modelled
N00000106,,198,10.6,77.8,11.6,24.0,modelled
N00000107,,269,16.0,71.4,12.6,28.4,modelled
N00000108,,243,19.3,78.6,2.1,27.4,modelled
N00000109,,512,23.6,65.6,10.8,33.6,modelled
N00000110,,258,18.2,66.3,15.5,31.0,modelled
N00000111,,356,38.5,48.3,13.2,45.6,modelled
N00000112,,402,33.1,54.7,12.2,41.2,modelled
N00000113,,309,38.8,49.2,12.0,45.5,modelled
N00000114,,318,45.3,46.2,8.5,49.2,modelled
N00000115,,302,46.4,40.1,13.5,51.7,modelled
N00000116,,287,32.4,52.6,15.0,41.6,modelled
N00000117,,168,27.4,61.9,10.7,36.4,modelled
N00000118,,333,12.9,74.2,12.9,26.2,modelled
N00000119,,289,5.9,85.1,9.0,19.6,modelled
N00000120,,323,17.0,78.3,4.7,26.5,modelled
N00000121,,293,9.9,79.9,10.2,23.0,modelled
N00000122,,481,18.5,70.3,11.2,29.8,modelled
N00000123,,351,14.2,81.8,4.0,24.2,modelled
N00000124,,369,15.7,77.5,6.8,26.2,modelled
N00000125,,464,80.8,16.4,2.8,74.2,modelled
N00000126,,481,96.3,3.3,0.4,85.2,modelled
N00000127,,405,82.7,14.6,2.7,75.6,modelled
N00000128,,991,91.9,6.6,1.5,82.2,modelled
N00000129,,346,94.2,4.3,1.5,83.9,modelled
