code,label,pop,C,P,O,UI_v2,prov
N00000130,,498,4.8,83.3,11.9,20.2,modelled
N00000131,,388,3.6,89.4,7.0,17.7,modelled
N00000132,,366,33.1,60.4,6.5,39.9,modelled
N00000133,,322,29.8,66.5,3.7,36.4,modelled
N00000134,,437,8.2,81.2,10.6,22.4,modelled
N00000135,,312,15.4,74.7,9.9,27.6,modelled
N00000136,,507,6.5,85.6,7.9,20.2,modelled
N00000137,,315,6.3,82.9,10.8,21.0,modelled
N00000138,,464,2.8,89.2,8.0,17.4,modelled
N00000139,,301,9.6,80.7,9.7,23.1,modelled
N00000140,,333,12.6,78.4,9.0,25.2,modelled
N00000141,,443,7.9,83.5,8.6,21.5,modelled
N00000142,,205,10.7,76.6,12.7,25.0,modelled
N00000143,,215,9.3,79.5,11.2,23.4,modelled
N00000144,,228,6.1,79.4,14.5,22.1,modelled
N00000145,,124,8.1,82.3,9.6,22.0,modelled
N00000146,,271,11.4,82.3,6.3,23.4,modelled
N00000147,,227,9.3,76.2,14.5,24.5,modelled
N00000148,,676,3.3,86.2,10.5,18.6,modelled
N00000149,,432,2.3,89.6,8.1,17.1,modelled
N00000150,,365,1.6,90.1,8.3,16.6,modelled
N00000151,,283,5.3,83.7,11.0,20.3,modelled
N00000152,,270,2.2,90.7,7.1,16.7,modelled
N00000153,,250,5.2,85.2,9.6,19.8,modelled
N00000154,,259,5.8,88.8,5.4,18.8,modelled
N00000155,,337,10.1,78.9,11.0,24.0,modelled
N00000156,,301,6.0,86.0,8.0,19.9,modelled
N00000157,,368,14.4,72.6,13.0,27.9,modelled
N00000158,,678,6.0,80.7,13.3,21.6,modelled
N00000159,,221,8.6,77.8,13.6,23.7,modelled
N00000160,,322,9.9,82.0,8.1,22.8,modelled
N00000161,,342,5.3,85.4,9.3,19.8,modelled
N00000162,,242,9.9,80.2,9.9,23.4,modelled
N00000163,,311,10.9,73.3,15.8,26.2,modelled
N00000164,,288,2.8,90.3,6.9,17.1,modelled
N00000165,,325,9.5,85.2,5.3,21.6,modelled
N00000166,,273,7.0,83.5,9.5,21.1,modelled
N00000167,,379,5.0,87.9,7.1,18.8,modelled
N00000168,,345,6.7,84.1,9.2,20.8,modelled
N00000169,,704,4.1,87.4,8.5,18.6,modelled
N00000170,,370,1.4,85.1,13.5,18.2,modelled
N00000171,,416,4.8,86.3,8.9,19.2,modelled
N00000172,,772,4.0,83.4,12.6,19.9,modelled
N00000173,,373,0.8,92.8,6.4,15.4,modelled
N00000174,,393,3.1,84.5,12.4,19.1,modelled
N00000175,,373,2.9,90.1,7.0,17.2,modelled
N00000176,,474,10.3,79.1,10.6,24.0,modelled
N00000177,,323,14.9,73.1,12.0,27.9,modelled
N00000178,,667,14.8,72.9,12.3,28.0,modelled
N00000179,,852,10.8,74.2,15.0,25.8,modelled
N00000180,,280,5.7,84.3,10.0,20.3,modelled
N00000181,,274,11.3,75.9,12.8,25.5,modelled
N00000182,,228,3.5,89.0,7.5,17.8,modelled
N00000183,,293,6.5,75.1,18.4,23.7,modelled
N00000184,,372,7.8,78.8,13.4,23.0,modelled
N00000185,,211,1.9,92.9,5.2,15.8,modelled
N00000186,,299,4.0,83.9,12.1,19.7,modelled
N00000187,,255,7.1,80.0,12.9,22.3,modelled
N00000188,,347,3.2,83.9,12.9,19.4,modelled
N00000189,,341,1.2,89.4,9.4,16.7,modelled
N00000190,,304,0.0,93.1,6.9,14.9,modelled
N00000191,,303,4.3,90.8,4.9,17.5,modelled
N00000192,,302,9.3,79.1,11.6,23.6,modelled
N00000193,,291,6.9,75.6,17.5,23.7,modelled
N00000194,,255,6.3,83.9,9.8,20.7,modelled
N00000195,,246,3.7,88.2,8.1,18.1,modelled
N00000196,,237,7.2,83.1,9.7,21.3,modelled
N00000197,,326,6.7,85.3,8.0,20.4,modelled
N00000198,,287,5.9,84.0,10.1,20.5,modelled
N00000199,,350,5.7,84.9,9.4,20.1,modelled
N00000200,,331,3.0,90.6,6.4,17.0,modelled
N00000201,,294,0.0,92.2,7.8,15.2,modelled
N00000202,,304,4.3,89.1,6.6,18.1,modelled
N00000203,,334,8.7,80.2,11.1,22.9,modelled
N00000204,,393,3.6,83.5,12.9,19.7,modelled
N00000205,,303,8.6,79.9,11.5,23.0,modelled
N00000206,,390,5.4,83.1,11.5,20.6,modelled
N00000207,,253,5.5,84.2,10.3,20.2,modelled
N00000208,,316,1.3,93.0,5.7,15.5,modelled
N00000209,,356,2.5,84.8,12.7,18.8,modelled
N00000210,,383,9.4,78.3,12.3,28.8,modelled
N00000211,,528,8.7,81.1,10.2,27.5,modelled
N00000212,,175,7.4,76.6,16.0,28.5,modelled
N00000213,,281,8.2,79.0,12.8,28.0,modelled
N00000214,,323,7.7,81.4,10.9,27.0,modelled
N00000215,,400,6.8,82.5,10.7,26.3,modelled
N00000216,,397,5.0,82.1,12.9,25.6,modelled
N00000217,,479,9.0,86.4,4.6,25.9,modelled
N00000218,,361,4.7,85.6,9.7,24.3,modelled
N00000219,,245,5.3,82.0,12.7,25.8,modelled
N00000220,,284,1.8,83.5,14.7,23.8,modelled
N00000221,,262,2.7,88.9,8.4,22.4,modelled
N00000222,,298,3.0,88.9,8.1,22.5,modelled
N00000223,,319,5.6,87.1,7.3,24.2,modelled
N00000224,,243,7.4,79.0,13.6,27.7,modelled
N00000225,,147,6.1,87.8,6.1,24.2,modelled
N00000226,,261,8.4,81.6,10.0,27.2,modelled
N00000227,,195,6.2,82.6,11.2,26.0,modelled
N00000228,,306,2.9,93.5,3.6,20.9,modelled
N00000229,,395,4.6,85.6,9.8,24.3,modelled
N00000230,,293,7.5,78.2,14.3,23.1,modelled
N00000231,,324,5.9,67.9,26.2,25.8,modelled
N00000232,,309,12.6,72.5,14.9,27.2,modelled
N00000233,,258,6.6,76.0,17.4,23.4,modelled
N00000234,,256,17.6,66.4,16.0,31.3,modelled
N00000235,,323,10.2,79.6,10.2,23.8,modelled
N00000236,,291,7.2,80.1,12.7,22.3,modelled
N00000237,,416,5.8,81.7,12.5,21.2,modelled
N00000238,,306,4.2,90.5,5.3,17.6,modelled
N00000239,,254,2.8,78.7,18.5,20.9,modelled
N00000240,,354,4.8,78.8,16.4,21.7,modelled
N00000241,,424,9.2,80.2,10.6,23.1,modelled
N00000242,,360,5.3,86.4,8.3,19.4,modelled
N00000243,,265,10.2,76.6,13.2,24.8,modelled
N00000244,,275,8.0,82.5,9.5,21.9,modelled
N00000245,,314,9.2,79.0,11.8,23.5,modelled
N00000246,,309,9.1,82.2,8.7,22.4,modelled
N00000247,,309,7.1,83.5,9.4,21.2,modelled
N00000248,,337,6.8,84.6,8.6,20.7,modelled
N00000249,,386,8.3,76.7,15.0,23.9,modelled
N00000250,,401,5.0,81.8,13.2,20.8,modelled
N00000251,,456,5.7,81.6,12.7,21.2,modelled
N00000252,,345,4.1,82.6,13.3,20.2,modelled
N00000253,,499,4.0,90.6,5.4,17.5,modelled
N00000254,,315,2.9,90.2,6.9,17.1,modelled
N00000255,,351,10.8,79.8,9.4,24.0,modelled
N00000256,,780,9.4,77.7,12.9,24.1,modelled
N00000257,,447,4.3,85.9,9.8,19.2,modelled
N00000258,,379,9.2,83.4,7.4,22.1,modelled
N00000259,,465,59.8,34.0,6.2,60.0,modelled
N00000260,,560,36.2,55.9,7.9,42.7,modelled
N00000261,,561,59.0,34.9,6.1,59.4,modelled
N00000262,,419,58.9,34.1,7.0,59.6,modelled
N00000263,,239,63.2,31.8,5.0,62.2,modelled
N00000264,,566,63.3,29.7,7.0,62.9,modelled
N00000265,,351,70.1,25.4,4.5,67.2,modelled
N00000266,,328,61.9,33.2,4.9,61.2,modelled
N00000267,,431,3.2,87.2,9.6,18.3,modelled
N00000268,,384,5.2,85.9,8.9,19.5,modelled
N00000269,,347,4.6,89.9,5.5,18.0,modelled
N00000270,,371,4.6,83.6,11.8,20.1,modelled
N00000271,,380,6.3,85.5,8.2,20.1,modelled
N00000272,,295,7.1,83.1,9.8,21.3,modelled
N00000273,,460,6.1,81.1,12.8,21.5,modelled
N00000274,,468,7.5,84.4,8.1,21.0,modelled
N00000275,,291,10.0,80.1,9.9,23.5,modelled
N00000276,,315,6.3,80.0,13.7,22.0,modelled
N00000277,,310,4.8,81.6,13.6,20.8,modelled
N00000278,,304,7.2,84.5,8.3,20.9,modelled
N00000279,,181,7.7,76.2,16.1,23.8,modelled
N00000280,,392,5.6,73.5,20.9,23.8,modelled
N00000281,,349,5.2,88.0,6.8,18.8,modelled
N00000282,,364,8.5,76.9,14.6,23.9,modelled
N00000283,,346,7.8,77.5,14.7,23.4,modelled
N00000284,,382,5.0,77.5,17.5,22.3,modelled
N00000285,,322,4.7,75.5,19.8,22.8,modelled
N00000286,,271,1.5,91.5,7.0,21.0,modelled
N00000287,,297,4.4,78.8,16.8,26.5,modelled
N00000288,,353,2.3,78.2,19.5,25.8,modelled
N00000289,,496,2.8,85.5,11.7,23.6,modelled
N00000290,,271,2.2,91.9,5.9,21.2,modelled
N00000291,,512,3.9,84.0,12.1,24.5,modelled
N00000292,,731,5.9,82.4,11.7,25.9,modelled
N00000293,,522,6.7,80.7,12.6,26.8,modelled
N00000294,,405,4.0,87.4,8.6,23.4,modelled
N00000295,,421,9.3,74.1,16.6,30.1,modelled
N00000296,,287,10.1,81.5,8.4,23.1,modelled
N00000297,,371,10.5,83.3,6.2,22.7,modelled
N00000298,,335,6.9,77.6,15.5,23.0,modelled
N00000299,,324,11.4,78.4,10.2,24.7,modelled
N00000300,,296,12.8,82.1,5.1,24.0,modelled
N00000301,,366,11.2,76.8,12.0,25.1,modelled
N00000302,,363,6.9,79.1,14.0,22.5,modelled
N00000303,,318,5.7,83.6,10.7,20.5,modelled
N00000304,,342,10.8,74.6,14.6,25.7,modelled
N00000305,,395,3.5,87.8,8.7,18.2,modelled
N00000306,,381,7.1,78.5,14.4,22.8,modelled
N00000307,,355,7.3,81.1,11.6,22.0,modelled
N00000308,,277,9.7,76.2,14.1,24.7,modelled
N00000309,,378,7.7,77.2,15.1,23.5,modelled
N00000310,,408,66.4,30.4,3.2,64.0,modelled
N00000311,,333,80.2,14.4,5.4,75.2,modelled
N00000312,,512,68.4,26.0,5.6,66.3,modelled
N00000313,,636,84.3,12.6,3.1,77.5,modelled
N00000314,,358,86.6,9.8,3.6,79.4,modelled
N00000315,,345,81.2,14.8,4.0,75.5,modelled
N00000316,,374,89.3,7.2,3.5,81.4,modelled
N00000317,,447,79.0,16.1,4.9,74.1,modelled
N00000318,,344,4.1,87.8,8.1,18.4,modelled
N00000319,,819,2.3,86.8,10.9,18.0,modelled
N00000320,,318,5.3,88.4,6.3,18.8,modelled
N00000321,,517,4.6,89.2,6.2,18.2,modelled
N00000322,,389,4.1,86.4,9.5,18.9,modelled
N00000323,,472,35.8,55.9,8.3,42.5,modelled
N00000324,,376,36.7,56.1,7.2,42.8,modelled
N00000325,,538,24.3,66.9,8.8,34.0,modelled
N00000326,,946,6.3,79.6,14.1,22.1,modelled
N00000327,,325,5.8,75.4,18.8,23.3,modelled
N00000328,,291,4.8,81.8,13.4,20.7,modelled
N00000329,,402,6.2,82.8,11.0,21.0,modelled
N00000330,,539,5.4,81.1,13.5,21.2,modelled
N00000331,,612,5.4,83.7,10.9,20.4,modelled
N00000332,,284,7.0,75.4,17.6,23.8,modelled
N00000333,,293,3.4,85.0,11.6,19.1,modelled
N00000334,,294,5.8,75.2,19.0,23.4,modelled
N00000335,,326,13.2,72.7,14.1,27.3,modelled
N00000336,,330,10.9,80.3,8.8,23.8,modelled
N00000337,,282,8.9,79.4,11.7,23.3,modelled
N00000338,,308,18.2,74.0,7.8,29.0,modelled
N00000339,,294,15.0,77.2,7.8,26.6,modelled
N00000340,,427,10.5,83.4,6.1,22.6,modelled
N00000341,,348,10.1,79.9,10.0,23.6,modelled
N00000342,,359,7.2,83.3,9.5,21.3,modelled
N00000343,,351,6.3,81.8,11.9,21.4,modelled
N00000344,,406,78.6,19.2,2.2,72.1,modelled
N00000345,,416,93.0,6.2,0.8,82.6,modelled
N00000346,,685,91.7,6.3,2.0,82.0,modelled
N00000347,,257,88.7,6.2,5.1,80.8,modelled
N00000348,,426,84.0,14.3,1.7,76.1,modelled
N00000349,,368,88.0,7.1,4.9,80.2,modelled
N00000350,,577,82.7,15.3,2.0,75.2,modelled
N00000351,,414,64.5,31.9,3.6,61.9,modelled
N00000352,,466,90.8,8.2,1.0,81.0,modelled
N00000353,,422,63.3,35.1,1.6,60.4,modelled
N00000354,,405,42.2,57.3,0.5,44.0,modelled
N00000355,,441,68.7,30.6,0.7,64.1,modelled
N00000356,,414,94.2,2.2,3.6,84.4,modelled
N00000357,,1212,90.5,4.3,5.2,82.2,modelled
N00000358,,371,93.5,3.0,3.5,83.9,modelled
N00000359,,820,71.1,19.6,9.3,68.8,modelled
N00000360,,423,85.8,12.8,1.4,77.3,modelled
N00000361,,413,58.4,37.0,4.6,57.6,modelled
N00000362,,390,68.7,30.5,0.8,64.2,modelled
N00000363,,484,88.8,10.7,0.5,79.3,modelled
N00000364,,475,45.5,53.9,0.6,46.5,modelled
N00000365,,255,77.3,21.6,1.1,70.8,modelled
N00000366,,536,78.5,17.5,4.0,72.7,modelled
N00000367,,351,91.2,8.0,0.8,81.2,modelled
N00000368,,544,77.8,19.7,2.5,71.6,modelled
N00000369,,411,44.8,50.1,5.1,47.5,modelled
N00000370,,485,46.2,51.3,2.5,47.7,modelled
N00000371,,447,54.1,43.4,2.5,53.7,modelled
N00000372,,380,65.5,28.9,5.6,63.4,modelled
N00000373,,437,56.5,35.9,7.6,57.2,modelled
N00000374,,348,60.3,35.9,3.8,58.8,modelled
N00000375,,303,56.8,39.3,3.9,56.2,modelled
N00000376,,261,50.2,47.5,2.3,50.7,modelled
N00000377,,268,44.8,52.6,2.6,46.7,modelled
N00000378,,289,57.4,40.1,2.5,56.2,modelled
N00000379,,490,50.4,46.5,3.1,51.1,modelled
N00000380,,532,92.5,7.3,0.2,82.0,modelled
N00000381,,979,88.5,9.8,1.7,79.5,modelled
N00000382,,557,89.6,9.7,0.7,80.0,modelled
N00000383,,472,53.4,45.1,1.5,52.8,modelled
N00000384,,490,89.0,10.0,1.0,79.6,modelled
N00000385,,445,61.6,36.0,2.4,59.3,modelled
N00000386,,291,87.6,7.9,4.5,79.7,modelled
N00000387,,227,90.3,7.5,2.2,81.0,modelled
N00000388,,1602,90.8,7.4,1.8,81.3,modelled
N00000389,,445,93.5,5.4,1.1,83.1,modelled
N00000390,,972,14.7,83.1,2.2,23.7,modelled
N00000391,,524,8.2,84.5,7.3,20.5,modelled
N00000392,,1399,6.3,87.8,5.9,18.6,modelled
N00000393,,459,5.0,91.9,3.1,16.7,modelled
N00000394,,406,10.3,83.0,6.7,21.9,modelled
N00000395,,508,27.2,69.3,3.5,33.6,modelled
N00000396,,376,25.3,71.3,3.4,32.2,modelled
N00000397,,520,36.2,58.7,5.1,41.0,modelled
N00000398,,463,5.2,93.1,1.7,16.4,modelled
N00000399,,304,3.6,93.1,3.3,15.7,modelled
N00000400,,240,93.8,5.0,1.2,83.3,modelled
N00000401,,286,94.1,3.5,2.4,84.0,modelled
N00000402,,248,87.9,9.7,2.4,79.3,modelled
N00000403,,522,89.1,9.4,1.5,79.9,modelled
N00000404,,276,94.6,5.4,0.0,83.5,modelled
N00000405,,223,86.5,10.8,2.7,78.3,modelled
N00000406,,397,19.4,78.8,1.8,27.2,modelled
N00000407,,1125,71.7,26.0,2.3,67.0,modelled
N00000408,,468,66.9,30.3,2.8,63.5,modelled
N00000409,,403,11.9,84.9,3.2,22.0,modelled
N00000410,,392,20.4,77.8,1.8,27.9,modelled
N00000411,,355,93.0,6.8,0.2,82.4,modelled
N00000412,,438,55.0,43.6,1.4,54.0,modelled
N00000413,,442,83.0,16.5,0.5,74.9,modelled
N00000414,,380,38.2,59.2,2.6,41.7,modelled
N00000415,,439,13.2,82.9,3.9,23.2,modelled
N00000416,,420,35.0,60.2,4.8,40.0,modelled
N00000417,,533,7.3,85.2,7.5,19.9,modelled
N00000418,,857,9.3,85.9,4.8,20.5,modelled
N00000419,,354,27.1,67.5,5.4,34.2,modelled
N00000420,,339,13.6,80.8,5.6,24.0,modelled
N00000421,,530,3.8,89.2,7.0,17.1,modelled
N00000422,,422,7.6,85.8,6.6,19.8,modelled
N00000423,,461,23.9,71.1,5.0,31.6,modelled
N00000424,,561,80.0,17.8,2.2,73.2,modelled
N00000425,,363,39.7,57.3,3.0,42.9,modelled
N00000426,,307,13.7,83.7,2.6,23.1,modelled
N00000427,,339,55.5,36.9,7.6,56.4,modelled
N00000428,,398,23.6,73.9,2.5,30.6,modelled
N00000429,,474,22.8,74.9,2.3,29.9,modelled
N00000430,,497,5.2,91.5,3.3,16.9,modelled
N00000431,,361,23.5,73.4,3.1,30.7,modelled
N00000432,,285,5.3,91.2,3.5,17.1,modelled
N00000433,,280,28.9,68.9,2.2,34.5,modelled
N00000434,,445,10.1,83.6,6.3,21.6,modelled
N00000435,,430,28.6,65.3,6.1,35.6,modelled
N00000436,,522,9.6,83.1,7.3,21.6,modelled
N00000437,,664,75.5,22.6,1.9,69.7,modelled
N00000438,,475,61.3,36.8,1.9,58.9,modelled
N00000439,,419,44.4,53.9,1.7,46.1,modelled
N00000440,,417,78.2,21.3,0.5,71.3,modelled
N00000441,,311,78.5,16.4,5.1,73.0,modelled
N00000442,,444,70.3,26.4,3.3,66.2,modelled
N00000443,,488,44.1,50.4,5.5,47.1,modelled
N00000444,,566,45.8,46.6,7.6,49.1,modelled
N00000445,,397,55.4,41.8,2.8,54.8,modelled
N00000446,,336,59.8,38.1,2.1,57.9,modelled
N00000447,,309,40.8,57.0,2.2,43.5,modelled
N00000448,,246,75.2,17.9,6.9,71.1,modelled
N00000449,,435,14.3,82.3,3.4,23.8,modelled
N00000450,,491,56.2,39.5,4.3,55.9,modelled
N00000451,,493,67.7,30.6,1.7,63.7,modelled
N00000452,,452,27.4,69.5,3.1,33.7,modelled
N00000453,,335,22.1,72.5,5.4,30.4,modelled
N00000454,,514,15.6,79.6,4.8,25.3,modelled
N00000455,,273,6.2,89.7,4.1,17.9,modelled
N00000456,,322,5.0,90.1,4.9,17.3,modelled
N00000457,,347,4.6,91.6,3.8,16.6,modelled
N00000458,,366,5.7,91.3,3.0,17.2,modelled
N00000459,,690,8.7,87.4,3.9,19.8,modelled
N00000460,,359,13.4,79.1,7.5,24.5,modelled
N00000461,,421,2.4,92.6,5.0,15.4,modelled
N00000462,,232,6.0,79.7,14.3,21.2,modelled
N00000463,,777,22.7,70.0,7.3,31.5,modelled
N00000464,,436,7.3,86.9,5.8,19.3,modelled
N00000465,,305,13.8,79.7,6.5,24.5,modelled
N00000466,,375,7.7,86.4,5.9,19.7,modelled
N00000467,,290,10.0,86.2,3.8,20.7,modelled
N00000468,,302,10.6,82.5,6.9,22.2,modelled
N00000469,,440,9.1,86.1,4.8,20.4,modelled
N00000470,,286,37.1,56.6,6.3,42.1,modelled
N00000471,,286,7.3,84.3,8.4,20.2,modelled
N00000472,,222,40.1,50.5,9.4,45.4,modelled
N00000473,,202,14.4,83.2,2.4,23.6,modelled
N00000474,,250,39.2,53.6,7.2,44.0,modelled
N00000475,,238,17.6,76.1,6.3,27.3,modelled
N00000476,,256,5.1,91.0,3.9,17.0,modelled
N00000477,,721,13.9,82.0,4.1,18.9,modelled
N00000478,,294,34.4,60.9,4.7,34.6,modelled
N00000479,,280,8.6,83.6,7.8,16.1,modelled
N00000480,,335,6.6,85.4,8.0,14.7,modelled
N00000481,,469,18.6,76.3,5.1,22.8,modelled
N00000482,,225,4.4,91.6,4.0,11.7,modelled
N00000483,,285,3.9,90.9,5.2,11.7,modelled
N00000484,,330,3.9,91.2,4.9,11.6,modelled
N00000485,,241,0.8,92.5,6.7,9.8,modelled
N00000486,,372,4.8,90.6,4.6,12.2,modelled
N00000487,,290,2.1,93.8,4.1,10.0,modelled
N00000488,,409,6.1,91.0,2.9,12.6,modelled
N00000489,,282,4.6,89.4,6.0,12.5,modelled
N00000490,,515,8.5,85.0,6.5,15.6,modelled
N00000491,,525,8.0,88.2,3.8,14.3,modelled
N00000492,,414,10.9,82.6,6.5,17.4,modelled
N00000493,,331,20.8,75.8,3.4,23.9,modelled
N00000494,,825,22.2,70.7,7.1,26.2,modelled
N00000495,,336,15.2,79.2,5.6,20.4,modelled
N00000496,,837,13.5,76.5,10.0,20.6,modelled
N00000497,,837,12.2,75.6,12.2,20.3,modelled
N00000498,,337,21.4,67.7,10.9,26.9,modelled
