aliasId,electionId,sourceConstituency,sourceCandidateName,canonicalConstituency,canonicalCandidateName,canonicalCandidateId,canonicalParty,confidence,proposedAction,evidenceStrength,approvalDefault,sourceRowIds
pending:dail-candidate-dail-eireann-2020-02-08-limerick-county-seighin-oceallaigh,dail-eireann__2020-02-08,Limerick County,Seighin O'Ceallaigh,Limerick,Seighin O Ceallaigh,3,Sinn Féin,0.9867,approve alias after spot-check,high,spot-check-before-approve,election-source-00011-general-election-2020-count-details:row:3425; election-source-00011-general-election-2020-count-details:row:3426; election-source-00011-general-election-2020-count-details:row:3427; election-source-00011-general-election-2020-count-details:row:3428; election-source-00011-general-election-2020-count-details:row:3429; election-source-00011-general-election-2020-count-details:row:3430
pending:dail-candidate-dail-eireann-2016-02-26-clare-andres-siro-hakizimana,dail-eireann__2016-02-26,Clare,Andres Siro Hakizimana,Clare,Andre Sibo Hakizimana,15,Independent,0.9147,approve alias after spot-check,high,spot-check-before-approve,election-source-00010-general-election-2016-count-details:row:5226; election-source-00010-general-election-2016-count-details:row:5227; election-source-00010-general-election-2016-count-details:row:5228; election-source-00010-general-election-2016-count-details:row:5229; election-source-00010-general-election-2016-count-details:row:5230; election-source-00010-general-election-2016-count-details:row:5231; election-source-00010-general-election-2016-count-details:row:5232; election-source-00010-general-election-2016-count-details:row:5233; election-source-00010-general-election-2016-count-details:row:5234; election-source-00010-general-election-2016-count-details:row:5235; election-source-00010-general-election-2016-count-details:row:5236; election-source-00010-general-election-2016-count-details:row:5237
pending:dail-candidate-dail-eireann-2020-02-08-mayo-daith-fallamhin,dail-eireann__2020-02-08,Mayo,Daith  Fallamhín,Mayo,Daithí Ó Fallamhái,12,Irish Freedom Party,0.7133,approve encoding alias,high,approve-if-source-row-text-is-mojibake,election-source-00011-general-election-2020-count-details:row:3839; election-source-00011-general-election-2020-count-details:row:3840; election-source-00011-general-election-2020-count-details:row:3841; election-source-00011-general-election-2020-count-details:row:3842; election-source-00011-general-election-2020-count-details:row:3843; election-source-00011-general-election-2020-count-details:row:3844; election-source-00011-general-election-2020-count-details:row:3845
pending:dail-candidate-dail-eireann-2016-02-26-tipperary-samus-san-morris,dail-eireann__2016-02-26,Tipperary,SÉmus SÉn Morris,Tipperary,Seamus Morris,8,Sinn Féin,0.6876,approve encoding alias,medium,approve-if-source-row-text-is-mojibake,election-source-00010-general-election-2016-count-details:row:3742; election-source-00010-general-election-2016-count-details:row:3743; election-source-00010-general-election-2016-count-details:row:3744; election-source-00010-general-election-2016-count-details:row:3745; election-source-00010-general-election-2016-count-details:row:3746; election-source-00010-general-election-2016-count-details:row:3747; election-source-00010-general-election-2016-count-details:row:3748
pending:dail-candidate-dail-eireann-2016-02-26-galway-east-mirad-n-chrinn,dail-eireann__2016-02-26,Galway East,MírÉd N ChrínN,Galway East,Mairead Ni Chroinin,9,Green,0.6816,approve encoding alias,medium,approve-if-source-row-text-is-mojibake,election-source-00010-general-election-2016-count-details:row:3986; election-source-00010-general-election-2016-count-details:row:3987; election-source-00010-general-election-2016-count-details:row:3988; election-source-00010-general-election-2016-count-details:row:3989; election-source-00010-general-election-2016-count-details:row:3990; election-source-00010-general-election-2016-count-details:row:3991; election-source-00010-general-election-2016-count-details:row:3992
pending:dail-candidate-dail-eireann-2016-02-26-cavan-monaghan-caoimhghn-caolin,dail-eireann__2016-02-26,Cavan Monaghan,CaoimhghN  Caolín,Cavan Monaghan,Caoimhghin O Caolain,2,Sinn Féin,0.68,approve encoding alias,medium,approve-if-source-row-text-is-mojibake,election-source-00010-general-election-2016-count-details:row:4108; election-source-00010-general-election-2016-count-details:row:4109; election-source-00010-general-election-2016-count-details:row:4110; election-source-00010-general-election-2016-count-details:row:4111; election-source-00010-general-election-2016-count-details:row:4112; election-source-00010-general-election-2016-count-details:row:4113; election-source-00010-general-election-2016-count-details:row:4114; election-source-00010-general-election-2016-count-details:row:4115; election-source-00010-general-election-2016-count-details:row:4116; election-source-00010-general-election-2016-count-details:row:4117
pending:dail-candidate-dail-eireann-2016-02-26-kildare-south-sen-fearghal,dail-eireann__2016-02-26,Kildare South,SeN  FearghaL,Kildare South,Seán Ó Fearghaíl,3,Fianna Fáil,0.6457,approve encoding alias,medium,approve-if-source-row-text-is-mojibake,election-source-00010-general-election-2016-count-details:row:4132; election-source-00010-general-election-2016-count-details:row:4133; election-source-00010-general-election-2016-count-details:row:4134; election-source-00010-general-election-2016-count-details:row:4135; election-source-00010-general-election-2016-count-details:row:4136; election-source-00010-general-election-2016-count-details:row:4137
pending:dail-candidate-dail-eireann-2016-02-26-cork-south-central-donnchadh-uinseann-laoghaire,dail-eireann__2016-02-26,Cork South Central,Donnchadh Uinseann  Laoghaire,Cork South Central,Donnchach O Laoghaire,4,Sinn Féin,0.6441,approve encoding alias,medium,approve-if-source-row-text-is-mojibake,election-source-00010-general-election-2016-count-details:row:4149; election-source-00010-general-election-2016-count-details:row:4150; election-source-00010-general-election-2016-count-details:row:4151; election-source-00010-general-election-2016-count-details:row:4152; election-source-00010-general-election-2016-count-details:row:4153; election-source-00010-general-election-2016-count-details:row:4154; election-source-00010-general-election-2016-count-details:row:4155; election-source-00010-general-election-2016-count-details:row:4156; election-source-00010-general-election-2016-count-details:row:4157; election-source-00010-general-election-2016-count-details:row:4158; election-source-00010-general-election-2016-count-details:row:4159
pending:dail-candidate-dail-eireann-2020-02-08-dun-laoghaire-mairad-tibn,dail-eireann__2020-02-08,Dun Laoghaire,MairÉd TíbN,Dun Laoghaire,Mairéad Tóibín,11,Aontú,0.6338,approve encoding alias,medium,approve-if-source-row-text-is-mojibake,election-source-00011-general-election-2020-count-details:row:2531; election-source-00011-general-election-2020-count-details:row:2532; election-source-00011-general-election-2020-count-details:row:2533; election-source-00011-general-election-2020-count-details:row:2534; election-source-00011-general-election-2020-count-details:row:2535; election-source-00011-general-election-2020-count-details:row:2536; election-source-00011-general-election-2020-count-details:row:2537; election-source-00011-general-election-2020-count-details:row:2538
pending:dail-candidate-dail-eireann-2016-02-26-dublin-bay-north-aodhn-rordin,dail-eireann__2016-02-26,Dublin Bay North,AodhN  RÓrdín,Dublin Bay North,Aodhán Ó Ríordáin,4,Irish Labour,0.608,approve encoding alias,medium,approve-if-source-row-text-is-mojibake,election-source-00010-general-election-2016-count-details:row:4189; election-source-00010-general-election-2016-count-details:row:4190; election-source-00010-general-election-2016-count-details:row:4191; election-source-00010-general-election-2016-count-details:row:4192; election-source-00010-general-election-2016-count-details:row:4193; election-source-00010-general-election-2016-count-details:row:4194; election-source-00010-general-election-2016-count-details:row:4195; election-source-00010-general-election-2016-count-details:row:4196; election-source-00010-general-election-2016-count-details:row:4197; election-source-00010-general-election-2016-count-details:row:4198; election-source-00010-general-election-2016-count-details:row:4199; election-source-00010-general-election-2016-count-details:row:4200; election-source-00010-general-election-2016-count-details:row:4201; election-source-00010-general-election-2016-count-details:row:4202; election-source-00010-general-election-2016-count-details:row:4203
