contest,scale,year,area,party,n_cand,share,seats,lag_n,lag_share,exp_quotas,lag_exp_quotas
assembly,constituency,2016,Belfast East,Alliance,3,28.672494956287828,6,,,2.007074646940148,
assembly,constituency,2017,Belfast East,Alliance,2,31.392323512649604,5,3.0,28.672494956287828,1.8835394107589765,1.7203496973772696
assembly,constituency,2022,Belfast East,Alliance,2,32.40612282648909,5,2.0,31.392323512649604,1.9443673695893455,1.8835394107589765
assembly,constituency,2016,Belfast East,Aontú,0,0.0,6,,,0.0,
assembly,constituency,2017,Belfast East,Aontú,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,Belfast East,Aontú,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2016,Belfast East,DUP,3,36.69939475453934,6,,,2.568957632817754,
assembly,constituency,2017,Belfast East,DUP,3,37.582079936566146,5,3.0,36.69939475453934,2.254924796193969,2.2019636852723603
assembly,constituency,2022,Belfast East,DUP,2,32.1078431372549,5,3.0,37.582079936566146,1.9264705882352942,2.254924796193969
assembly,constituency,2016,Belfast East,Green,1,5.872225958305313,6,,,0.41105581708137184,
assembly,constituency,2017,Belfast East,Green,1,3.585499417697054,5,1.0,5.872225958305313,0.21512996506182322,0.35233355749831874
assembly,constituency,2022,Belfast East,Green,1,5.322789493155753,5,1.0,3.585499417697054,0.3193673695893452,0.21512996506182322
assembly,constituency,2016,Belfast East,Independent,1,2.956287827841291,6,,,0.2069401479488904,
assembly,constituency,2017,Belfast East,Independent,1,0.2081423297073618,5,1.0,2.956287827841291,0.012488539782441709,0.17737726967047748
assembly,constituency,2022,Belfast East,Independent,0,0.0,5,1.0,0.2081423297073618,0.0,0.012488539782441709
assembly,constituency,2016,Belfast East,Other,5,9.347679892400807,6,,,0.6543375924680565,
assembly,constituency,2017,Belfast East,Other,3,8.3628614614565,5,5.0,9.347679892400807,0.50177168768739,0.5608607935440485
assembly,constituency,2022,Belfast East,Other,2,2.409359970403256,5,3.0,8.3628614614565,0.14456159822419534,0.50177168768739
assembly,constituency,2016,Belfast East,PBP,0,0.0,6,,,0.0,
assembly,constituency,2017,Belfast East,PBP,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,Belfast East,PBP,1,1.1561228264890862,5,0.0,0.0,0.06936736958934517,0.0
assembly,constituency,2016,Belfast East,SDLP,1,0.3792871553463349,6,,,0.02655010087424344,
assembly,constituency,2017,Belfast East,SDLP,1,0.6194712193671482,5,1.0,0.3792871553463349,0.03716827316202889,0.022757229320780094
assembly,constituency,2022,Belfast East,SDLP,1,1.1191268960414353,5,1.0,0.6194712193671482,0.06714761376248612,0.03716827316202889
assembly,constituency,2016,Belfast East,Sinn Féin,1,2.5447209145931406,6,,,0.17813046402151983,
assembly,constituency,2017,Belfast East,Sinn Féin,1,2.9065589612706595,5,1.0,2.5447209145931406,0.17439353767623955,0.15268325487558843
assembly,constituency,2022,Belfast East,Sinn Féin,1,3.1654642989271182,5,1.0,2.9065589612706595,0.1899278579356271,0.17439353767623955
assembly,constituency,2016,Belfast East,TUV,1,2.3860121049092133,6,,,0.16702084734364495,
assembly,constituency,2017,Belfast East,TUV,1,2.2722204326386994,5,1.0,2.3860121049092133,0.13633322595832198,0.14316072629455281
assembly,constituency,2022,Belfast East,TUV,1,7.137902330743618,5,1.0,2.2722204326386994,0.42827413984461704,0.13633322595832198
assembly,constituency,2016,Belfast East,UUP,2,11.141896435776731,6,,,0.7799327505043712,
assembly,constituency,2017,Belfast East,UUP,1,13.070842728646827,5,2.0,11.141896435776731,0.7842505637188097,0.668513786146604
assembly,constituency,2022,Belfast East,UUP,2,15.175268220495745,5,1.0,13.070842728646827,0.9105160932297447,0.7842505637188097
assembly,constituency,2016,Belfast North,Alliance,1,7.024115491879477,6,,,0.49168808443156337,
assembly,constituency,2017,Belfast North,Alliance,1,8.405245142939787,5,1.0,7.024115491879477,0.5043147085763873,0.4214469295127686
assembly,constituency,2022,Belfast North,Alliance,1,9.518326199839224,5,1.0,8.405245142939787,0.5710995719903535,0.5043147085763873
assembly,constituency,2016,Belfast North,Aontú,0,0.0,6,,,0.0,
assembly,constituency,2017,Belfast North,Aontú,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,Belfast North,Aontú,1,1.3904881917135594,5,0.0,0.0,0.08342929150281357,0.0
assembly,constituency,2016,Belfast North,DUP,3,34.95105812872532,6,,,2.4465740690107727,
assembly,constituency,2017,Belfast North,DUP,3,32.080701923540474,5,3.0,34.95105812872532,1.9248421154124284,2.0970634877235192
assembly,constituency,2022,Belfast North,DUP,2,24.274882134399373,5,3.0,32.080701923540474,1.4564929280639622,1.9248421154124284
assembly,constituency,2016,Belfast North,Green,1,2.176409471209056,6,,,0.1523486629846339,
assembly,constituency,2017,Belfast North,Green,1,1.7138311719616257,5,1.0,2.176409471209056,0.10282987031769754,0.13058456827254336
assembly,constituency,2022,Belfast North,Green,1,3.1416342581528234,5,1.0,1.7138311719616257,0.1884980554891694,0.10282987031769754
assembly,constituency,2016,Belfast North,Independent,2,0.9022803084158145,6,,,0.06315962158910701,
assembly,constituency,2017,Belfast North,Independent,1,0.15908981343103698,5,2.0,0.9022803084158145,0.009545388805862219,0.05413681850494887
assembly,constituency,2022,Belfast North,Independent,1,1.0624198839811414,5,1.0,0.15908981343103698,0.06374519303886848,0.009545388805862219
assembly,constituency,2016,Belfast North,Other,5,7.174495543282113,6,,,0.5022146880297479,
assembly,constituency,2017,Belfast North,Other,2,5.546449404618426,5,5.0,7.174495543282113,0.3327869642771056,0.4304697325969268
assembly,constituency,2022,Belfast North,Other,2,2.020553153583766,5,2.0,5.546449404618426,0.12123318921502597,0.3327869642771056
assembly,constituency,2016,Belfast North,PBP,1,3.5161590200689012,6,,,0.2461311314048231,
assembly,constituency,2017,Belfast North,PBP,1,3.7578942293785857,5,1.0,3.5161590200689012,0.22547365376271514,0.21096954120413408
assembly,constituency,2022,Belfast North,PBP,1,2.30082342972603,5,1.0,3.7578942293785857,0.1380494057835618,0.22547365376271514
assembly,constituency,2016,Belfast North,SDLP,1,10.570350522228905,6,,,0.7399245365560233,
assembly,constituency,2017,Belfast North,SDLP,1,13.091163283999421,5,1.0,10.570350522228905,0.7854697970399652,0.6342210313337343
assembly,constituency,2022,Belfast North,SDLP,1,7.830186629586982,5,1.0,13.091163283999421,0.4698111977752189,0.7854697970399652
assembly,constituency,2016,Belfast North,Sinn Féin,2,26.532509432930496,6,,,1.8572756603051346,
assembly,constituency,2017,Belfast North,Sinn Féin,2,29.41715277442993,5,2.0,26.532509432930496,1.765029166465796,1.5919505659758297
assembly,constituency,2022,Belfast North,Sinn Féin,2,35.47265735329263,5,2.0,29.41715277442993,2.128359441197558,1.765029166465796
assembly,constituency,2016,Belfast North,TUV,1,1.760813692787226,6,,,0.12325695849510582,
assembly,constituency,2017,Belfast North,TUV,0,0.0,5,1.0,1.760813692787226,0.0,0.10564882156723357
assembly,constituency,2022,Belfast North,TUV,1,7.245747061507376,5,0.0,0.0,0.43474482369044254,0.0
assembly,constituency,2016,Belfast North,UUP,1,5.391808388472685,6,,,0.37742658719308797,
assembly,constituency,2017,Belfast North,UUP,1,5.828472255700718,5,1.0,5.391808388472685,0.3497083353420431,0.3235085033083611
assembly,constituency,2022,Belfast North,UUP,1,5.74228170421709,5,1.0,5.828472255700718,0.34453690225302536,0.3497083353420431
assembly,constituency,2016,Belfast South,Alliance,2,16.40116548212292,6,,,1.1480815837486045,
assembly,constituency,2017,Belfast South,Alliance,2,17.764151162520616,5,2.0,16.40116548212292,1.0658490697512368,0.9840699289273752
assembly,constituency,2022,Belfast South,Alliance,2,24.935020665558824,5,2.0,17.764151162520616,1.4961012399335294,1.0658490697512368
assembly,constituency,2016,Belfast South,Aontú,0,0.0,6,,,0.0,
assembly,constituency,2017,Belfast South,Aontú,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,Belfast South,Aontú,1,1.7171588052324342,5,0.0,0.0,0.10302952831394606,0.0
assembly,constituency,2016,Belfast South,DUP,2,22.005282792800152,6,,,1.5403697954960105,
assembly,constituency,2017,Belfast South,DUP,2,20.84639862495064,5,2.0,22.005282792800152,1.2507839174970385,1.3203169675680089
assembly,constituency,2022,Belfast South,DUP,1,15.362819037879756,5,2.0,20.84639862495064,0.9217691422727853,1.2507839174970385
assembly,constituency,2016,Belfast South,Green,1,9.58799662336955,6,,,0.6711597636358685,
assembly,constituency,2017,Belfast South,Green,1,9.864585510881936,5,1.0,9.58799662336955,0.5918751306529161,0.575279797402173
assembly,constituency,2022,Belfast South,Green,1,8.645447185649154,5,1.0,9.864585510881936,0.5187268311389492,0.5918751306529161
assembly,constituency,2016,Belfast South,Independent,1,1.2934673093156877,6,,,0.09054271165209814,
assembly,constituency,2017,Belfast South,Independent,0,0.0,5,1.0,1.2934673093156877,0.0,0.07760803855894126
assembly,constituency,2022,Belfast South,Independent,1,0.22796028803954152,5,0.0,0.0,0.013677617282372491,0.0
assembly,constituency,2016,Belfast South,Other,7,8.425237589521553,6,,,0.5897666312665087,
assembly,constituency,2017,Belfast South,Other,3,2.0765103477109608,5,7.0,8.425237589521553,0.12459062086265764,0.5055142553712932
assembly,constituency,2022,Belfast South,Other,2,1.0481912309855554,5,3.0,2.0765103477109608,0.06289147385913334,0.12459062086265764
assembly,constituency,2016,Belfast South,PBP,0,0.0,6,,,0.0,
assembly,constituency,2017,Belfast South,PBP,1,1.7652660674052911,5,0.0,0.0,0.10591596404431748,0.0
assembly,constituency,2022,Belfast South,PBP,1,1.3400656184754356,5,1.0,1.7652660674052911,0.08040393710852614,0.10591596404431748
assembly,constituency,2016,Belfast South,SDLP,2,20.044658660784794,6,,,1.4031261062549356,
assembly,constituency,2017,Belfast South,SDLP,2,19.401667711889996,5,2.0,20.044658660784794,1.1641000627133997,1.2026795196470876
assembly,constituency,2022,Belfast South,SDLP,2,15.81660914397716,5,2.0,19.401667711889996,0.9489965486386296,1.1641000627133997
assembly,constituency,2016,Belfast South,Sinn Féin,1,14.17912479917218,6,,,0.9925387359420526,
assembly,constituency,2017,Belfast South,Sinn Féin,1,17.67588785915035,5,1.0,14.17912479917218,1.0605532715490211,0.8507474879503308
assembly,constituency,2022,Belfast South,Sinn Féin,1,20.26289999573906,5,1.0,17.67588785915035,1.2157739997443435,1.0605532715490211
assembly,constituency,2016,Belfast South,TUV,1,1.3479290907605588,6,,,0.09435503635323911,
assembly,constituency,2017,Belfast South,TUV,1,1.6328711123498942,5,1.0,1.3479290907605588,0.09797226674099364,0.08087574544563353
assembly,constituency,2022,Belfast South,TUV,1,4.122459414546849,5,1.0,1.6328711123498942,0.24734756487281095,0.09797226674099364
assembly,constituency,2016,Belfast South,UUP,1,6.715137652152602,6,,,0.47005963565068215,
assembly,constituency,2017,Belfast South,UUP,1,8.972661603140315,5,1.0,6.715137652152602,0.5383596961884188,0.40290825912915607
