year,body,note,contest,areas,valid,indA_pct,indB_pct,indAB_pct
1970,Westminster,,1970 UK general election in Northern Ireland,12,777711.0,3.811441525193806,14.648629118014275,18.46007064320808
1973,Assembly,,1973 Northern Ireland Assembly election,11,650992.0,4.365645046329294,0.0,4.365645046329294
1973,Local,,1973 Northern Ireland local elections,98,697341.0,10.116141170532064,1.4496494541408005,11.565790624672864
1974,Westminster,,1974 UK general election in Northern Ireland,12,717626.0,3.787627538578591,2.4515555456463396,6.239183084224931
1974,Westminster,,1974 UK general election in Northern Ireland,12,702094.0,5.501115235281885,0.0,5.501115235281885
1975,Convention,,1975 Northern Ireland Constitutional Convention election,12,658161.0,1.8524342827970663,0.0,1.8524342827970663
1977,Local,,1977 Northern Ireland local elections,96,560010.0,9.992857270405885,0.9508758772164783,10.943733147622364
1979,European,,1979 European election in Northern Ireland,1,572239.0,7.575855542876315,0.0,7.575855542876315
1979,Westminster,,1979 UK general election in Northern Ireland,12,695887.0,4.903382302011678,0.0,4.903382302011678
1981,Local,,1981 Northern Ireland local elections,98,666388.0,8.529865483772216,0.519517158172116,9.049382641944332
1982,Assembly,,1982 Northern Ireland Assembly election,12,633120.0,0.8053765478898155,0.0,0.8053765478898155
1983,Westminster,,1983 UK general election in Northern Ireland,17,764925.0,1.6589861751152073,0.0,1.6589861751152073
1984,European,,1984 European election in Northern Ireland,1,685317.0,0.0,0.0,0.0
1985,Local,,1985 Northern Ireland local elections,98,629994.0,4.376549617932869,0.0,4.376549617932869
1986,Westminster,by-elections (mislabelled in source),1986 UK general election in Northern Ireland,15,584988.0,1.1584853022626105,0.0,1.1584853022626105
1987,Westminster,,1987 UK general election in Northern Ireland,17,730152.0,2.7580558568626805,0.0,2.7580558568626805
1989,European,,1989 European election in Northern Ireland,1,534811.0,0.6619160787642737,0.0,0.6619160787642737
1989,Local,,1989 Northern Ireland local elections,97,621699.0,6.706621693134459,0.0,6.706621693134459
1992,Westminster,,1992 UK general election in Northern Ireland,17,786123.0,0.4492935583871735,0.0,0.4492935583871735
1993,Local,,1993 Northern Ireland local elections,101,620594.0,7.167487922861001,0.0,7.167487922861001
1994,European,,1994 European election in Northern Ireland,1,559867.0,0.2657774078486498,0.0,0.2657774078486498
1996,Forum,,1996 Northern Ireland Forum election,18,752468.0,0.2966239095881818,0.0,0.2966239095881818
1997,Local,,1997 Northern Ireland local elections,101,623000.0,6.330818619582664,0.0,6.330818619582664
1997,Westminster,,1997 UK general election in Northern Ireland,18,790762.0,0.2702456617793976,0.0,0.2702456617793976
1998,Assembly,,1998 Northern Ireland Assembly election,18,810317.0,2.498651762211579,0.0,2.498651762211579
1999,European,,1999 European election in Northern Ireland,1,678809.0,0.0,0.0,0.0
2001,Local,,2001 Northern Ireland local elections,100,779744.0,6.77850679197275,0.0,6.77850679197275
2001,Westminster,,2001 UK general election in Northern Ireland,18,810374.0,1.0339670325059787,0.0,1.0339670325059787
2003,Assembly,,2003 Northern Ireland Assembly election,18,692028.0,3.1838307120521137,0.0,3.1838307120521137
2004,European,,2004 European election in Northern Ireland,1,549277.0,6.603225694867981,0.0,6.603225694867981
2005,Local,,2005 Northern Ireland local elections,100,695253.0,3.9809968457525535,0.0,3.9809968457525535
2005,Westminster,,2005 UK general election in Northern Ireland,18,717602.0,1.8058756803910803,0.0,1.8058756803910803
2007,Assembly,,2007 Northern Ireland Assembly election,18,690313.0,2.820604566334402,0.0,2.820604566334402
2009,European,,2009 European election in Northern Ireland,1,484572.0,0.0,0.0,0.0
2010,Westminster,,2010 UK general election in Northern Ireland,19,718777.0,6.329918736965707,0.0,6.329918736965707
2011,Assembly,,2011 Northern Ireland Assembly election,18,661389.0,2.3488446285015323,0.0,2.3488446285015323
2011,Local,,2011 Northern Ireland local elections,101,655367.0,5.017341428543091,0.0,5.017341428543091
2014,European,,2014 European election in Northern Ireland,1,626125.0,0.0,0.0,0.0
2014,Local,,2014 Northern Ireland local elections,80,628135.0,4.362597212382688,0.0,4.362597212382688
2015,Westminster,,2015 UK general election in Northern Ireland,18,718103.0,2.673293385489268,0.0,2.673293385489268
2016,Assembly,,2016 Northern Ireland Assembly election,18,694314.0,3.262212774047477,0.0,3.262212774047477
2017,Assembly,,2017 Northern Ireland Assembly election,18,803315.0,1.7934434188332098,0.0,1.7934434188332098
2017,Westminster,,2017 UK general election in Northern Ireland,18,812183.0,2.0267599789702566,0.0,2.0267599789702566
2019,European,,2019 European election in Northern Ireland,1,572447.0,0.46589465924356316,0.0,0.46589465924356316
2019,Local,,2019 Northern Ireland local elections,80,677905.0,6.398536668117214,0.0,6.398536668117214
2019,Westminster,,2019 UK general election in Northern Ireland,18,799035.0,0.21112967517067463,0.0,0.21112967517067463
2022,Assembly,,2022 Northern Ireland Assembly election,18,862700.0,2.9343920250376723,0.0,2.9343920250376723
2023,Local,,2023 Northern Ireland local elections,80,746049.0,4.610421031326361,0.0,4.610421031326361
2024,Westminster,,2024 UK general election in Northern Ireland,18,779840.0,3.0265182601559295,0.0,3.0265182601559295
