contest,scale,year,area,nat_pct,uni_pct,oth_pct,remain_pct,total
assembly,constituency,2016,Belfast West,63.23,12.19,24.59,,36268
assembly,constituency,2016,North Down,2.27,63.28,34.44,,32229
assembly,constituency,2016,Fermanagh and South Tyrone,48.46,47.89,3.65,,47177
assembly,constituency,2016,East Antrim,11.92,69.6,18.48,,32411
assembly,constituency,2016,Upper Bann,34.38,59.33,6.29,,45686
assembly,constituency,2016,Mid Ulster,62.68,35.31,2.01,,40748
assembly,constituency,2016,Newry and Armagh,59.13,35.01,5.87,,47715
assembly,constituency,2016,Belfast North,39.07,47.54,13.39,,36574
assembly,constituency,2016,Belfast East,2.92,60.93,36.15,,37175
assembly,constituency,2016,Strangford,10.37,75.75,13.88,,32639
assembly,constituency,2016,South Antrim,22.76,65.31,11.93,,35133
assembly,constituency,2016,Belfast South,34.88,35.13,29.99,,36723
assembly,constituency,2016,Lagan Valley,10.15,74.57,15.28,,38853
assembly,constituency,2016,East Londonderry,31.28,63.63,5.09,,34399
assembly,constituency,2016,North Antrim,20.46,74.48,5.06,,40998
assembly,constituency,2016,Foyle,69.28,18.55,12.17,,39702
assembly,constituency,2016,South Down,62.49,30.16,7.35,,41075
assembly,constituency,2016,West Tyrone,55.19,33.55,11.26,,38809
assembly,constituency,2017,North Down,3.37,60.7,35.93,,37739
assembly,constituency,2017,South Down,63.8,25.65,10.55,,49399
assembly,constituency,2017,Mid Ulster,66.11,30.85,3.03,,49678
assembly,constituency,2017,Foyle,68.54,17.29,14.17,,44616
assembly,constituency,2017,West Tyrone,64.23,30.67,5.1,,44325
assembly,constituency,2017,Belfast East,3.53,60.19,36.28,,40357
assembly,constituency,2017,Lagan Valley,12.42,69.95,17.64,,45069
assembly,constituency,2017,Newry and Armagh,64.67,30.98,4.35,,54918
assembly,constituency,2017,Upper Bann,38.16,55.48,6.35,,51548
assembly,constituency,2017,Belfast South,37.46,31.92,30.63,,43053
assembly,constituency,2017,Belfast West,71.38,11.28,17.34,,40344
assembly,constituency,2017,South Antrim,25.78,58.14,16.09,,42344
assembly,constituency,2017,Fermanagh and South Tyrone,51.93,43.03,5.03,,52263
assembly,constituency,2017,Strangford,10.71,71.93,17.35,,38785
assembly,constituency,2017,East Antrim,13.96,66.61,19.43,,37424
assembly,constituency,2017,North Antrim,24.02,69.2,6.78,,48094
assembly,constituency,2017,Belfast North,43.11,42.86,14.04,,41486
assembly,constituency,2017,East Londonderry,36.6,57.1,6.3,,41873
assembly,constituency,2022,South Down,62.98,23.02,14.0,,54952
assembly,constituency,2022,Lagan Valley,11.68,62.23,26.09,,51033
assembly,constituency,2022,North Down,3.39,59.55,37.06,,41743
assembly,constituency,2022,Mid Ulster,65.42,28.11,6.47,,51689
assembly,constituency,2022,Belfast West,76.45,12.46,11.08,,43664
assembly,constituency,2022,Belfast South,38.09,26.01,35.9,,46938
assembly,constituency,2022,Foyle,71.41,17.8,10.79,,46864
assembly,constituency,2022,South Antrim,28.38,53.32,18.29,,45736
assembly,constituency,2022,Belfast East,4.45,56.66,38.89,,43248
assembly,constituency,2022,North Antrim,22.26,67.43,10.31,,50624
assembly,constituency,2022,West Tyrone,64.03,27.57,8.4,,45994
