area,rel__Catholic,rel__Protestant and Other Christian (including Christian rel,rel__Other religions,rel__None,natid__British only,natid__Irish only,natid__Northern Irish only,natid__British and Irish only,natid__British and Northern Irish only,natid__Irish and Northern Irish only,"natid__British, Irish and Northern Irish only",natid__Other,pass__United Kingdom only,pass__Ireland only,pass__United Kingdom and Ireland only,pass__United Kingdom and other (not Ireland),pass__Ireland and other (not United Kingdom),"pass__United Kingdom, Ireland and other",pass__Other only (not United Kingdom or Ireland),pass__No passport,"irish__Understands but does not read, write or speak Irish",irish__Speaks but does not read or write Irish,irish__Speaks and reads but does not write Irish,"irish__Speaks, reads, writes and understands Irish",irish__Other combination of skills,irish__No ability in Irish,irish__No code required,ten__Owner occupied: Owns outright,ten__Owner occupied: Owns with a mortgage or loan or shared ,ten__Social rented: Northern Ireland Housing Executive,ten__Social rented: Housing association or charitable trust,ten__Private rented: Private landlord or letting agency,ten__Private rented: Other private rented,ten__Lives rent free,ten__No code required,"nssec__L1, L2, L3: Higher managerial, administrative and pro","nssec__L4, L5, L6: Lower managerial, administrative and prof",nssec__L7: Intermediate occupations,"nssec__L8, L9: Small employers and own account workers","nssec__L10, L11: Lower supervisory and technical occupations",nssec__L12: Semi-routine occupations,nssec__L13: Routine occupations,"nssec__L14.1, L14.2: Never worked and long-term unemployed",nssec__L15: Full-time students,nssec__No code required,qual__No qualifications,"qual__Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 ","qual__Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (pass",qual__Apprenticeship,"qual__Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ ","qual__Level 4 and above: Degree (BA, BSc), foundation degree","qual__Other: Other qualifications, equivalent unknown",qual__No code required,econ__Economically active: Employee (including full-time stu,econ__Economically active: Self-employed (including full-tim,econ__Economically active: Unemployed (including full-time s,econ__Economically inactive: Retired,econ__Economically inactive: Student,econ__Economically inactive: Looking after home or family,econ__Economically inactive: Long-term sick or disabled,econ__Economically inactive: Other,econ__No code required,age__0-15 years,age__16-24 years,age__25-34 years,age__35-44 years,age__45-54 years,age__55-64 years,age__65+ years,sex__Female,sex__Male,hlth__Very good health,hlth__Good health,hlth__Fair health,hlth__Bad health,hlth__Very bad health,cob__Europe: United Kingdom: Northern Ireland,cob__Europe: United Kingdom: England,cob__Europe: United Kingdom: Scotland,cob__Europe: United Kingdom: Wales,cob__Europe: Republic of Ireland,cob__Europe: Other EU countries,cob__Europe: Other Non-EU countries,cob__Africa,cob__Middle East and Asia,"cob__North America, Central America and Caribbean",cob__South America,"cob__Antarctica, Oceania and Other"
Bangor Central,11.938,65.206,1.483,21.373,45.703,5.132,22.544,0.961,14.375,1.13,3.037,7.118,67.415,7.877,8.02,0.646,0.18,0.124,3.353,12.386,1.126,0.435,0.12,0.698,0.409,94.143,3.067,26.553,40.819,8.447,6.078,14.806,1.044,1.306,0.946,10.248,18.022,11.907,6.761,4.152,10.766,7.71,6.486,4.842,19.107,14.226,5.211,11.605,4.663,13.4,29.777,2.009,19.11,38.133,5.947,2.298,20.427,3.33,3.507,5.177,2.072,19.109,19.108,8.616,12.569,13.548,13.488,12.689,19.983,51.128,48.872,46.931,31.205,14.596,5.552,1.716,84.241,6.663,1.625,0.236,1.329,2.628,0.297,0.83,1.16,0.646,0.083,0.263
Bangor East and Donaghadee,8.591,73.628,1.138,16.643,51.088,3.834,20.565,0.95,15.252,0.779,2.862,4.67,72.239,6.42,8.372,0.477,0.114,0.096,1.523,10.758,0.915,0.276,0.131,0.481,0.223,95.571,2.403,37.624,46.354,3.414,1.309,8.503,0.77,1.077,0.95,11.116,20.228,13.4,7.619,3.869,10.411,6.481,5.112,4.998,16.766,13.418,5.492,12.586,5.764,14.149,29.558,2.267,16.766,37.635,6.345,1.807,26.555,3.133,2.691,3.54,1.527,16.765,16.764,8.371,8.725,11.307,13.744,15.258,25.83,51.724,48.276,46.477,32.635,14.429,4.871,1.589,87.037,6.508,1.436,0.289,1.177,1.186,0.193,0.656,0.814,0.442,0.079,0.184
Bangor West,16.099,63.662,1.45,18.789,47.087,6.302,21.504,0.81,13.481,1.107,2.864,6.845,66.272,8.899,7.029,0.548,0.154,0.092,3.376,13.628,1.609,0.533,0.164,0.948,0.379,93.406,2.962,30.609,40.554,7.675,2.823,14.915,0.835,0.897,1.691,9.32,17.605,12.799,5.974,4.227,12.261,8.567,6.589,4.417,18.241,16.176,5.836,12.031,5.231,13.019,27.212,2.254,18.241,38.623,5.113,2.152,22.688,2.915,3.356,4.862,2.049,18.241,18.241,8.265,12.01,13.132,13.214,12.23,22.908,51.678,48.322,45.14,32.023,15.335,5.61,1.891,84.977,5.805,1.599,0.272,1.424,2.536,0.2,0.748,1.522,0.558,0.046,0.313
Bann,35.151,57.242,0.724,6.883,42.46,20.189,20.252,0.622,9.656,1.175,1.369,4.277,54.306,18.952,4.819,0.359,0.154,0.068,1.996,19.345,4.551,1.791,0.382,3.199,0.696,86.13,3.251,40.793,36.983,6.975,0.411,11.554,1.027,1.859,0.399,7.391,14.48,8.338,12.113,4.374,9.319,10.305,7.779,5.389,20.513,19.453,4.602,11.161,6.011,12.444,24.083,1.734,20.513,34.246,10.288,1.848,17.81,3.901,4.511,4.465,2.418,20.513,20.513,9.9,10.396,11.537,14.343,13.892,19.418,50.51,49.49,50.767,29.598,13.715,4.471,1.449,90.688,4.031,1.044,0.148,1.123,1.682,0.068,0.234,0.422,0.285,0.034,0.239
Bannside,19.867,71.838,0.69,7.605,50.746,11.682,17.876,0.333,13.361,1.073,1.336,3.593,62.21,11.784,4.632,0.262,0.071,0.101,1.709,19.233,2.817,1.008,0.207,1.593,0.489,90.571,3.316,40.041,40.571,4.032,2.218,9.898,0.862,2.051,0.328,7.802,15.891,9.188,10.07,5.272,9.445,11.118,5.791,5.347,20.079,18.637,4.208,10.987,6.043,13.431,25.028,1.588,20.079,39.013,8.704,1.683,17.73,3.286,3.457,4.163,1.885,20.079,20.079,9.49,11.42,12.443,14.948,13.114,18.506,50.988,49.012,51.945,29.775,12.841,4.168,1.27,92.581,2.878,1.063,0.126,0.65,1.522,0.081,0.307,0.348,0.262,0.02,0.161
Benbradagh,71.175,24.857,0.286,3.682,20.62,45.078,23.661,0.629,4.422,1.942,0.859,2.789,35.593,38.843,3.76,0.236,0.303,0.073,0.948,20.244,6.302,2.222,0.741,5.033,1.178,80.568,3.956,34.134,41.067,5.17,1.392,15.717,1.033,1.415,0.073,5.292,12.689,8.452,11.696,4.075,9.098,10.119,10.024,5.826,22.73,21.052,3.979,10.4,5.904,13.211,21.445,1.28,22.73,34.319,9.967,2.077,12.942,4.024,4.742,6.46,2.739,22.73,22.73,10.405,12.263,13.458,14.379,12.083,14.682,49.804,50.196,52.725,26.842,13.115,5.528,1.79,92.069,3.166,0.921,0.135,1.734,0.78,0.039,0.135,0.37,0.471,0.017,0.163
Black Mountain,91.884,3.35,1.892,2.873,4.933,75.336,12.792,0.566,0.638,1.917,0.426,3.392,19.936,57.366,3.041,0.125,0.145,0.064,1.555,17.768,9.401,5.602,1.101,11.224,1.803,67.115,3.754,23.291,32.048,19.462,10.348,10.053,1.076,2.531,1.193,3.999,10.73,10.794,4.805,3.475,10.831,12.127,15.722,6.176,21.341,25.591,5.421,12.029,4.668,12.113,17.349,1.488,21.341,33.542,3.609,2.715,13.498,4.454,5.63,11.647,3.565,21.341,21.341,11.12,13.679,12.277,11.753,13.958,15.872,52.386,47.614,44.841,24.76,16.037,10.351,4.011,93.144,1.536,0.298,0.036,1.555,0.68,0.067,0.828,1.466,0.293,0.02,0.078
Botanic,43.918,29.563,8.661,17.858,19.637,30.406,14.787,0.859,5.094,3.149,2.282,23.786,36.814,27.997,7.274,0.812,0.481,0.177,17.665,8.78,5.792,2.061,0.778,5.88,1.687,81.586,2.216,12.378,15.334,10.417,5.597,42.27,1.733,2.162,10.109,13.081,12.458,6.409,3.37,2.548,5.786,6.743,7.563,30.525,11.517,12.437,2.51,5.633,2.029,24.596,39.414,1.862,11.518,42.364,4.728,4.521,7.871,18.257,2.942,4.909,2.89,11.518,11.517,32.88,20.341,11.302,8.146,7.362,8.452,48.376,51.624,54.408,29.311,10.566,4.096,1.619,65.704,6.301,0.937,0.219,3.495,6.198,0.672,2.496,11.855,1.432,0.416,0.276
Braid,18.299,72.018,0.764,8.919,52.029,8.876,18.487,0.478,13.338,0.81,1.347,4.633,62.306,9.972,5.091,0.319,0.122,0.063,2.409,19.718,2.065,0.701,0.235,1.309,0.416,91.921,3.353,38.205,38.179,6.274,2.145,11.076,0.953,2.266,0.902,7.575,15.205,8.637,10.694,4.747,9.603,11.424,6.967,5.221,19.927,20.209,4.659,11.404,5.771,12.805,23.285,1.939,19.928,37.765,9.301,1.7,17.896,3.458,3.731,4.214,2.006,19.928,19.928,9.851,10.95,12.146,14.765,13.12,19.239,50.243,49.757,51.906,29.013,13.138,4.479,1.465,91.573,3.076,1.011,0.113,0.701,2.199,0.084,0.256,0.357,0.395,0.067,0.168
Carntogher,74.528,22.577,0.256,2.639,18.215,55.286,17.289,0.408,3.215,2.091,0.431,3.064,27.164,43.738,4.177,0.175,0.146,0.029,1.841,22.731,9.687,3.961,1.083,8.545,1.544,71.136,4.043,39.151,40.723,5.109,0.775,11.295,0.897,1.847,0.204,6.641,13.533,6.944,12.251,4.346,7.882,11.01,7.824,6.099,23.471,19.677,4.002,10.043,6.081,12.553,22.986,1.188,23.469,35.452,10.369,1.52,14.056,4.165,3.979,4.503,2.487,23.469,23.469,10.835,11.749,13.194,13.194,11.342,16.217,49.991,50.009,55.187,26.807,12.466,4.008,1.532,93.161,2.278,0.495,0.064,1.515,1.614,0.023,0.064,0.163,0.478,0.035,0.111
Carrick Castle,8.996,73.011,1.427,16.565,54.27,2.952,19.707,0.559,15.263,0.57,1.601,5.079,73.402,4.878,4.482,0.445,0.065,0.098,2.132,14.498,0.722,0.222,0.109,0.44,0.184,95.507,2.816,30.532,41.751,7.687,3.711,12.977,0.689,1.215,1.438,7.846,16.527,12.409,5.768,5.345,11.351,10.792,7.537,5.263,17.162,18.313,6.489,12.594,5.893,14.107,23.397,2.046,17.162,40.521,4.509,2.322,20.255,3.641,3.445,6.142,2.002,17.162,17.162,9.631,11.953,11.633,14.368,14.976,20.277,51.655,48.345,44.026,31.145,15.99,6.549,2.29,89.192,4.574,1.324,0.212,0.602,1.655,0.271,0.635,0.863,0.407,0.071,0.195
Castle,50.785,34.804,3.124,11.287,27.755,34.314,17.558,0.739,5.847,2.177,1.425,10.185,43.79,29.738,5.342,0.3,0.243,0.095,6.987,13.505,5.868,2.554,0.63,5.354,1.286,80.993,3.317,24.454,31.732,12.0,7.81,16.365,1.25,1.921,4.469,9.357,15.115,9.476,4.903,3.626,9.208,10.637,10.013,8.647,19.019,18.404,4.442,10.509,4.142,13.3,28.375,1.808,19.019,38.207,4.825,2.952,14.793,5.793,4.113,7.222,3.076,19.019,19.019,12.091,14.336,13.505,12.376,12.899,15.773,50.919,49.081,47.555,28.794,14.687,6.536,2.429,83.772,3.48,0.814,0.154,1.987,4.421,0.276,1.253,2.91,0.612,0.14,0.181
