area,rel__Catholic,rel__Protestant and Other Christian (including Christian rel,rel__Other religions,rel__None,natid__British only,natid__Irish only,natid__Northern Irish only,natid__British and Irish only,natid__British and Northern Irish only,natid__Irish and Northern Irish only,"natid__British, Irish and Northern Irish only",natid__Other,pass__United Kingdom only,pass__Ireland only,pass__United Kingdom and Ireland only,pass__United Kingdom and other (not Ireland),pass__Ireland and other (not United Kingdom),"pass__United Kingdom, Ireland and other",pass__Other only (not United Kingdom or Ireland),pass__No passport,"irish__Understands but does not read, write or speak Irish",irish__Speaks but does not read or write Irish,irish__Speaks and reads but does not write Irish,"irish__Speaks, reads, writes and understands Irish",irish__Other combination of skills,irish__No ability in Irish,irish__No code required,ten__Owner occupied: Owns outright,ten__Owner occupied: Owns with a mortgage or loan or shared ,ten__Social rented: Northern Ireland Housing Executive,ten__Social rented: Housing association or charitable trust,ten__Private rented: Private landlord or letting agency,ten__Private rented: Other private rented,ten__Lives rent free,ten__No code required,"nssec__L1, L2, L3: Higher managerial, administrative and pro","nssec__L4, L5, L6: Lower managerial, administrative and prof",nssec__L7: Intermediate occupations,"nssec__L8, L9: Small employers and own account workers","nssec__L10, L11: Lower supervisory and technical occupations",nssec__L12: Semi-routine occupations,nssec__L13: Routine occupations,"nssec__L14.1, L14.2: Never worked and long-term unemployed",nssec__L15: Full-time students,nssec__No code required,qual__No qualifications,"qual__Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 ","qual__Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (pass",qual__Apprenticeship,"qual__Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ ","qual__Level 4 and above: Degree (BA, BSc), foundation degree","qual__Other: Other qualifications, equivalent unknown",qual__No code required,econ__Economically active: Employee (including full-time stu,econ__Economically active: Self-employed (including full-tim,econ__Economically active: Unemployed (including full-time s,econ__Economically inactive: Retired,econ__Economically inactive: Student,econ__Economically inactive: Looking after home or family,econ__Economically inactive: Long-term sick or disabled,econ__Economically inactive: Other,econ__No code required,age__0-15 years,age__16-24 years,age__25-34 years,age__35-44 years,age__45-54 years,age__55-64 years,age__65+ years,sex__Female,sex__Male,hlth__Very good health,hlth__Good health,hlth__Fair health,hlth__Bad health,hlth__Very bad health,cob__Europe: United Kingdom: Northern Ireland,cob__Europe: United Kingdom: England,cob__Europe: United Kingdom: Scotland,cob__Europe: United Kingdom: Wales,cob__Europe: Republic of Ireland,cob__Europe: Other EU countries,cob__Europe: Other Non-EU countries,cob__Africa,cob__Middle East and Asia,"cob__North America, Central America and Caribbean",cob__South America,"cob__Antarctica, Oceania and Other"
Castlereagh East,8.183,74.067,1.338,16.412,52.317,3.283,19.266,0.479,15.855,0.63,2.192,5.977,73.159,5.334,5.781,0.566,0.142,0.1,3.347,11.571,1.142,0.265,0.123,0.671,0.228,93.666,3.904,28.855,47.733,8.914,2.105,9.48,0.699,1.114,1.101,9.913,18.708,12.566,6.438,4.452,9.63,8.708,5.726,4.717,19.142,15.539,5.461,11.105,5.689,13.046,28.201,1.817,19.142,43.806,5.694,1.763,17.804,3.187,2.749,4.174,1.68,19.142,19.142,8.608,14.384,13.339,13.581,13.425,17.521,51.486,48.514,49.4,29.81,13.681,5.183,1.927,88.302,3.557,0.927,0.178,0.858,1.762,0.21,0.598,2.881,0.466,0.082,0.178
Castlereagh South,50.311,36.853,2.448,10.388,26.264,31.552,22.463,0.89,6.88,3.415,2.84,5.697,45.474,30.777,9.967,0.532,0.272,0.132,3.193,9.652,5.326,2.244,0.647,4.411,1.235,82.612,3.525,33.661,50.064,1.43,2.324,9.225,0.609,0.792,1.894,17.251,22.057,10.46,5.483,3.146,6.463,4.845,4.909,5.743,19.643,10.329,3.568,9.298,3.385,10.933,41.255,1.588,19.644,43.948,5.922,1.486,18.397,3.815,2.201,2.874,1.712,19.645,19.643,8.536,11.882,14.092,13.206,15.194,17.446,51.388,48.612,54.951,29.257,10.92,3.661,1.209,87.304,3.065,0.732,0.149,2.478,1.78,0.166,0.562,2.929,0.541,0.102,0.192
Causeway,20.201,68.166,1.137,10.496,45.477,10.399,23.005,0.803,11.275,1.422,2.408,5.211,59.645,12.277,7.738,0.42,0.159,0.061,2.204,17.497,2.396,0.807,0.281,1.846,0.599,91.346,2.726,38.328,27.627,8.072,2.262,19.066,1.251,2.046,1.349,9.107,16.478,8.39,10.313,4.376,9.681,9.584,7.75,7.962,16.36,18.842,4.564,11.014,4.454,13.7,29.119,1.948,16.36,33.217,8.63,2.502,23.042,4.739,3.891,5.016,2.604,16.36,16.36,11.103,9.734,10.692,13.528,15.117,23.466,51.263,48.737,47.062,30.857,15.162,5.281,1.638,87.707,5.358,1.304,0.261,1.65,1.764,0.143,0.395,0.689,0.464,0.073,0.192
Clogher Valley,56.535,38.855,0.45,4.16,27.186,39.524,17.793,0.314,5.751,1.627,0.696,7.11,35.29,34.931,3.983,0.118,0.332,0.045,5.101,20.2,7.556,3.314,0.827,6.469,1.432,75.873,4.528,38.232,40.66,3.455,0.877,12.874,1.064,2.15,0.686,6.833,13.697,7.556,12.033,4.61,8.047,11.542,7.028,5.564,23.09,19.612,4.087,10.11,4.982,12.102,24.194,1.823,23.09,38.319,10.633,1.414,13.065,3.491,3.728,4.114,2.146,23.09,23.09,10.047,13.015,13.893,12.52,11.583,15.852,49.22,50.78,56.649,26.904,11.474,3.71,1.264,87.835,2.773,0.377,0.123,3.337,4.287,0.141,0.155,0.395,0.323,0.127,0.127
Coast Road,32.879,55.548,0.729,10.844,45.981,12.908,23.064,0.641,10.92,1.029,1.805,3.652,59.174,12.732,5.71,0.335,0.112,0.135,1.447,20.354,2.629,1.076,0.276,1.541,0.547,91.049,2.882,35.958,31.777,10.233,1.688,16.662,1.264,1.894,0.523,6.416,13.625,9.632,7.198,6.028,12.126,13.037,9.297,4.987,17.654,21.705,6.151,12.367,6.133,13.431,20.535,2.023,17.654,35.148,5.763,2.635,21.341,3.587,4.211,6.845,2.817,17.654,17.654,9.597,10.985,11.003,13.814,15.301,21.647,51.485,48.515,43.652,31.308,16.313,6.71,2.017,90.673,4.146,1.476,0.176,0.823,1.258,0.082,0.359,0.4,0.388,0.029,0.188
Coleraine,24.525,61.511,1.346,12.618,47.23,7.539,22.434,0.499,10.997,0.974,1.846,8.483,60.524,9.134,4.165,0.453,0.148,0.055,5.489,20.032,1.816,0.715,0.182,1.177,0.525,92.474,3.111,27.885,29.751,15.453,3.187,19.043,0.931,1.634,2.116,5.643,13.069,9.403,5.66,4.5,12.324,14.216,10.012,6.456,18.716,22.345,5.553,12.415,4.542,12.842,21.723,1.867,18.713,36.08,4.491,2.857,18.662,4.385,4.787,7.141,2.883,18.713,18.713,10.84,12.279,11.894,13.228,13.909,19.137,51.856,48.144,44.33,31.17,16.03,6.307,2.163,86.188,4.364,1.151,0.195,1.215,4.402,0.161,0.491,1.228,0.428,0.03,0.148
Collin,87.806,7.579,1.2,3.415,7.526,70.483,13.908,0.708,1.135,2.28,0.643,3.318,23.794,55.284,4.055,0.115,0.189,0.047,1.757,14.759,9.42,4.368,0.947,9.178,1.696,70.441,3.952,20.153,41.265,16.895,11.672,6.963,0.855,1.545,0.652,6.243,12.657,10.513,5.235,3.63,10.053,9.59,11.61,6.73,23.737,19.237,5.04,12.277,4.3,12.778,21.289,1.342,23.737,36.613,4.4,2.672,11.549,4.491,5.208,8.644,2.687,23.737,23.736,11.646,13.63,14.075,11.843,12.339,12.731,52.296,47.704,49.712,25.608,13.689,8.036,2.955,93.055,1.831,0.386,0.083,1.495,1.141,0.106,0.392,0.988,0.375,0.056,0.091
Comber,7.398,77.831,0.965,13.806,51.306,3.207,20.999,0.903,15.775,0.636,2.812,4.362,69.997,5.331,8.133,0.354,0.097,0.077,1.858,14.152,0.883,0.292,0.051,0.472,0.246,94.94,3.115,38.056,41.099,5.67,4.09,8.39,0.806,1.216,0.672,11.053,18.227,12.105,9.313,4.433,9.088,8.236,5.552,4.752,17.241,15.702,5.414,11.628,6.235,12.967,28.895,1.919,17.241,39.301,7.836,1.729,22.547,3.197,3.028,3.597,1.524,17.241,17.241,8.811,11.227,11.402,13.614,15.076,22.629,50.965,49.035,47.881,32.451,13.747,4.546,1.375,90.955,3.74,1.006,0.108,0.867,1.642,0.123,0.375,0.585,0.344,0.118,0.139
Cookstown,59.588,33.848,0.695,5.869,24.72,35.424,21.189,0.337,5.334,1.901,0.658,10.436,36.812,29.524,4.997,0.154,0.187,0.073,8.523,19.73,7.06,2.779,0.727,4.769,1.247,79.433,3.985,33.05,35.183,6.004,0.926,19.925,1.198,2.62,1.093,5.399,12.118,6.682,9.38,4.932,9.473,14.957,8.852,5.724,22.484,22.935,4.278,10.696,5.659,11.378,20.705,1.865,22.484,37.153,7.722,1.812,13.767,3.559,4.871,5.955,2.677,22.484,22.485,10.518,12.886,13.849,12.736,11.769,15.758,50.489,49.511,50.843,28.007,13.648,5.544,1.958,86.325,2.503,0.524,0.077,1.259,6.642,0.179,0.589,1.369,0.382,0.085,0.065
Court,36.119,52.693,1.945,9.243,43.02,26.805,12.801,0.391,9.016,1.001,0.472,6.494,54.503,20.2,2.001,0.257,0.09,0.027,4.069,18.853,3.599,1.906,0.385,3.107,0.839,86.397,3.767,15.6,22.552,29.435,12.92,14.118,1.222,2.656,1.497,3.328,8.445,9.156,3.88,4.077,12.441,15.285,16.047,5.416,21.926,29.409,6.031,11.471,4.651,10.93,13.849,1.733,21.926,32.679,2.909,3.086,13.063,4.137,6.139,12.092,3.97,21.926,21.926,10.608,14.858,12.982,11.889,12.684,15.053,53.049,46.951,41.013,26.42,17.252,11.023,4.293,89.365,2.342,0.965,0.099,0.86,2.453,0.197,1.21,1.993,0.311,0.099,0.108
Craigavon,49.291,39.177,1.823,9.709,29.831,26.521,19.919,0.514,7.64,1.501,1.113,12.961,45.81,25.14,4.461,0.339,0.202,0.048,10.223,13.776,4.683,1.754,0.415,3.166,0.901,85.114,3.967,26.672,45.865,7.269,0.476,17.059,0.894,1.127,0.637,7.493,14.968,8.942,6.02,5.218,9.072,12.7,6.547,5.393,23.647,17.537,4.646,10.901,4.471,12.018,24.859,1.922,23.646,42.118,5.133,1.73,13.185,3.341,3.742,5.146,1.956,23.649,23.647,9.877,13.591,14.773,13.019,11.224,13.869,50.774,49.226,51.782,29.159,12.214,5.273,1.573,82.733,3.323,0.733,0.13,1.391,8.099,0.329,0.576,2.158,0.233,0.161,0.134
Crotlieve,84.111,11.616,0.722,3.551,8.804,60.022,18.481,0.659,1.741,3.282,0.823,6.188,22.087,54.385,5.599,0.202,0.6,0.129,4.092,12.906,9.75,3.279,1.008,6.54,1.922,73.859,3.642,34.31,43.941,3.471,1.981,12.704,1.074,1.751,0.767,8.811,15.024,7.346,10.744,3.868,8.187,9.021,7.761,6.624,22.614,15.749,3.673,9.934,6.139,12.613,27.937,1.339,22.614,36.341,9.809,2.145,13.489,4.476,4.127,4.612,2.386,22.615,22.614,10.754,11.445,13.44,13.73,12.697,15.32,50.255,49.745,56.969,26.482,10.995,4.046,1.507,86.341,3.739,0.586,0.133,4.008,3.185,0.262,0.237,0.481,0.753,0.063,0.213
Cusher,25.486,67.07,1.031,6.413,46.646,18.221,15.995,0.408,11.449,0.752,1.149,5.379,56.179,18.306,4.272,0.256,0.088,0.057,3.165,17.676,3.47,1.218,0.321,2.329,0.683,88.086,3.894,37.297,41.955,3.886,0.397,12.667,0.821,1.863,1.115,6.707,14.774,8.906,10.208,4.696,9.132,11.464,6.207,5.581,22.325,18.347,4.421,11.38,5.249,12.789,23.642,1.848,22.325,38.477,8.685,1.412,15.732,3.734,3.398,4.436,1.802,22.325,22.325,10.17,11.689,12.682,13.804,12.056,17.274,50.372,49.628,54.174,27.898,12.338,4.096,1.493,89.654,3.253,0.618,0.164,2.153,2.901,0.16,0.294,0.351,0.275,0.061,0.115
Derg,59.762,37.245,0.489,2.504,26.762,38.621,23.365,0.331,5.301,1.92,0.55,3.15,37.937,34.686,3.217,0.174,0.129,0.011,1.325,22.52,6.002,2.072,0.511,3.79,1.022,82.942,3.661,33.871,35.707,8.26,2.094,16.48,1.028,2.123,0.438,4.632,11.324,7.484,9.404,4.284,10.494,12.52,12.824,5.738,21.296,26.397,4.868,10.5,4.352,11.921,19.176,1.488,21.298,33.562,7.468,2.342,14.481,4.06,5.289,8.192,3.307,21.298,21.298,10.736,11.595,12.758,14.307,12.089,17.216,50.508,49.492,47.692,27.241,15.925,6.812,2.33,88.281,3.167,1.174,0.112,5.239,1.174,0.079,0.095,0.326,0.236,0.006,0.112
Downpatrick,80.48,13.588,0.799,5.133,14.816,44.392,27.733,1.145,2.277,3.185,1.328,5.124,31.65,39.708,6.525,0.228,0.155,0.068,2.875,18.791,5.836,2.432,0.584,3.951,1.287,82.369,3.541,30.485,37.023,8.008,3.627,17.138,1.081,1.583,1.054,6.79,15.331,8.784,9.176,4.102,9.281,9.235,10.034,5.772,21.496,17.568,4.212,11.453,5.645,13.338,24.413,1.875,21.497,34.737,7.556,2.218,16.248,4.266,4.335,6.566,2.578,21.496,21.496,10.257,12.032,12.876,12.721,13.346,17.27,50.931,49.069,49.151,28.655,14.104,6.091,1.999,89.186,4.125,0.63,0.146,1.629,2.514,0.214,0.233,0.808,0.31,0.041,0.164
Downshire East,15.191,72.449,1.206,11.154,46.841,8.736,20.285,0.866,13.8,1.469,3.398,4.604,63.718,10.678,11.091,0.496,0.179,0.131,2.019,11.688,1.839,0.484,0.281,1.158,0.257,92.786,3.195,41.153,42.568,5.882,0.824,7.596,0.537,1.284,0.155,14.484,18.897,9.559,9.923,3.29,7.027,5.982,4.878,5.469,20.491,12.493,4.061,10.128,4.891,11.215,35.047,1.672,20.494,37.511,9.745,1.529,19.532,3.834,3.392,2.597,1.367,20.493,20.496,8.629,10.099,12.481,13.467,14.804,20.024,50.52,49.48,55.664,27.847,11.705,3.798,0.985,89.174,4.097,0.997,0.233,1.672,1.523,0.167,0.448,0.842,0.412,0.149,0.287
Downshire West,17.72,69.855,1.449,10.977,44.869,9.302,21.896,0.983,13.269,1.355,2.821,5.503,62.74,11.873,10.652,0.64,0.18,0.169,2.583,11.163,1.71,0.541,0.215,1.274,0.436,92.542,3.281,38.223,42.342,3.356,1.402,11.971,0.71,1.454,0.541,14.62,20.1,10.722,8.418,3.607,7.301,7.022,5.015,4.701,18.494,13.747,3.869,10.222,4.381,11.513,35.878,1.897,18.494,40.782,7.959,1.565,21.077,3.171,2.775,2.816,1.361,18.494,18.494,7.726,11.478,12.84,14.544,13.864,21.054,50.657,49.343,53.854,29.19,11.913,3.845,1.198,87.317,4.887,1.088,0.209,1.885,1.821,0.233,0.599,1.169,0.483,0.111,0.198
Dungannon,62.956,29.473,1.213,6.357,20.189,28.366,14.417,0.386,4.516,1.677,0.538,29.911,29.559,25.047,3.74,0.257,0.195,0.059,26.845,14.298,5.909,2.664,0.651,5.144,1.326,80.129,4.177,25.031,32.929,8.448,4.817,24.707,1.416,1.775,0.878,5.78,11.677,6.525,6.692,5.039,8.276,19.41,7.398,5.983,23.221,24.894,3.978,9.056,4.801,10.066,21.056,2.929,23.221,42.158,5.913,2.098,11.951,3.541,3.573,4.7,2.843,23.222,23.222,10.289,14.434,15.581,12.804,10.246,13.424,49.333,50.667,52.738,30.729,10.87,4.212,1.451,69.333,2.391,0.402,0.059,1.607,16.283,0.308,0.995,7.91,0.265,0.386,0.062
Dunsilly,49.017,43.066,0.806,7.112,32.302,27.363,22.346,0.572,8.439,2.261,1.467,5.25,47.816,25.547,6.679,0.222,0.133,0.106,3.55,15.946,5.662,2.311,0.606,4.289,0.911,82.826,3.395,36.878,43.857,3.345,1.078,11.302,0.678,1.572,1.289,9.272,16.511,9.189,10.561,4.35,7.789,9.25,6.317,5.878,20.883,15.807,3.956,11.335,6.306,12.701,27.253,1.756,20.886,40.332,9.079,1.584,15.385,3.595,2.873,4.334,1.934,20.886,20.886,10.462,11.473,12.401,14.402,13.563,16.813,50.122,49.878,54.234,28.342,12.051,3.956,1.417,89.988,3.3,0.8,0.156,1.022,2.839,0.106,0.417,0.711,0.383,0.028,0.25
Enniskillen,52.956,38.534,1.978,6.531,28.448,30.231,22.335,0.677,4.694,1.984,1.198,10.433,39.199,30.013,5.615,0.309,0.244,0.07,7.755,16.795,4.856,2.173,0.547,3.257,1.182,84.901,3.084,33.989,30.098,8.325,2.607,19.924,1.051,1.875,2.13,7.024,14.362,9.111,7.561,4.628,11.842,12.628,8.33,5.566,18.947,19.909,4.591,11.811,4.217,11.936,26.592,1.995,18.95,37.754,6.211,1.897,18.926,3.881,3.989,5.626,2.769,18.947,18.946,9.452,11.787,12.47,13.148,13.912,20.285,51.222,48.778,48.247,29.912,14.357,5.485,2.0,79.247,5.48,0.71,0.136,5.22,6.054,0.233,0.569,1.783,0.379,0.07,0.119
Erne East,65.247,30.958,0.633,3.161,22.968,46.049,20.215,0.276,3.895,1.618,0.709,4.271,30.789,42.097,3.788,0.163,0.245,0.069,2.045,20.804,5.13,4.678,1.079,5.776,1.775,77.512,4.051,40.124,35.81,4.74,1.549,13.876,0.978,2.075,0.847,5.262,12.097,7.444,11.345,4.885,9.294,12.53,8.918,5.757,22.47,21.05,4.391,10.926,4.836,12.068,22.631,1.625,22.474,34.546,9.402,1.486,14.695,4.346,5.018,5.381,2.653,22.472,22.472,9.471,11.001,13.378,13.14,12.243,18.295,49.743,50.257,51.719,28.343,13.736,4.553,1.65,83.523,4.654,0.521,0.151,8.443,1.763,0.075,0.119,0.27,0.32,0.038,0.125
Erne North,50.686,44.248,0.683,4.382,33.283,30.398,22.111,0.444,6.1,2.009,0.981,4.674,42.319,29.59,4.455,0.245,0.146,0.046,2.155,21.044,3.945,2.864,0.557,3.083,1.087,84.95,3.514,40.499,34.392,5.536,1.319,14.262,1.445,2.122,0.424,5.781,13.286,9.07,10.568,4.588,10.449,11.205,8.645,5.576,20.831,20.334,4.793,11.271,5.132,11.888,24.02,1.73,20.831,35.484,8.659,1.916,16.86,4.018,4.29,5.397,2.546,20.831,20.831,9.667,11.085,12.219,13.393,13.843,18.962,49.99,50.01,49.944,28.767,14.745,4.793,1.75,84.589,5.531,0.875,0.139,5.816,1.936,0.086,0.225,0.351,0.298,0.007,0.146
Erne West,68.072,27.051,0.791,4.086,19.61,47.916,20.599,0.484,3.213,1.814,0.839,5.525,28.538,44.383,4.57,0.409,0.484,0.082,2.865,18.669,5.661,5.272,1.044,4.999,1.848,77.37,3.806,45.27,35.748,1.63,0.982,11.623,1.255,2.421,1.071,6.555,13.983,8.042,12.291,4.665,9.42,10.334,6.678,6.03,22.004,18.253,4.352,10.231,5.341,11.125,26.881,1.814,22.004,35.093,10.429,1.487,16.411,4.556,3.99,3.854,2.176,22.004,22.002,9.433,9.705,12.952,13.286,12.986,19.636,48.98,51.02,53.986,28.889,12.16,3.71,1.255,80.881,6.221,0.512,0.198,8.178,2.619,0.164,0.198,0.293,0.546,0.068,0.123
Faughan,56.036,38.843,1.009,4.113,28.002,37.257,21.327,0.723,6.109,2.059,1.003,3.52,42.726,35.26,5.033,0.25,0.224,0.042,1.357,15.109,4.336,1.451,0.504,2.979,0.827,86.498,3.405,32.049,43.185,6.904,1.892,12.742,0.957,1.482,0.79,7.747,15.176,9.426,8.49,4.45,9.088,9.577,8.651,5.75,21.644,19.05,4.414,10.892,4.627,12.301,25.803,1.269,21.644,37.95,7.394,2.085,14.818,4.154,3.874,5.886,2.194,21.645,21.645,9.92,11.678,13.248,14.907,12.655,15.947,50.286,49.714,53.13,27.02,12.852,5.376,1.622,88.843,4.045,1.144,0.135,3.281,1.128,0.083,0.244,0.665,0.302,0.052,0.078
Foyleside,90.278,5.151,0.888,3.683,4.582,71.459,15.107,0.49,0.825,2.624,0.751,4.161,16.052,63.838,3.478,0.12,0.342,0.08,2.095,13.997,7.747,3.358,0.763,7.07,1.793,76.292,2.977,28.558,26.685,12.568,9.147,18.169,0.939,1.378,2.556,7.263,14.509,9.432,5.937,3.677,9.597,9.791,13.382,9.193,17.219,20.233,4.599,10.12,4.098,15.054,27.262,1.417,17.217,33.874,5.191,4.15,16.513,5.658,4.998,9.21,3.188,17.219,17.219,13.536,12.671,12.477,11.663,14.635,17.799,50.581,49.419,46.647,27.482,15.261,7.946,2.664,87.23,3.501,0.854,0.125,5.044,1.349,0.125,0.319,0.786,0.507,0.046,0.114
Glengormley Urban,45.843,41.605,2.066,10.486,32.902,26.691,22.269,0.749,8.651,2.056,1.599,5.083,52.997,24.95,6.132,0.323,0.189,0.065,3.415,11.928,4.75,1.756,0.568,3.752,0.901,85.282,2.99,32.709,49.757,3.688,1.714,9.825,0.735,1.054,0.518,8.689,17.734,12.95,5.407,4.571,10.861,10.011,5.823,5.518,18.436,16.285,5.638,12.565,5.754,13.568,25.69,2.066,18.434,42.957,4.529,2.126,19.706,3.42,2.768,4.293,1.765,18.435,18.434,9.27,12.764,13.268,12.884,13.282,20.098,51.315,48.685,47.927,30.209,14.562,5.573,1.728,90.041,2.935,0.647,0.116,1.007,2.537,0.18,0.411,1.618,0.291,0.069,0.148
Holywood and Clandeboye,19.658,62.097,1.951,16.293,40.896,9.669,22.726,1.35,12.893,1.759,3.484,7.223,61.678,11.678,14.211,0.976,0.269,0.24,2.725,8.223,2.182,0.654,0.211,1.245,0.735,92.44,2.533,35.102,41.979,5.762,3.085,8.881,2.091,1.12,1.98,17.315,20.829,10.179,7.612,2.912,7.401,4.931,5.152,5.527,18.142,11.846,3.907,10.429,3.556,11.222,38.956,1.942,18.142,36.363,8.146,1.668,23.396,3.85,3.283,3.379,1.773,18.143,18.142,8.386,9.732,11.89,13.932,14.235,23.683,51.605,48.395,52.537,30.234,11.741,4.196,1.293,81.526,7.785,2.134,0.264,2.34,1.889,0.288,0.831,1.557,0.879,0.139,0.365
Killultagh,37.837,51.465,0.904,9.794,34.807,24.853,21.456,0.736,10.68,1.785,1.713,3.97,54.877,24.004,7.073,0.377,0.245,0.077,1.708,11.639,3.612,1.772,0.404,3.453,0.831,86.14,3.789,29.56,57.059,1.149,0.768,7.263,0.536,1.113,2.553,11.002,18.02,10.784,8.594,3.916,7.831,7.045,4.665,5.692,22.453,11.529,4.433,11.088,4.838,13.886,30.447,1.326,22.453,44.052,7.967,1.649,11.937,3.598,2.666,3.093,2.585,22.453,22.45,9.701,13.271,15.478,14.524,12.176,12.399,48.78,51.22,56.603,28.251,10.557,3.552,1.036,90.205,3.734,0.745,0.173,1.504,1.576,0.091,0.504,0.804,0.436,0.032,0.195
Knockagh,8.922,73.443,1.17,16.466,52.414,3.549,20.09,0.533,15.881,0.567,1.812,5.153,72.097,5.673,5.72,0.399,0.093,0.058,2.68,13.28,0.932,0.313,0.058,0.573,0.29,94.818,3.017,32.652,42.721,9.907,0.596,12.224,0.753,1.002,0.145,9.426,16.46,11.626,6.178,4.881,10.63,10.248,6.971,5.437,18.145,16.64,5.882,12.506,5.413,13.722,25.579,2.113,18.145,41.634,5.309,2.148,18.278,3.572,3.688,5.147,2.079,18.145,18.145,9.976,12.402,12.344,14.44,15.001,17.693,51.21,48.79,47.021,30.959,14.417,5.825,1.778,89.205,4.266,1.175,0.191,0.793,1.887,0.232,0.585,1.082,0.428,0.029,0.127
Lagan River,14.421,73.597,0.911,11.071,49.714,6.975,20.964,0.564,14.308,0.907,2.016,4.552,66.887,9.297,6.427,0.367,0.093,0.065,2.076,14.789,1.536,0.556,0.145,1.004,0.407,92.843,3.508,34.126,47.845,3.729,0.798,10.837,0.867,1.544,0.254,9.204,17.457,10.365,9.49,4.386,8.789,8.632,4.6,5.681,21.396,13.995,4.58,11.539,5.274,13.322,28.171,1.722,21.397,41.361,8.54,1.669,15.391,3.851,3.028,3.379,1.383,21.398,21.396,9.793,12.514,13.191,14.788,12.474,15.844,50.284,49.716,54.878,28.133,11.26,4.378,1.351,90.86,3.649,0.762,0.258,1.181,1.814,0.149,0.415,0.411,0.278,0.06,0.161
Larne Lough,13.545,71.305,1.031,14.118,50.06,4.349,22.255,0.72,14.549,1.102,2.183,4.781,69.044,6.735,5.987,0.404,0.033,0.033,1.839,15.925,1.315,0.333,0.131,0.6,0.349,94.303,2.969,35.995,41.091,3.509,1.037,14.701,0.9,1.561,1.206,8.48,17.408,11.411,8.589,5.583,10.145,9.926,6.183,4.589,17.686,15.974,5.435,12.077,5.932,14.664,26.102,2.128,17.687,38.984,7.368,2.047,20.875,3.313,3.236,4.53,1.959,17.688,17.687,8.814,10.964,11.826,14.489,15.248,20.972,50.48,49.52,47.574,31.221,14.17,5.273,1.763,89.152,5.14,1.495,0.186,0.851,1.451,0.115,0.524,0.502,0.382,0.06,0.142
Limavady,47.72,46.038,0.456,5.786,38.306,20.715,26.433,0.727,7.542,1.645,1.238,3.395,52.822,20.068,3.845,0.136,0.08,0.049,1.392,21.608,3.887,1.398,0.382,2.594,0.745,88.03,2.963,29.941,32.522,10.732,2.68,17.576,0.936,1.497,4.115,5.114,12.975,9.192,8.317,4.485,11.213,11.577,12.864,5.397,18.865,24.338,5.317,11.343,5.225,12.748,20.53,1.633,18.866,32.66,6.364,2.464,18.397,3.795,4.744,8.016,4.695,18.865,18.866,9.612,11.996,12.187,14.615,13.081,19.643,49.963,50.037,45.459,28.638,16.346,7.184,2.372,91.041,3.913,1.084,0.173,1.534,1.269,0.092,0.16,0.4,0.203,0.037,0.092
Lisburn North,31.048,52.173,2.337,14.443,39.321,18.918,20.177,0.751,9.574,1.65,1.932,7.677,56.292,18.559,6.862,0.542,0.171,0.102,4.034,13.438,3.032,1.053,0.375,2.021,0.623,89.13,3.766,27.277,38.773,10.306,4.916,11.189,2.729,1.386,3.424,10.696,18.146,11.096,5.254,4.286,10.359,9.399,6.623,4.985,19.156,16.141,5.454,10.866,4.964,12.559,28.833,2.026,19.156,41.699,4.572,2.171,18.888,3.224,3.382,4.64,2.269,19.156,19.159,9.106,14.548,13.337,12.595,11.981,19.274,50.676,49.324,49.111,29.481,13.843,5.57,1.996,83.389,6.576,1.151,0.209,1.471,3.19,0.183,0.742,2.038,0.614,0.132,0.303
Lisburn South,23.659,58.809,1.863,15.67,47.778,8.815,19.619,0.596,11.454,0.983,1.423,9.333,63.48,10.324,4.083,0.44,0.115,0.053,6.184,15.32,1.562,0.563,0.189,0.954,0.378,92.895,3.458,22.997,36.898,15.086,10.39,10.752,0.933,1.55,1.394,6.427,14.366,10.246,5.164,4.716,12.364,12.113,7.426,5.251,21.928,19.16,5.9,11.594,5.185,12.532,21.602,2.101,21.927,39.988,4.239,2.187,16.01,3.503,3.766,6.048,2.331,21.927,21.928,9.51,13.667,14.366,13.12,10.723,16.685,51.972,48.028,46.688,30.171,14.621,6.451,2.068,84.187,4.494,1.188,0.181,1.007,5.234,0.28,0.613,2.36,0.321,0.053,0.082
Lisnasharragh,31.364,50.843,2.557,15.235,34.422,19.482,20.583,0.898,10.086,2.931,2.969,8.629,54.075,20.392,8.416,0.741,0.329,0.13,5.098,10.82,3.737,1.46,0.497,3.377,0.929,86.703,3.298,29.736,42.77,6.267,3.891,14.292,0.926,0.967,1.152,15.334,19.602,10.631,5.293,3.589,8.684,7.813,5.91,4.878,18.265,13.936,4.33,8.978,4.337,10.974,37.487,1.694,18.265,44.066,5.835,1.995,17.7,3.39,2.681,4.059,2.009,18.265,18.265,8.056,14.285,15.351,13.342,13.301,17.398,51.532,48.468,50.535,29.739,12.856,5.3,1.57,84.549,4.083,0.943,0.199,2.273,3.637,0.315,0.898,1.947,0.682,0.233,0.24
