dz,con,adults,green,alliance,nonvoter,gap_yield,tilt,p_alli,p_green,yield_flat,yield_refined
N20001162,BELFAST SOUTH,1710.604,0.0026814427008982,0.0040360413543426,618.1467493367077,138.3593703299002,0.2712733200507154,0.13341128119311962,0.14995995871551518,138.3593703299002,138.3596372941965
N20001070,BELFAST SOUTH,531.7280000000001,90.01152515488569,160.86506653132116,192.1461277603168,102.98457903012562,0.30273611038519843,0.13566234546408895,0.1522541270974706,102.98457903012562,114.06335337850001
N20001195,BELFAST SOUTH,542.8720000000001,68.54781819733383,152.94440581735213,196.1731424139761,96.53051453756126,0.5511296006033964,0.1532873860237952,0.16907442902093767,96.53051453756126,113.9770527928955
N20001167,BELFAST SOUTH,533.32,54.06652977604462,202.8961597043809,192.7214155679824,103.41450574791764,0.27043457797301534,0.13335130623725824,0.14989850209884478,103.41450574791764,113.45812082689383
N20001230,BELFAST SOUTH,497.5,130.5189376835425,97.79579825765232,179.77743989550595,96.29306435273308,0.38968658329473527,0.14189648734445326,0.15848297513709128,96.29306435273308,109.36281337848135
N20001063,BELFAST SOUTH,503.86800000000005,73.38173858583617,182.48491415103047,182.0785911261684,101.36674220819114,0.20407187794700873,0.12861164114238297,0.14498613147840705,101.36674220819114,108.9720902702677
N20001066,BELFAST SOUTH,496.704,79.39185015629127,175.1973632947451,179.48979599167313,100.67765005955344,0.19523844841652452,0.12798159334663187,0.1443247476354753,100.67765005955344,107.9351042626184
N20001121,BELFAST SOUTH,502.276,64.67548054336721,160.1731869813504,181.5033033185028,93.895811501436,0.4149805845084815,0.14371363057969153,0.1602649132965932,93.895811501436,107.3938491160063
N20001076,BELFAST SOUTH,486.3560000000001,59.76538121899954,174.35543876999142,175.7504252418466,94.57559787532722,0.3713133016197989,0.14057755991477275,0.15718019208918216,94.57559787532722,107.14643278772033
N20000855,BELFAST NORTH,1192.408,0.0040295176944158,0.0305158239642402,468.367907969552,104.8412557858028,0.32861954049336134,0.13751611151251789,0.15412527271778403,104.8412557858028,104.84288509517937
N20002483,BELFAST SOUTH,647.148,19.815806894681256,184.3613474519119,233.85449381607413,99.538366832494,0.17230769230769227,0.12634696907831827,0.14259950227889093,99.538366832494,104.58132642476642
N20001166,BELFAST SOUTH,438.596,40.68324240461156,181.6816723151864,158.49179101187804,87.45234629018162,0.4812194427917325,0.14848005115736876,0.16486889755878997,87.45234629018162,102.84170755334671
N20002478,BELFAST SOUTH,632.024,33.25900093514024,168.0859718051853,228.38925964325077,98.07557783497067,0.09374446843912623,0.12075663224055867,0.13659560043005026,98.07557783497067,100.80067585091237
N20000817,BELFAST NORTH,596.2040000000001,119.28076539319052,49.86892959217269,234.183953984776,94.62839359496172,0.17008011104967827,0.12618824623852598,0.14243125917450455,94.62839359496172,98.98098983418414
