dz,con,adults,green,alliance,nonvoter,gap_yield
N20000004,SOUTH ANTRIM,527.748,2.239974085087334,88.41626597432116,214.0757124366472,68.67255484215293
N20000041,SOUTH ANTRIM,741.076,2.379389030106577,65.37022460040755,300.6100879012346,82.8178956408864
N20000043,SOUTH ANTRIM,652.72,1.4867584689698439,48.54466755785715,264.76935776478234,70.72525459842669
N20000090,SOUTH ANTRIM,639.984,1.2395089327079551,58.709182387878855,259.60312639376224,71.82467768870737
N20000092,SOUTH ANTRIM,638.392,0.6272290909456723,55.48512489566601,258.9573474723847,70.78610546633463
N20000115,SOUTH ANTRIM,578.692,1.1237324046440087,74.23544875205258,234.74063792072775,69.77315449901432
N20000121,SOUTH ANTRIM,561.1800000000001,3.786020967619155,111.13155346860917,227.63706978557508,77.2914798794784
N20000128,EAST ANTRIM,557.996,0.6224373137098079,82.28220298273871,226.36674314243933,69.60565263866272
N20000132,EAST ANTRIM,482.37600000000003,2.919216624272508,124.95350655535297,195.68936711029707,73.07102893493479
N20000133,EAST ANTRIM,589.0400000000001,1.467098822566806,113.53962252014325,238.96061330300304,79.77616095355387
N20000134,EAST ANTRIM,538.096,3.2256683899139036,102.57657594519917,218.29374944977033,73.10300374269929
N20000140,EAST ANTRIM,572.3240000000001,1.1516381847966886,65.87027359552023,232.17929860116107,67.29803203393115
N20000143,EAST ANTRIM,497.5,7.7227836386374165,155.02333447846038,201.82484231672552,82.54822885490555
N20000149,EAST ANTRIM,489.54,18.139208372420182,121.51525206775436,198.59564483965792,76.87085909878448
N20000151,SOUTH ANTRIM,484.764,2.9690874666971605,104.93826275252418,196.6396815594542,68.72889214949447
N20000157,SOUTH ANTRIM,537.3000000000001,2.322808372232582,82.328893188469,217.95038596491233,68.17200504793485
N20000158,EAST ANTRIM,474.416,16.282060278908208,100.95950461744269,192.46016963322947,70.3264675831245
N20000162,EAST ANTRIM,595.408,23.27142248770321,228.94345316300547,241.54397128465712,112.32686894329333
N20000173,BELFAST NORTH,508.644,13.4916831833216,98.0583287449651,199.79111695096373,70.58400271218466
N20000188,BELFAST NORTH,398.796,39.986843069175,108.03526111908191,156.64373958127203,70.05165491372395
N20000211,SOUTH ANTRIM,488.744,1.2821867710771964,184.18306569419406,198.254128862898,86.73889832922987
N20000217,SOUTH ANTRIM,473.62,3.644456328668088,115.41206534345912,192.11922910981158,70.28191460973267
N20000219,SOUTH ANTRIM,574.712,8.650372708230359,164.20917172997534,233.12619061728395,91.89038975501467
N20000231,BELFAST NORTH,388.44800000000004,40.6763076304392,87.80681632739957,152.57913156818515,64.70370805006806
N20000238,BELFAST NORTH,464.86400000000003,31.82845153644745,106.25551546996337,182.59469843405762,73.34527541979497
N20000244,BELFAST NORTH,550.832,14.143413501256083,44.42052916277278,216.36221115816414,62.220684775927616
N20000260,SOUTH ANTRIM,518.9920000000001,8.083545376299732,174.92052830327953,210.52392836907086,89.129356831959
N20000261,SOUTH ANTRIM,710.8280000000001,13.239987403838429,93.95577233996508,288.3402883950618,89.40236040814267
N20000264,SOUTH ANTRIM,543.668,3.4183967838133786,88.37643101641275,220.53350165042238,70.41348205105177
N20000267,SOUTH ANTRIM,643.168,1.1133664640462053,41.98311900645977,260.89468423651726,68.26405807996242
N20000279,SOUTH ANTRIM,1061.068,0.00012549075006118042,3.135098386417851e-08,430.41165109811567,96.33765832087971
N20000383,UPPER BANN,521.38,2.022168502653009,46.2947224271865,200.4775284424404,55.95994947411799
N20000384,UPPER BANN,517.4,3.5133679592097895,71.40029993499405,198.94716562990266,61.73226224699424
N20000389,UPPER BANN,557.996,1.642682299225009,44.02343508930808,214.55686631778732,58.49485725880622
N20000397,UPPER BANN,569.936,11.738930580336733,162.9435495774863,219.1479547554005,89.27116977808609
N20000402,UPPER BANN,626.452,1.0017146464629518,30.165694714709144,240.879106693436,61.05829161607854
N20000413,UPPER BANN,562.772,1.8205686866589774,25.37060149243189,216.3933016928326,54.695066088710746
N20000422,UPPER BANN,633.616,1.1263969037725778,18.31081488379814,243.63375975600388,59.001649583956855
N20000423,UPPER BANN,619.288,1.3265391034940748,22.318380935894105,238.12445363086812,58.734828845007556
N20000424,UPPER BANN,632.024,1.7647425154606673,10.98399358687469,243.0216146309888,57.357557569823044
N20000428,UPPER BANN,679.784,2.5077758018603147,37.449804571267194,261.38596838144133,67.69988001762864
N20000433,UPPER BANN,572.3240000000001,2.343242355466871,40.729633886135055,220.06617244292312,59.157376837264
N20000446,UPPER BANN,530.932,2.228783858393073,62.8224651795721,204.1503991925309,60.607281734222184
N20000451,UPPER BANN,574.712,4.3717916454060175,99.65029473637391,220.98439013044572,73.3336701850815
N20000457,UPPER BANN,492.72400000000005,8.448187501932516,90.9396885845863,189.45891619216886,65.34320063709208
N20000460,UPPER BANN,561.976,2.3205398541719138,30.208538266398477,216.08722913032506,55.859867336847635
N20000461,UPPER BANN,522.176,0.5470493207680353,39.69832433325044,200.78360100494794,54.14179404503419
N20000469,UPPER BANN,456.108,3.5441662922194705,76.30233848150421,175.3795783168219,57.583874656394606
N20000472,UPPER BANN,486.35600000000005,4.355648703745683,59.88615962840487,187.01033569210853,56.650515892158054
N20000474,UPPER BANN,576.304,2.016252727962457,56.342961287173345,221.59653525546082,62.978554063240566
