DZ2021_cd,nat_2001,nat_2023,pop,change,label,dea
N20000001,5.118339014718833,6.4950064162259045,499.9572232017664,1.3766674015070715,Dunsilly_A1,DUNSILLY
N20000002,0.0013945629459102466,5.941134535090948,332.8364693674041,5.939739972145038,Dunsilly_B1,DUNSILLY
N20000003,8.935678333860723,9.601647227664222,376.8037135956134,0.6659688938034982,Dunsilly_A2,DUNSILLY
N20000004,54.77460852885828,30.087757548991572,510.98066645899934,-24.68685097986671,Dunsilly_A3,DUNSILLY
N20000005,3.944486421788908,6.3638276718594735,449.8922252313223,2.4193412500705653,Dunsilly_B2,DUNSILLY
N20000006,34.61061456896396,40.58170553261889,332.70118555302673,5.97109096365493,Dunsilly_A4,DUNSILLY
N20000007,83.56673738031463,93.13370107545637,830.9555336778105,9.566963695141737,Dunsilly_C1,DUNSILLY
N20000008,40.093109927943324,51.29875588075133,1582.9166081532155,11.205645952808005,Dunsilly_A5,DUNSILLY
N20000009,8.528445349920682,15.060406219626671,227.06058436711794,6.531960869705989,Dunsilly_A6,DUNSILLY
N20000010,5.86669424503811,5.676804910222746,443.8501740427582,-0.18988933481536385,Dunsilly_B3,DUNSILLY
N20000011,24.150760579015238,24.00585705549238,254.32815061013653,-0.1449035235228564,Dunsilly_D1,DUNSILLY
N20000012,17.827999366047816,14.433295300172254,227.97143496990174,-3.394704065875562,Dunsilly_D2,DUNSILLY
N20000013,25.276644293134115,19.471534213031596,613.9302083898162,-5.805110080102519,Dunsilly_F1,DUNSILLY
N20000014,27.932573699311185,33.25284647018525,170.44638773312764,5.3202727708740625,Dunsilly_D3,DUNSILLY
N20000015,97.73461545438165,95.40082697872586,195.7511518452206,-2.333788475655794,Dunsilly_C2,DUNSILLY
N20000016,57.976013266719285,58.31390981131783,370.648943615326,0.3378965445985429,Dunsilly_E1,DUNSILLY
N20000017,87.13083106559053,91.52470858221967,376.56514874818816,4.393877516629146,Dunsilly_E2,DUNSILLY
N20000018,87.74629139796258,87.11348408167137,65.18484940171405,-0.6328073162912062,Dunsilly_E3,DUNSILLY
N20000019,55.4253315218798,63.97594306939445,145.96846097817937,8.550611547514649,Dunsilly_D4,DUNSILLY
N20000020,73.82473156511755,62.298478545547376,392.19509280069235,-11.52625301957017,Dunsilly_D5,DUNSILLY
N20000021,83.62792009703509,66.36328542026367,33.1842414566088,-17.264634676771422,Dunsilly_E4,DUNSILLY
N20000022,94.62985540048884,93.92406950242534,15.755975432153011,-0.7057858980634961,Dunsilly_C3,DUNSILLY
N20000023,55.63672908420561,60.57401525680996,194.94329271498822,4.937286172604345,Dunsilly_D6,DUNSILLY
N20000024,90.09506744200421,89.50584560949872,605.9150670797378,-0.589221832505487,Dunsilly_C4,DUNSILLY
N20000025,30.01036444679814,34.01821128309931,14.287191848165792,4.007846836301173,Dunsilly_F2,DUNSILLY
N20000026,5.83660426845543,5.86197151083339,684.4825400178435,0.02536724237796051,Dunsilly_B4,DUNSILLY
N20000027,24.21431514690093,24.659953540281013,20.653391859987906,0.44563839338008293,Dunsilly_F3,DUNSILLY
N20000028,47.555877982139705,58.16244738817006,751.0740088722481,10.606569406030353,Dunsilly_F4,DUNSILLY
N20000029,72.3598403880842,54.900150312080754,1000.5655683601966,-17.45969007600344,Dunsilly_F5,DUNSILLY
N20000030,6.516296281133644,9.350463935006198,600.7124546885125,2.834167653872554,Dunsilly_B5,DUNSILLY
N20000031,10.349610439701978,6.7696762677188715,44.86934343700307,-3.5799341719831066,Dunsilly_B6,DUNSILLY
N20000032,68.29486275885976,92.05684528560276,645.2977799088417,23.761982526742997,Dunsilly_F6,DUNSILLY
N20000033,86.9858851057662,89.2336083758457,327.8415388195344,2.2477232700795042,Dunsilly_F7,DUNSILLY
N20000034,80.01804737250616,87.65861094508354,118.82381015928577,7.640563572577378,Dunsilly_F8,DUNSILLY
N20000035,28.658839176561035,47.39208597246899,657.3289826509842,18.733246795907956,Antrim_A1,ANTRIM
N20000036,41.27882376863711,41.200026078212765,14.40532684922771,-0.07879769042434503,Antrim_A2,ANTRIM
N20000037,25.21068790857801,32.910810986163526,409.96356908033937,7.700123077585516,Antrim_A3,ANTRIM
N20000038,47.67515900389458,17.67060695352705,486.9080350258862,-30.00455205036753,Antrim_B1,ANTRIM
N20000039,17.95010943164562,22.089038910259568,337.55777853982164,4.138929478613949,Antrim_B2,ANTRIM
N20000040,24.816568799499677,48.77215698037455,273.619649143074,23.95558818087487,Antrim_A4,ANTRIM
N20000041,21.57898213523961,18.464440140128517,423.7043150100106,-3.114541995111093,Antrim_C1,ANTRIM
N20000042,28.875840598562448,22.0475432154725,57.245211988395546,-6.8282973830899465,Antrim_B3,ANTRIM
N20000043,21.674282796350973,17.756436461651674,111.86579899678638,-3.9178463346992984,Antrim_D1,ANTRIM
N20000044,24.497539286629472,18.904380375917853,688.2389426550506,-5.593158910711619,Antrim_C2,ANTRIM
N20000045,18.202725898771376,28.916358785222183,367.7487304721763,10.713632886450807,Antrim_C3,ANTRIM
N20000046,18.47331101578904,17.415857455604076,419.3499515279939,-1.057453560184964,Antrim_D2,ANTRIM
N20000047,41.730896051301215,20.90910336939951,645.6242484541647,-20.821792681901705,Antrim_D3,ANTRIM
N20000048,20.908943098710694,28.99538429907048,187.77950808998102,8.086441200359786,Antrim_C4,ANTRIM
N20000049,54.89017796288175,63.90239355778002,488.4782660056699,9.012215594898272,Antrim_G1,ANTRIM
N20000050,22.111777217082917,17.610422738366616,453.63350077574796,-4.501354478716301,Antrim_E1,ANTRIM
N20000051,78.32253152566895,72.44657550267523,188.00436865744936,-5.875956022993719,Antrim_F1,ANTRIM
N20000052,26.413699065644536,30.204875006387674,1084.8894165804522,3.7911759407431376,Antrim_F2,ANTRIM
N20000053,41.82342569879121,38.38663043101308,599.0400269419711,-3.4367952677781304,Antrim_E2,ANTRIM
N20000054,23.994850411857485,10.254471504966624,809.7669979674232,-13.74037890689086,Antrim_D4,ANTRIM
N20000055,28.138822199027093,14.786437738599842,221.21914101413356,-13.35238446042725,Antrim_E3,ANTRIM
N20000056,34.01339124730162,25.01795766017574,444.4553689846015,-8.99543358712588,Antrim_E4,ANTRIM
N20000057,29.876604850866517,41.715886495287435,195.20920489356106,11.839281644420918,Antrim_G2,ANTRIM
N20000058,32.3613872327945,22.07389491536558,336.5231132882415,-10.287492317428917,Antrim_H1,ANTRIM
N20000059,43.47283474130709,47.70212312915743,476.9298244798229,4.229288387850339,Antrim_F3,ANTRIM
N20000060,23.71362450081913,24.896463658891086,317.06332736582743,1.1828391580719568,Antrim_J1,ANTRIM
N20000061,21.740458875670683,27.08512218470856,489.09576631979917,5.344663309037877,Antrim_H2,ANTRIM
N20000062,28.25107794196519,26.30601364965802,345.28632076804706,-1.945064292307169,Antrim_H3,ANTRIM
N20000063,30.641148359138736,37.247765960525456,464.0906202097616,6.60661760138672,Antrim_G3,ANTRIM
N20000064,15.561157493170192,15.943623316481185,433.0654913687978,0.38246582331099255,Antrim_J2,ANTRIM
N20000065,13.89162218549361,26.149202245994815,546.7239859897243,12.257580060501205,Antrim_J3,ANTRIM
N20000066,56.39875194260129,51.1245193356757,385.01402252588576,-5.274232606925587,Antrim_K1,ANTRIM
N20000067,47.78249403621342,42.59610467939277,581.5782021695618,-5.186389356820655,Antrim_K2,ANTRIM
N20000068,30.13267227066792,60.298972786039315,213.94531400673702,30.166300515371393,Antrim_G4,ANTRIM
N20000069,10.463530795495267,20.527013152237828,119.4831068631124,10.063482356742561,Antrim_L1,ANTRIM
N20000070,13.633496398373893,20.107374906536243,373.1800836941835,6.47387850816235,Antrim_J4,ANTRIM
N20000071,30.0773348967284,24.914417658404474,191.7812459953348,-5.162917238323924,Antrim_G5,ANTRIM
N20000072,15.191448957102784,15.180917344143662,364.7012091341467,-0.010531612959121972,Antrim_L2,ANTRIM
N20000073,8.200767570935579,14.339461245258391,256.51429285437644,6.138693674322813,Antrim_F4,ANTRIM
N20000074,20.08595910140229,15.015340953659438,439.16343042439985,-5.0706181477428505,Antrim_K3,ANTRIM
N20000075,34.711110410216385,19.96385844800098,27.37947471316654,-14.747251962215405,Antrim_L3,ANTRIM
N20000076,27.099211636952408,28.346486812874048,249.76427564047378,1.24727517592164,Antrim_N1,ANTRIM
N20000077,27.592961283072736,23.516403366460523,186.1074884184095,-4.076557916612213,Antrim_N2,ANTRIM
N20000078,8.090827485033085,13.562061690289335,329.9542939116387,5.47123420525625,Antrim_F5,ANTRIM
N20000079,11.979720104294694,10.589992073258864,274.22506266803,-1.3897280310358298,Antrim_K4,ANTRIM
N20000080,13.017398394107563,10.62394101255631,855.9270414415436,-2.3934573815512525,Antrim_J5,ANTRIM
N20000081,28.84928576051288,30.443213035327293,91.95866864503124,1.593927274814412,Antrim_N3,ANTRIM
N20000082,12.146804782951017,16.708336996934392,329.60247624166317,4.561532213983375,Antrim_K5,ANTRIM
N20000083,23.233847485845384,22.30401325630382,137.8257315852951,-0.9298342295415658,Antrim_N4,ANTRIM
N20000084,28.75097166850462,47.17441014862705,599.0551826793373,18.423438480122428,Antrim_N5,ANTRIM
N20000085,20.4525316728759,13.68524947746323,531.8639092714956,-6.767282195412669,Antrim_L4,ANTRIM
N20000086,0.0,0.8918170858255529,313.4730438720168,0.8918170858255529,Ballyclare_F1,BALLYCLARE
N20000087,0.0,1.2817246020684219,557.03712136551,1.2817246020684219,Ballyclare_A1,BALLYCLARE
N20000088,0.0,1.110491216553951,236.77600284922286,1.110491216553951,Ballyclare_F2,BALLYCLARE
N20000089,0.0,1.4851418098214806,445.05903220691846,1.4851418098214806,Ballyclare_F3,BALLYCLARE
N20000090,0.0,0.8894129666222726,278.00808935658847,0.8894129666222726,Ballyclare_B1,BALLYCLARE
N20000091,0.0,0.7330274658736493,119.09737080857505,0.7330274658736493,Ballyclare_A2,BALLYCLARE
N20000092,0.0,1.0247125085401387,632.9479625805806,1.0247125085401387,Ballyclare_B2,BALLYCLARE
N20000093,0.0,2.938997839211075,515.30499040243,2.938997839211075,Ballyclare_B3,BALLYCLARE
N20000094,0.0,0.44773587352571154,266.0818057936826,0.44773587352571154,Ballyclare_B4,BALLYCLARE
