SA2011,nat_2001,nat_2023,nat_2001_on2021demog,pop,change,swing_political,swing_demographic,label,dea
N00000001,12.648733129892376,15.129417391360667,8.534416976380921,2709.7369113817767,2.4806842614682907,6.595000414979745,-4.114316153511455,Airport_F2,AIRPORT
N00000002,29.685920430268673,84.93342422853867,63.45253030905998,230.9999846711952,55.247503798269996,21.48089391947869,33.76660987879131,Airport_G3,AIRPORT
N00000003,24.670268032882284,39.63330818165496,16.274446939489717,181.4229298034032,14.963040148772677,23.358861242165244,-8.395821093392566,Airport_G3,AIRPORT
N00000004,18.052744873068374,43.96076881316601,21.66361301309692,486.9999963303745,25.90802394009764,22.297155800069092,3.610868140028547,Airport_F3,AIRPORT
N00000005,17.481094023735345,18.85982949627009,9.341832410391842,223.9999974418759,1.3787354725347463,9.51799708587825,-8.139261613343503,Airport_F1,AIRPORT
N00000006,35.739308757762814,36.39912451495198,20.935853621634557,138.05089093364714,0.6598157571891647,15.463270893317421,-14.803455136128257,Airport_F2,AIRPORT
N00000007,10.949250265837076,29.515016454206126,11.794377031110495,224.9999956066906,18.56576618836905,17.720639423095633,0.8451267652734167,Airport_F1,AIRPORT
N00000008,9.15048978009486,22.04339022523668,9.93166768011296,594.9999679125984,12.892900445141821,12.11172254512372,0.7811779000181005,Airport_B3,AIRPORT
N00000009,6.9318158204863,13.779056207102645,6.090565666548025,274.99999260105614,6.847240386616345,7.6884905405546204,-0.8412501539382751,Airport_G1,AIRPORT
N00000010,3.9011408656994435,26.343915615264866,11.016566998154538,167.78925939155766,22.442774749565423,15.327348617110328,7.115426132455095,Airport_F2,AIRPORT
N00000011,22.079836773968484,37.482446762173005,33.97885952556832,296.99999199967317,15.40260998820452,3.5035872366046874,11.899022751599833,Antrim_N5,ANTRIM
N00000012,21.12375598010158,24.627459326094773,20.677428207726127,295.99993850452057,3.503703345993191,3.9500311183686456,-0.4463277723754544,Antrim_N5,ANTRIM
N00000013,23.049240922817866,28.516013003480484,26.465511181298865,251.9999460223453,5.4667720806626185,2.0505018221816194,3.416270258480999,Antrim_N5,ANTRIM
N00000014,27.445674461650704,27.402384867932415,26.84068160550979,336.99994063441403,-0.043289593718288444,0.5617032624226255,-0.6049928561409139,Antrim_N1,ANTRIM
N00000015,40.01723268138109,30.757474240141033,26.385158973332757,258.9999357625188,-9.259758441240056,4.372315266808275,-13.632073708048331,Antrim_N5,ANTRIM
N00000016,27.190912732691093,25.35960007376681,21.51200332173979,215.9999189068214,-1.8313126589242827,3.8475967520270196,-5.678909410951302,Antrim_N2,ANTRIM
N00000017,13.460468506542254,14.212636708917204,9.832412355532371,310.9999113341892,0.7521682023749499,4.380224353384833,-3.6280561510098828,Antrim_J5,ANTRIM
N00000018,9.64839779413422,13.656970606914648,10.144456079006213,266.99994411415156,4.008572812780427,3.5125145279084347,0.4960582848719923,Antrim_J5,ANTRIM
