contest,year,seats,err,cand_correct
assembly,2016,6,0,4
assembly,2016,6,2,5
assembly,2016,6,4,3
assembly,2016,6,0,5
assembly,2016,6,2,4
assembly,2016,6,4,4
assembly,2016,6,0,4
assembly,2016,6,2,4
assembly,2016,6,2,5
assembly,2016,6,0,6
assembly,2016,6,0,5
assembly,2016,6,2,3
assembly,2016,6,2,4
assembly,2016,6,2,4
assembly,2016,6,4,4
assembly,2016,6,2,4
assembly,2016,6,2,4
assembly,2016,6,0,5
assembly,2017,5,0,4
assembly,2017,5,0,5
assembly,2017,5,2,3
assembly,2017,5,2,4
assembly,2017,5,0,4
assembly,2017,5,2,4
assembly,2017,5,2,4
assembly,2017,5,0,5
assembly,2017,5,0,5
assembly,2017,5,0,5
assembly,2017,5,0,5
assembly,2017,5,2,4
assembly,2017,5,2,4
assembly,2017,5,0,5
assembly,2017,5,0,5
assembly,2017,5,0,5
assembly,2017,5,0,3
assembly,2017,5,2,4
assembly,2022,5,0,4
assembly,2022,5,2,4
assembly,2022,5,2,3
assembly,2022,5,2,4
assembly,2022,5,2,3
assembly,2022,5,2,4
assembly,2022,5,4,3
assembly,2022,5,0,5
assembly,2022,5,4,3
assembly,2022,5,0,5
assembly,2022,5,0,5
assembly,2022,5,4,3
assembly,2022,5,2,3
assembly,2022,5,0,4
assembly,2022,5,2,4
assembly,2022,5,4,2
assembly,2022,5,2,3
assembly,2022,5,0,5
local,2014,5,2,2
local,2014,6,4,3
local,2014,6,0,4
local,2014,6,2,5
local,2014,6,2,4
local,2014,5,2,3
local,2014,7,6,4
local,2014,7,2,5
local,2014,5,2,2
local,2014,7,4,4
local,2014,6,2,3
local,2014,6,2,4
local,2014,5,2,4
local,2014,5,2,4
local,2014,6,0,4
local,2014,5,2,3
local,2014,7,2,6
local,2014,5,2,3
local,2014,7,2,5
local,2014,5,0,4
local,2014,5,4,3
local,2014,6,2,4
local,2014,6,2,4
local,2014,7,2,5
local,2014,7,4,4
local,2014,6,0,5
local,2014,5,2,4
local,2014,6,6,3
local,2014,6,0,5
local,2014,5,2,3
local,2014,7,2,5
local,2014,6,4,4
local,2014,5,2,2
local,2014,6,4,3
local,2014,5,4,3
local,2014,5,0,4
local,2014,5,2,4
local,2014,5,2,3
local,2014,5,0,4
local,2014,6,2,4
local,2014,5,4,3
local,2014,6,4,4
local,2014,6,0,5
local,2014,5,2,3
local,2014,5,2,4
local,2014,5,6,2
local,2014,5,2,3
local,2014,7,4,4
local,2014,5,2,4
local,2014,5,4,3
local,2014,5,0,3
local,2014,5,2,3
local,2014,5,0,3
local,2014,5,4,3
local,2014,6,4,3
local,2014,6,2,4
local,2014,6,0,5
local,2014,7,4,4
local,2014,6,2,3
local,2014,5,2,3
local,2014,6,2,5
local,2014,5,2,4
local,2014,6,2,4
local,2014,7,2,5
local,2014,6,2,4
local,2014,6,4,3
local,2014,7,4,3
local,2014,6,4,3
local,2014,5,0,4
local,2014,5,2,4
local,2014,7,2,6
local,2014,7,2,5
local,2014,5,4,3
local,2014,5,2,3
local,2014,7,2,5
local,2014,6,2,4
local,2014,6,2,4
local,2014,6,2,5
local,2014,7,4,4
local,2014,6,0,4
local,2019,5,0,3
local,2019,6,4,4
local,2019,6,0,6
local,2019,6,0,6
local,2019,6,2,4
local,2019,5,4,2
local,2019,7,6,4
local,2019,7,0,7
local,2019,5,0,4
local,2019,7,2,6
local,2019,6,4,4
local,2019,6,2,5
local,2019,5,2,4
local,2019,5,0,4
local,2019,6,2,5
local,2019,5,0,5
local,2019,7,2,6
local,2019,5,2,2
local,2019,7,6,4
local,2019,5,2,4
local,2019,5,0,5
local,2019,6,4,3
local,2019,6,2,5
local,2019,7,2,5
local,2019,7,0,7
local,2019,6,0,5
local,2019,5,0,5
local,2019,6,4,3
local,2019,6,2,5
local,2019,5,2,3
local,2019,7,2,6
local,2019,6,2,5
local,2019,5,2,2
local,2019,6,4,3
local,2019,5,2,4
local,2019,5,0,4
local,2019,5,2,4
local,2019,5,2,4
local,2019,5,0,4
local,2019,6,2,5
local,2019,5,4,3
local,2019,6,4,4
local,2019,6,2,4
local,2019,5,2,4
local,2019,5,0,5
local,2019,5,4,2
local,2019,5,4,2
local,2019,7,0,6
local,2019,5,2,4
local,2019,5,0,4
local,2019,5,2,4
local,2019,5,0,4
local,2019,5,2,4
local,2019,5,2,4
local,2019,6,4,4
local,2019,6,2,5
local,2019,6,2,4
local,2019,7,2,6
local,2019,6,0,6
local,2019,5,0,5
local,2019,6,2,4
local,2019,5,2,4
local,2019,6,2,5
local,2019,7,2,6
local,2019,6,2,4
local,2019,6,2,5
local,2019,7,2,5
local,2019,6,0,4
local,2019,5,0,5
local,2019,5,4,3
local,2019,7,0,6
local,2019,7,6,3
local,2019,5,4,3
local,2019,5,2,2
local,2019,7,0,7
local,2019,6,2,5
local,2019,6,2,4
local,2019,6,4,4
local,2019,7,2,5
local,2019,6,0,5
local,2023,5,2,4
local,2023,6,2,5
local,2023,6,0,5
local,2023,6,4,4
local,2023,6,0,6
local,2023,5,2,4
local,2023,7,4,5
local,2023,7,4,4
local,2023,5,2,3
local,2023,7,4,5
local,2023,6,4,3
