contest,year,seats,err,ind_act,ind_sim
local,2019,5,2,0,0
local,2019,5,0,0,0
local,2019,6,2,1,0
local,2019,5,4,0,0
local,2019,6,2,0,0
local,2019,6,2,1,0
local,2019,5,2,0,0
local,2019,5,2,1,0
local,2019,5,4,0,0
local,2019,5,4,1,0
local,2019,7,0,0,0
local,2019,5,2,0,0
local,2019,5,0,0,0
local,2019,5,4,1,0
local,2019,5,0,0,0
local,2019,5,2,0,0
local,2019,5,2,0,0
local,2019,6,4,0,0
local,2019,6,2,0,0
local,2019,6,2,0,0
local,2019,7,2,0,0
local,2019,6,0,0,0
local,2019,5,0,0,0
local,2019,6,2,1,0
local,2019,5,2,0,0
local,2019,6,2,1,0
local,2019,7,2,1,0
local,2019,6,2,0,0
local,2019,6,4,1,0
local,2019,7,2,0,0
local,2019,6,2,0,0
local,2019,5,0,0,0
local,2019,5,4,0,0
local,2019,7,0,0,0
local,2019,7,4,2,1
local,2019,5,4,1,0
local,2019,5,4,1,0
local,2019,7,2,1,0
local,2019,6,2,0,0
local,2019,6,4,0,0
local,2019,6,4,1,0
local,2019,7,2,0,0
local,2019,6,0,0,0
local,2023,5,2,0,0
local,2023,6,2,0,0
local,2023,6,0,0,0
local,2023,6,4,0,0
local,2023,6,0,0,0
local,2023,5,2,1,0
local,2023,7,4,1,0
local,2023,7,4,0,0
local,2023,5,2,0,0
local,2023,7,4,0,0
local,2023,6,4,2,0
local,2023,6,2,0,1
local,2023,5,2,0,0
local,2023,5,2,0,0
local,2023,6,2,0,0
local,2023,5,0,0,0
local,2023,7,0,0,0
local,2023,5,2,0,0
local,2023,7,4,0,0
local,2023,5,2,0,0
local,2023,5,2,0,0
local,2023,6,0,0,0
local,2023,6,2,0,0
local,2023,7,4,0,0
local,2023,7,4,0,0
local,2023,6,2,1,0
local,2023,5,2,0,0
local,2023,6,4,0,0
local,2023,6,2,0,0
local,2023,5,0,0,0
local,2023,7,2,0,0
local,2023,6,0,0,0
local,2023,5,4,0,0
local,2023,6,6,2,0
local,2023,5,4,1,0
local,2023,5,2,0,0
local,2023,5,2,0,0
local,2023,5,2,0,0
local,2023,5,2,0,0
local,2023,6,2,1,1
local,2023,5,4,0,0
local,2023,6,4,0,0
local,2023,6,0,0,0
local,2023,5,2,0,0
local,2023,5,0,0,0
local,2023,5,4,0,0
local,2023,5,2,0,0
local,2023,7,4,0,0
local,2023,5,2,0,0
local,2023,5,0,0,0
local,2023,5,2,1,0
local,2023,5,2,0,0
local,2023,5,2,0,0
local,2023,5,2,0,0
local,2023,6,4,1,0
local,2023,6,4,0,0
local,2023,6,2,0,0
local,2023,7,4,0,0
local,2023,6,2,1,0
local,2023,5,0,0,0
local,2023,6,2,0,0
local,2023,5,2,0,0
local,2023,6,0,0,0
local,2023,7,2,1,0
local,2023,6,4,1,0
local,2023,6,4,1,1
local,2023,7,2,0,0
local,2023,6,2,0,0
local,2023,5,2,0,0
local,2023,5,4,0,0
local,2023,7,0,0,0
local,2023,7,2,2,1
local,2023,5,0,0,0
local,2023,5,2,1,0
local,2023,7,4,0,0
local,2023,6,2,0,0
local,2023,6,2,0,0
local,2023,6,2,1,1
local,2023,7,0,0,0
local,2023,6,2,0,0
