contest,scale,year,area,total_new,nat_pct_new,uni_pct_new,oth_pct_new,nat_pct_old,uni_pct_old,oth_pct_old,remain_pct,total_old
assembly,constituency,2016,Belfast East,37175.0,2.9240080699394753,60.930733019502355,36.14525891055817,2.924008069939476,60.93073301950236,36.14525891055817,,37175.0
assembly,constituency,2016,Belfast North,36574.0,39.06873735440477,47.5419697052551,13.389292940340132,39.06873735440477,47.5419697052551,13.389292940340132,,36574.0
assembly,constituency,2016,Belfast South,36723.0,34.88004792636767,35.133295210086324,29.986656863546006,34.88004792636767,35.133295210086324,29.986656863546006,,36723.0
assembly,constituency,2016,Belfast West,36268.0,63.2265357891254,12.18705194661961,24.586412264254992,63.2265357891254,12.18705194661961,24.586412264254992,,36268.0
assembly,constituency,2016,East Antrim,32411.0,11.915707630125574,69.599827219154,18.484465150720435,11.915707630125574,69.599827219154,18.484465150720435,,32411.0
assembly,constituency,2016,East Londonderry,34399.0,31.279979069158987,63.62684961772145,5.0931713131195675,31.279979069158987,63.62684961772145,5.093171313119568,,34399.0
assembly,constituency,2016,Fermanagh and South Tyrone,47177.0,48.45793501070437,47.894100939016894,3.6479640502787376,48.45793501070437,47.894100939016894,3.6479640502787376,,47177.0
assembly,constituency,2016,Foyle,39702.0,69.28114452672409,18.553221500176313,12.165633973099592,69.28114452672409,18.55322150017632,12.165633973099592,,39702.0
assembly,constituency,2016,Lagan Valley,38853.0,10.151082284508275,74.56824440841119,15.280673307080534,10.151082284508275,74.56824440841119,15.280673307080534,,38853.0
assembly,constituency,2016,Mid Ulster,40748.0,62.67792284283891,35.30970845194856,2.0123687052125256,62.67792284283891,35.30970845194856,2.0123687052125256,,40748.0
assembly,constituency,2016,Newry and Armagh,47715.0,59.12606098711097,35.00576338677565,5.8681756261133815,59.12606098711097,35.00576338677565,5.8681756261133815,,47715.0
assembly,constituency,2016,North Antrim,40998.0,20.464412898190155,74.47680374652423,5.058783355285624,20.464412898190155,74.47680374652423,5.058783355285624,,40998.0
assembly,constituency,2016,North Down,32229.0,2.2743491886189457,63.28461944211735,34.441031369263705,2.2743491886189457,63.28461944211735,34.441031369263705,,32229.0
assembly,constituency,2016,South Antrim,35133.0,22.764921868328923,65.3061224489796,11.928955682691486,22.764921868328923,65.3061224489796,11.928955682691486,,35133.0
assembly,constituency,2016,South Down,41075.0,62.488131466828975,30.159464394400487,7.352404138770542,62.488131466828975,30.159464394400487,7.352404138770542,,41075.0
assembly,constituency,2016,Strangford,32639.0,10.371028524158216,75.74986978767731,13.879101688164466,10.371028524158216,75.74986978767731,13.879101688164466,,32639.0
assembly,constituency,2016,Upper Bann,45686.0,34.382524186840605,59.32670840082301,6.2907674123363835,34.382524186840605,59.32670840082301,6.290767412336384,,45686.0
assembly,constituency,2016,West Tyrone,38809.0,55.19080625628076,33.546342343270894,11.26285140044835,55.19080625628076,33.546342343270894,11.26285140044835,,38809.0
assembly,constituency,2017,Belfast East,40357.0,3.5260301806378074,60.19277944346705,36.281190375895136,3.526030180637808,60.19277944346705,36.281190375895136,,40357.0
assembly,constituency,2017,Belfast North,41486.0,43.10610808465506,42.8578315576339,14.036060357711035,43.10610808465506,42.8578315576339,14.036060357711037,,41486.0
assembly,constituency,2017,Belfast South,43053.0,37.45615868812859,31.916475042389614,30.6273662694818,37.45615868812859,31.916475042389614,30.6273662694818,,43053.0
assembly,constituency,2017,Belfast West,40344.0,71.38112234780884,11.275530438231211,17.343347213959944,71.38112234780884,11.275530438231211,17.343347213959944,,40344.0
assembly,constituency,2017,East Antrim,37424.0,13.961628901239846,66.60699016673792,19.431380932022233,13.961628901239846,66.60699016673792,19.43138093202224,,37424.0
assembly,constituency,2017,East Londonderry,41873.0,36.60353927351754,57.09645833830869,6.3000023881737635,36.60353927351754,57.09645833830869,6.300002388173764,,41873.0
assembly,constituency,2017,Fermanagh and South Tyrone,52263.0,51.933490232095366,43.03426898570691,5.03224078219773,51.933490232095366,43.03426898570691,5.03224078219773,,52263.0
assembly,constituency,2017,Foyle,44616.0,68.5449166218397,17.285278823740363,14.169804554419938,68.5449166218397,17.285278823740363,14.169804554419938,,44616.0
assembly,constituency,2017,Lagan Valley,45069.0,12.41651689631454,69.94608267323437,17.637400430451088,12.41651689631454,69.94608267323437,17.637400430451088,,45069.0
