year,date,body,byelection,contest,area,council,name,party,tier,votes,valid,seats,share,quotas,elected
1979,1979-06-07,European,False,1979 European election in Northern Ireland,Northern Ireland,,Bernadette Devlin-McAliskey,Independent Nationalist,A,33969.0,572239.0,3,5.936156046686786,0.23744624186747146,False
1979,1979-06-07,European,False,1979 European election in Northern Ireland,Northern Ireland,,David Bleakley,Independent Other,A,9383.0,572239.0,3,1.6396994961895293,0.06558797984758118,False
1989,1989-06-15,European,False,1989 European election in Northern Ireland,Northern Ireland,,Mark Langhammer,Independent Other,A,3540.0,534811.0,3,0.6619160787642737,0.02647664315057095,False
1994,1994-06-09,European,False,1994 European election in Northern Ireland,Northern Ireland,,June Campion,Independent Other,A,1088.0,559867.0,3,0.19433186810438907,0.0077732747241755626,False
1994,1994-06-09,European,False,1994 European election in Northern Ireland,Northern Ireland,,Robert Mooney,Independent - Northern Ireland independence,A,400.0,559867.0,3,0.0714455397442607,0.0028578215897704278,False
2004,2004-06-10,European,False,2004 European election in Northern Ireland,Northern Ireland,,John Gilliland,Independent Other,A,36270.0,549277.0,3,6.603225694867981,0.26412902779471925,False
2019,2019-05-23,European,False,2019 European election in Northern Ireland,Northern Ireland,,Jane Morrice,Independent Other,A,1719.0,572447.0,3,0.3002898084888208,0.012011592339552832,False
2019,2019-05-23,European,False,2019 European election in Northern Ireland,Northern Ireland,,Neil McCann,Independent Other,A,948.0,572447.0,3,0.16560485075474235,0.006624194030189694,False
1970,1970-06-18,Westminster,False,1970 UK general election in Northern Ireland,Armagh,,Hugh Lewis,Unity,B,21696.0,68144.0,1,31.838459732331533,0.6367691946466306,False
1970,1970-06-18,Westminster,False,1970 UK general election in Northern Ireland,Belfast North,,John McKeague,Independent,A,441.0,59176.0,1,0.7452345545491416,0.014904691090982832,False
1970,1970-06-18,Westminster,False,1970 UK general election in Northern Ireland,Fermanagh and South Tyrone,,Frank McManus,Unity,B,32813.0,64203.0,1,51.108203666495335,1.0221640733299067,True
1970,1970-06-18,Westminster,False,1970 UK general election in Northern Ireland,Londonderry,,Eamonn McCann,Independent Other,A,7565.0,72310.0,1,10.461900152122805,0.2092380030424561,False
1970,1970-06-18,Westminster,False,1970 UK general election in Northern Ireland,Mid Ulster,,Bernadette Devlin-McAliskey,Unity,B,37739.0,70518.0,1,53.516832581752176,1.0703366516350434,True
1970,1970-06-18,Westminster,False,1970 UK general election in Northern Ireland,Mid Ulster,,Michael Cunningham,Independent Nationalist,A,771.0,70518.0,1,1.093337871181826,0.02186675742363652,False
1970,1970-06-18,Westminster,False,1970 UK general election in Northern Ireland,Mid Ulster,,Phelim O'Neill,Independent Other,A,198.0,70518.0,1,0.2807793754786012,0.005615587509572024,False
1970,1970-06-18,Westminster,False,1970 UK general election in Northern Ireland,North Down,,Bob Nixon,Independent Unionist,A,6408.0,80730.0,1,7.937569676700112,0.15875139353400225,False
1970,1970-06-18,Westminster,False,1970 UK general election in Northern Ireland,North Down,,Ritchie McGladdery,Independent,A,3321.0,80730.0,1,4.11371237458194,0.08227424749163881,False
1970,1970-06-18,Westminster,False,1970 UK general election in Northern Ireland,South Antrim,,Tom Caldwell,Independent Unionist,A,10938.0,97448.0,1,11.224447910680569,0.22448895821361137,False
1970,1970-06-18,Westminster,False,1970 UK general election in Northern Ireland,South Down,,Hugh Golding,Unity,B,21676.0,64317.0,1,33.7018206694964,0.674036413389928,False
1974,1974-02-28,Westminster,False,1974 UK general election in Northern Ireland,Armagh,,Hugh Lewis,Unity,B,1364.0,61760.0,1,2.2085492227979273,0.044170984455958545,False
1974,1974-02-28,Westminster,False,1974 UK general election in Northern Ireland,Belfast West,,Albert Price,Independent,A,5662.0,47667.0,1,11.878238613715988,0.23756477227431977,False
1974,1974-02-28,Westminster,False,1974 UK general election in Northern Ireland,Fermanagh and South Tyrone,,Frank McManus,Unity,B,16229.0,61654.0,1,26.32270412300905,0.526454082460181,False
1974,1974-02-28,Westminster,False,1974 UK general election in Northern Ireland,Mid Ulster,,Bernadette Devlin-McAliskey,Independent Other,A,16672.0,66721.0,1,24.98763507741191,0.4997527015482382,False
1974,1974-02-28,Westminster,False,1974 UK general election in Northern Ireland,South Antrim,,Bob Kidd,Independent,A,1801.0,71332.0,1,2.5248135479167835,0.05049627095833567,False
1974,1974-02-28,Westminster,False,1974 UK general election in Northern Ireland,South Down,,Hugh Golding,Independent,A,3046.0,59620.0,1,5.109023817510902,0.10218047635021804,False
1974,1974-10-10,Westminster,False,1974 UK general election in Northern Ireland,Belfast South,,Stanley McMaster,Independent Unionist,A,4982.0,50846.0,1,9.798214215474177,0.19596428430948354,False
