area,dep__mdm_pct,dep__income_pct,dep__employment_pct
N20000001,79.01697156711484,69.27485122327529,88.00969803835133
N20000002,71.12629490852987,73.57284549261627,84.81375358166189
N20000003,28.917787083976197,3.636764381750055,84.48313863786643
N20000004,68.48054882080669,62.70608331496584,83.50754904121666
N20000005,74.32251836517187,65.36717788757977,93.02783104241158
N20000007,64.5055528150084,54.20886234639816,67.22870040921617
N20000008,68.60677075576788,66.38615392197055,58.636929553834996
N20000009,77.1214458893542,73.35243553008596,84.59334361913159
N20000011,30.83535375798986,56.38086841525237,26.427154507383733
N20000013,63.12140355071733,64.0106643554752,69.23184014923123
N20000014,81.39739916244214,62.50826537359489,73.77121445889354
N20000015,2.0277716552788188,19.72669164646242,0.9918448313863787
N20000016,36.147233854970246,69.29689221952832,18.845051796341195
N20000017,80.9345382411285,93.38770112409081,76.9010359268239
N20000020,23.09896407317611,33.392109323341415,16.31033722724267
N20000024,45.66894423627948,44.94159135992947,43.94974652854309
N20000026,82.24018561811995,67.79394470569781,81.104597670934
N20000028,66.80625964293586,81.30923517743003,45.22812431121887
N20000029,72.4315125368453,78.83282067939216,66.05993941353499
N20000030,64.85760202718778,46.01736713731248,84.94629149290527
N20000032,83.20476085519066,88.51664095217104,67.22503857174344
N20000033,57.41456005416549,50.71076661959949,69.36829971847031
N20000034,56.49107339651752,46.72691205642495,78.75247961207846
N20000035,74.78063766506938,84.09712188126707,75.03887106561416
N20000037,36.47329447136314,45.81387900832566,38.78492006181221
N20000038,78.84064359709059,68.0625964293586,88.69296892219528
N20000040,26.030416574829182,15.2523694070972,38.32929248402028
N20000041,82.3010800088164,72.51487767247079,86.75336125192858
N20000043,59.44456689442363,38.902358386599076,69.60546616707074
N20000044,69.51730218205863,82.32312100506942,55.587392550143264
N20000045,92.087282345162,98.4130482697818,90.89706854749835
N20000046,50.84857835574168,62.17765042979943,42.825655719638526
N20000047,62.52080366487655,88.36934902511484,53.94382053613733
N20000048,89.39828080229226,98.01631033722724,75.71082212916023
N20000049,67.61626625523473,86.08032368777354,56.289555716489815
N20000050,45.00771434868856,85.5411064580119,31.716993608111085
N20000051,12.10050694291382,28.08022922636103,10.160899272647123
N20000052,28.797901665155266,40.81576487257224,26.585641671003533
N20000053,21.063708208643288,32.11642585599708,19.36449333961508
N20000054,39.57896624960921,54.85164749530361,39.40459799159491
N20000055,17.941370949966938,29.270443024024686,16.92748512232753
N20000056,3.658805378003086,20.78465946660789,3.7910513555212697
N20000057,63.808684152523696,93.03504518404232,56.77760634780692
N20000058,16.98963636720736,30.40343752250473,11.82034624004609
N20000059,56.843729336566014,48.09345382411285,53.58166189111748
N20000060,57.61516420542208,72.84549261626626,51.068988318271984
N20000061,62.507556659889005,60.150162260002965,63.60499983345228
N20000062,30.284328851664096,35.684372933656604,27.925942252589817
N20000064,80.52595366278024,94.02798115385707,69.54567178119619
N20000066,16.9054441260745,41.61340092572184,11.152744104033502
N20000067,2.4534900820910255,4.743632291461793,6.033480021616716
N20000068,39.607670266696054,58.65109102931452,41.701564910733964
N20000070,83.24884284769672,83.05047388141944,89.39828080229226
N20000072,80.22922636103152,68.00336125192858,72.80278818602602
N20000074,35.99294688119903,74.6748953052678,24.311218867092794
N20000076,59.57681287194181,80.67004628609213,44.25832047608552
N20000077,22.922636103151863,20.542208507824554,32.1578135331717
N20000078,38.40867201400402,68.3930516557899,32.82327593091266
N20000079,29.954582518558407,18.724133949902154,42.08212496919146
N20000080,82.4909264565425,89.8610682536184,71.91495848945705
N20000082,20.124109257315524,18.197998056120067,23.416762226198884
