contest,year,area,method,actual,pred,correct,tvd
assembly,2016,BELFAST EAST,A_proportional,DUP,DUP,1,27.506694870992636
assembly,2016,BELFAST EAST,B_affinity,DUP,DUP,1,27.42704051876166
assembly,2016,BELFAST EAST,C_field_features,DUP,DUP,1,25.53416851839233
assembly,2016,BELFAST NORTH,A_proportional,DUP,DUP,1,8.183167309767057
assembly,2016,BELFAST NORTH,B_affinity,DUP,DUP,1,8.164066958698067
assembly,2016,BELFAST NORTH,C_field_features,DUP,DUP,1,7.396304400680545
assembly,2016,BELFAST SOUTH,A_proportional,DUP,SDLP,0,26.54236826965627
assembly,2016,BELFAST SOUTH,B_affinity,DUP,SDLP,0,26.391764783216743
assembly,2016,BELFAST SOUTH,C_field_features,DUP,SDLP,0,25.086832060266197
assembly,2016,BELFAST WEST,A_proportional,Sinn Féin,Sinn Féin,1,20.073580789949137
assembly,2016,BELFAST WEST,B_affinity,Sinn Féin,Sinn Féin,1,19.87089983019005
assembly,2016,BELFAST WEST,C_field_features,Sinn Féin,Sinn Féin,1,21.89311895579483
assembly,2016,EAST ANTRIM,A_proportional,DUP,DUP,1,19.290414336743744
assembly,2016,EAST ANTRIM,B_affinity,DUP,DUP,1,18.77633029870678
assembly,2016,EAST ANTRIM,C_field_features,DUP,DUP,1,19.294315712112724
assembly,2016,EAST LONDONDERRY,A_proportional,DUP,DUP,1,11.12983361702024
assembly,2016,EAST LONDONDERRY,B_affinity,DUP,DUP,1,11.34414883132631
assembly,2016,EAST LONDONDERRY,C_field_features,DUP,DUP,1,12.160879856758125
assembly,2016,FERMANAGH AND SOUTH TYRONE,A_proportional,Sinn Féin,Sinn Féin,1,10.407254385437314
assembly,2016,FERMANAGH AND SOUTH TYRONE,B_affinity,Sinn Féin,Sinn Féin,1,10.892337237610285
assembly,2016,FERMANAGH AND SOUTH TYRONE,C_field_features,Sinn Féin,Sinn Féin,1,9.80586642142141
assembly,2016,FOYLE,A_proportional,SDLP,Sinn Féin,0,35.67403005393295
