area,swing_pct,votes,donor,gains,donor_party,gain_party,quota,valid
Strangford,0.112958875642359,46.16064453125,Nick Mathison (Alliance),Conor Houston (SDLP),Alliance,SDLP,6811,40865.0
Lagan Valley,0.6114662288066055,312.049560546875,Paul Givan (DUP),Pat Catney (SDLP),DUP,SDLP,8506,51033.0
Fermanagh and South Tyrone,0.7448244713264983,400.291015625,Deborah Erskine (DUP),Adam Gannon (SDLP),DUP,SDLP,8958,53743.0
Belfast North,0.8121716325302268,373.8182373046875,Nuala McAllister (Alliance),Nichola Mallon (SDLP),Alliance,SDLP,7672,46027.0
South Antrim,1.5923911590602864,728.2960205078126,Trevor Clarke (DUP),Roisin Lynch (SDLP),DUP,SDLP,7623,45736.0
East Antrim,2.867431185534982,1153.7109375,Danny Donnelly (Alliance),Oliver McMullan (Sinn Féin),Alliance,Sinn Féin,6706,40235.0
Belfast South,3.7758085164788526,1772.289001464844,Kate Nicholl (Alliance),Elsie Trainor (SDLP),Alliance,SDLP,7824,46938.0
South Down,4.176764627751833,2295.2156982421875,Patrick Brown (Alliance),Karen McKevitt (SDLP),Alliance,SDLP,9159,54952.0
North Down,6.111444068840883,2551.1000976562495,Connie Egan (Alliance),Deirdre Vaughan (SDLP),Alliance,SDLP,6958,41743.0
Belfast East,6.88633722946726,2978.2031250000005,Peter McReynolds (Alliance),Charlotte Carson (SDLP),Alliance,SDLP,7209,43248.0
West Tyrone,9.62121290616711,4425.1806640625,Tom Buchanan (DUP),Carol Gallagher (PBP),DUP,PBP,7666,45994.0
Newry and Armagh,11.399010735421017,6712.193481445312,William Irwin (DUP),Daniel Connolly (Aontú),DUP,Aontú,9815,58884.0
Mid Ulster,12.46547260965976,6443.278137207032,Keith Buchanan (DUP),Alixandra Halliday (Aontú),DUP,Aontú,8615,51689.0
