SA2011,nat_2001,nat_2023,pop,change,label,dea
N00000001,11.949950037682836,14.567099902516619,2709.7369113817767,2.6171498648337828,Airport_F2,AIRPORT
N00000002,30.669071932015058,85.22250665529643,230.9999846711952,54.55343472328137,Airport_G3,AIRPORT
N00000003,24.78832568552009,39.61463630739307,181.4229298034032,14.826310621872981,Airport_G3,AIRPORT
N00000004,18.121498027266437,43.944213956020555,486.9999963303745,25.822715928754118,Airport_F3,AIRPORT
N00000005,17.505840646556262,18.414415824563267,223.9999974418759,0.9085751780070055,Airport_F1,AIRPORT
N00000006,36.08950661540279,36.17816312503473,138.05089093364714,0.08865650963193872,Airport_F2,AIRPORT
N00000007,10.707845098386002,29.391039195234555,224.9999956066906,18.683194096848553,Airport_F1,AIRPORT
N00000008,9.089075017067046,21.787063896827085,594.9999679125984,12.69798887976004,Airport_B3,AIRPORT
N00000009,6.8392230698921,13.58072702446699,274.99999260105614,6.74150395457489,Airport_G1,AIRPORT
N00000010,3.744759368378231,26.173368624617524,167.78925939155766,22.42860925623929,Airport_F2,AIRPORT
N00000011,21.976396809413686,37.85024856433791,296.99999199967317,15.873851754924225,Antrim_N5,ANTRIM
N00000012,20.96040245064529,24.59419365852019,295.99993850452057,3.6337912078749,Antrim_N5,ANTRIM
N00000013,22.64065258861543,28.541390398042495,251.9999460223453,5.9007378094270635,Antrim_N5,ANTRIM
N00000014,27.45768931426125,27.335964194308275,336.99994063441403,-0.12172511995297342,Antrim_N1,ANTRIM
N00000015,41.446525167840356,30.939066847824964,258.9999357625188,-10.507458320015392,Antrim_N5,ANTRIM
N00000016,27.884093594691024,25.38390093852858,215.9999189068214,-2.5001926561624437,Antrim_N2,ANTRIM
N00000017,16.774597590973425,14.10009835863327,310.9999113341892,-2.674499232340155,Antrim_J5,ANTRIM
N00000018,10.077313697493112,13.553564835566943,266.99994411415156,3.476251138073831,Antrim_J5,ANTRIM
N00000019,12.479956843775277,16.305800966753672,306.9999094905223,3.8258441229783955,Antrim_K3,ANTRIM
N00000020,12.83029539608912,14.902200395701758,251.9998886570862,2.071904999612638,Antrim_K5,ANTRIM
