order,contest,area,pid,name,y,prior_share,prior_elected,was_party,ex_party_here,prior_same_area,n_prior,n_ind,has_prior,pred
2011.0,assembly,Belfast East,95738,Dawn Purvis,5.2616935109902,0.0,0,0,0,0,0,2,0,5.579407403282797
2011.0,assembly,Belfast East,37449,Stephen Stewart,0.14220793272946486,0.0,0,0,0,0,0,2,0,5.579407403282797
2011.0,assembly,Belfast North,17203,Raymond McCord,3.5135942635195696,0.0,0,0,0,0,0,1,0,5.579407403282797
2011.0,assembly,Belfast West,57055,Brian Pelan,0.3521431664020782,0.0,0,0,0,0,0,1,0,5.579407403282797
2011.0,assembly,East Londonderry,14683,David McClarty,8.64869535165025,0.0,0,0,0,0,0,1,0,5.579407403282797
2011.0,assembly,Fermanagh and South Tyrone,24515,Pat Cox,2.0771266068043084,0.0,0,0,0,0,0,1,0,5.579407403282797
2011.0,assembly,Foyle,78845,Paul McFadden,3.2949777331582877,0.0,0,0,0,0,0,2,0,5.579407403282797
2011.0,assembly,Foyle,90784,Terry Doherty,0.15445208124179474,0.0,0,0,0,0,0,2,0,5.579407403282797
2011.0,assembly,Mid Ulster,44529,Hugh McCloy,2.1830689316299314,0.0,0,0,0,0,0,2,0,5.579407403282797
2011.0,assembly,Mid Ulster,97499,Gary McCann,0.5639009780523188,0.0,0,0,0,0,0,2,0,5.579407403282797
2011.0,assembly,Newry and Armagh,96729,James Malone,0.19349013200326784,0.0,0,0,0,0,0,1,0,5.579407403282797
2011.0,assembly,North Down,43717,Alan McFarland,6.687308705245925,0.0,0,0,0,0,0,2,0,5.579407403282797
2011.0,assembly,North Down,81692,Alan Chambers,6.281585877998434,0.0,0,0,0,0,0,2,0,5.579407403282797
2011.0,assembly,West Tyrone,69533,Paddy McGowan,2.913263618553291,0.0,0,0,0,0,0,2,0,5.579407403282797
2011.0,assembly,West Tyrone,74604,Eugene McMenamin,2.7885912016894383,0.0,0,0,0,0,0,2,0,5.579407403282797
2014.0,local,Ballyarnett,3840353143,Dermot Quigley,13.485045513654097,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Ballyclare,261007732,David McMaster,1.8528416176732585,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Ballyclare,4121107683,Robert Moore,0.694815606627472,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Ballymena,2706792624,James Henry,15.847908745247148,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Ballymena,1417331770,Rodney Quigley,2.67680608365019,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Ballymoney,3901427986,Charley O'Kane,2.3766218018673455,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Balmoral,2557039521,Gerard Collins,0.7864284911807662,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Bangor Central,549867307,Mary Macartney,7.025576255131039,0.0,0,0,0,0,0,3,0,3.0037400061112374
2014.0,local,Bangor Central,4166614194,David Chambers,6.109883170192611,0.0,0,0,0,0,0,3,0,3.0037400061112374
2014.0,local,Bangor Central,2881912743,Colin Breen,4.325860435743606,0.0,0,0,0,0,0,3,0,3.0037400061112374
2014.0,local,Bangor East and Donaghadee,1278033993,(politician),19.152666179693206,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Carrick Castle,3793504592,James Brown ♭,15.14423076923077,0.0,0,0,0,0,0,3,0,3.0037400061112374
2014.0,local,Carrick Castle,2169487937,Nick Wady,2.2493131868131866,0.0,0,0,0,0,0,3,0,3.0037400061112374
2014.0,local,Carrick Castle,2901457013,John Cameron,1.8028846153846154,0.0,0,0,0,0,0,3,0,3.0037400061112374
2014.0,local,Castle,1183557209,Fra Hughes,2.0608810739270185,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Castlereagh East,3703045753,Robert Campbell,1.1386063458327007,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Castlereagh East,1721791833,Sandra Wilson,0.9260664946105966,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Causeway,1038528228,Alison Torrens,3.806181670940748,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Causeway,561084491,Leanne Abernethy,2.7938993116479955,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Coast Road,1578599541,Danny O'Connor,3.491179201485608,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Coast Road,1093526062,John Anderson,2.469823584029712,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Coleraine,340482352,Billy Ellis,4.329268292682927,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Court,4041585136,Willie Faulkner,0.15645371577574968,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Craigavon,3230433934,Kieran Corr,5.787857311599338,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Crotlieve,2506446820,Jarlath Tinnelly,7.559505567473695,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Crotlieve,2232752213,Finbarr Lambe,2.63561140055164,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Cusher,3649837792,Paul Berry,18.364624035071,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Downpatrick,38721,Cadogan Enright,12.879950875038379,2.653022096534535,0,1,0,0,1,1,1,3.0037400061112374
2014.0,local,Dungannon,2280762844,Barry Monteith,19.673458372689247,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Enniskillen,3685270777,Donal O'Cofaigh,8.23808816980852,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Enniskillen,2142812622,Pat Cox,4.64598485972985,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Erne West,2822598219,Bernice Swift,17.261302903365593,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Faughan,2286400033,Paul Hughes,7.929724596391263,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Foyleside,3660423209,Darren O'Reilly,17.132537688442213,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Holywood and Clandeboye,2207812673,Gerard Leddy,0.5524861878453039,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Knockagh,2702941083,Barry Patterson,1.851192595229619,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Lagan River,3311170621,Frazer McCammond,2.0641928170862665,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Lisburn North,1813463374,Jonny Orr,0.4987908101571947,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Magherafelt,439079278,Hugh McCloy,3.308033796362595,0.0,0,0,0,0,0,3,0,3.0037400061112374
2014.0,local,Magherafelt,998970441,Michael Kelly,3.078905914363454,0.0,0,0,0,0,0,3,0,3.0037400061112374
2014.0,local,Magherafelt,4042564401,Robert Kelly,1.6898181297436632,0.0,0,0,0,0,0,3,0,3.0037400061112374
2014.0,local,Newry,3283241967,Davy Hyland,11.85344827586207,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Newry,1829640184,James Malone,0.4650635208711434,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Newtownards,814439154,James Menagh,18.058467990625385,0.0,0,0,0,0,0,3,0,3.0037400061112374
2014.0,local,Newtownards,1425129330,Ian Cox,4.73664734180338,0.0,0,0,0,0,0,3,0,3.0037400061112374
2014.0,local,Newtownards,1641283225,Sharon Hunt,2.541013938571605,0.0,0,0,0,0,0,3,0,3.0037400061112374
2014.0,local,Oldpark,2103491721,Dee Fennell,8.030374940673944,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Omagh,1649455980,Gabrielle McAleer,1.41390338326881,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Rowallane,2167083694,Mickey Coogan,2.14573732718894,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Sperrin,1435123797,Paul Gallagher,9.702380952380953,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Sperrin,4294533238,Eugene McMenamin,6.845238095238095,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,The Glens,1557721816,Padraig McShane,12.87189764143672,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,The Glens,757544721,Ambrose Laverty,9.665484815785417,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,The Moor,3376287690,Gary Donnelly,16.831971995332555,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,The Moor,2564007492,Patrick Mellon,1.648191365227538,0.0,0,0,0,0,0,2,0,3.0037400061112374
2014.0,local,Torrent,1002840301,Feargal O'Donnell,8.109422492401215,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,Waterside,2715595362,Michael Carlin,1.2794384057971016,0.0,0,0,0,0,0,1,0,3.0037400061112374
2014.0,local,West Tyrone,2184910660,Susan-Anne White,0.8981233243967829,0.0,0,0,0,0,0,1,0,3.0037400061112374
2015.0,westminster,Belfast North,2811,Fra Hughes,1.3031803512920948,0.0,0,0,0,0,0,1,0,6.0759136347225455
2015.0,westminster,Lagan Valley,14950,Jonny Orr,1.8997361477572559,0.0,0,0,0,0,0,1,0,6.0759136347225455
2015.0,westminster,North Antrim,62375,Thomas Palmer,0.136015462810509,0.0,0,0,0,0,0,1,0,6.0759136347225455
2015.0,westminster,North Down,5439,Sylvia Hermon,49.20855704231229,0.0,0,0,0,0,0,1,0,6.0759136347225455
2015.0,westminster,West Tyrone,56488,Susan-Anne White,0.4294510270605888,0.0,0,0,0,0,0,1,0,6.0759136347225455
2016.0,assembly,Belfast East,78283,Maggie Hutton,2.956287827841291,0.0,0,0,0,0,0,1,0,6.760682478587492
2016.0,assembly,Belfast North,2811,Fra Hughes,0.6644064089243725,1.3031803512920948,0,0,0,1,1,2,1,4.9666264348496805
2016.0,assembly,Belfast North,94003,Tom Burns,0.237873899491442,0.0,0,0,0,0,0,2,0,4.9666264348496805
