contest,year,seats,err
assembly,2016,6,0
assembly,2016,6,0
assembly,2016,6,4
assembly,2016,6,2
assembly,2016,6,2
assembly,2016,6,2
assembly,2016,6,2
assembly,2016,6,2
assembly,2016,6,0
assembly,2016,6,0
assembly,2016,6,2
assembly,2016,6,2
assembly,2016,6,2
assembly,2016,6,0
assembly,2016,6,0
assembly,2016,6,2
assembly,2016,6,2
assembly,2016,6,0
assembly,2017,5,2
assembly,2017,5,0
assembly,2017,5,4
assembly,2017,5,2
assembly,2017,5,2
assembly,2017,5,2
assembly,2017,5,2
assembly,2017,5,0
assembly,2017,5,2
assembly,2017,5,0
assembly,2017,5,0
assembly,2017,5,2
assembly,2017,5,2
assembly,2017,5,2
assembly,2017,5,0
assembly,2017,5,0
assembly,2017,5,2
assembly,2017,5,0
assembly,2022,5,0
assembly,2022,5,0
assembly,2022,5,2
assembly,2022,5,2
assembly,2022,5,0
assembly,2022,5,2
assembly,2022,5,2
assembly,2022,5,0
assembly,2022,5,0
assembly,2022,5,0
assembly,2022,5,0
assembly,2022,5,2
assembly,2022,5,2
assembly,2022,5,2
assembly,2022,5,2
assembly,2022,5,0
assembly,2022,5,2
assembly,2022,5,0
local,2014,5,2
local,2014,6,4
local,2014,6,0
local,2014,6,2
local,2014,6,2
local,2014,5,2
local,2014,7,4
local,2014,7,2
local,2014,5,2
local,2014,7,4
local,2014,6,2
local,2014,6,2
local,2014,5,2
local,2014,5,2
local,2014,6,0
local,2014,5,2
local,2014,7,2
local,2014,5,2
local,2014,7,2
local,2014,5,0
local,2014,5,4
local,2014,6,2
local,2014,6,2
local,2014,7,2
local,2014,7,4
local,2014,6,0
local,2014,5,2
local,2014,6,6
local,2014,6,0
local,2014,5,2
local,2014,7,2
local,2014,6,4
local,2014,5,2
local,2014,6,4
local,2014,5,4
local,2014,5,0
local,2014,5,2
local,2014,5,2
local,2014,5,0
local,2014,6,2
local,2014,5,4
local,2014,6,4
local,2014,6,0
local,2014,5,2
local,2014,5,2
local,2014,5,6
local,2014,5,2
local,2014,7,4
local,2014,5,2
local,2014,5,4
local,2014,5,0
local,2014,5,2
local,2014,5,0
local,2014,5,4
local,2014,6,4
local,2014,6,2
local,2014,6,0
local,2014,7,4
local,2014,6,2
local,2014,5,2
local,2014,6,2
local,2014,5,2
local,2014,6,2
local,2014,7,2
local,2014,6,2
local,2014,6,6
local,2014,7,4
local,2014,6,4
local,2014,5,0
local,2014,5,2
local,2014,7,2
local,2014,7,2
local,2014,5,4
local,2014,5,2
local,2014,7,2
local,2014,6,2
local,2014,6,2
local,2014,6,4
local,2014,7,4
local,2014,6,0
local,2019,5,0
local,2019,6,2
local,2019,6,0
local,2019,6,0
local,2019,6,2
local,2019,5,4
local,2019,7,6
local,2019,7,0
local,2019,5,0
local,2019,7,2
local,2019,6,4
local,2019,6,0
local,2019,5,2
local,2019,5,2
local,2019,6,0
local,2019,5,0
local,2019,7,2
local,2019,5,2
local,2019,7,6
local,2019,5,2
local,2019,5,0
local,2019,6,2
local,2019,6,2
local,2019,7,2
local,2019,7,0
local,2019,6,0
local,2019,5,0
local,2019,6,4
local,2019,6,2
local,2019,5,2
local,2019,7,2
local,2019,6,2
local,2019,5,6
local,2019,6,4
local,2019,5,2
local,2019,5,0
local,2019,5,2
local,2019,5,2
local,2019,5,0
local,2019,6,2
local,2019,5,4
local,2019,6,2
local,2019,6,2
local,2019,5,2
local,2019,5,2
local,2019,5,4
local,2019,5,4
local,2019,7,0
local,2019,5,2
local,2019,5,0
local,2019,5,2
local,2019,5,0
local,2019,5,2
local,2019,5,2
local,2019,6,4
local,2019,6,2
local,2019,6,2
local,2019,7,2
local,2019,6,0
local,2019,5,0
local,2019,6,2
local,2019,5,2
local,2019,6,2
local,2019,7,2
local,2019,6,2
local,2019,6,2
local,2019,7,2
local,2019,6,0
local,2019,5,0
local,2019,5,4
local,2019,7,0
local,2019,7,4
local,2019,5,4
local,2019,5,4
local,2019,7,2
local,2019,6,2
local,2019,6,4
local,2019,6,4
local,2019,7,2
local,2019,6,0
local,2023,5,2
local,2023,6,2
local,2023,6,0
local,2023,6,4
local,2023,6,0
local,2023,5,2
local,2023,7,4
local,2023,7,2
local,2023,5,2
local,2023,7,4
local,2023,6,4
local,2023,6,0
local,2023,5,2
local,2023,5,2
local,2023,6,2
local,2023,5,0
local,2023,7,0
local,2023,5,2
local,2023,7,4
local,2023,5,2
local,2023,5,2
local,2023,6,0
local,2023,6,2
local,2023,7,4
local,2023,7,4
local,2023,6,2
local,2023,5,2
local,2023,6,4
local,2023,6,2
local,2023,5,2
local,2023,7,2
local,2023,6,0
local,2023,5,4
local,2023,6,6
local,2023,5,4
local,2023,5,2
local,2023,5,2
local,2023,5,2
local,2023,5,2
local,2023,6,2
local,2023,5,4
local,2023,6,4
local,2023,6,0
local,2023,5,2
local,2023,5,2
local,2023,5,4
local,2023,5,2
local,2023,7,4
local,2023,5,2
local,2023,5,0
local,2023,5,2
local,2023,5,2
local,2023,5,2
local,2023,5,2
local,2023,6,4
local,2023,6,4
local,2023,6,2
local,2023,7,4
local,2023,6,2
local,2023,5,0
local,2023,6,2
local,2023,5,2
local,2023,6,2
local,2023,7,2
local,2023,6,4
local,2023,6,4
local,2023,7,2
local,2023,6,2
local,2023,5,2
local,2023,5,4
local,2023,7,0
local,2023,7,4
local,2023,5,0
local,2023,5,0
local,2023,7,4
local,2023,6,2
local,2023,6,2
local,2023,6,4
local,2023,7,0
local,2023,6,2
