year,area,actual,pred,correct,act_margin,pred_margin
2017,BELFAST EAST,DUP,DUP,1,19.75751923525298,46.303651374904426
2017,BELFAST NORTH,DUP,Sinn Féin,0,4.530215952629746,0.7341893658065217
2017,BELFAST SOUTH,DUP,SDLP,0,4.566983182702206,9.73614865125689
2017,BELFAST WEST,Sinn Féin,Sinn Féin,1,53.28673738094653,50.10077772387102
2017,EAST ANTRIM,DUP,DUP,1,41.745536533571034,48.35289545686054
2017,EAST LONDONDERRY,DUP,DUP,1,21.55008530343651,18.291054119846937
2017,FERMANAGH AND SOUTH TYRONE,Sinn Féin,Sinn Féin,1,1.636095061797647,56.13286609267509
2017,FOYLE,Sinn Féin,Sinn Féin,1,0.3676710540628747,41.912876059449275
2017,LAGAN VALLEY,DUP,DUP,1,42.80149579308196,28.922649909457913
2017,MID ULSTER,Sinn Féin,Sinn Féin,1,27.60525977641667,37.98695763031438
2017,NEWRY AND ARMAGH,Sinn Féin,Sinn Féin,1,23.309505589876636,36.926117777366244
2017,NORTH ANTRIM,DUP,DUP,1,42.59801898472968,32.53083338415387
2017,NORTH DOWN,Independent,DUP,0,3.1772361873165806,14.108309450453355
2017,SOUTH ANTRIM,DUP,DUP,1,7.431086402594392,40.79107894895698
2017,SOUTH DOWN,Sinn Féin,Sinn Féin,1,4.8061619476155855,4.701440829310652
2017,STRANGFORD,DUP,DUP,1,47.33799581924695,36.5069498026041
2017,UPPER BANN,DUP,DUP,1,15.591712513168673,2.3470463865289446
2017,WEST TYRONE,Sinn Féin,Sinn Féin,1,23.78236673872051,38.682279216144536
2019,BELFAST EAST,DUP,DUP,1,4.285546000706802,28.849557454378974
2019,BELFAST NORTH,Sinn Féin,DUP,0,3.962314170932153,22.084955435101534
2019,BELFAST SOUTH,SDLP,SDLP,1,32.52449738131441,5.892543566119244
2019,BELFAST WEST,Sinn Féin,Sinn Féin,1,37.83198391006137,37.49322104380297
2019,EAST ANTRIM,DUP,DUP,1,17.997369904189362,17.946171035086234
2019,EAST LONDONDERRY,DUP,DUP,1,24.44404864892372,21.878704279398555
2019,FERMANAGH AND SOUTH TYRONE,Sinn Féin,Sinn Féin,1,0.1122887199085909,26.314412561356967
2019,FOYLE,SDLP,Sinn Féin,0,36.29305956219244,19.78470947958875
2019,LAGAN VALLEY,DUP,DUP,1,14.313401607752443,3.7351994210802317
2019,MID ULSTER,Sinn Féin,Sinn Féin,1,21.37382339757956,20.445677906334172
2019,NEWRY AND ARMAGH,Sinn Féin,Sinn Féin,1,18.289056499734144,20.590296303541386
2019,NORTH ANTRIM,DUP,DUP,1,28.87789153481192,28.21376755859
2019,NORTH DOWN,Alliance,Alliance,1,7.3026105356395945,5.310326186940671
2019,SOUTH ANTRIM,DUP,DUP,1,6.257271838786242,20.166439432538393
2019,SOUTH DOWN,Sinn Féin,DUP,0,3.2554961617298375,4.780322550126037
2019,STRANGFORD,DUP,DUP,1,18.863545418167263,6.417188412977552
2019,UPPER BANN,DUP,DUP,1,16.405235288240586,14.805765785888806
2019,WEST TYRONE,Sinn Féin,Sinn Féin,1,18.156655174088286,24.753270830184217
2024,BELFAST EAST,DUP,DUP,1,6.2660984405001585,3.215565700645584
2024,BELFAST NORTH,Sinn Féin,Sinn Féin,1,13.873232473054482,5.532740460847638
2024,BELFAST SOUTH AND MID DOWN,SDLP,Alliance,0,28.755374675220157,11.300511563794675
2024,BELFAST WEST,Sinn Féin,Sinn Féin,1,40.160531414337115,32.65086153659057
2024,EAST ANTRIM,DUP,DUP,1,3.2917454316320054,9.937348010342433
2024,EAST LONDONDERRY,DUP,DUP,1,0.4336555466724832,7.511402086102002
2024,FERMANAGH AND SOUTH TYRONE,Sinn Féin,Sinn Féin,1,8.949408724254049,40.58042195375001
2024,FOYLE,SDLP,Sinn Féin,0,10.860837374211378,35.15618716010777
2024,LAGAN VALLEY,Alliance,DUP,0,6.028809518958457,1.7441959422662237
2024,MID ULSTER,Sinn Féin,Sinn Féin,1,32.83749587413357,28.302033238142158
2024,NEWRY AND ARMAGH,Sinn Féin,Sinn Féin,1,33.722955030255534,29.246792874302255
2024,NORTH ANTRIM,TUV,DUP,0,1.0926308121889043,13.336747522691066
2024,NORTH DOWN,Independent,Alliance,0,17.142461197339248,8.505950723298014
2024,SOUTH ANTRIM,UUP,DUP,0,17.507224759951523,10.209946169614618
2024,SOUTH DOWN,Sinn Féin,Sinn Féin,1,20.51146033640563,7.611593396268265
2024,STRANGFORD,DUP,Alliance,0,13.187180343879309,2.3395630825536706
2024,UPPER BANN,DUP,Sinn Féin,0,15.63832932133958,5.366425713028335
2024,WEST TYRONE,Sinn Féin,Sinn Féin,1,36.42750886829157,29.957298169975004
