contest,scale,year,area,party,votes,share_pct,seats_won,seats_total,stood,valid_poll,electorate,turnout_pct
assembly,constituency,2016,Belfast East,DUP,13643.0,36.69939475453934,3,6,True,37175.0,65740,57.23
assembly,constituency,2016,Belfast East,Sinn Féin,946.0,2.5447209145931406,0,6,True,37175.0,65740,57.23
assembly,constituency,2016,Belfast East,UUP,4142.0,11.141896435776731,1,6,True,37175.0,65740,57.23
assembly,constituency,2016,Belfast East,SDLP,141.0,0.3792871553463349,0,6,True,37175.0,65740,57.23
assembly,constituency,2016,Belfast East,Alliance,10659.0,28.672494956287828,2,6,True,37175.0,65740,57.23
assembly,constituency,2016,Belfast East,TUV,887.0,2.3860121049092133,0,6,True,37175.0,65740,57.23
assembly,constituency,2016,Belfast East,Green,2183.0,5.872225958305313,0,6,True,37175.0,65740,57.23
assembly,constituency,2016,Belfast East,PBP,0.0,0.0,0,6,False,37175.0,65740,57.23
assembly,constituency,2016,Belfast East,Aontú,0.0,0.0,0,6,False,37175.0,65740,57.23
assembly,constituency,2016,Belfast East,Independent,1099.0,2.956287827841291,0,6,True,37175.0,65740,57.23
assembly,constituency,2016,Belfast East,Other,3475.0,9.347679892400807,0,6,True,37175.0,65740,57.23
assembly,constituency,2016,Belfast North,DUP,12783.0,34.95105812872532,3,6,True,36574.0,70872,52.48
assembly,constituency,2016,Belfast North,Sinn Féin,9704.0,26.532509432930496,2,6,True,36574.0,70872,52.48
assembly,constituency,2016,Belfast North,UUP,1972.0,5.391808388472685,0,6,True,36574.0,70872,52.48
assembly,constituency,2016,Belfast North,SDLP,3866.0,10.570350522228905,1,6,True,36574.0,70872,52.48
assembly,constituency,2016,Belfast North,Alliance,2569.0,7.024115491879477,0,6,True,36574.0,70872,52.48
assembly,constituency,2016,Belfast North,TUV,644.0,1.760813692787226,0,6,True,36574.0,70872,52.48
assembly,constituency,2016,Belfast North,Green,796.0,2.176409471209056,0,6,True,36574.0,70872,52.48
assembly,constituency,2016,Belfast North,PBP,1286.0,3.5161590200689012,0,6,True,36574.0,70872,52.48
assembly,constituency,2016,Belfast North,Aontú,0.0,0.0,0,6,False,36574.0,70872,52.48
assembly,constituency,2016,Belfast North,Independent,330.0,0.9022803084158145,0,6,True,36574.0,70872,52.48
