dea,main_src,pct_from_main,n_src
AIRPORT,ANTRIM SOUTH EAST,70.6328309424369,2
ANTRIM,ANTRIM TOWN,82.24708780426704,3
ARDS PENINSULA,ARDS PENINSULA,78.92164717192757,2
ARMAGH,ARMAGH CITY,49.134392840611014,3
BALLYARNETT,SHANTALLOW,98.56627985266744,2
BALLYCLARE,BALLYCLARE,100.0,1
BALLYMENA,BALLYMENA NORTH,61.436805269658294,2
BALLYMONEY,BANN VALLEY,49.79813221320501,3
BALMORAL,BALMORAL,78.06441079227723,4
BANBRIDGE,KNOCKIVEAGH,48.58483816501159,5
BANGOR CENTRAL,ABBEY,69.20477585041677,3
BANGOR EAST AND DONAGHADEE,BALLYHOLME AND GROOMSPORT,64.70176359896722,2
BANGOR WEST,BANGOR WEST,88.29253303287923,2
BANN,BANN,100.0,1
BANNSIDE,BANNSIDE,85.622133749937,2
BENBRADAGH,BENBRADAGH,55.94342799416321,2
BLACK MOUNTAIN,UPPER FALLS,59.90021740342271,2
BOTANIC,LAGANBANK,73.18024611919891,3
BRAID,BRAID,72.22851865843933,2
CARNTOGHER,SPERRIN,56.43310617974256,2
CARRICK CASTLE,KILROOT,63.91858887381275,2
CASTLE,CASTLE,92.5493689680772,2
CASTLEREAGH EAST,CASTLEREAGH EAST,86.93825356229448,2
CASTLEREAGH SOUTH,CASTLEREAGH SOUTH,66.42540871934605,2
CAUSEWAY,THE SKERRIES,53.37923167800546,4
CLOGHER VALLEY,CLOGHER VALLEY,59.626312679001686,3
COAST ROAD,COAST ROAD,48.1420507996237,3
COLERAINE,COLERAINE CENTRAL,66.04292790313704,2
COLLIN,DUNMURRY CROSS,78.07403037900015,2
COMBER,ARDS WEST,100.0,1
COOKSTOWN,COOKSTOWN CENTRAL,46.92692042084738,3
COURT,COURT,63.11073945765141,3
CRAIGAVON,CENTRAL,81.5225956761572,2
CROTLIEVE,CROTLIEVE,81.85973482205164,2
CUSHER,CUSHER,65.02023055195053,3
DERG,DERG,73.34081976417743,3
DOWNPATRICK,DOWNPATRICK,96.86059776408852,2
DOWNSHIRE EAST,DOWNSHIRE,73.40978319297616,3
DOWNSHIRE WEST,KILLULTAGH,42.45156786316831,3
DUNGANNON,DUNGANNON TOWN,66.25458232587161,3
DUNSILLY,ANTRIM NORTH WEST,79.49658276379397,4
ENNISKILLEN,ENNISKILLEN,92.4769647696477,2
ERNE EAST,ERNE EAST,100.0,1
ERNE NORTH,ERNE NORTH,76.45693827487901,2
ERNE WEST,ERNE WEST,100.0,1
FAUGHAN,RURAL,93.96506913400562,2
FOYLESIDE,NORTHLAND,93.87592487194081,2
GLENGORMLEY URBAN,ANTRIM LINE,90.90993114284394,2
HOLYWOOD AND CLANDEBOYE,HOLYWOOD,65.1271206805402,3
KILLULTAGH,KILLULTAGH,72.35270067687276,2
KNOCKAGH,KNOCKAGH MONUMENT,86.67129870881826,2
LAGAN RIVER,DROMORE,52.69311401386873,3
LARNE LOUGH,LARNE LOUGH,59.81446111869031,3
LIMAVADY,LIMAVADY TOWN,46.34957796808576,3
LISBURN NORTH,LISBURN TOWN NORTH,58.82980084438569,3
LISBURN SOUTH,LISBURN TOWN NORTH,47.138863767162704,3
LISNASHARRAGH,CASTLEREAGH CENTRAL,40.14948913118014,4
LURGAN,LURGAN,50.72919121304951,3
MACEDON,MACEDON,87.53199448710376,2
MAGHERAFELT,MAGHERAFELT TOWN,59.94186951782841,3
MID TYRONE,MID TYRONE,96.11689123884246,2
MOYOLA,MOYOLA,40.01721633399688,3
NEWRY,NEWRY TOWN,72.47394247644974,4
NEWTOWNARDS,NEWTOWNARDS,62.954645980061926,2
OLDPARK,OLDPARK,94.02876441131944,2
OMAGH,OMAGH TOWN,88.31646734130635,2
ORMISTON,VICTORIA,75.54303870595032,4
PORTADOWN,PORTADOWN,76.7744874715262,4
ROWALLANE,ROWALLANE,73.93371622257791,2
SLIEVE CROOB,BALLYNAHINCH,49.31257014590348,4
SLIEVE GULLION,THE FEWS,51.31874207291294,3
SPERRIN,MOURNE,46.00728155339806,3
THE GLENS,BALLYCASTLE,39.140633939810044,4
THE MOOR,CITYSIDE,71.20752072871657,2
THE MOURNES,THE MOURNES,55.44518393430681,3
THREE MILE WATER,UNIVERSITY,92.18439784998306,3
TITANIC,POTTINGER,64.73031343448886,2
TORRENT,TORRENT,66.3408913213448,3
WATERSIDE,WATERSIDE,79.5359085588377,2
WEST TYRONE,WEST TYRONE,100.0,1
