area,dep__mdm_pct,dep__income_pct,dep__employment_pct
Airport,72.13308714076878,69.06792327010407,75.29121471406324
Antrim,53.437274426131815,60.745192373788385,51.20660658432991
Ards Peninsula,46.3471202120822,43.06277879547962,48.668588578715244
Armagh,45.0329676858734,34.84342952778254,50.088121774823165
Ballyarnett,35.19644610049503,39.54437206457985,29.814041135366594
Ballyclare,71.52481102895109,67.12785439309282,70.87333795904793
Ballymena,57.10637145578296,54.4437239006363,57.264153661249274
Ballymoney,52.59405490088798,49.11569968148085,52.57686488806881
Balmoral,74.88909179910831,75.56937168259927,69.32865577527224
Banbridge,53.214517853257874,49.88637900710467,52.723781734009854
Bangor Central,63.9599067702094,52.2432978841762,63.385436184695045
Bangor East and Donaghadee,76.11802544224491,63.825336688247795,69.7467755927443
Bangor West,64.00612229342659,55.365208683460025,62.395086494191005
Bann,50.862976916774166,35.09778231218608,58.51750425380348
Bannside,67.87756676550156,64.39968788836741,70.37877331954243
Benbradagh,36.53308830696382,30.380698305671956,38.91207169818805
Black Mountain,27.094857213441603,53.17692613050952,18.708634486558466
Botanic,55.596014055244126,56.718641181007214,65.45106005653018
Braid,60.15771693578174,51.10725182736745,67.43043914880909
Carntogher,52.084333045499875,42.75570328630547,58.01599186198313
Carrick Castle,61.95708229590082,64.60411815464971,57.18060614995784
Castle,48.073540478224984,51.80357787596637,44.45942208181792
Castlereagh East,71.12453113546653,70.56042874329351,67.56148529157349
Castlereagh South,89.59679951631479,84.97928567517748,81.00388267825714
Causeway,54.13161247488749,42.79191190874906,57.38145819747485
Clogher Valley,47.88844215838881,39.95158225711333,58.32652475082277
Coast Road,47.97706374764339,50.84045256758639,46.21184712278579
Coleraine,46.32152511232585,38.12043304404007,43.130577588126485
Collin,41.577613403023925,54.25042302615634,34.2197190627013
Comber,70.56083579956598,58.983202391526035,76.06916637767486
Cookstown,44.112453832704034,47.07551023984108,45.40458721621247
Court,17.447062403179963,33.02038635883322,16.109206567558616
Craigavon,57.771079272014624,57.64268414126104,57.52313536101216
Crotlieve,51.55594683077376,35.89284242816763,57.471569081834296
Cusher,54.664169707593196,45.40632422595041,59.89734790066566
Derg,29.311506166255878,33.521612432085405,29.433151064901857
Downpatrick,45.065415402935294,52.3104332334456,42.640192400024475
Downshire East,72.03431903573032,64.60533446902856,77.98463014611218
Downshire West,80.17946392882826,70.20753517198915,80.5311065800255
Dungannon,53.357351291205354,51.310913306206814,55.87683900423986
Dunsilly,64.58531726783617,61.78247183640747,69.1035112517305
Enniskillen,46.347333312688875,42.68929663719974,47.56150925570045
Erne East,33.43250665082038,23.86127175004608,49.046785895824655
Erne North,39.00219095763435,29.240869789529135,48.97252685565851
Erne West,43.40529285091388,30.78800206980969,62.68668028180256
Faughan,52.55161240827804,48.854111955531245,49.566846928985804
Foyleside,39.97656133908672,44.05063101635425,30.991029039670458
Glengormley Urban,71.27440507300045,73.40046731176334,65.0106822874343
Holywood and Clandeboye,75.58448416815364,64.67671163480848,77.19815970231171
Killultagh,74.5856516991905,69.67226075109338,81.1071990475816
Knockagh,64.81245348506434,67.40302545997235,63.134167757819164
Lagan River,67.74554716996461,54.37493802080113,72.28950025149861
Larne Lough,61.963678748170786,59.477972199149676,63.15261974328547
Limavady,41.86951823358545,42.590043922988635,40.20337193312975
Lisburn North,66.70580297433895,64.79094416495535,62.00472006350913
Lisburn South,54.1337581675518,54.23222743613739,52.58175710465974
Lisnasharragh,77.62172334710922,76.82180815991431,71.8653195959768
Lurgan,50.013209840995685,52.23743335639035,47.856528380002565
Macedon,42.22357391048895,48.35784790202482,38.55117526423212
Magherafelt,53.1546482012098,50.73906154335953,55.58448681213724
Mid Tyrone,44.73129859797768,43.92155667598403,50.17152735901985
Moyola,59.22641015926291,54.41719676918715,62.170234479828366
Newry,38.73800149391341,38.81339678424719,36.92230572255077
Newtownards,54.70257262757746,47.912463475843325,53.81444708207577
Oldpark,19.05987211336238,32.89844665264585,17.201675658596915
Omagh,40.48640633010394,47.87004868418372,31.544412656191557
Ormiston,77.96246311678588,76.25062182731052,72.3986976550408
Portadown,47.52672099644762,41.52821355255966,51.76714966587272
Rowallane,62.350576387222276,52.93816292309358,63.26221032567417
Slieve Croob,45.83272873542917,42.20500873625634,51.35919965896712
Slieve Gullion,27.33835942572631,17.18745709102133,39.56041173464827
Sperrin,30.236970580866863,30.18476563693837,33.00065635593487
The Glens,44.107512641193765,36.44387527205848,48.34452458489565
The Moor,14.884215278446973,22.10549904566018,10.747924177504588
The Mournes,43.39152385109328,38.168516002227626,47.96880179055579
Three Mile Water,69.20969672019359,69.31001763756527,66.34242175904616
Titanic,34.375364737017925,45.955037238704705,37.04647923410118
Torrent,41.68168608801403,40.81106621325009,44.03288879233689
Waterside,43.42018619086477,43.8959925176468,36.175954574086
West Tyrone,45.387263134301996,48.089296406379475,51.54068555386042
