OA_CODE,nat_2001,nat_2023,nat_2001_on2021demog,pop,change,swing_political,swing_demographic,label,dea
95AA010001,29.685920430268673,84.93342458808816,63.4525307049477,231.0,55.247504157819485,21.48089388314046,33.766610274679024,Airport_G3,AIRPORT
95AA010002,24.670247746396488,39.25430770750823,16.15493519866202,183.0,14.584059961111745,23.099372508846212,-8.515312547734467,Airport_G3,AIRPORT
95AA010003,18.052744873068374,43.96076904266331,21.66361309342789,487.0,25.908024169594935,22.297155949235417,3.6108682203595173,Airport_F3,AIRPORT
95AA010004,10.949250265837076,29.515016796801813,11.794376885626258,225.0,18.565766530964737,17.720639911175553,0.845126619789184,Airport_F1,AIRPORT
95AA010005,3.71083815620933,23.277739604240157,10.54533282348684,109.0,19.566901448030826,12.732406780753317,6.834494667277509,Airport_B3,AIRPORT
95AA010006,6.9318158204863,13.779056302794014,6.0905656525415806,275.0,6.847240482307715,7.688490650252434,-0.8412501679447191,Airport_G1,AIRPORT
95AA010007,17.481094023735345,18.859829379767373,9.34183238359833,224.0,1.3787353560320277,9.517996996169042,-8.139261640137015,Airport_F1,AIRPORT
95AA010008,10.370493923080598,21.807960703738853,9.814622082625984,486.0,11.437466780658255,11.99333862111287,-0.5558718404546141,Airport_B3,AIRPORT
95AA010009,3.9011408656994435,22.270256968945546,10.096317036711856,220.0,18.369116103246103,12.17393993223369,6.195176171012413,Airport_F2,AIRPORT
95AA010010,12.156954276252673,15.50838707007711,8.667038727490093,2582.0,3.3514327938244364,6.8413483425870165,-3.48991554876258,Airport_F2,AIRPORT
95AA010011,35.739308757762814,26.615992470049598,15.23357371981101,212.0,-9.123316287713216,11.382418750238587,-20.5057350379518,Airport_F2,AIRPORT
95AA020001,22.079836773968484,37.48244820771767,33.97886132598474,297.0,15.402611433749183,3.5035868817329288,11.899024552016254,Antrim_N5,ANTRIM
95AA020002,21.12375598010158,24.627460234152473,20.677428888068622,296.0,3.5037042540508914,3.9500313460838505,-0.44632709203295917,Antrim_N5,ANTRIM
95AA020003,23.049240922817866,28.51601152089714,26.465509326818317,252.0,5.466770598079275,2.050502194078824,3.4162684040004514,Antrim_N5,ANTRIM
95AA020004,27.445674461650704,27.402384808931018,26.840681653119045,337.0,-0.04328965271968599,0.5617031558119727,-0.6049928085316587,Antrim_N1,ANTRIM
95AA020005,40.01723268138109,30.757474194322537,26.385158626212036,259.0,-9.259758487058551,4.372315568110501,-13.632074055169053,Antrim_N5,ANTRIM
95AA020006,27.190912732691096,25.359601068839517,21.51200381787674,216.0,-1.8313116638515794,3.847597250962778,-5.6789089148143574,Antrim_N2,ANTRIM
95AA030001,13.460468506542256,14.212635050818907,9.832410621136937,311.0,0.7521665442766512,4.38022442968197,-3.628057885405319,Antrim_J5,ANTRIM
95AA030002,9.64839779413422,13.656969916188578,10.144456534366805,267.0,4.008572122054357,3.5125133818217726,0.4960587402325842,Antrim_J5,ANTRIM
95AA030003,10.949322191225,16.38265751646114,9.369691672981554,307.0,5.43333532523614,7.012965843479586,-1.5796305182434462,Antrim_K3,ANTRIM
95AA030004,10.391241957988052,14.979924630699399,7.990803124136151,252.0,4.5886826727113466,6.989121506563248,-2.4004388338519016,Antrim_K5,ANTRIM
95AA030005,7.2021121270631605,14.00217579072559,6.333946356468425,279.0,6.800063663662429,7.668229434257165,-0.8681657705947359,Antrim_F5,ANTRIM
95AA030006,8.703739599068752,12.029681887689124,6.859040051774012,270.0,3.3259422886203716,5.170641835915112,-1.8446995472947405,Antrim_K4,ANTRIM
95AA030007,10.550098607677107,13.526393777924437,8.66894272037559,237.0,2.9762951702473295,4.857451057548847,-1.8811558873015173,Antrim_J5,ANTRIM
95AA040001,6.06728189277455,14.997682539867078,5.671191745661863,360.0,8.93040064709253,9.326490794205215,-0.39609014711268564,Airport_G2,AIRPORT
95AA040002,5.236264428978243,18.878283692359688,7.255421880304515,359.0,13.642019263381444,11.622861812055174,2.0191574513262704,Airport_G2,AIRPORT
95AA040003,6.435137948279062,28.84242602549193,11.45713819244795,363.0,22.40728807721287,17.38528783304398,5.02200024416889,Airport_G4,AIRPORT
95AA040004,31.326149977943054,69.68609114457608,49.03747883799581,367.0,38.35994116663303,20.64861230658027,17.71132886005276,Airport_G4,AIRPORT
