DZ21,label,catholic_bg_pct,proj_unity_pct,provenance
N20000136,Three_Mile_Water_D3,9.1,22.4,modelled
N20000137,Three_Mile_Water_B2,6.5,22.7,modelled
N20000138,Three_Mile_Water_K1,4.8,22.0,modelled
N20000139,Three_Mile_Water_B3,8.0,22.9,modelled
N20000140,Three_Mile_Water_G1,31.0,44.4,modelled
N20000141,Three_Mile_Water_A5,18.4,31.1,modelled
N20000143,Three_Mile_Water_E3,21.3,31.9,modelled
N20000144,Three_Mile_Water_D4,14.0,29.6,modelled
N20000145,Three_Mile_Water_F2,6.2,23.9,modelled
N20000146,Three_Mile_Water_J1,5.4,25.4,modelled
N20000149,Three_Mile_Water_E4,20.6,31.6,modelled
N20000150,Three_Mile_Water_J2,2.4,22.2,modelled
N20000151,Three_Mile_Water_H2,12.2,27.1,modelled
N20000152,Three_Mile_Water_G2,26.1,37.1,modelled
N20000153,Three_Mile_Water_K2,2.4,20.8,modelled
N20000154,Three_Mile_Water_F4,4.0,22.7,modelled
N20000156,Three_Mile_Water_H3,14.3,28.8,modelled
N20000157,Three_Mile_Water_H4,17.0,29.3,modelled
N20000158,Three_Mile_Water_G3,18.8,31.1,modelled
N20000159,Three_Mile_Water_J4,2.9,23.3,modelled
N20000160,Three_Mile_Water_G4,26.9,35.9,modelled
N20000161,Three_Mile_Water_K3,26.0,38.1,modelled
N20000162,Three_Mile_Water_G5,19.6,29.9,modelled
N20000163,Three_Mile_Water_K4,19.1,33.0,modelled
N20000164,Macedon_A1,29.3,38.0,modelled
N20000165,Macedon_A2,8.8,25.7,modelled
N20000166,Macedon_B1,23.6,33.9,modelled
N20000167,Macedon_B2,23.6,33.1,modelled
N20000168,Macedon_C1,6.2,22.7,modelled
N20000169,Macedon_B3,58.3,57.1,modelled
N20000170,Macedon_C2,7.9,26.1,modelled
N20000171,Macedon_C3,14.6,29.9,modelled
N20000172,Macedon_B4,41.2,48.4,modelled
N20000173,Macedon_A3,44.1,46.4,modelled
N20000174,Macedon_D1,2.1,21.5,modelled
