DZ21,label,catholic_bg_pct,proj_unity_pct,provenance
N20000580,Lagan_River_G3,17.9,28.9,modelled
N20000581,Lagan_River_G4,6.7,25.1,modelled
N20000582,Lagan_River_K2,12.2,25.7,modelled
N20000583,Lagan_River_K3,13.3,25.7,modelled
N20000584,Lagan_River_L1,12.2,27.5,modelled
N20000585,Lagan_River_J3,18.2,28.9,modelled
N20000586,Lagan_River_J4,10.9,24.0,modelled
N20000587,Lagan_River_L2,11.0,26.2,modelled
N20000589,Lagan_River_N1,5.8,22.1,modelled
N20000590,Lagan_River_N2,26.7,36.3,modelled
N20000591,Lagan_River_N3,19.2,30.4,modelled
N20000592,Lagan_River_N4,41.4,44.4,modelled
N20000593,Lagan_River_N5,24.0,32.9,modelled
N20000594,Banbridge_A1,24.8,34.1,modelled
N20000595,Banbridge_A2,38.3,42.6,modelled
N20000597,Banbridge_A4,60.8,59.2,modelled
N20000598,Banbridge_B1,53.9,54.2,modelled
N20000599,Banbridge_A5,22.8,32.8,modelled
N20000600,Banbridge_B2,65.0,61.7,modelled
N20000601,Banbridge_B3,39.2,44.9,modelled
N20000602,Banbridge_B4,36.4,41.5,modelled
N20000603,Banbridge_D1,18.5,30.4,modelled
N20000604,Banbridge_C1,21.9,29.8,modelled
N20000605,Banbridge_F1,64.3,58.9,modelled
N20000606,Banbridge_F2,48.8,49.1,modelled
N20000608,Banbridge_C2,29.2,36.4,modelled
N20000609,Banbridge_C3,36.3,42.1,modelled
N20000610,Banbridge_C4,29.1,35.7,modelled
N20000611,Banbridge_D3,33.8,40.7,modelled
N20000612,Banbridge_E1,36.7,42.5,modelled
N20000613,Banbridge_E2,32.6,38.9,modelled
N20000614,Banbridge_L1,24.2,32.6,modelled
N20000615,Banbridge_D4,46.1,51.1,modelled
N20000616,Banbridge_D5,38.4,45.2,modelled
N20000617,Banbridge_E3,35.1,41.2,modelled
N20000618,Banbridge_E4,39.6,45.4,modelled
N20000619,Banbridge_D6,60.6,58.9,modelled
N20000620,Banbridge_E5,39.1,44.8,modelled
N20000621,Banbridge_H1,50.8,51.8,modelled
N20000622,Banbridge_D7,50.5,51.9,modelled
N20000623,Banbridge_J1,30.5,38.0,modelled
N20000624,Banbridge_G1,45.2,47.3,modelled
N20000625,Banbridge_H2,51.1,54.5,modelled
N20000627,Banbridge_H3,41.0,44.1,modelled
N20000628,Banbridge_J3,19.2,30.3,modelled
N20000629,Banbridge_F3,23.9,33.0,modelled
N20000630,Banbridge_G2,36.4,41.0,modelled
N20000631,Banbridge_E6,37.5,42.2,modelled
N20000632,Banbridge_G3,40.7,45.3,modelled
N20000633,Banbridge_J4,22.9,32.1,modelled
N20000634,Banbridge_G4,13.4,28.2,modelled
N20000635,Banbridge_J5,36.9,41.9,modelled
N20000636,Banbridge_H4,27.7,36.2,modelled
N20000637,Banbridge_K1,25.8,34.3,modelled
N20000638,Banbridge_K2,24.2,33.1,modelled
N20000639,Banbridge_H5,27.8,35.4,modelled
N20000641,Banbridge_K4,38.9,43.6,modelled
N20000642,Banbridge_F4,52.0,51.8,modelled
N20000643,Banbridge_K5,38.8,43.1,modelled
N20000645,Banbridge_L2,45.3,46.9,modelled
N20000646,Banbridge_N1,57.0,55.0,modelled
N20000647,Banbridge_N2,54.7,53.2,modelled
N20000648,Banbridge_L3,17.2,27.6,modelled
N20000649,Banbridge_N3,35.7,40.2,modelled
N20000650,Banbridge_P1,18.5,30.0,modelled
N20000651,Banbridge_P2,64.6,60.1,modelled
N20000652,Banbridge_N4,41.9,44.4,modelled
N20000653,Banbridge_L4,33.7,39.3,modelled
N20000654,Banbridge_N5,69.9,63.5,modelled
N20000655,Banbridge_P3,6.1,20.9,modelled
N20000656,Banbridge_P4,17.4,28.8,modelled
N20000657,Banbridge_L5,22.9,32.0,modelled
N20000658,Banbridge_P5,25.3,33.8,modelled
N20000659,Banbridge_Q1,49.2,50.5,modelled
N20000660,Banbridge_Q2,33.0,38.6,modelled
N20000661,Banbridge_Q3,43.5,46.2,modelled
N20000663,Banbridge_Q5,38.6,42.4,modelled
N20000664,Cusher_E1,5.9,21.4,modelled
N20000665,Cusher_E2,11.1,25.2,modelled
N20000666,Cusher_B1,4.5,20.2,modelled
N20000667,Cusher_A1,14.5,26.2,modelled
N20000668,Cusher_B2,10.6,25.3,modelled
N20000669,Cusher_B3,8.2,23.8,modelled
N20000670,Cusher_A2,7.8,23.3,modelled
N20000671,Cusher_B4,8.1,23.4,modelled
N20000672,Cusher_D1,9.2,23.8,modelled
N20000674,Cusher_E3,17.9,27.9,modelled
N20000675,Cusher_A3,4.3,21.8,modelled
N20000677,Cusher_B6,4.1,20.6,modelled
N20000678,Cusher_C1,8.6,24.4,modelled
N20000679,Cusher_C2,9.0,23.9,modelled
N20000680,Cusher_C3,9.9,25.0,modelled
N20000681,Cusher_E4,11.4,23.8,modelled
N20000682,Cusher_F1,13.1,27.4,modelled
N20000684,Cusher_F3,14.9,29.3,modelled
N20000685,Cusher_D3,16.0,28.5,modelled
N20000686,Cusher_F4,12.6,27.2,modelled
N20000687,Cusher_G1,9.2,23.8,modelled
N20000688,Cusher_E5,20.4,29.8,modelled
N20000689,Cusher_G2,12.1,25.3,modelled
N20000690,Cusher_G3,8.9,23.0,modelled
N20000691,Cusher_G4,6.8,22.2,modelled
N20000692,Cusher_H1,29.1,36.3,modelled
N20000693,Cusher_K1,12.4,24.7,modelled
N20000694,Cusher_H2,17.4,28.8,modelled
N20000695,Cusher_K2,12.4,25.4,modelled
N20000696,Cusher_J1,33.6,39.5,modelled
N20000697,Cusher_J2,10.9,25.4,modelled
N20000698,Cusher_J3,26.3,34.6,modelled
N20000699,Cusher_K3,34.0,39.3,modelled
N20000700,Cusher_J4,15.2,27.5,modelled
N20000701,Cusher_L1,76.3,67.7,modelled
N20000702,Cusher_K4,79.4,69.9,modelled
N20000703,Cusher_K5,10.3,23.6,modelled
N20000705,Cusher_L2,63.6,59.2,modelled
N20000706,Cusher_L3,92.5,78.9,modelled
N20000707,Cusher_L4,91.0,78.0,modelled
N20000708,Cusher_H4,32.0,38.6,modelled
N20000709,Cusher_K6,71.3,64.5,modelled
N20000710,Cusher_L5,79.0,70.2,modelled
N20000711,Oldpark_A1,5.2,23.1,modelled
N20000712,Oldpark_A2,78.7,70.3,modelled
N20000713,Oldpark_A3,47.9,51.3,modelled
N20000714,Oldpark_B1,7.8,25.5,modelled
N20000715,Oldpark_D1,94.0,80.3,modelled
N20000716,Oldpark_C1,12.3,27.7,modelled
N20000717,Oldpark_B2,3.6,22.3,modelled
N20000718,Oldpark_B3,7.8,24.9,modelled
N20000719,Oldpark_A4,90.8,78.5,modelled
N20000720,Oldpark_B4,4.8,20.1,modelled
N20000721,Oldpark_A5,28.0,36.4,modelled
N20000722,Oldpark_C2,16.3,30.4,modelled
N20000723,Oldpark_C3,9.0,26.2,modelled
N20000725,Oldpark_D3,84.6,74.6,modelled
N20000726,Oldpark_E1,48.7,51.0,modelled
N20000727,Oldpark_C4,9.3,25.7,modelled
N20000728,Oldpark_F1,11.0,25.6,modelled
N20000729,Oldpark_E2,8.1,25.6,modelled
N20000730,Oldpark_F2,13.5,27.0,modelled
N20000731,Oldpark_D4,70.8,67.3,modelled
N20000732,Oldpark_E3,85.8,74.2,modelled
N20000733,Oldpark_E4,73.6,67.4,modelled
N20000734,Oldpark_G1,89.6,77.9,modelled
N20000735,Oldpark_G2,91.2,78.7,modelled
N20000736,Oldpark_F3,9.6,28.2,modelled
N20000737,Oldpark_K1,12.3,27.7,modelled
N20000738,Oldpark_G3,78.4,71.9,modelled
N20000739,Oldpark_E5,9.4,25.0,modelled
N20000740,Oldpark_H1,86.8,75.9,modelled
N20000741,Oldpark_G4,87.5,76.6,modelled
N20000742,Oldpark_K2,16.8,30.0,modelled
N20000743,Oldpark_J1,76.2,68.9,modelled
N20000744,Oldpark_J2,23.8,34.4,modelled
N20000745,Oldpark_G5,75.5,70.1,modelled
N20000746,Oldpark_N1,87.3,77.1,modelled
N20000747,Oldpark_L1,81.4,73.4,modelled
N20000748,Oldpark_H2,91.3,79.2,modelled
N20000749,Oldpark_N2,80.4,73.8,modelled
N20000750,Oldpark_L2,85.0,75.5,modelled
N20000751,Oldpark_H3,90.9,78.5,modelled
N20000752,Oldpark_J3,92.8,79.4,modelled
N20000753,Oldpark_K3,93.1,80.0,modelled
N20000754,Oldpark_R1,76.9,70.2,modelled
N20000755,Oldpark_N3,92.2,78.9,modelled
N20000756,Oldpark_K4,87.5,76.1,modelled
N20000757,Oldpark_L3,71.6,70.4,modelled
N20000758,Oldpark_Q1,93.3,79.6,modelled
N20000759,Oldpark_R2,62.8,63.3,modelled
N20000760,Oldpark_P1,88.5,76.9,modelled
N20000761,Oldpark_L4,92.2,79.6,modelled
N20000762,Oldpark_P2,91.0,78.6,modelled
N20000763,Oldpark_L5,64.7,60.9,modelled
N20000764,Oldpark_R3,68.6,66.1,modelled
N20000765,Oldpark_Q2,88.3,76.5,modelled
N20000766,Oldpark_R4,82.4,74.4,modelled
N20000767,Oldpark_N4,80.0,69.8,modelled
N20000769,Oldpark_R5,70.9,68.6,modelled
N20000770,Oldpark_Q3,72.8,67.5,modelled
N20000771,Oldpark_S1,85.4,75.8,modelled
N20000772,Oldpark_U1,68.5,66.5,modelled
N20000774,Oldpark_U2,75.7,70.1,modelled
N20000775,Oldpark_R6,78.6,70.5,modelled
N20000776,Oldpark_Q4,6.8,24.6,modelled
N20000779,Oldpark_T2,85.7,76.4,modelled
N20000780,Oldpark_S4,83.2,73.0,modelled
N20000781,Oldpark_T3,93.0,79.2,modelled
N20000782,Oldpark_S5,84.7,74.6,modelled
N20000783,Oldpark_U3,85.9,76.1,modelled
N20000784,Oldpark_T4,93.5,80.1,modelled
N20000785,Oldpark_U4,92.4,79.0,modelled
N20000786,Oldpark_U5,64.8,62.9,modelled
N20000787,Castle_A1,88.0,76.0,modelled
N20000788,Castle_A2,84.1,73.9,modelled
N20000789,Castle_A3,71.0,65.4,modelled
N20000790,Castle_B1,10.7,26.7,modelled
N20000791,Castle_B2,57.2,57.0,modelled
N20000792,Castle_B3,82.9,73.4,modelled
N20000793,Castle_B4,78.2,70.3,modelled
N20000794,Castle_C1,84.3,75.3,modelled
N20000795,Castle_C2,25.0,37.9,modelled
N20000796,Castle_D1,78.5,69.6,modelled
N20000797,Castle_C3,56.7,55.3,modelled
N20000798,Castle_E1,7.6,24.4,modelled
N20000799,Castle_D2,82.1,71.1,modelled
N20000800,Castle_E2,14.0,27.5,modelled
N20000801,Castle_E3,10.0,26.7,modelled
N20000802,Castle_F1,88.4,76.1,modelled
N20000804,Castle_H1,64.8,61.1,modelled
N20000805,Castle_G1,17.8,29.8,modelled
N20000806,Castle_G2,7.0,22.3,modelled
N20000807,Castle_J1,76.4,68.3,modelled
N20000808,Castle_D3,83.5,72.9,modelled
N20000809,Castle_G3,40.1,44.3,modelled
N20000810,Castle_H2,81.1,71.7,modelled
N20000811,Castle_H3,7.2,24.6,modelled
N20000812,Castle_F3,87.8,76.5,modelled
N20000814,Castle_J2,69.3,64.6,modelled
N20000815,Castle_J3,86.3,75.3,modelled
N20000816,Castle_J4,72.5,65.3,modelled
N20000817,Castle_H5,60.3,57.6,modelled
N20000818,Castle_L1,81.1,71.7,modelled
N20000819,Castle_G4,46.8,49.2,modelled
N20000820,Castle_G5,4.4,22.2,modelled
N20000821,Castle_K1,29.7,39.8,modelled
N20000822,Castle_L2,82.5,73.5,modelled
N20000823,Castle_K2,34.6,39.9,modelled
N20000824,Castle_L3,76.2,69.1,modelled
N20000825,Castle_Q1,51.3,57.1,modelled
N20000826,Castle_N1,41.7,45.2,modelled
N20000827,Castle_J5,77.1,69.4,modelled
N20000828,Castle_K3,16.7,29.5,modelled
N20000829,Castle_K4,11.5,29.0,modelled
N20000830,Castle_L4,59.7,58.4,modelled
N20000831,Castle_N2,86.3,75.6,modelled
N20000832,Castle_N3,43.4,47.1,modelled
N20000833,Castle_R1,76.2,69.8,modelled
N20000834,Castle_L5,11.3,27.5,modelled
N20000835,Castle_P1,13.0,27.9,modelled
N20000836,Castle_R2,74.8,68.9,modelled
N20000837,Castle_P2,7.0,23.1,modelled
N20000838,Castle_R3,74.9,69.7,modelled
N20000840,Castle_R5,80.2,73.5,modelled
N20000841,Castle_S1,55.1,56.9,modelled
N20000842,Castle_T1,26.5,38.6,modelled
N20000843,Castle_S2,71.3,66.6,modelled
N20000844,Castle_T2,5.9,22.7,modelled
N20000845,Castle_S3,17.8,31.9,modelled
N20000846,Castle_U1,86.1,76.6,modelled
N20000847,Castle_T3,9.2,27.3,modelled
N20000848,Castle_U2,64.3,62.0,modelled
N20000849,Castle_U3,72.2,69.5,modelled
N20000850,Castle_T4,13.0,29.7,modelled
N20000851,Castle_U4,15.8,30.3,modelled
N20000852,Castle_U5,10.2,27.4,modelled
N20000853,Castle_T5,13.3,29.2,modelled
N20000854,Castle_Q2,34.3,49.2,modelled
N20000855,Castle_Q3,46.5,59.2,modelled
N20000856,Titanic_A1,4.7,22.3,modelled
N20000857,Titanic_B1,33.8,47.8,modelled
N20000858,Titanic_A2,7.8,24.4,modelled
N20000859,Titanic_A3,17.4,32.7,modelled
N20000860,Titanic_C1,4.5,20.9,modelled
N20000861,Titanic_C2,10.7,27.1,modelled
N20000862,Titanic_C3,14.1,29.4,modelled
N20000863,Titanic_C4,11.5,27.1,modelled
N20000864,Titanic_C5,16.0,32.1,modelled
N20000865,Titanic_D1,9.2,28.2,modelled
N20000866,Titanic_D2,14.6,31.5,modelled
N20000867,Titanic_E1,11.4,29.3,modelled
N20000868,Titanic_D3,12.2,29.1,modelled
N20000869,Titanic_D4,11.6,28.3,modelled
N20000870,Titanic_F1,7.1,24.1,modelled
N20000871,Titanic_E2,11.9,27.5,modelled
N20000872,Titanic_D5,23.1,37.9,modelled
N20000873,Titanic_F2,8.2,22.8,modelled
N20000874,Titanic_F3,5.4,24.6,modelled
N20000875,Titanic_E3,23.4,36.8,modelled
N20000876,Titanic_G1,16.1,32.0,modelled
N20000877,Titanic_F4,6.5,24.7,modelled
N20000878,Titanic_J1,33.3,45.5,modelled
N20000879,Titanic_E4,17.3,32.5,modelled
N20000881,Titanic_G2,15.2,29.9,modelled
N20000882,Titanic_B2,26.6,44.3,modelled
N20000883,Titanic_G3,14.3,29.4,modelled
N20000884,Titanic_B3,15.9,31.9,modelled
N20000885,Titanic_B4,22.2,35.9,modelled
N20000886,Titanic_H1,68.0,63.9,modelled
N20000887,Titanic_H2,94.4,80.0,modelled
N20000888,Titanic_J2,19.5,35.6,modelled
N20000890,Titanic_K2,21.1,33.5,modelled
N20000891,Titanic_J3,17.6,33.5,modelled
N20000892,Titanic_N1,7.1,25.7,modelled
N20000893,Titanic_L1,16.5,31.5,modelled
N20000894,Titanic_H3,60.7,58.9,modelled
N20000895,Titanic_K3,18.8,34.2,modelled
N20000896,Titanic_H4,86.1,75.5,modelled
N20000897,Titanic_K4,21.6,34.3,modelled
N20000898,Titanic_Q1,21.4,34.4,modelled
N20000899,Titanic_J4,22.7,36.7,modelled
N20000900,Titanic_N2,6.0,24.3,modelled
N20000901,Titanic_L2,41.7,50.5,modelled
N20000902,Titanic_R1,26.8,36.0,modelled
N20000903,Titanic_N3,8.2,25.4,modelled
N20000904,Titanic_P1,56.7,56.9,modelled
N20000905,Titanic_L3,22.8,37.8,modelled
N20000906,Titanic_J5,14.1,32.1,modelled
N20000907,Titanic_Q2,19.1,35.6,modelled
N20000908,Titanic_S1,18.7,34.5,modelled
N20000909,Titanic_R2,15.2,28.3,modelled
N20000910,Titanic_L4,10.8,30.6,modelled
N20000911,Titanic_N4,3.4,21.1,modelled
N20000912,Titanic_P2,27.1,40.3,modelled
N20000913,Titanic_S2,25.2,37.5,modelled
N20000914,Titanic_T1,18.1,35.2,modelled
N20000915,Titanic_T2,15.0,32.5,modelled
N20000916,Titanic_Q3,25.7,38.5,modelled
N20000917,Titanic_Q4,19.7,35.7,modelled
N20000918,Titanic_P3,16.4,30.8,modelled
N20000919,Titanic_T3,9.2,28.2,modelled
N20000920,Titanic_Q5,17.1,31.2,modelled
N20000921,Titanic_T4,7.4,26.1,modelled
N20000922,Titanic_S3,12.1,29.3,modelled
N20000923,Titanic_R3,12.4,27.7,modelled
N20000924,Titanic_P4,21.4,38.6,modelled
N20000925,Titanic_U1,24.1,38.0,modelled
N20000926,Titanic_X1,26.9,37.5,modelled
N20000927,Titanic_W1,12.3,31.5,modelled
N20000928,Titanic_S4,18.9,34.8,modelled
N20000929,Titanic_R4,17.3,32.5,modelled
N20000930,Titanic_U2,14.7,30.7,modelled
N20000931,Titanic_T5,21.0,35.5,modelled
N20000932,Titanic_W2,21.9,37.2,modelled
N20000933,Titanic_U3,22.1,38.2,modelled
N20000934,Titanic_Y1,33.9,43.7,modelled
N20000935,Titanic_X2,6.3,21.7,modelled
N20000936,Titanic_W3,10.8,26.8,modelled
N20000937,Titanic_X3,21.5,34.2,modelled
N20000938,Titanic_U4,23.3,36.7,modelled
N20000939,Titanic_Y2,32.9,42.5,modelled
N20000940,Titanic_Z1,19.5,36.7,modelled
N20000941,Titanic_Z2,23.3,35.9,modelled
N20000942,Titanic_Y3,38.7,47.7,modelled
N20000943,Titanic_Z3,27.3,40.9,modelled
N20000944,Titanic_Y4,51.4,56.9,modelled
N20000945,Ormiston_B1,14.5,28.8,modelled
N20000946,Ormiston_A1,15.3,28.2,modelled
N20000947,Ormiston_A2,7.7,24.0,modelled
N20000948,Ormiston_B2,7.9,26.3,modelled
N20000949,Ormiston_A3,4.7,21.4,modelled
N20000950,Ormiston_B3,17.2,30.4,modelled
N20000952,Ormiston_C1,13.5,26.5,modelled
N20000953,Ormiston_C2,10.6,24.0,modelled
N20000954,Ormiston_A5,10.2,24.0,modelled
N20000955,Ormiston_C3,11.8,25.2,modelled
N20000956,Ormiston_B4,10.3,24.4,modelled
N20000957,Ormiston_D1,11.2,26.1,modelled
N20000958,Ormiston_D2,10.6,25.4,modelled
N20000960,Ormiston_C4,9.0,24.3,modelled
N20000961,Ormiston_D3,11.1,24.4,modelled
N20000962,Ormiston_D4,5.3,22.4,modelled
N20000963,Ormiston_F2,19.2,32.1,modelled
N20000964,Ormiston_E1,7.2,22.6,modelled
N20000965,Ormiston_C5,13.5,26.9,modelled
N20000966,Ormiston_E2,18.6,32.8,modelled
N20000967,Ormiston_F3,16.3,34.2,modelled
N20000968,Ormiston_E3,17.1,30.5,modelled
N20000969,Ormiston_E4,13.6,27.7,modelled
N20000970,Ormiston_G1,17.7,31.3,modelled
N20000971,Ormiston_F4,15.0,27.4,modelled
N20000972,Ormiston_H1,32.6,42.6,modelled
N20000973,Ormiston_H2,18.5,31.6,modelled
N20000974,Ormiston_G2,16.6,27.9,modelled
N20000975,Ormiston_G3,21.2,32.3,modelled
N20000976,Ormiston_H3,28.4,38.7,modelled
N20000977,Ormiston_J1,14.7,28.8,modelled
N20000978,Ormiston_J2,24.1,34.4,modelled
N20000979,Ormiston_N1,15.8,28.8,modelled
N20000981,Ormiston_J3,14.7,28.6,modelled
N20000982,Ormiston_F5,17.7,29.2,modelled
N20000983,Ormiston_G4,17.5,29.0,modelled
N20000984,Ormiston_H4,24.3,33.9,modelled
N20000985,Ormiston_H5,21.0,32.2,modelled
N20000986,Ormiston_J4,9.7,24.0,modelled
N20000987,Ormiston_K1,7.5,24.0,modelled
N20000988,Ormiston_N2,12.9,26.6,modelled
N20000989,Ormiston_L2,2.3,20.8,modelled
N20000990,Ormiston_K2,6.9,22.7,modelled
N20000991,Ormiston_J5,9.2,24.6,modelled
N20000992,Ormiston_P1,12.0,25.7,modelled
N20000993,Ormiston_K3,11.0,25.7,modelled
N20000994,Ormiston_K4,3.9,20.6,modelled
N20000995,Ormiston_R1,22.4,33.0,modelled
N20000996,Ormiston_L3,4.4,22.3,modelled
N20000997,Ormiston_N3,18.3,29.9,modelled
N20000998,Ormiston_P2,15.1,27.1,modelled
N20001000,Ormiston_Q1,5.6,24.0,modelled
N20001001,Ormiston_N4,15.7,27.3,modelled
N20001002,Ormiston_P3,8.2,23.8,modelled
N20001003,Ormiston_Q2,6.8,26.0,modelled
N20001004,Ormiston_L5,1.4,21.7,modelled
N20001005,Ormiston_R2,16.7,27.6,modelled
N20001006,Ormiston_P4,10.9,26.8,modelled
N20001007,Ormiston_S1,10.9,27.5,modelled
N20001008,Ormiston_P5,7.8,24.0,modelled
N20001009,Ormiston_Q3,8.2,27.0,modelled
N20001010,Ormiston_R3,23.5,33.6,modelled
N20001013,Ormiston_S3,7.4,23.6,modelled
N20001014,Ormiston_T2,5.4,23.6,modelled
N20001015,Ormiston_T3,11.1,26.4,modelled
N20001016,Ormiston_T4,9.9,26.5,modelled
N20001017,Lisnasharragh_B1,17.4,30.4,modelled
N20001018,Lisnasharragh_A1,7.8,26.5,modelled
N20001019,Lisnasharragh_A2,21.4,34.5,modelled
N20001020,Lisnasharragh_B2,11.2,25.9,modelled
N20001021,Lisnasharragh_D1,35.4,45.5,modelled
N20001022,Lisnasharragh_B3,9.0,24.6,modelled
N20001023,Lisnasharragh_A3,17.4,32.2,modelled
N20001024,Lisnasharragh_C1,59.4,59.1,modelled
N20001025,Lisnasharragh_B4,15.7,28.7,modelled
N20001026,Lisnasharragh_D2,25.0,37.6,modelled
N20001027,Lisnasharragh_C2,39.5,45.0,modelled
N20001028,Lisnasharragh_A4,16.7,30.3,modelled
N20001029,Lisnasharragh_D3,34.9,43.6,modelled
N20001030,Lisnasharragh_C3,42.2,46.2,modelled
N20001031,Lisnasharragh_B5,11.9,26.9,modelled
N20001032,Lisnasharragh_D4,28.9,39.6,modelled
N20001033,Lisnasharragh_E1,10.0,25.4,modelled
N20001034,Lisnasharragh_B6,9.3,24.0,modelled
N20001035,Lisnasharragh_F1,60.0,57.4,modelled
N20001036,Lisnasharragh_F2,23.8,34.5,modelled
N20001037,Lisnasharragh_F3,35.8,41.9,modelled
N20001038,Lisnasharragh_E2,15.9,28.8,modelled
N20001039,Lisnasharragh_G1,10.7,25.6,modelled
N20001040,Lisnasharragh_N1,4.4,23.9,modelled
N20001041,Lisnasharragh_H1,11.1,27.3,modelled
N20001042,Lisnasharragh_F4,57.1,54.0,modelled
N20001043,Lisnasharragh_J1,9.2,25.1,modelled
N20001044,Lisnasharragh_H2,10.6,26.6,modelled
N20001045,Lisnasharragh_G2,10.5,27.3,modelled
N20001046,Lisnasharragh_E3,11.7,28.0,modelled
N20001048,Lisnasharragh_J2,9.2,24.8,modelled
N20001049,Lisnasharragh_N2,17.1,30.6,modelled
N20001050,Lisnasharragh_N3,13.5,27.4,modelled
N20001051,Lisnasharragh_J3,8.0,24.0,modelled
N20001052,Lisnasharragh_N4,19.6,31.6,modelled
N20001053,Lisnasharragh_L1,27.8,37.0,modelled
N20001054,Lisnasharragh_J4,12.4,28.8,modelled
N20001056,Lisnasharragh_P1,10.9,27.4,modelled
N20001057,Lisnasharragh_K1,58.3,56.7,modelled
N20001058,Lisnasharragh_L2,4.6,23.0,modelled
N20001059,Lisnasharragh_K2,40.7,47.5,modelled
N20001060,Lisnasharragh_J5,15.4,29.9,modelled
N20001061,Lisnasharragh_K3,62.3,63.0,modelled
N20001062,Lisnasharragh_K4,70.3,65.4,modelled
N20001063,Lisnasharragh_P2,50.7,52.2,modelled
N20001064,Lisnasharragh_K5,50.2,54.9,modelled
N20001065,Lisnasharragh_L3,9.5,26.0,modelled
N20001066,Lisnasharragh_Q1,47.6,54.7,modelled
N20001067,Lisnasharragh_N5,13.8,27.3,modelled
N20001069,Lisnasharragh_P4,65.3,61.5,modelled
N20001070,Lisnasharragh_Q2,61.6,60.8,modelled
N20001071,Lisnasharragh_R1,68.9,63.1,modelled
N20001072,Lisnasharragh_Q3,65.5,61.8,modelled
N20001073,Lisnasharragh_R2,76.8,69.1,modelled
N20001074,Lisnasharragh_N6,38.9,44.0,modelled
N20001075,Lisnasharragh_P5,65.9,61.1,modelled
N20001076,Lisnasharragh_R3,70.7,64.4,modelled
N20001077,Lisnasharragh_R4,48.6,49.4,modelled
N20001078,Lisnasharragh_R5,45.5,47.2,modelled
N20001079,Botanic_A1,55.6,59.0,modelled
N20001080,Botanic_A2,30.2,56.8,modelled
N20001081,Botanic_B1,57.5,59.5,modelled
N20001082,Botanic_B2,88.4,77.2,modelled
N20001083,Botanic_B3,91.0,78.5,modelled
N20001084,Botanic_A3,18.3,45.3,modelled
N20001085,Botanic_A4,29.2,48.8,modelled
N20001086,Botanic_B4,76.2,69.8,modelled
N20001087,Botanic_C1,24.2,52.0,modelled
N20001088,Botanic_C2,24.7,43.9,modelled
N20001089,Botanic_A5,5.3,23.4,modelled
N20001090,Botanic_C3,23.1,47.1,modelled
N20001091,Botanic_D1,14.1,34.1,modelled
N20001092,Botanic_E1,7.5,25.7,modelled
N20001093,Botanic_F1,4.9,22.4,modelled
N20001094,Botanic_D2,84.2,75.6,modelled
N20001095,Botanic_F2,13.1,30.1,modelled
N20001096,Botanic_E2,15.9,32.8,modelled
N20001097,Botanic_C4,11.9,28.9,modelled
N20001098,Botanic_E3,17.2,32.4,modelled
N20001099,Botanic_H1,33.7,48.3,modelled
N20001100,Botanic_F3,14.3,33.3,modelled
N20001101,Botanic_D3,40.3,47.5,modelled
N20001102,Botanic_F4,28.1,41.5,modelled
N20001103,Botanic_H2,44.9,58.8,modelled
N20001104,Botanic_G1,15.1,31.9,modelled
N20001105,Botanic_H3,55.7,61.5,modelled
N20001106,Botanic_E4,21.5,38.1,modelled
N20001108,Botanic_F5,27.9,44.7,modelled
N20001109,Botanic_D4,77.8,73.0,modelled
N20001110,Botanic_H5,48.3,55.1,modelled
N20001111,Botanic_G2,9.5,29.7,modelled
N20001112,Botanic_H6,45.2,59.8,modelled
N20001113,Botanic_J1,63.2,66.8,modelled
N20001114,Botanic_J2,66.8,69.1,modelled
N20001115,Botanic_K1,40.6,53.4,modelled
N20001116,Botanic_G3,11.1,27.9,modelled
N20001117,Botanic_G4,13.9,29.8,modelled
N20001118,Botanic_N1,72.3,69.4,modelled
N20001119,Botanic_J3,56.4,62.3,modelled
N20001120,Botanic_J4,64.4,68.8,modelled
N20001121,Botanic_P1,63.6,61.2,modelled
N20001122,Botanic_L1,44.0,58.7,modelled
N20001123,Botanic_H7,39.4,55.3,modelled
N20001124,Botanic_L2,45.3,56.6,modelled
N20001125,Botanic_K2,34.3,50.4,modelled
N20001126,Botanic_K3,32.5,48.9,modelled
N20001127,Botanic_N2,69.4,70.2,modelled
N20001128,Botanic_U1,23.7,38.7,modelled
N20001129,Botanic_K4,22.8,38.4,modelled
N20001130,Botanic_N3,81.4,78.3,modelled
N20001131,Botanic_N4,67.0,68.6,modelled
N20001132,Botanic_L3,43.7,56.9,modelled
N20001133,Botanic_L4,38.7,53.3,modelled
N20001134,Botanic_N5,59.9,63.6,modelled
N20001135,Botanic_R1,50.4,58.4,modelled
N20001136,Botanic_Q1,45.7,58.3,modelled
N20001137,Botanic_R2,49.2,58.9,modelled
N20001138,Botanic_T1,53.0,57.7,modelled
N20001139,Botanic_R3,42.8,55.8,modelled
N20001140,Botanic_S1,39.1,50.2,modelled
N20001141,Botanic_T2,60.3,61.6,modelled
N20001142,Botanic_Q2,42.2,56.1,modelled
N20001143,Botanic_R4,46.6,58.4,modelled
N20001144,Botanic_S2,47.6,56.7,modelled
N20001145,Botanic_P2,54.9,56.4,modelled
N20001147,Botanic_T4,21.5,39.9,modelled
N20001148,Botanic_R5,38.1,47.7,modelled
N20001149,Botanic_U2,38.4,49.1,modelled
N20001150,Botanic_W1,46.7,52.7,modelled
N20001151,Botanic_Q3,47.5,58.6,modelled
N20001152,Botanic_S3,46.1,55.5,modelled
