DZ21,catholic_bg_pct,proj_unity_pct,provenance
N20000001,9.3,19.0,modelled
N20000002,nan,nan,modelled
N20000003,nan,nan,modelled
N20000004,43.8,41.2,modelled
N20000005,6.0,16.9,modelled
N20000006,36.5,36.1,modelled
N20000007,87.6,69.5,modelled
N20000008,52.6,46.7,modelled
N20000009,nan,nan,modelled
N20000010,5.8,16.5,modelled
N20000011,24.2,28.9,modelled
N20000012,18.1,23.9,modelled
N20000013,28.1,30.7,modelled
N20000014,nan,nan,modelled
N20000015,nan,nan,modelled
N20000016,53.9,47.7,modelled
N20000017,nan,nan,modelled
N20000018,84.3,67.5,modelled
N20000019,44.5,41.3,modelled
N20000020,nan,nan,modelled
N20000021,nan,nan,modelled
N20000022,nan,nan,modelled
N20000023,nan,nan,modelled
N20000024,nan,nan,modelled
N20000025,nan,nan,modelled
N20000026,4.7,15.7,modelled
N20000027,47.6,44.4,modelled
N20000028,58.6,50.2,modelled
N20000029,nan,nan,modelled
N20000030,14.0,21.7,modelled
N20000031,5.0,16.0,modelled
N20000032,85.9,68.4,modelled
N20000033,86.7,69.0,modelled
N20000034,86.1,68.4,modelled
N20000035,nan,nan,modelled
N20000036,46.9,43.7,modelled
N20000037,nan,nan,modelled
N20000038,40.0,39.7,modelled
N20000039,34.3,34.5,modelled
N20000040,nan,nan,modelled
N20000041,38.0,37.6,modelled
N20000042,nan,nan,modelled
N20000043,nan,nan,modelled
N20000044,nan,nan,modelled
N20000045,49.5,44.5,modelled
N20000046,20.1,25.9,modelled
N20000047,30.7,32.4,modelled
N20000048,45.3,41.4,modelled
N20000049,60.3,51.5,modelled
N20000050,nan,nan,modelled
N20000051,nan,nan,modelled
N20000052,nan,nan,modelled
N20000053,nan,nan,modelled
N20000054,13.8,22.3,modelled
N20000055,nan,nan,modelled
N20000056,nan,nan,modelled
N20000057,47.0,43.1,modelled
N20000058,nan,nan,modelled
N20000059,nan,nan,modelled
N20000060,nan,nan,modelled
N20000061,nan,nan,modelled
N20000062,nan,nan,modelled
N20000063,nan,nan,modelled
N20000064,nan,nan,modelled
N20000065,42.1,39.0,modelled
N20000066,54.1,47.7,modelled
N20000067,nan,nan,modelled
N20000068,35.8,34.7,modelled
N20000069,nan,nan,modelled
N20000070,32.5,33.2,modelled
N20000071,nan,nan,modelled
N20000072,26.1,29.4,modelled
N20000073,nan,nan,modelled
N20000074,13.6,21.9,modelled
N20000075,nan,nan,modelled
N20000076,nan,nan,modelled
N20000077,25.8,29.3,modelled
N20000078,18.2,24.7,modelled
N20000079,6.2,17.3,modelled
N20000080,nan,nan,modelled
N20000081,nan,nan,modelled
N20000082,9.2,18.8,modelled
N20000083,32.8,33.6,modelled
N20000084,39.2,37.3,modelled
N20000085,25.9,30.2,modelled
N20000086,3.8,15.3,modelled
N20000087,5.0,15.6,modelled
N20000088,nan,nan,modelled
N20000089,7.7,18.0,modelled
N20000090,nan,nan,modelled
N20000091,nan,nan,modelled
N20000092,6.4,17.5,modelled
N20000093,3.1,14.8,modelled
N20000094,nan,nan,modelled
N20000095,nan,nan,modelled
N20000096,3.8,15.9,modelled
N20000097,5.1,15.5,modelled
N20000098,nan,nan,modelled
N20000099,nan,nan,modelled
N20000100,4.4,15.2,modelled
N20000101,nan,nan,modelled
N20000102,7.6,18.5,modelled
N20000103,7.6,17.6,modelled
N20000104,nan,nan,modelled
N20000105,8.2,18.5,modelled
N20000106,nan,nan,modelled
N20000107,nan,nan,modelled
N20000108,7.1,16.7,modelled
N20000109,nan,nan,modelled
N20000110,4.2,15.9,modelled
N20000111,4.0,14.7,modelled
N20000112,6.7,16.7,modelled
N20000113,nan,nan,modelled
N20000114,4.2,15.1,modelled
N20000115,6.0,17.0,modelled
N20000116,7.2,17.2,modelled
N20000117,3.9,14.9,modelled
N20000118,3.8,15.5,modelled
N20000119,2.5,14.2,modelled
N20000120,2.7,14.1,modelled
N20000121,6.9,17.0,modelled
N20000122,4.2,15.3,modelled
N20000123,6.7,17.2,modelled
N20000124,10.3,19.6,modelled
N20000125,6.5,16.8,modelled
N20000126,15.7,23.2,modelled
N20000127,5.1,16.2,modelled
N20000128,nan,nan,modelled
N20000129,6.6,17.5,modelled
N20000130,7.6,18.0,modelled
N20000131,nan,nan,modelled
N20000132,nan,nan,modelled
N20000133,14.0,21.7,modelled
N20000134,nan,nan,modelled
N20000135,16.0,22.5,modelled
N20000136,9.0,17.5,modelled
N20000137,6.1,16.6,modelled
N20000138,4.7,15.8,modelled
N20000139,7.8,17.4,modelled
N20000140,28.7,34.5,modelled
N20000141,nan,nan,modelled
N20000142,nan,nan,modelled
N20000143,21.5,26.1,modelled
N20000144,nan,nan,modelled
N20000145,3.7,15.6,modelled
N20000146,nan,nan,modelled
N20000147,nan,nan,modelled
N20000148,nan,nan,modelled
N20000149,19.7,25.0,modelled
N20000150,nan,nan,modelled
N20000151,12.1,20.6,modelled
N20000152,nan,nan,modelled
N20000153,2.2,13.8,modelled
N20000154,nan,nan,modelled
N20000155,nan,nan,modelled
N20000156,14.9,22.8,modelled
N20000157,17.3,23.8,modelled
N20000158,18.4,24.2,modelled
N20000159,2.7,15.5,modelled
N20000160,27.8,31.1,modelled
N20000161,26.6,30.6,modelled
N20000162,19.5,24.5,modelled
N20000163,19.4,26.1,modelled
N20000164,30.0,32.4,modelled
N20000165,8.3,18.6,modelled
N20000166,23.6,27.6,modelled
N20000167,21.4,26.0,modelled
N20000168,6.4,16.7,modelled
N20000169,59.2,51.1,modelled
N20000170,8.1,18.8,modelled
N20000171,nan,nan,modelled
N20000172,nan,nan,modelled
N20000173,43.6,40.2,modelled
N20000174,2.1,14.5,modelled
N20000175,23.9,29.0,modelled
N20000176,9.9,19.7,modelled
N20000177,nan,nan,modelled
N20000178,54.2,47.8,modelled
N20000179,13.5,21.6,modelled
N20000180,nan,nan,modelled
N20000181,6.8,17.8,modelled
N20000182,4.4,16.4,modelled
N20000183,5.1,15.8,modelled
N20000184,nan,nan,modelled
N20000185,11.9,20.4,modelled
N20000186,nan,nan,modelled
N20000187,nan,nan,modelled
N20000188,22.0,26.4,modelled
N20000189,3.0,15.3,modelled
N20000190,6.8,18.2,modelled
N20000191,6.7,17.0,modelled
N20000192,nan,nan,modelled
N20000193,nan,nan,modelled
N20000194,nan,nan,modelled
N20000195,nan,nan,modelled
N20000196,nan,nan,modelled
N20000197,7.4,17.9,modelled
N20000198,3.6,14.0,modelled
N20000199,nan,nan,modelled
N20000200,6.7,17.3,modelled
N20000201,40.1,38.7,modelled
N20000202,nan,nan,modelled
N20000203,36.3,36.5,modelled
N20000204,33.5,34.6,modelled
N20000205,21.3,26.4,modelled
N20000206,23.3,27.0,modelled
N20000207,88.0,69.2,modelled
N20000208,78.0,63.3,modelled
N20000209,86.4,68.9,modelled
N20000210,85.6,67.8,modelled
N20000211,30.6,33.0,modelled
N20000212,6.4,17.7,modelled
N20000213,nan,nan,modelled
N20000214,10.5,18.7,modelled
N20000215,27.3,30.6,modelled
N20000216,13.3,20.4,modelled
N20000217,18.2,24.3,modelled
N20000218,16.5,22.5,modelled
N20000219,44.7,41.2,modelled
N20000220,19.4,24.6,modelled
N20000221,17.0,23.5,modelled
N20000222,19.5,25.3,modelled
N20000223,28.6,31.3,modelled
N20000224,37.2,36.1,modelled
N20000225,12.3,20.8,modelled
N20000226,nan,nan,modelled
N20000227,32.6,33.5,modelled
N20000228,15.1,22.6,modelled
N20000229,13.0,22.0,modelled
N20000230,nan,nan,modelled
N20000231,44.6,41.0,modelled
N20000232,51.5,45.6,modelled
N20000233,54.1,47.2,modelled
N20000234,55.6,48.6,modelled
N20000235,44.2,41.1,modelled
N20000236,36.4,35.7,modelled
N20000237,30.1,31.6,modelled
N20000238,67.9,56.5,modelled
N20000239,42.2,39.5,modelled
N20000240,56.6,49.2,modelled
N20000241,nan,nan,modelled
N20000242,24.6,29.2,modelled
N20000243,72.6,59.3,modelled
N20000244,75.8,61.5,modelled
N20000245,88.8,70.3,modelled
N20000246,nan,nan,modelled
N20000247,68.9,57.4,modelled
N20000248,nan,nan,modelled
N20000249,83.1,66.1,modelled
N20000250,nan,nan,modelled
N20000251,nan,nan,modelled
N20000252,82.3,65.9,modelled
N20000253,nan,nan,modelled
N20000254,79.4,63.6,modelled
N20000255,nan,nan,modelled
N20000256,82.0,66.6,modelled
N20000257,17.1,23.1,modelled
N20000258,13.4,20.8,modelled
N20000259,12.4,19.8,modelled
N20000260,16.2,22.9,modelled
N20000261,8.6,18.2,modelled
N20000262,15.4,22.5,modelled
N20000263,17.2,23.6,modelled
N20000264,nan,nan,modelled
N20000265,35.7,36.4,modelled
N20000266,16.7,23.5,modelled
N20000267,nan,nan,modelled
N20000268,32.1,34.1,modelled
N20000269,nan,nan,modelled
N20000270,nan,nan,modelled
N20000271,nan,nan,modelled
N20000272,nan,nan,modelled
N20000273,nan,nan,modelled
N20000274,10.6,19.4,modelled
N20000275,62.1,53.7,modelled
N20000276,69.3,58.2,modelled
N20000277,nan,nan,modelled
N20000278,nan,nan,modelled
N20000279,24.0,31.8,modelled
N20000280,15.6,22.7,modelled
N20000281,nan,nan,modelled
N20000282,54.8,48.4,modelled
N20000283,nan,nan,modelled
N20000284,78.8,64.2,modelled
N20000285,33.3,34.4,modelled
N20000286,85.3,68.3,modelled
N20000287,88.5,70.7,modelled
N20000288,62.0,52.7,modelled
N20000289,72.4,59.9,modelled
N20000290,70.2,58.2,modelled
N20000291,65.8,55.1,modelled
N20000292,nan,nan,modelled
N20000293,nan,nan,modelled
N20000294,89.6,70.6,modelled
N20000295,62.8,53.4,modelled
N20000296,55.3,48.1,modelled
N20000297,nan,nan,modelled
N20000298,90.1,71.1,modelled
N20000299,68.7,57.1,modelled
N20000300,nan,nan,modelled
N20000301,75.1,61.6,modelled
N20000302,nan,nan,modelled
N20000303,92.0,72.2,modelled
N20000304,60.8,52.1,modelled
N20000305,nan,nan,modelled
N20000306,52.1,46.1,modelled
N20000307,nan,nan,modelled
N20000308,50.4,46.0,modelled
N20000309,nan,nan,modelled
N20000310,59.8,51.2,modelled
N20000311,nan,nan,modelled
N20000312,78.5,62.8,modelled
N20000313,72.0,59.1,modelled
N20000314,25.3,28.5,modelled
N20000315,46.3,42.7,modelled
N20000316,82.6,66.3,modelled
N20000317,86.6,69.3,modelled
N20000318,87.6,69.3,modelled
N20000319,71.1,58.6,modelled
N20000320,28.4,31.4,modelled
N20000321,nan,nan,modelled
N20000322,91.3,72.0,modelled
N20000323,nan,nan,modelled
N20000324,48.2,43.8,modelled
N20000325,47.8,43.7,modelled
N20000326,9.6,18.8,modelled
N20000327,nan,nan,modelled
N20000328,52.4,46.1,modelled
N20000329,89.3,70.8,modelled
N20000330,83.4,65.8,modelled
N20000331,nan,nan,modelled
N20000332,nan,nan,modelled
N20000333,nan,nan,modelled
N20000334,53.9,47.5,modelled
N20000335,nan,nan,modelled
N20000336,nan,nan,modelled
N20000337,nan,nan,modelled
N20000338,25.1,29.4,modelled
N20000339,65.4,55.1,modelled
N20000340,32.9,34.1,modelled
N20000341,nan,nan,modelled
N20000342,nan,nan,modelled
N20000343,54.8,48.2,modelled
N20000344,54.8,48.0,modelled
N20000345,nan,nan,modelled
N20000346,64.4,54.5,modelled
N20000347,nan,nan,modelled
N20000348,89.6,70.7,modelled
N20000349,nan,nan,modelled
N20000350,91.4,72.9,modelled
N20000351,86.9,68.8,modelled
N20000352,84.3,67.2,modelled
N20000353,nan,nan,modelled
N20000354,78.5,63.6,modelled
N20000355,nan,nan,modelled
N20000356,53.8,47.5,modelled
N20000357,5.7,16.5,modelled
