DZ21,catholic_bg_pct,proj_unity_pct,provenance
N20000001,9.3,24.8,modelled
N20000002,nan,nan,modelled
N20000003,nan,nan,modelled
N20000004,43.8,47.3,modelled
N20000005,6.0,22.7,modelled
N20000006,36.5,42.2,modelled
N20000007,87.6,76.2,modelled
N20000008,52.6,52.9,modelled
N20000009,nan,nan,modelled
N20000010,5.8,22.3,modelled
N20000011,24.2,35.0,modelled
N20000012,18.1,29.7,modelled
N20000013,28.1,36.6,modelled
N20000014,nan,nan,modelled
N20000015,nan,nan,modelled
N20000016,53.9,54.0,modelled
N20000017,nan,nan,modelled
N20000018,84.3,74.2,modelled
N20000019,44.5,47.5,modelled
N20000020,nan,nan,modelled
N20000021,nan,nan,modelled
N20000022,nan,nan,modelled
N20000023,nan,nan,modelled
N20000024,nan,nan,modelled
N20000025,nan,nan,modelled
N20000026,4.7,21.3,modelled
N20000027,47.6,50.8,modelled
N20000028,58.6,56.6,modelled
N20000029,nan,nan,modelled
N20000030,14.0,27.4,modelled
N20000031,5.0,21.7,modelled
N20000032,85.9,75.1,modelled
N20000033,86.7,75.7,modelled
N20000034,86.1,75.1,modelled
N20000035,nan,nan,modelled
N20000036,46.9,50.1,modelled
N20000037,nan,nan,modelled
N20000038,40.0,46.3,modelled
N20000039,34.3,40.5,modelled
N20000040,nan,nan,modelled
N20000041,38.0,43.8,modelled
N20000042,nan,nan,modelled
N20000043,nan,nan,modelled
N20000044,nan,nan,modelled
N20000045,49.5,50.7,modelled
N20000046,20.1,31.9,modelled
N20000047,30.7,38.4,modelled
N20000048,45.3,47.6,modelled
N20000049,60.3,58.1,modelled
N20000050,nan,nan,modelled
N20000051,nan,nan,modelled
N20000052,nan,nan,modelled
N20000053,nan,nan,modelled
N20000054,13.8,28.4,modelled
N20000055,nan,nan,modelled
N20000056,nan,nan,modelled
N20000057,47.0,49.4,modelled
N20000058,nan,nan,modelled
N20000059,nan,nan,modelled
N20000060,nan,nan,modelled
N20000061,nan,nan,modelled
N20000062,nan,nan,modelled
N20000063,nan,nan,modelled
N20000064,nan,nan,modelled
N20000065,42.1,45.2,modelled
N20000066,54.1,54.1,modelled
N20000067,nan,nan,modelled
N20000068,35.8,40.7,modelled
N20000069,nan,nan,modelled
N20000070,32.5,39.2,modelled
N20000071,nan,nan,modelled
N20000072,26.1,35.3,modelled
N20000073,nan,nan,modelled
N20000074,13.6,27.8,modelled
N20000075,nan,nan,modelled
N20000076,nan,nan,modelled
N20000077,25.8,35.3,modelled
N20000078,18.2,30.7,modelled
N20000079,6.2,23.0,modelled
N20000080,nan,nan,modelled
N20000081,nan,nan,modelled
N20000082,9.2,24.6,modelled
N20000083,32.8,39.6,modelled
N20000084,39.2,43.4,modelled
N20000085,25.9,36.4,modelled
N20000086,3.8,21.1,modelled
N20000087,5.0,21.2,modelled
N20000088,nan,nan,modelled
N20000089,7.7,23.8,modelled
N20000090,nan,nan,modelled
N20000091,nan,nan,modelled
N20000092,6.4,23.3,modelled
N20000093,3.1,20.5,modelled
N20000094,nan,nan,modelled
N20000095,nan,nan,modelled
N20000096,3.8,21.8,modelled
N20000097,5.1,21.0,modelled
N20000098,nan,nan,modelled
N20000099,nan,nan,modelled
N20000100,4.4,20.8,modelled
N20000101,nan,nan,modelled
N20000102,7.6,24.4,modelled
N20000103,7.6,23.4,modelled
N20000104,nan,nan,modelled
N20000105,8.2,24.4,modelled
N20000106,nan,nan,modelled
N20000107,nan,nan,modelled
N20000108,7.1,22.2,modelled
N20000109,nan,nan,modelled
N20000110,4.2,21.7,modelled
N20000111,4.0,20.2,modelled
N20000112,6.7,22.3,modelled
N20000113,nan,nan,modelled
N20000114,4.2,20.7,modelled
N20000115,6.0,22.8,modelled
N20000116,7.2,22.8,modelled
N20000117,3.9,20.6,modelled
N20000118,3.8,21.2,modelled
N20000119,2.5,19.8,modelled
N20000120,2.7,19.6,modelled
N20000121,6.9,22.6,modelled
N20000122,4.2,20.9,modelled
N20000123,6.7,22.9,modelled
N20000124,10.3,25.4,modelled
N20000125,6.5,22.5,modelled
N20000126,15.7,29.0,modelled
N20000127,5.1,22.0,modelled
N20000128,nan,nan,modelled
N20000129,6.6,23.4,modelled
N20000130,7.6,23.8,modelled
N20000131,nan,nan,modelled
N20000132,nan,nan,modelled
N20000133,14.0,27.5,modelled
N20000134,nan,nan,modelled
N20000135,16.0,28.3,modelled
N20000136,9.0,22.9,modelled
N20000137,6.1,22.3,modelled
N20000138,4.7,21.5,modelled
N20000139,7.8,23.0,modelled
N20000140,28.7,41.1,modelled
N20000141,nan,nan,modelled
N20000142,nan,nan,modelled
N20000143,21.5,32.0,modelled
N20000144,nan,nan,modelled
N20000145,3.7,21.4,modelled
N20000146,nan,nan,modelled
N20000147,nan,nan,modelled
N20000148,nan,nan,modelled
N20000149,19.7,30.7,modelled
N20000150,nan,nan,modelled
N20000151,12.1,26.5,modelled
N20000152,nan,nan,modelled
