providerId,label,fileCount,totalBytes,viewportDirect,spreadsheet,geospatialOrPackage,largestFiles
opendatani,Open Data NI,4465,142786599172,2447,193,1738,"Department of Agriculture, Environment and Rural Affairs\river-blackwater-network-contribution1\kml (3244 MB) | Department for Infrastructure - Roads\york-street-interchange-lidar\York-Street-2.zip (2905 MB) | Department for Infrastructure - Roads\york-street-interchange-lidar\York-Street-1.zip (2497 MB)"
cso_pxstat,CSO PXStat,25060,2214072151,2,0,0,DHA\DHA14.json (54 MB) | TEM\TEM22.json (49 MB) | _catalogue.json (41 MB)
cso_historical,CSO Historical Reports,1733,3480555948,1715,10,8,"438_Area,_houses,_and_population,_Vol._I,_Ireland,_1891_Dublin-df465ae45b.pdf (55 MB) | 447_Report_Of_Ireland_Ireland_1901_Cork-43e5bae0a5.pdf (53 MB) | 459-General_report,_Ireland,_1911-79ffd7ec5a.pdf (53 MB)"
nisra,NISRA,1118,708539314,433,598,37,mirror\files\nisra\publications\geography-100m-grid-square-geojson.zip (29 MB) | mirror\files\nisra\publications\geography-grid-square-geodatabase.zip (29 MB) | mirror\files\nisra\publications\geography-100m-grid-square-esri-shapefile.zip (27 MB)
datagovie,data.gov.ie,30236,203603070478,9078,98,20303,Tailte Éireann\high-value-dataset-national-land-cover-2018\national_land_cover_2018.gpkg (46231 MB) | Marine Institute\galway-bay-observatory-fluorometer-data-processed\galway_obs_fluorometer.csv (9711 MB) | Tailte Éireann\high-value-dataset-cadastral-parcels-freehold\geoPackage (2069 MB)
tailte,Tailte/OSI/GeoHive candidates,30236,203603070478,9078,98,20303,Tailte Éireann\high-value-dataset-national-land-cover-2018\national_land_cover_2018.gpkg (46231 MB) | Marine Institute\galway-bay-observatory-fluorometer-data-processed\galway_obs_fluorometer.csv (9711 MB) | Tailte Éireann\high-value-dataset-cadastral-parcels-freehold\geoPackage (2069 MB)
