con,HARD union,SOFT union,UNDECIDED,SOFT unity,HARD unity,persuadable,dec_yes,battleground,swing_halfwidth
FERMANAGH AND SOUTH TYRONE,23.5,18.5,18.2,11.5,28.2,48.3,48.6,46.9,14.5
BELFAST SOUTH,25.3,20.1,19.5,11.9,23.3,51.4,43.7,45.0,15.4
NEWRY AND ARMAGH,18.6,18.4,18.7,12.3,32.0,49.4,54.5,44.9,14.8
MID ULSTER,18.8,18.2,18.6,12.2,32.2,49.0,54.5,44.6,14.7
SOUTH DOWN,17.5,18.4,18.8,12.5,32.8,49.7,55.9,43.9,14.9
WEST TYRONE,18.2,18.2,18.6,12.3,32.8,49.0,55.4,43.7,14.7
BELFAST NORTH,27.1,19.4,18.6,11.3,23.7,49.2,43.0,42.3,14.8
FOYLE,13.8,18.2,19.1,13.1,35.8,50.4,60.5,39.9,15.1
UPPER BANN,29.7,19.2,18.1,10.8,22.3,48.0,40.4,38.8,14.4
BELFAST WEST,11.1,18.2,19.5,13.6,37.6,51.3,63.6,37.4,15.4
EAST LONDONDERRY,32.4,19.0,17.6,10.2,20.8,46.9,37.6,35.3,14.1
SOUTH ANTRIM,35.8,19.6,17.7,9.9,17.1,47.1,32.8,30.9,14.1
NORTH ANTRIM,40.0,19.3,16.9,9.0,14.9,45.2,28.7,26.0,13.6
LAGAN VALLEY,41.5,19.9,17.3,9.0,12.4,46.1,25.9,23.9,13.8
EAST ANTRIM,43.0,20.0,17.2,8.8,11.0,46.0,24.0,22.0,13.8
STRANGFORD,44.4,20.0,17.1,8.6,10.0,45.7,22.4,20.4,13.7
BELFAST EAST,44.4,20.5,17.5,8.8,8.9,46.7,21.5,20.0,14.0
NORTH DOWN,44.7,20.5,17.5,8.7,8.6,46.7,21.0,19.6,14.0
