wave,source,ni_yes,smooth
1989,NISA,31.5,32.2
1990,NISA,32.8,31.6
1991,NISA,30.6,31.2
1993,NISA,30.1,31.9
1994,NISA,35.1,32.8
1995,NISA,33.2,33.0
1996,NISA,30.7,34.6
1998,NILT-const,39.9,36.5
1999,NILT-const,38.8,38.9
2000,NILT-const,37.9,39.3
2001,NILT-const,41.1,40.1
2003,NILT-const,41.4,40.1
2004,NILT-const,37.8,39.1
2005,NILT-const,38.2,39.5
2006,NILT-const,42.4,37.7
2007,NILT-const,32.5,34.4
2008,NILT-const,28.4,28.8
2010,NILT-const,25.6,26.5
2012,NILT-const,25.5,25.2
2014,NILT-const,24.6,26.0
2016,NILT-const,28.0,27.5
2017,NILT-const,29.9,29.1
2018,NILT-const,29.3,31.5
2019,REFUNIFY,35.3,35.1
2020,REFUNIFY,40.8,39.4
2021,REFUNIFY,42.1,42.4
2022,REFUNIFY,44.2,43.3
2023,REFUNIFY,43.7,45.1
2024,REFUNIFY,47.4,45.2
2025,REFUNIFY,44.6,46.0
