DZ21,label,con,yes_raw,yes,pop
N20000279,Airport_F2,SOUTH ANTRIM,21.63,32.9,1112.0
N20001314,Black_Mountain_E3,BELFAST WEST,73.83,85.1,499.0
N20001853,Waterside_B2,FOYLE,11.61,22.8,431.0
N20002475,Castlereagh_South_D3,BELFAST SOUTH,36.22,47.4,402.0
N20003592,Bangor_West_F1,NORTH DOWN,16.58,27.8,356.0
N20000594,Banbridge_A1,UPPER BANN,23.5,34.7,309.0
N20000582,Lagan_River_K2,LAGAN VALLEY,14.37,25.6,503.0
N20002455,Downshire_East_G4,SOUTH DOWN,20.15,31.4,287.0
N20001297,Black_Mountain_A1,BELFAST WEST,68.85,80.1,376.0
N20002633,Ballymena_K2,NORTH ANTRIM,15.46,26.7,413.0
N20001989,Sperrin_F5,WEST TYRONE,55.37,66.6,560.0
N20000032,Dunsilly_F6,SOUTH ANTRIM,59.49,70.7,349.0
N20002915,Magherafelt_D2,MID ULSTER,29.64,40.9,532.0
N20001510,Limavady_G3,EAST LONDONDERRY,33.1,44.3,437.0
N20000231,Glengormley_Urban_F1,BELFAST NORTH,33.68,44.9,418.0
N20001210,Balmoral_G4,BELFAST SOUTH,14.81,26.0,387.0
N20000741,Oldpark_G4,BELFAST NORTH,68.13,79.4,377.0
N20002940,Cookstown_C2,MID ULSTER,24.84,36.1,469.0
N20001411,Court_P2,BELFAST WEST,9.93,21.2,328.0
N20001187,Balmoral_F1,BELFAST SOUTH,46.44,57.7,224.0
N20002078,Erne_West_F3,FERMANAGH AND SOUTH TYRONE,57.71,68.9,362.0
N20002398,Lisburn_North_F5,LAGAN VALLEY,29.02,40.3,316.0
N20000585,Lagan_River_J3,UPPER BANN,18.12,29.4,387.0
N20003510,Newtownards_J4,STRANGFORD,12.61,23.8,158.0
N20000457,Craigavon_J3,UPPER BANN,16.23,27.5,499.0
N20001191,Balmoral_C1,BELFAST SOUTH,52.57,63.8,340.0
N20000840,Castle_R5,BELFAST NORTH,60.16,71.4,301.0
N20002359,Lisburn_South_H4,LAGAN VALLEY,26.82,38.1,182.0
N20000315,Armagh_C4,NEWRY AND ARMAGH,38.01,49.2,424.0
N20003675,Bangor_Central_P5,NORTH DOWN,11.64,22.9,323.0
N20002743,Larne_Lough_E2,EAST ANTRIM,9.76,21.0,723.0
N20000483,Lurgan_C1,UPPER BANN,70.41,81.6,465.0
N20003559,Holywood_and_Clandeboye_K1,NORTH DOWN,28.26,39.5,398.0
N20003583,Bangor_West_A5,NORTH DOWN,29.11,40.3,322.0
N20001015,Ormiston_T3,BELFAST EAST,13.28,24.5,526.0
N20002648,Braid_B2,NORTH ANTRIM,10.08,21.3,554.0
N20003587,Bangor_West_B2,NORTH DOWN,15.06,26.3,352.0
N20003204,Newry_N3,NEWRY AND ARMAGH,75.04,86.3,630.0
N20003475,Newtownards_A2,STRANGFORD,11.36,22.6,478.0
N20002470,Castlereagh_South_C4,BELFAST SOUTH,37.27,48.5,536.0
N20002098,Enniskillen_B5,FERMANAGH AND SOUTH TYRONE,46.18,57.4,546.0
N20002260,Downshire_West_B3,LAGAN VALLEY,13.75,25.0,441.0
N20001908,Faughan_D1,FOYLE,39.96,51.2,369.0
N20002435,Downshire_East_C1,LAGAN VALLEY,18.25,29.5,528.0
N20001257,Collin_G2,BELFAST WEST,74.82,86.0,404.0
N20002679,Braid_F5,NORTH ANTRIM,7.35,18.6,372.0
N20002278,Downshire_West_F1,LAGAN VALLEY,13.94,25.2,323.0
N20002293,Killultagh_C1,SOUTH ANTRIM,48.29,59.5,400.0
N20003538,Holywood_and_Clandeboye_A2,NORTH DOWN,17.31,28.5,464.0
N20002324,Killultagh_G5,LAGAN VALLEY,11.29,22.5,555.0
N20000312,Armagh_D2,NEWRY AND ARMAGH,57.48,68.7,586.0
N20003071,Clogher_Valley_B4,FERMANAGH AND SOUTH TYRONE,42.14,53.4,442.0
N20002835,Knockagh_J2,EAST ANTRIM,15.7,26.9,474.0
N20000990,Ormiston_K2,BELFAST EAST,12.21,23.4,303.0
N20002310,Killultagh_D4,LAGAN VALLEY,34.45,45.7,608.0
N20000073,Antrim_F4,SOUTH ANTRIM,13.76,25.0,385.0
N20000495,Lurgan_D4,UPPER BANN,70.79,82.0,433.0
N20000249,Glengormley_Urban_J4,BELFAST NORTH,57.75,69.0,250.0
N20001450,Benbradagh_A4,EAST LONDONDERRY,35.68,46.9,459.0
N20001904,Waterside_L4,FOYLE,70.76,82.0,463.0
N20000257,Airport_A1,SOUTH ANTRIM,16.04,27.3,263.0
N20002273,Downshire_West_C4,LAGAN VALLEY,23.0,34.2,460.0
N20003375,Rowallane_H3,STRANGFORD,23.27,34.5,343.0
N20000080,Antrim_J5,SOUTH ANTRIM,19.81,31.0,509.0
N20002587,Ballymena_A1,NORTH ANTRIM,35.35,46.6,252.0
N20000970,Ormiston_G1,BELFAST EAST,18.23,29.5,432.0
N20002213,Omagh_H4,WEST TYRONE,51.8,63.0,537.0
N20000968,Ormiston_E3,BELFAST EAST,18.78,30.0,443.0
