DZ2021_cd,DZ2021_nm,ward_key,cath_1991,cath_2021,cath_growth_9121,none_1991,none_2021,secular_growth,unemp_1991,socrent_1991,socrent_2021,socrent_fall,nocar_1991,llti_1991,degree_1991
N20003396,Downpatrick_B2,down|strangford,75.85,73.312,-2.54,2.31,5.965,3.66,10.18,13.91,3.14,10.77,18.75,8.86,9.01
N20003420,Downpatrick_B3,down|strangford,75.85,81.461,5.61,2.31,8.254,5.94,10.18,13.91,3.256,10.65,18.75,8.86,9.01
N20003423,Downpatrick_H3,down|ardglass,78.94,85.641,6.7,0.73,4.957,4.23,14.31,22.03,1.368,20.66,27.12,11.28,7.32
N20003425,Downpatrick_J1,down|ardglass,78.94,88.389,9.45,0.73,6.161,5.43,14.31,22.03,29.342,-7.31,27.12,11.28,7.32
N20003426,Downpatrick_J2,down|ardglass,78.94,90.509,11.57,0.73,3.009,2.28,14.31,22.03,46.760000000000005,-24.73,27.12,11.28,7.32
N20003424,Downpatrick_H4,down|killough,52.88,70.588,17.71,2.84,5.042,2.2,8.67,19.94,1.471,18.47,27.53,8.61,4.64
N20003414,Downpatrick_H1,down|ardglass,78.94,81.545,2.61,0.73,4.45,3.72,14.31,22.03,1.178,20.85,27.12,11.28,7.32
N20003402,Downpatrick_D1,down|audleysacre,81.74,82.902,1.16,1.76,6.736,4.98,10.12,23.41,0.259,23.15,25.7,8.47,10.68
N20003421,Downpatrick_F4,down|cathedral,86.92,94.109,7.19,2.5,1.724,-0.78,16.86,42.37,1.291,41.08,40.09,10.0,4.05
N20003419,Downpatrick_G4,down|cathedral,86.92,91.369,4.45,2.5,4.315,1.82,16.86,42.37,52.155,-9.79,40.09,10.0,4.05
N20003415,Downpatrick_F2,down|cathedral,86.92,86.283,-0.64,2.5,3.54,1.04,16.86,42.37,24.336000000000002,18.03,40.09,10.0,4.05
N20003418,Downpatrick_F3,down|cathedral,86.92,94.488,7.57,2.5,3.15,0.65,16.86,42.37,0.982,41.39,40.09,10.0,4.05
N20003412,Downpatrick_F1,down|cathedral,86.92,88.848,1.93,2.5,1.463,-1.04,16.86,42.37,2.015,40.35,40.09,10.0,4.05
N20003410,Downpatrick_E6,down|cathedral,86.92,81.128,-5.79,2.5,4.338,1.84,16.86,42.37,22.51,19.86,40.09,10.0,4.05
N20003413,Downpatrick_G1,down|flyinghorse,77.6,86.16,8.56,2.37,4.678,2.31,27.84,74.42,20.155,54.26,62.4,27.18,2.19
N20003416,Downpatrick_G2,down|flyinghorse,77.6,89.932,12.33,2.37,3.754,1.38,27.84,74.42,55.537,18.88,62.4,27.18,2.19
N20003417,Downpatrick_G3,down|flyinghorse,77.6,87.751,10.15,2.37,5.667,3.3,27.84,74.42,22.852,51.57,62.4,27.18,2.19
N20003411,Downpatrick_D4,down|flyinghorse,77.6,83.415,5.82,2.37,5.037,2.67,27.84,74.42,3.435,70.98,62.4,27.18,2.19
N20003409,Downpatrick_D3,down|flyinghorse,77.6,89.339,11.74,2.37,2.985,0.61,27.84,74.42,9.382,65.04,62.4,27.18,2.19
N20003407,Downpatrick_E4,down|audleysacre,81.74,81.867,0.13,1.76,5.6,3.84,10.12,23.41,29.599999999999998,-6.19,25.7,8.47,10.68
N20003403,Downpatrick_E1,down|audleysacre,81.74,74.232,-7.51,1.76,12.293,10.53,10.12,23.41,29.717,-6.31,25.7,8.47,10.68
N20003405,Downpatrick_D2,down|audleysacre,81.74,91.161,9.42,1.76,2.946,1.19,10.12,23.41,1.733,21.68,25.7,8.47,10.68
N20003400,Downpatrick_C4,down|audleysacre,81.74,86.161,4.42,1.76,5.804,4.04,10.12,23.41,0.0,23.41,25.7,8.47,10.68
N20003399,Downpatrick_C3,down|quoile,63.1,85.714,22.61,3.41,4.058,0.65,14.08,30.63,0.326,30.3,29.11,11.14,9.85
N20003397,Downpatrick_C1,down|quoile,63.1,62.376,-0.72,3.41,6.789,3.38,14.08,30.63,3.5260000000000002,27.1,29.11,11.14,9.85
N20003398,Downpatrick_C2,down|quoile,63.1,83.884,20.78,3.41,3.306,-0.1,14.08,30.63,5.785,24.84,29.11,11.14,9.85
