contest,year,area,str__turnout,str__n_nat_cands,str__n_uni_cands,str__n_total_cands,str__sf_sdlp_both,str__uni_single
assembly,2016,South Antrim,51.01,2,9,14,1,0
assembly,2016,East Antrim,51.01,2,9,15,1,0
assembly,2016,Fermanagh and South Tyrone,64.55,5,5,13,1,0
assembly,2016,North Down,49.57,2,9,16,1,0
assembly,2016,Upper Bann,54.44,3,9,17,1,0
assembly,2016,South Down,53.8,6,4,12,1,0
assembly,2016,Belfast West,57.8,7,2,12,1,0
assembly,2016,North Antrim,52.93,2,10,15,1,0
assembly,2016,Belfast South,54.25,4,8,18,1,0
assembly,2016,West Tyrone,59.86,6,4,18,1,0
assembly,2016,Lagan Valley,53.19,2,9,16,1,0
assembly,2016,East Londonderry,50.8,3,11,17,1,0
assembly,2016,Newry and Armagh,59.32,5,5,14,1,0
assembly,2016,Strangford,50.25,2,10,15,1,0
assembly,2016,Belfast East,57.23,2,10,18,1,0
assembly,2016,Foyle,56,8,4,16,1,0
assembly,2016,Mid Ulster,58.75,5,5,12,1,0
assembly,2016,Belfast North,52.48,5,7,18,1,0
assembly,2017,South Antrim,62.4,2,7,13,1,0
assembly,2017,East Antrim,60.12,2,8,15,1,0
assembly,2017,Fermanagh and South Tyrone,72.61,4,5,12,1,0
assembly,2017,North Down,59.22,2,5,12,1,0
assembly,2017,Upper Bann,62.54,4,6,12,1,0
assembly,2017,South Down,66.21,4,4,11,1,0
assembly,2017,Belfast West,66.76,6,2,12,1,0
assembly,2017,North Antrim,63.22,3,6,12,1,0
assembly,2017,Belfast South,63.96,4,5,14,1,0
assembly,2017,West Tyrone,69.89,5,4,15,1,0
assembly,2017,Lagan Valley,62.57,2,7,13,1,0
assembly,2017,East Londonderry,62.69,4,8,15,1,0
assembly,2017,Newry and Armagh,69.41,4,2,9,1,0
assembly,2017,Strangford,60.94,2,9,13,1,0
assembly,2017,Belfast East,63.02,2,7,14,1,0
assembly,2017,Foyle,65,5,3,12,1,0
assembly,2017,Mid Ulster,72.38,5,3,11,1,0
assembly,2017,Belfast North,61.77,4,5,13,1,0
assembly,2022,South Antrim,60.03,3,5,12,1,0
assembly,2022,East Antrim,60.11,2,5,10,1,0
assembly,2022,Fermanagh and South Tyrone,69.1,6,5,16,1,0
assembly,2022,North Down,60.13,2,7,14,1,0
assembly,2022,Upper Bann,62.48,4,5,12,1,0
assembly,2022,South Down,66.19,5,3,12,1,0
assembly,2022,Belfast West,64.66,8,3,17,1,0
assembly,2022,North Antrim,62.51,2,6,11,1,0
assembly,2022,Belfast South,64.36,5,3,14,1,0
assembly,2022,West Tyrone,66.9,6,3,14,1,0
assembly,2022,Lagan Valley,63.19,2,6,12,1,0
assembly,2022,East Londonderry,61.4,5,6,16,1,0
assembly,2022,Newry and Armagh,68.49,6,3,12,1,0
assembly,2022,Strangford,58.42,2,7,12,1,0
assembly,2022,Belfast East,62.52,3,6,13,1,0
assembly,2022,Foyle,61.64,8,3,14,1,0
assembly,2022,Mid Ulster,69.54,6,3,14,1,0
assembly,2022,Belfast North,61.74,5,6,14,1,0
westminster,2017,South Antrim,63.44,2,2,5,1,0
