contest,scheme,used,base_r2,base_mae,final_r2,final_mae
assembly2016,LOCO,census,0.976565003723685,2.8519016011140916,0.976565003723685,2.8519016011140916
assembly2017,LOCO,census,0.9877775985734122,1.9567518229483514,0.9877775985734122,1.9567518229483514
assembly2022,LOCO,census,0.9851337106676863,2.202787173046837,0.9851337106676863,2.202787173046837
westminster2017,LOCO,census,0.9833386456052047,2.3223694660866254,0.9833386456052047,2.3223694660866254
westminster2019,LOCO,census,0.9367239165887644,4.210773106291539,0.9367239165887644,4.210773106291539
euref2016,LOAO,+dyn,0.8361172696481273,3.619569882247473,0.8615726323286204,3.3530945509703196
