DZ21,mrp_rate,prot_pct,old65_pct,con,softmult,soft_id_pct,mrp_id_rate
N20003692,6.71,82.32,68.9,NORTH DOWN,1.29,41.0,7.68
N20003643,6.51,82.88,62.67,NORTH DOWN,1.29,41.0,7.46
N20003541,6.47,83.22,58.05,NORTH DOWN,1.29,41.0,7.41
N20002793,6.49,82.05,62.64,EAST ANTRIM,1.22,38.9,7.22
N20003646,6.28,81.22,52.28,NORTH DOWN,1.29,41.0,7.19
N20003442,6.33,84.13,52.4,STRANGFORD,1.25,39.6,7.11
N20003684,6.2,82.45,52.66,NORTH DOWN,1.29,41.0,7.1
N20003724,6.16,88.01,44.57,NORTH DOWN,1.29,41.0,7.06
N20003680,6.15,76.39,50.93,NORTH DOWN,1.29,41.0,7.05
N20003658,6.11,81.93,45.17,NORTH DOWN,1.29,41.0,6.99
N20003542,6.1,82.67,46.88,NORTH DOWN,1.29,41.0,6.99
N20003696,6.08,79.17,50.0,NORTH DOWN,1.29,41.0,6.96
N20003704,6.06,86.18,39.81,NORTH DOWN,1.29,41.0,6.95
N20003688,6.06,84.01,41.5,NORTH DOWN,1.29,41.0,6.94
N20003683,6.05,82.24,40.93,NORTH DOWN,1.29,41.0,6.93
N20003715,6.05,77.64,47.68,NORTH DOWN,1.29,41.0,6.93
N20003648,6.03,79.41,48.93,NORTH DOWN,1.29,41.0,6.9
N20003508,6.11,83.96,47.88,STRANGFORD,1.25,39.6,6.87
N20003588,5.97,75.31,42.59,NORTH DOWN,1.29,41.0,6.84
N20002804,6.15,85.61,37.82,EAST ANTRIM,1.22,38.9,6.83
N20003626,5.95,76.6,47.54,NORTH DOWN,1.29,41.0,6.82
N20003540,5.94,69.33,45.05,NORTH DOWN,1.29,41.0,6.81
N20003639,5.93,79.02,42.78,NORTH DOWN,1.29,41.0,6.8
N20003644,5.94,73.54,46.86,NORTH DOWN,1.29,41.0,6.8
N20003585,5.93,78.71,46.9,NORTH DOWN,1.29,41.0,6.79
N20003615,5.91,77.2,43.36,NORTH DOWN,1.29,41.0,6.77
N20003650,5.91,75.27,40.82,NORTH DOWN,1.29,41.0,6.77
N20002537,6.13,84.62,43.01,BELFAST EAST,1.21,38.5,6.77
N20003690,5.9,82.26,40.38,NORTH DOWN,1.29,41.0,6.76
N20003501,6.0,84.3,44.05,STRANGFORD,1.25,39.6,6.74
N20003514,6.0,83.58,41.89,STRANGFORD,1.25,39.6,6.74
N20003682,5.87,80.77,40.06,NORTH DOWN,1.29,41.0,6.73
N20003450,5.97,86.43,40.41,STRANGFORD,1.25,39.6,6.71
N20003438,5.96,87.6,39.62,STRANGFORD,1.25,39.6,6.7
N20003731,5.96,82.3,40.99,STRANGFORD,1.25,39.6,6.7
N20002807,6.03,88.42,37.84,EAST ANTRIM,1.22,38.9,6.7
N20003718,5.85,78.31,41.27,NORTH DOWN,1.29,41.0,6.7
N20003580,5.84,72.18,46.37,NORTH DOWN,1.29,41.0,6.69
N20002693,5.99,74.92,49.49,EAST ANTRIM,1.22,38.9,6.66
N20003726,5.81,82.63,35.91,NORTH DOWN,1.29,41.0,6.66
