DZ21,label,margin_rate,pop,prot_pct,old65_pct,protNI_pct,con
N20002762,Larne_Lough_J4,5.991758359110664,548.0,67.88321167883211,38.503649635036496,32.66423357664234,EAST ANTRIM
N20003650,Bangor_Central_J1,5.955081213236115,684.0,72.953216374269,39.32748538011696,31.57894736842105,NORTH DOWN
N20003469,Comber_F6,5.9548853910662,633.0,76.93522906793049,34.439178515007896,34.59715639810427,STRANGFORD
N20002372,Lisburn_South_J3,5.9120834950862395,616.0,65.09740259740259,42.857142857142854,21.753246753246753,LAGAN VALLEY
N20000162,Three_Mile_Water_G5,5.903620083978315,647.0,71.71561051004637,39.56723338485317,31.06646058732612,EAST ANTRIM
N20000988,Ormiston_N2,5.867943079743891,612.0,73.69281045751634,45.42483660130719,31.535947712418302,BELFAST EAST
N20003578,Bangor_West_A1,5.836803666045257,544.0,73.34558823529412,41.544117647058826,32.35294117647059,NORTH DOWN
N20000149,Three_Mile_Water_E4,5.785438123893126,512.0,68.9453125,33.7890625,31.0546875,EAST ANTRIM
N20003547,Holywood_and_Clandeboye_C2,5.764999883622066,580.0,67.41379310344827,37.41379310344828,29.655172413793103,NORTH DOWN
N20002613,Ballymena_E3,5.738775441880462,601.0,56.239600665557404,10.64891846921797,11.480865224625624,NORTH ANTRIM
N20002268,Downshire_West_G1,5.702345924682455,861.0,73.40301974448316,24.97096399535424,24.390243902439025,LAGAN VALLEY
N20003549,Holywood_and_Clandeboye_D2,5.683623572951449,523.0,65.39196940726578,38.04971319311664,29.254302103250478,NORTH DOWN
N20003605,Bangor_West_F4,5.655026824747672,603.0,67.33001658374793,28.68988391376451,28.026533996683252,NORTH DOWN
N20000956,Ormiston_B4,5.650603126395134,714.0,78.57142857142857,36.134453781512605,33.61344537815126,BELFAST EAST
N20003371,Rowallane_D4,5.64833781094303,566.0,67.84452296819788,24.204946996466433,25.26501766784452,SOUTH DOWN
N20003548,Holywood_and_Clandeboye_D1,5.645559024772391,544.0,68.01470588235294,33.8235294117647,31.985294117647058,NORTH DOWN
N20000969,Ormiston_E4,5.639226268975512,479.0,71.39874739039666,27.34864300626305,31.315240083507305,BELFAST EAST
N20001053,Lisnasharragh_L1,5.601197858634731,596.0,60.40268456375839,28.02013422818792,22.14765100671141,BELFAST SOUTH
N20001518,Bann_B3,5.59216870526362,682.0,71.55425219941348,25.95307917888563,22.873900293255133,EAST LONDONDERRY
N20000902,Titanic_R1,5.557809564834131,487.0,60.98562628336756,30.184804928131417,27.515400410677618,BELFAST EAST
N20001046,Lisnasharragh_E3,5.557552986575318,649.0,71.1864406779661,17.873651771956858,26.50231124807396,BELFAST EAST
N20003586,Bangor_West_D1,5.543204807603632,566.0,52.65017667844523,30.918727915194346,21.908127208480565,NORTH DOWN
N20000716,Oldpark_C1,5.5294105936855695,531.0,72.31638418079096,19.58568738229755,25.423728813559322,BELFAST NORTH
N20003537,Holywood_and_Clandeboye_A1,5.528545074779505,478.0,70.92050209205021,36.40167364016737,28.661087866108787,NORTH DOWN
N20000984,Ormiston_H4,5.523773806345608,417.0,64.74820143884892,20.863309352517987,30.455635491606714,BELFAST EAST
N20003624,Bangor_Central_A3,5.520038714789556,522.0,53.63984674329502,19.157088122605366,22.796934865900383,NORTH DOWN
N20000080,Antrim_J5,5.517101172219119,511.0,61.839530332681015,22.504892367906066,21.72211350293542,SOUTH ANTRIM
N20003553,Holywood_and_Clandeboye_E2,5.514984031381005,656.0,60.21341463414634,34.146341463414636,28.658536585365855,NORTH DOWN
N20000510,Lurgan_J1,5.512137193483533,470.0,73.19148936170212,18.085106382978722,22.340425531914892,UPPER BANN
N20000970,Ormiston_G1,5.50342864557679,430.0,66.27906976744185,24.88372093023256,31.627906976744185,BELFAST EAST
N20002319,Killultagh_F4,5.482036559261343,553.0,71.60940325497288,18.083182640144667,25.31645569620253,LAGAN VALLEY
N20000997,Ormiston_N3,5.469798277308635,537.0,70.76350093109869,27.18808193668529,34.82309124767225,BELFAST EAST
N20002373,Lisburn_South_J4,5.4564423683309915,563.0,58.259325044404974,23.268206039076375,16.518650088809945,LAGAN VALLEY
N20003545,Holywood_and_Clandeboye_F3,5.442465403316066,525.0,61.523809523809526,24.761904761904763,20.761904761904763,NORTH DOWN
N20001147,Botanic_T4,5.39171557639491,334.0,39.52095808383233,15.868263473053892,11.377245508982035,BELFAST SOUTH
N20002836,Knockagh_J3,5.379471670675486,484.0,63.01652892561984,17.768595041322314,28.512396694214875,EAST ANTRIM
N20003581,Bangor_West_A4,5.378241920120856,572.0,57.86713286713287,26.923076923076923,24.825174825174827,NORTH DOWN
N20000158,Three_Mile_Water_G3,5.368863371715112,506.0,68.77470355731225,28.656126482213438,32.015810276679844,EAST ANTRIM
N20000976,Ormiston_H3,5.359323047591819,446.0,53.587443946188344,16.591928251121075,22.6457399103139,BELFAST EAST
N20000573,Lagan_River_F3,5.350783832747563,567.0,66.31393298059965,14.991181657848324,28.04232804232804,LAGAN VALLEY
N20003771,Ards_Peninsula_L1,5.347623802603932,599.0,42.73789649415693,20.534223706176963,16.86143572621035,STRANGFORD
N20000161,Three_Mile_Water_K3,5.345970806384279,419.0,54.89260143198091,11.455847255369928,24.821002386634845,EAST ANTRIM
N20000909,Titanic_R2,5.339224448975979,556.0,72.66187050359713,22.12230215827338,33.273381294964025,BELFAST EAST
N20003632,Bangor_Central_C2,5.334423630226422,514.0,46.49805447470817,12.645914396887159,19.64980544747082,NORTH DOWN
N20003619,Bangor_West_J3,5.331007186392114,576.0,62.5,10.069444444444445,24.82638888888889,NORTH DOWN
N20000941,Titanic_Z2,5.3277248967826125,525.0,57.904761904761905,13.714285714285714,18.476190476190474,BELFAST SOUTH
N20000038,Antrim_B1,5.321927547895561,487.0,45.58521560574949,7.8028747433264884,19.50718685831622,SOUTH ANTRIM
N20002437,Downshire_East_C3,5.318082530543554,542.0,67.89667896678966,17.15867158671587,27.675276752767527,LAGAN VALLEY
N20000263,Airport_B2,5.298476396182076,450.0,69.11111111111111,24.22222222222222,28.88888888888889,SOUTH ANTRIM
N20002411,Lisburn_North_J3,5.234103852293122,493.0,57.40365111561866,16.835699797160242,25.760649087221097,LAGAN VALLEY
N20000132,Three_Mile_Water_E1,5.231636826543019,498.0,61.04417670682731,17.46987951807229,32.329317269076306,EAST ANTRIM
N20003349,Rowallane_A2,5.229791964860293,606.0,55.94059405940594,21.122112211221122,24.422442244224424,STRANGFORD
N20000041,Antrim_C1,5.22435719049103,737.0,48.0325644504749,15.87516960651289,14.382632293080054,SOUTH ANTRIM
N20000219,Glengormley_Urban_C3,5.222536212580761,595.0,44.36974789915966,25.54621848739496,17.647058823529413,SOUTH ANTRIM
N20003561,Holywood_and_Clandeboye_H3,5.2216408074854215,405.0,42.96296296296296,14.074074074074074,22.22222222222222,NORTH DOWN
N20002399,Lisburn_North_G1,5.221398033396592,585.0,54.18803418803419,28.034188034188034,23.58974358974359,LAGAN VALLEY
N20000043,Antrim_D1,5.218227877835513,546.0,44.688644688644686,4.761904761904762,15.934065934065934,SOUTH ANTRIM
N20000795,Castle_C2,5.21792087429819,529.0,51.98487712665406,15.500945179584122,15.122873345935728,BELFAST NORTH
N20001635,Causeway_H4,5.216274481789693,513.0,49.12280701754386,24.56140350877193,19.49317738791423,EAST LONDONDERRY
N20000035,Antrim_A1,5.208673328534076,493.0,37.93103448275862,8.924949290060852,15.61866125760649,SOUTH ANTRIM
