DZ2021_cd,DZ2021_nm,ward_key,ward_pop_1971,ward_pop_1981,pop_change_7181,ward_pop_density_1981,dz_density_2021,log_density_ratio_8121,ward_male_pct_1981
N20003396,Downpatrick_B2,down|strangford,1987,2052,3.27,34.2,53.0,0.4386,50.68
N20003420,Downpatrick_B3,down|strangford,1987,2052,3.27,34.2,72.2,0.7474,50.68
N20003423,Downpatrick_H3,down|ardglass,2433,2880,18.37,66.6,37.6,-0.5719,53.72
N20003425,Downpatrick_J1,down|ardglass,2433,2880,18.37,66.6,3430.9,3.9419,53.72
N20003426,Downpatrick_J2,down|ardglass,2433,2880,18.37,66.6,2017.7,3.411,53.72
N20003424,Downpatrick_H4,down|killough,3295,3185,-3.34,60.1,38.0,-0.4575,56.36
N20003414,Downpatrick_H1,down|ardglass,2433,2880,18.37,66.6,35.3,-0.6352,53.72
N20003402,Downpatrick_D1,down|quoile,2551,3233,26.73,236.6,577.4,0.8922,50.39
N20003421,Downpatrick_F4,down|cathedral,2389,3940,64.92,260.1,2888.6,2.4075,49.77
N20003419,Downpatrick_G4,down|cathedral,2389,3940,64.92,260.1,5122.0,2.9802,49.77
N20003415,Downpatrick_F2,down|cathedral,2389,3940,64.92,260.1,1604.9,1.8197,49.77
N20003418,Downpatrick_F3,down|cathedral,2389,3940,64.92,260.1,4644.2,2.8823,49.77
N20003412,Downpatrick_F1,down|cathedral,2389,3940,64.92,260.1,655.6,0.9244,49.77
N20003410,Downpatrick_E6,down|cathedral,2389,3940,64.92,260.1,2450.7,2.2431,49.77
N20003413,Downpatrick_G1,down|cathedral,2389,3940,64.92,260.1,1365.8,1.6584,49.77
N20003416,Downpatrick_G2,down|cathedral,2389,3940,64.92,260.1,7782.2,3.3985,49.77
N20003417,Downpatrick_G3,down|audleys acre,3628,3660,0.88,490.2,896.6,0.6037,47.13
N20003411,Downpatrick_D4,down|audleys acre,3628,3660,0.88,490.2,1232.0,0.9216,47.13
N20003409,Downpatrick_D3,down|audleys acre,3628,3660,0.88,490.2,2920.3,1.7846,47.13
N20003407,Downpatrick_E4,down|audleys acre,3628,3660,0.88,490.2,3951.5,2.087,47.13
N20003403,Downpatrick_E1,down|quoile,2551,3233,26.73,236.6,2215.3,2.2368,50.39
N20003405,Downpatrick_D2,down|quoile,2551,3233,26.73,236.6,933.1,1.3721,50.39
N20003400,Downpatrick_C4,down|quoile,2551,3233,26.73,236.6,2928.9,2.516,50.39
N20003399,Downpatrick_C3,down|quoile,2551,3233,26.73,236.6,1155.6,1.586,50.39
N20003397,Downpatrick_C1,down|quoile,2551,3233,26.73,236.6,1031.0,1.4719,50.39
N20003398,Downpatrick_C2,down|quoile,2551,3233,26.73,236.6,1218.6,1.6391,50.39
N20003401,Downpatrick_C5,down|quoile,2551,3233,26.73,236.6,3180.3,2.5984,50.39
N20003406,Downpatrick_E3,down|audleys acre,3628,3660,0.88,490.2,4542.4,2.2264,47.13
N20003404,Downpatrick_E2,down|quoile,2551,3233,26.73,236.6,2146.7,2.2053,50.39
N20003408,Downpatrick_E5,down|cathedral,2389,3940,64.92,260.1,1528.7,1.7711,49.77
N20003328,Slieve_Croob_D4,down|cathedral,2389,3940,64.92,260.1,32.7,-2.0746,49.77
N20003422,Downpatrick_H2,down|audleys acre,3628,3660,0.88,490.2,35.5,-2.6242,47.13
N20003429,Downpatrick_K1,down|killough,3295,3185,-3.34,60.1,28.9,-0.7329,56.36
N20003427,Downpatrick_J3,down|ardglass,2433,2880,18.37,66.6,1270.0,2.948,53.72
N20003428,Downpatrick_J4,down|ardglass,2433,2880,18.37,66.6,1828.5,3.3125,53.72
N20003430,Downpatrick_K2,down|killough,3295,3185,-3.34,60.1,1937.4,3.4731,56.36
N20003431,Downpatrick_K3,down|killough,3295,3185,-3.34,60.1,3110.0,3.9464,56.36
N20003279,The_Mournes_D5,down|donard,2165,2115,-2.31,211.3,890.4,1.4384,46.15
N20003277,The_Mournes_E4,down|donard,2165,2115,-2.31,211.3,679.6,1.1682,46.15
N20003272,The_Mournes_E1,down|donard,2165,2115,-2.31,211.3,2015.7,2.2555,46.15
N20003275,The_Mournes_F2,down|tollymore,1924,1941,0.88,29.0,22.0,-0.2744,51.42
N20003264,The_Mournes_C1,down|tollymore,1924,1941,0.88,29.0,3169.1,4.6939,51.42
N20003263,The_Mournes_B1,down|tollymore,1924,1941,0.88,29.0,3413.2,4.7681,51.42
N20003265,The_Mournes_B2,down|shimna,2709,3920,44.7,1136.0,6475.4,1.7405,47.09
N20003267,The_Mournes_B3,down|shimna,2709,3920,44.7,1136.0,4493.4,1.3751,47.09
N20003269,The_Mournes_B4,down|shimna,2709,3920,44.7,1136.0,2340.0,0.7226,47.09
N20003270,The_Mournes_C3,down|shimna,2709,3920,44.7,1136.0,2581.9,0.821,47.09
N20003268,The_Mournes_C2,down|shimna,2709,3920,44.7,1136.0,1793.0,0.4564,47.09
N20003274,The_Mournes_E3,down|donard,2165,2115,-2.31,211.3,2065.5,2.2799,46.15
N20003273,The_Mournes_E2,down|donard,2165,2115,-2.31,211.3,2783.1,2.578,46.15
N20003278,The_Mournes_D4,down|donard,2165,2115,-2.31,211.3,1291.7,1.8105,46.15
N20003271,The_Mournes_D3,down|shimna,2709,3920,44.7,1136.0,2279.8,0.6966,47.09
N20003266,The_Mournes_D2,down|shimna,2709,3920,44.7,1136.0,482.5,-0.8563,47.09
N20003259,The_Mournes_A3,down|dundrum,2245,2284,1.74,72.2,48.3,-0.4021,51.23
N20003262,The_Mournes_D1,down|shimna,2709,3920,44.7,1136.0,1982.4,0.5568,47.09
N20003258,The_Mournes_A2,down|tollymore,1924,1941,0.88,29.0,179.5,1.8228,51.42
N20003343,Slieve_Croob_G5,down|dundrum,2245,2284,1.74,72.2,127.5,0.5686,51.23
N20003345,Slieve_Croob_J4,down|castlewellan,2057,2321,12.83,165.8,4335.1,3.2637,50.5
N20003342,Slieve_Croob_J2,down|castlewellan,2057,2321,12.83,165.8,3394.5,3.0191,50.5
N20003341,Slieve_Croob_J1,down|castlewellan,2057,2321,12.83,165.8,2862.6,2.8487,50.5
N20003337,Slieve_Croob_G4,down|dundrum,2245,2284,1.74,72.2,50.9,-0.3501,51.23
N20003339,Slieve_Croob_H2,down|dundrum,2245,2284,1.74,72.2,4864.5,4.2103,51.23
N20003340,Slieve_Croob_H3,down|dundrum,2245,2284,1.74,72.2,1350.2,2.9286,51.23
N20003338,Slieve_Croob_H1,down|dundrum,2245,2284,1.74,72.2,4293.3,4.0854,51.23
N20003335,Slieve_Croob_F3,down|killough,3295,3185,-3.34,60.1,53.9,-0.1091,56.36
N20003330,Slieve_Croob_F2,down|seaforde,1833,1881,2.62,30.4,64.1,0.7456,50.08
N20003329,Slieve_Croob_F1,down|seaforde,1833,1881,2.62,30.4,192.5,1.8458,50.08
N20003324,Slieve_Croob_C3,down|seaforde,1833,1881,2.62,30.4,51.0,0.5165,50.08
N20003326,Slieve_Croob_C5,down|dunmore,2230,2279,2.2,42.0,49.8,0.1705,51.65
N20003325,Slieve_Croob_C4,down|dunmore,2230,2279,2.2,42.0,38.1,-0.098,51.65
N20003332,Slieve_Croob_G1,down|dundrum,2245,2284,1.74,72.2,117.8,0.4893,51.23
N20003333,Slieve_Croob_G2,down|dundrum,2245,2284,1.74,72.2,55.6,-0.2611,51.23
N20003334,Slieve_Croob_G3,down|castlewellan,2057,2321,12.83,165.8,363.0,0.7835,50.5
N20003336,Slieve_Croob_E4,banbridge|garran,1709,1500,-12.23,23.8,46.8,0.6761,51.27
N20003327,Slieve_Croob_E2,banbridge|garran,1709,1500,-12.23,23.8,30.9,0.2625,51.27
N20003323,Slieve_Croob_E1,banbridge|garran,1709,1500,-12.23,23.8,20.5,-0.1484,51.27
N20000591,Lagan_River_N3,banbridge|balloolymore,1720,1676,-2.56,29.0,44.2,0.4212,50.18
N20000593,Lagan_River_N5,banbridge|balloolymore,1720,1676,-2.56,29.0,58.8,0.7075,50.18
