DZ21,con,catholic_bg_pct,soft,unity,lo90,hi90,band90_width,p_below50,maj_uncert
N20000181,BELFAST NORTH,6.4,0.256,24.9,20.4,29.3,8.9,1.0,0.0
N20000182,BELFAST NORTH,3.9,0.236,23.4,19.2,27.7,8.5,1.0,0.0
N20000183,BELFAST NORTH,5.7,0.251,24.5,20.1,28.8,8.7,1.0,0.0
N20000184,BELFAST NORTH,3.7,0.235,23.3,19.1,27.6,8.5,1.0,0.0
N20000185,BELFAST NORTH,10.2,0.287,27.0,22.4,31.6,9.2,1.0,0.0
N20000186,BELFAST NORTH,30.0,0.444,38.2,32.2,44.3,12.1,0.999,0.001
N20000187,BELFAST NORTH,3.0,0.229,22.9,18.7,27.1,8.4,1.0,0.0
N20000188,BELFAST NORTH,21.6,0.377,33.5,28.0,38.9,10.9,1.0,0.0
N20000189,BELFAST NORTH,2.0,0.221,22.4,18.2,26.5,8.3,1.0,0.0
N20000190,BELFAST NORTH,6.9,0.26,25.1,20.7,29.6,8.9,1.0,0.0
N20000191,BELFAST NORTH,6.6,0.258,25.0,20.5,29.4,8.9,1.0,0.0
N20000193,BELFAST NORTH,4.3,0.24,23.7,19.4,27.9,8.5,1.0,0.0
N20000194,BELFAST NORTH,3.9,0.236,23.4,19.2,27.7,8.5,1.0,0.0
N20000196,BELFAST NORTH,6.1,0.254,24.7,20.3,29.1,8.8,1.0,0.0
N20000197,BELFAST NORTH,7.9,0.268,25.7,21.2,30.2,9.0,1.0,0.0
N20000198,BELFAST NORTH,5.8,0.252,24.5,20.1,28.9,8.8,1.0,0.0
N20000200,BELFAST NORTH,6.8,0.26,25.1,20.6,29.5,8.9,1.0,0.0
N20000201,BELFAST NORTH,40.3,0.526,44.0,37.2,50.9,13.7,0.923,0.077
N20000203,BELFAST NORTH,35.4,0.487,41.3,34.8,47.7,12.9,0.986,0.014
N20000204,BELFAST NORTH,33.2,0.469,40.0,33.7,46.3,12.6,0.995,0.005
N20000205,BELFAST NORTH,21.1,0.373,33.2,27.8,38.6,10.8,1.0,0.0
N20000206,BELFAST NORTH,22.7,0.386,34.1,28.6,39.6,11.0,1.0,0.0
N20000207,BELFAST NORTH,87.6,0.901,70.8,60.0,81.7,21.7,0.001,0.001
N20000208,BELFAST NORTH,79.0,0.833,65.9,55.8,76.1,20.3,0.005,0.005
N20000209,BELFAST NORTH,86.1,0.89,70.0,59.2,80.7,21.5,0.001,0.001
N20000210,BELFAST NORTH,85.5,0.885,69.6,58.9,80.3,21.4,0.001,0.001
N20000211,SOUTH ANTRIM,29.8,0.411,38.1,32.3,43.8,11.5,1.0,0.0
N20000212,SOUTH ANTRIM,5.8,0.21,24.5,20.4,28.6,8.2,1.0,0.0
N20000214,SOUTH ANTRIM,10.6,0.25,27.2,22.9,31.6,8.7,1.0,0.0
N20000215,SOUTH ANTRIM,26.8,0.386,36.4,30.9,41.9,11.0,1.0,0.0
N20000216,SOUTH ANTRIM,13.5,0.275,28.9,24.3,33.4,9.1,1.0,0.0
N20000217,SOUTH ANTRIM,17.6,0.309,31.2,26.4,36.0,9.6,1.0,0.0
N20000218,SOUTH ANTRIM,17.0,0.304,30.9,26.1,35.6,9.5,1.0,0.0
N20000219,SOUTH ANTRIM,45.6,0.544,47.0,40.0,54.1,14.1,0.754,0.246
N20000220,SOUTH ANTRIM,19.7,0.327,32.4,27.4,37.4,10.0,1.0,0.0
N20000221,SOUTH ANTRIM,16.9,0.303,30.8,26.0,35.6,9.6,1.0,0.0
N20000222,BELFAST NORTH,20.2,0.366,32.7,27.3,38.0,10.7,1.0,0.0
N20000223,SOUTH ANTRIM,27.4,0.391,36.7,31.2,42.3,11.1,1.0,0.0
N20000224,SOUTH ANTRIM,36.8,0.47,42.1,35.7,48.4,12.7,0.98,0.02
N20000225,BELFAST NORTH,12.2,0.302,28.1,23.4,32.9,9.5,1.0,0.0
N20000226,SOUTH ANTRIM,27.4,0.391,36.7,31.2,42.3,11.1,1.0,0.0
N20000227,BELFAST NORTH,32.9,0.467,39.9,33.6,46.1,12.5,0.996,0.004
N20000228,BELFAST NORTH,16.5,0.337,30.6,25.5,35.6,10.1,1.0,0.0
N20000229,BELFAST NORTH,12.7,0.306,28.4,23.6,33.2,9.6,1.0,0.0
N20000230,BELFAST NORTH,31.2,0.453,38.9,32.7,45.0,12.3,0.998,0.002
N20000231,BELFAST NORTH,44.6,0.56,46.5,39.3,53.7,14.4,0.789,0.211
N20000232,BELFAST NORTH,51.2,0.612,50.2,42.5,58.0,15.5,0.482,0.482
N20000233,BELFAST NORTH,53.9,0.634,51.7,43.8,59.7,15.9,0.361,0.361
N20000234,BELFAST NORTH,55.6,0.647,52.7,44.6,60.8,16.2,0.293,0.293
N20000235,BELFAST NORTH,44.6,0.56,46.5,39.3,53.7,14.4,0.789,0.211
N20000236,BELFAST NORTH,37.0,0.499,42.2,35.6,48.8,13.2,0.974,0.026
N20000237,BELFAST NORTH,31.1,0.453,38.8,32.7,45.0,12.3,0.999,0.001
N20000238,BELFAST NORTH,67.7,0.743,59.5,50.4,68.7,18.3,0.043,0.043
N20000239,BELFAST NORTH,42.5,0.543,45.3,38.2,52.3,14.1,0.864,0.136
N20000240,BELFAST NORTH,57.1,0.659,53.5,45.3,61.8,16.5,0.24,0.24
N20000241,BELFAST NORTH,28.9,0.435,37.6,31.6,43.6,12.0,1.0,0.0
N20000242,BELFAST NORTH,23.8,0.395,34.7,29.1,40.3,11.2,1.0,0.0
N20000243,BELFAST NORTH,72.5,0.782,62.3,52.7,71.8,19.1,0.018,0.018
N20000244,BELFAST NORTH,76.4,0.812,64.5,54.6,74.4,19.8,0.008,0.008
N20000245,BELFAST NORTH,88.9,0.912,71.5,60.6,82.5,21.9,0.001,0.001
N20000246,BELFAST NORTH,77.4,0.82,65.0,55.1,75.0,19.9,0.007,0.007
N20000247,BELFAST NORTH,67.9,0.745,59.7,50.5,68.8,18.3,0.042,0.042
N20000249,BELFAST NORTH,82.8,0.863,68.1,57.7,78.5,20.8,0.002,0.002
N20000250,BELFAST NORTH,85.0,0.881,69.3,58.7,80.0,21.3,0.001,0.001
N20000251,SOUTH ANTRIM,85.0,0.874,69.3,58.8,79.9,21.1,0.001,0.001
N20000252,BELFAST NORTH,82.3,0.859,67.8,57.4,78.2,20.8,0.002,0.002
N20000254,BELFAST NORTH,80.0,0.841,66.5,56.3,76.7,20.4,0.004,0.004
N20000255,BELFAST NORTH,83.6,0.87,68.5,58.0,79.1,21.1,0.002,0.002
N20000256,BELFAST NORTH,81.9,0.856,67.6,57.2,77.9,20.7,0.003,0.003
N20000257,SOUTH ANTRIM,16.7,0.301,30.7,25.9,35.5,9.6,1.0,0.0
N20000258,SOUTH ANTRIM,13.6,0.275,28.9,24.4,33.5,9.1,1.0,0.0
N20000259,SOUTH ANTRIM,12.2,0.264,28.1,23.7,32.6,8.9,1.0,0.0
N20000260,SOUTH ANTRIM,16.8,0.302,30.7,26.0,35.5,9.5,1.0,0.0
N20000261,SOUTH ANTRIM,9.0,0.237,26.3,22.1,30.6,8.5,1.0,0.0
N20000262,SOUTH ANTRIM,14.2,0.28,29.3,24.7,33.9,9.2,1.0,0.0
N20000263,SOUTH ANTRIM,18.0,0.312,31.4,26.6,36.3,9.7,1.0,0.0
N20000264,SOUTH ANTRIM,28.3,0.399,37.2,31.6,42.9,11.3,1.0,0.0
N20000265,SOUTH ANTRIM,35.6,0.46,41.4,35.2,47.6,12.4,0.989,0.011
N20000266,SOUTH ANTRIM,17.4,0.307,31.1,26.3,35.9,9.6,1.0,0.0
N20000267,SOUTH ANTRIM,61.0,0.673,55.8,47.4,64.1,16.7,0.13,0.13
N20000268,SOUTH ANTRIM,29.7,0.41,38.0,32.3,43.8,11.5,1.0,0.0
N20000270,SOUTH ANTRIM,68.4,0.735,59.9,50.9,69.0,18.1,0.036,0.036
N20000271,SOUTH ANTRIM,57.3,0.642,53.7,45.6,61.7,16.1,0.228,0.228
N20000272,SOUTH ANTRIM,65.9,0.714,58.5,49.7,67.4,17.7,0.057,0.057
N20000273,SOUTH ANTRIM,79.2,0.826,66.1,56.0,76.1,20.1,0.004,0.004
N20000274,SOUTH ANTRIM,11.0,0.254,27.5,23.1,31.8,8.7,1.0,0.0
N20000275,SOUTH ANTRIM,61.7,0.679,56.2,47.7,64.6,16.9,0.116,0.116
N20000276,SOUTH ANTRIM,68.3,0.734,59.9,50.8,68.9,18.1,0.036,0.036
N20000277,SOUTH ANTRIM,88.6,0.904,71.4,60.5,82.3,21.8,0.001,0.001
N20000278,SOUTH ANTRIM,17.0,0.304,30.9,26.1,35.6,9.5,1.0,0.0
N20000279,SOUTH ANTRIM,24.0,0.363,34.8,29.5,40.1,10.6,1.0,0.0
N20000280,SOUTH ANTRIM,15.4,0.291,29.9,25.3,34.6,9.3,1.0,0.0
N20000282,SOUTH ANTRIM,54.5,0.618,52.1,44.3,59.9,15.6,0.332,0.332
N20000283,SOUTH ANTRIM,75.4,0.794,63.9,54.2,73.6,19.4,0.009,0.009
N20000284,SOUTH ANTRIM,79.8,0.831,66.4,56.3,76.5,20.2,0.004,0.004
N20000285,SOUTH ANTRIM,34.5,0.451,40.8,34.6,46.9,12.3,0.993,0.007
N20000286,SOUTH ANTRIM,86.1,0.883,70.0,59.3,80.6,21.3,0.001,0.001
N20000287,SOUTH ANTRIM,89.1,0.909,71.7,60.7,82.6,21.9,0.001,0.001
N20000288,SOUTH ANTRIM,63.4,0.693,57.1,48.5,65.7,17.2,0.088,0.088
N20000289,SOUTH ANTRIM,74.4,0.785,63.3,53.7,72.9,19.2,0.011,0.011
N20000290,SOUTH ANTRIM,70.9,0.756,61.4,52.1,70.6,18.5,0.022,0.022
N20000291,SOUTH ANTRIM,67.9,0.731,59.7,50.7,68.7,18.0,0.039,0.039
N20000292,SOUTH ANTRIM,87.0,0.891,70.5,59.7,81.2,21.5,0.001,0.001
