DZ21,con,catholic_bg_pct,soft,unity,lo90,hi90,band90_width,p_below50,maj_uncert
N20000825,BELFAST NORTH,51.3,0.613,50.3,42.5,58.0,15.5,0.478,0.478
N20000826,BELFAST NORTH,41.7,0.537,44.8,37.9,51.8,13.9,0.888,0.112
N20000827,BELFAST NORTH,77.1,0.818,64.9,54.9,74.8,19.9,0.007,0.007
N20000828,BELFAST NORTH,16.7,0.338,30.7,25.6,35.8,10.2,1.0,0.0
N20000829,BELFAST NORTH,11.5,0.297,27.7,23.0,32.5,9.5,1.0,0.0
N20000830,BELFAST NORTH,59.7,0.68,55.0,46.6,63.5,16.9,0.165,0.165
N20000831,BELFAST NORTH,86.3,0.891,70.1,59.3,80.8,21.5,0.001,0.001
N20000832,BELFAST NORTH,43.4,0.55,45.8,38.7,52.9,14.2,0.834,0.166
N20000833,BELFAST NORTH,76.2,0.811,64.4,54.5,74.2,19.7,0.009,0.009
N20000834,BELFAST NORTH,11.3,0.295,27.6,22.9,32.3,9.4,1.0,0.0
N20000835,BELFAST NORTH,13.0,0.309,28.6,23.8,33.4,9.6,1.0,0.0
N20000836,BELFAST NORTH,74.8,0.8,63.6,53.8,73.3,19.5,0.011,0.011
N20000837,BELFAST NORTH,7.0,0.261,25.2,20.7,29.6,8.9,1.0,0.0
N20000838,BELFAST NORTH,74.9,0.801,63.6,53.9,73.4,19.5,0.011,0.011
N20000840,BELFAST NORTH,80.2,0.843,66.6,56.4,76.8,20.4,0.004,0.004
N20000841,BELFAST NORTH,55.1,0.643,52.4,44.3,60.5,16.2,0.312,0.312
N20000842,BELFAST NORTH,26.5,0.416,36.2,30.4,42.0,11.6,1.0,0.0
N20000843,BELFAST NORTH,71.3,0.772,61.6,52.1,71.0,18.9,0.022,0.022
N20000844,BELFAST NORTH,5.9,0.252,24.6,20.2,28.9,8.7,1.0,0.0
N20000845,BELFAST NORTH,17.8,0.347,31.3,26.1,36.5,10.4,1.0,0.0
N20000846,BELFAST NORTH,86.1,0.89,70.0,59.2,80.7,21.5,0.001,0.001
N20000847,BELFAST NORTH,9.2,0.279,26.4,21.9,31.0,9.1,1.0,0.0
N20000848,BELFAST NORTH,64.3,0.716,57.6,48.8,66.5,17.7,0.079,0.079
N20000849,BELFAST NORTH,72.2,0.779,62.1,52.6,71.6,19.0,0.019,0.019
N20000850,BELFAST NORTH,13.0,0.309,28.6,23.8,33.4,9.6,1.0,0.0
N20000851,BELFAST NORTH,15.8,0.331,30.2,25.2,35.2,10.0,1.0,0.0
N20000852,BELFAST NORTH,10.2,0.287,27.0,22.4,31.6,9.2,1.0,0.0
N20000853,BELFAST NORTH,13.3,0.311,28.8,23.9,33.6,9.7,1.0,0.0
N20000854,BELFAST NORTH,34.3,0.478,40.6,34.3,47.0,12.7,0.992,0.008
N20000855,BELFAST NORTH,46.5,0.575,47.5,40.2,54.9,14.7,0.707,0.293
N20000856,BELFAST EAST,4.7,0.227,23.9,19.7,28.1,8.4,1.0,0.0
N20000857,BELFAST EAST,33.8,0.463,40.4,34.1,46.6,12.5,0.994,0.006
N20000858,BELFAST EAST,7.8,0.252,25.6,21.3,30.0,8.7,1.0,0.0
N20000859,BELFAST EAST,17.4,0.33,31.1,26.1,36.1,10.0,1.0,0.0
N20000860,BELFAST EAST,4.5,0.225,23.8,19.6,28.0,8.4,1.0,0.0
N20000861,BELFAST EAST,10.7,0.276,27.3,22.7,31.8,9.1,1.0,0.0
N20000862,BELFAST EAST,14.1,0.303,29.2,24.4,34.0,9.6,1.0,0.0
N20000863,BELFAST EAST,11.5,0.282,27.7,23.1,32.3,9.2,1.0,0.0
N20000864,BELFAST EAST,16.0,0.319,30.3,25.4,35.2,9.8,1.0,0.0
N20000865,BELFAST EAST,9.2,0.263,26.4,22.0,30.9,8.9,1.0,0.0
N20000866,BELFAST EAST,14.6,0.307,29.5,24.7,34.3,9.6,1.0,0.0
N20000867,BELFAST EAST,11.4,0.281,27.7,23.1,32.3,9.2,1.0,0.0
N20000868,BELFAST EAST,12.2,0.288,28.1,23.5,32.8,9.3,1.0,0.0
N20000869,BELFAST EAST,11.6,0.283,27.8,23.2,32.4,9.2,1.0,0.0
N20000870,BELFAST EAST,7.1,0.246,25.2,20.9,29.6,8.7,1.0,0.0
N20000871,BELFAST EAST,11.9,0.285,28.0,23.3,32.6,9.3,1.0,0.0
N20000872,BELFAST EAST,23.1,0.376,34.3,28.9,39.7,10.8,1.0,0.0
N20000873,BELFAST EAST,8.2,0.255,25.9,21.5,30.3,8.8,1.0,0.0
N20000874,BELFAST EAST,5.4,0.233,24.3,20.1,28.5,8.4,1.0,0.0
N20000875,BELFAST EAST,23.4,0.379,34.5,29.0,39.9,10.9,1.0,0.0
N20000876,BELFAST EAST,16.1,0.319,30.3,25.4,35.3,9.9,1.0,0.0
N20000877,BELFAST EAST,6.5,0.241,24.9,20.6,29.2,8.6,1.0,0.0
N20000878,BELFAST EAST,33.3,0.459,40.1,33.9,46.3,12.4,0.996,0.004
N20000879,BELFAST EAST,17.3,0.329,31.0,26.0,36.0,10.0,1.0,0.0
N20000881,BELFAST EAST,15.2,0.312,29.8,25.0,34.7,9.7,1.0,0.0
N20000882,BELFAST EAST,26.6,0.405,36.3,30.6,42.0,11.4,1.0,0.0
N20000883,BELFAST EAST,14.3,0.305,29.3,24.5,34.1,9.6,1.0,0.0
N20000884,BELFAST EAST,15.9,0.318,30.2,25.3,35.1,9.8,1.0,0.0
N20000885,BELFAST EAST,22.2,0.369,33.8,28.4,39.2,10.8,1.0,0.0
N20000886,BELFAST EAST,68.0,0.74,59.7,50.6,68.8,18.2,0.04,0.04
N20000887,BELFAST EAST,94.4,0.955,74.7,63.2,86.1,22.9,0.0,0.0
N20000888,BELFAST EAST,19.5,0.347,32.3,27.1,37.4,10.3,1.0,0.0
N20000890,BELFAST EAST,21.1,0.36,33.2,27.9,38.4,10.5,1.0,0.0
N20000891,BELFAST EAST,17.6,0.332,31.2,26.2,36.2,10.0,1.0,0.0
N20000892,BELFAST EAST,7.1,0.246,25.2,20.9,29.6,8.7,1.0,0.0
N20000893,BELFAST EAST,16.5,0.323,30.6,25.6,35.5,9.9,1.0,0.0
N20000894,BELFAST EAST,60.7,0.681,55.6,47.1,64.1,17.0,0.14,0.14
N20000895,BELFAST EAST,18.8,0.341,31.9,26.8,37.0,10.2,1.0,0.0
N20000896,BELFAST EAST,86.1,0.887,70.0,59.3,80.7,21.4,0.001,0.001
N20000897,BELFAST EAST,21.6,0.364,33.5,28.1,38.8,10.7,1.0,0.0
N20000898,BELFAST EAST,21.4,0.362,33.3,28.0,38.6,10.6,1.0,0.0
N20000899,BELFAST EAST,22.7,0.373,34.1,28.7,39.5,10.8,1.0,0.0
N20000900,BELFAST EAST,6.0,0.237,24.6,20.4,28.9,8.5,1.0,0.0
N20000901,BELFAST EAST,41.7,0.527,44.8,38.0,51.7,13.7,0.891,0.109
N20000902,BELFAST EAST,26.8,0.406,36.4,30.7,42.1,11.4,1.0,0.0
N20000903,BELFAST EAST,8.2,0.255,25.9,21.5,30.3,8.8,1.0,0.0
N20000904,BELFAST EAST,56.7,0.649,53.3,45.2,61.5,16.3,0.252,0.252
N20000905,BELFAST EAST,22.8,0.374,34.1,28.7,39.5,10.8,1.0,0.0
N20000906,BELFAST EAST,14.1,0.303,29.2,24.4,34.0,9.6,1.0,0.0
N20000907,BELFAST EAST,19.1,0.344,32.0,26.9,37.2,10.3,1.0,0.0
N20000908,BELFAST EAST,18.7,0.34,31.8,26.7,36.9,10.2,1.0,0.0
N20000909,BELFAST EAST,15.2,0.312,29.8,25.0,34.7,9.7,1.0,0.0
N20000910,BELFAST EAST,10.8,0.276,27.3,22.8,31.9,9.1,1.0,0.0
N20000911,BELFAST EAST,3.4,0.216,23.2,19.0,27.3,8.3,1.0,0.0
N20000912,BELFAST SOUTH,27.1,0.491,36.6,30.0,43.1,13.1,1.0,0.0
N20000913,BELFAST SOUTH,25.2,0.478,35.5,29.1,41.9,12.8,1.0,0.0
N20000914,BELFAST EAST,18.1,0.336,31.5,26.4,36.5,10.1,1.0,0.0
N20000915,BELFAST EAST,15.0,0.31,29.7,24.9,34.6,9.7,1.0,0.0
N20000916,BELFAST EAST,25.7,0.397,35.8,30.2,41.4,11.2,1.0,0.0
N20000917,BELFAST EAST,19.7,0.349,32.4,27.2,37.6,10.4,1.0,0.0
N20000918,BELFAST SOUTH,16.4,0.417,30.5,24.7,36.3,11.6,1.0,0.0
N20000919,BELFAST EAST,9.2,0.263,26.4,22.0,30.9,8.9,1.0,0.0
N20000920,BELFAST EAST,17.1,0.327,30.9,25.9,35.9,10.0,1.0,0.0
N20000921,BELFAST EAST,7.4,0.249,25.4,21.1,29.8,8.7,1.0,0.0
N20000922,BELFAST SOUTH,12.1,0.387,28.1,22.6,33.6,11.0,1.0,0.0
N20000923,BELFAST EAST,12.4,0.289,28.2,23.6,32.9,9.3,1.0,0.0
N20000924,BELFAST SOUTH,21.4,0.451,33.3,27.2,39.5,12.3,1.0,0.0
N20000925,BELFAST EAST,24.1,0.384,34.9,29.4,40.4,11.0,1.0,0.0
N20000926,BELFAST EAST,26.9,0.407,36.5,30.7,42.2,11.5,1.0,0.0
N20000927,BELFAST EAST,12.3,0.289,28.2,23.5,32.9,9.4,1.0,0.0
N20000928,BELFAST SOUTH,18.9,0.434,31.9,26.0,37.9,11.9,1.0,0.0
N20000929,BELFAST EAST,17.3,0.329,31.0,26.0,36.0,10.0,1.0,0.0
N20000930,BELFAST SOUTH,14.7,0.405,29.6,23.9,35.2,11.3,1.0,0.0
N20000931,BELFAST SOUTH,21.0,0.449,33.1,27.0,39.2,12.2,1.0,0.0
N20000932,BELFAST EAST,21.9,0.366,33.6,28.3,39.0,10.7,1.0,0.0
N20000933,BELFAST EAST,22.1,0.368,33.7,28.4,39.1,10.7,1.0,0.0
N20000934,BELFAST SOUTH,33.9,0.539,40.4,33.4,47.4,14.0,0.988,0.012
N20000935,BELFAST EAST,6.3,0.24,24.8,20.5,29.1,8.6,1.0,0.0
N20000936,BELFAST EAST,10.8,0.276,27.3,22.8,31.9,9.1,1.0,0.0
N20000937,BELFAST EAST,21.5,0.363,33.4,28.1,38.7,10.6,1.0,0.0
N20000938,BELFAST SOUTH,23.3,0.465,34.4,28.2,40.7,12.5,1.0,0.0
N20000939,BELFAST SOUTH,32.9,0.532,39.9,32.9,46.8,13.9,0.992,0.008
N20000940,BELFAST SOUTH,19.5,0.438,32.3,26.3,38.3,12.0,1.0,0.0
N20000941,BELFAST SOUTH,23.3,0.465,34.4,28.2,40.7,12.5,1.0,0.0
N20000942,BELFAST SOUTH,38.7,0.572,43.1,35.8,50.5,14.7,0.937,0.063
N20000943,BELFAST SOUTH,27.3,0.493,36.7,30.1,43.2,13.1,1.0,0.0
N20000944,BELFAST SOUTH,51.4,0.661,50.3,42.1,58.6,16.5,0.474,0.474
N20000945,BELFAST EAST,14.5,0.306,29.4,24.6,34.2,9.6,1.0,0.0
N20000946,NORTH DOWN,15.3,0.315,29.9,25.0,34.8,9.8,1.0,0.0
N20000947,BELFAST EAST,7.7,0.251,25.6,21.2,30.0,8.8,1.0,0.0
N20000948,BELFAST EAST,7.9,0.253,25.7,21.3,30.1,8.8,1.0,0.0
N20000949,BELFAST EAST,4.7,0.227,23.9,19.7,28.1,8.4,1.0,0.0
N20000950,BELFAST EAST,17.2,0.328,31.0,26.0,36.0,10.0,1.0,0.0
N20000952,BELFAST EAST,13.5,0.298,28.9,24.1,33.6,9.5,1.0,0.0
N20000953,BELFAST EAST,10.6,0.275,27.2,22.7,31.8,9.1,1.0,0.0
N20000954,BELFAST EAST,10.2,0.271,27.0,22.5,31.5,9.0,1.0,0.0
N20000955,BELFAST EAST,11.8,0.284,27.9,23.3,32.5,9.2,1.0,0.0
N20000956,BELFAST EAST,10.3,0.272,27.1,22.5,31.6,9.1,1.0,0.0
N20000957,BELFAST EAST,11.2,0.28,27.6,23.0,32.2,9.2,1.0,0.0
N20000958,BELFAST EAST,10.6,0.275,27.2,22.7,31.8,9.1,1.0,0.0
N20000960,BELFAST EAST,9.0,0.262,26.3,21.9,30.8,8.9,1.0,0.0
N20000961,BELFAST EAST,11.1,0.279,27.5,22.9,32.1,9.2,1.0,0.0
N20000962,BELFAST EAST,5.3,0.232,24.2,20.0,28.5,8.5,1.0,0.0
N20000963,BELFAST EAST,19.2,0.344,32.1,27.0,37.2,10.2,1.0,0.0
N20000964,BELFAST EAST,7.2,0.247,25.3,21.0,29.6,8.6,1.0,0.0
N20000965,BELFAST EAST,13.5,0.298,28.9,24.1,33.6,9.5,1.0,0.0
N20000966,BELFAST EAST,18.6,0.34,31.8,26.7,36.9,10.2,1.0,0.0
N20000967,BELFAST EAST,16.3,0.321,30.5,25.5,35.4,9.9,1.0,0.0
N20000968,BELFAST EAST,17.1,0.327,30.9,25.9,35.9,10.0,1.0,0.0
N20000969,BELFAST EAST,13.6,0.299,28.9,24.2,33.7,9.5,1.0,0.0
N20000970,BELFAST EAST,17.7,0.332,31.2,26.2,36.3,10.1,1.0,0.0
N20000971,BELFAST EAST,15.0,0.31,29.7,24.9,34.6,9.7,1.0,0.0
N20000972,BELFAST EAST,32.6,0.453,39.7,33.5,45.8,12.3,0.997,0.003
N20000973,BELFAST EAST,18.5,0.339,31.7,26.6,36.8,10.2,1.0,0.0
N20000974,BELFAST EAST,16.6,0.323,30.6,25.7,35.6,9.9,1.0,0.0
N20000975,BELFAST EAST,21.2,0.361,33.2,27.9,38.5,10.6,1.0,0.0
N20000976,BELFAST EAST,28.4,0.419,37.3,31.5,43.1,11.6,1.0,0.0
N20000977,BELFAST EAST,14.7,0.308,29.6,24.7,34.4,9.7,1.0,0.0
N20000978,BELFAST EAST,24.1,0.384,34.9,29.4,40.4,11.0,1.0,0.0
N20000979,BELFAST EAST,15.8,0.317,30.2,25.3,35.1,9.8,1.0,0.0
N20000981,BELFAST EAST,14.7,0.308,29.6,24.7,34.4,9.7,1.0,0.0
N20000982,BELFAST EAST,17.7,0.332,31.2,26.2,36.3,10.1,1.0,0.0
N20000983,BELFAST EAST,17.5,0.331,31.1,26.1,36.2,10.1,1.0,0.0
N20000984,BELFAST EAST,24.3,0.386,35.0,29.5,40.5,11.0,1.0,0.0
N20000985,BELFAST EAST,21.0,0.359,33.1,27.8,38.4,10.6,1.0,0.0
N20000986,BELFAST EAST,9.7,0.267,26.7,22.2,31.2,9.0,1.0,0.0
N20000987,BELFAST EAST,7.5,0.25,25.5,21.1,29.8,8.7,1.0,0.0
N20000988,BELFAST EAST,12.9,0.293,28.5,23.8,33.2,9.4,1.0,0.0
N20000989,BELFAST EAST,2.3,0.207,22.5,18.5,26.6,8.1,1.0,0.0
N20000990,BELFAST EAST,6.9,0.245,25.1,20.8,29.5,8.7,1.0,0.0
N20000991,BELFAST EAST,9.2,0.263,26.4,22.0,30.9,8.9,1.0,0.0
N20000992,BELFAST EAST,12.0,0.286,28.0,23.4,32.7,9.3,1.0,0.0
N20000993,BELFAST EAST,11.0,0.278,27.5,22.9,32.0,9.1,1.0,0.0
N20000994,BELFAST EAST,3.9,0.22,23.4,19.3,27.6,8.3,1.0,0.0
N20000995,BELFAST EAST,22.4,0.37,33.9,28.5,39.3,10.8,1.0,0.0
N20000996,BELFAST EAST,4.4,0.224,23.7,19.5,27.9,8.4,1.0,0.0
N20000997,BELFAST EAST,18.3,0.337,31.6,26.5,36.7,10.2,1.0,0.0
N20000998,BELFAST EAST,15.1,0.311,29.8,24.9,34.6,9.7,1.0,0.0
N20001000,BELFAST EAST,5.6,0.234,24.4,20.2,28.6,8.4,1.0,0.0
N20001001,BELFAST EAST,15.7,0.316,30.1,25.2,35.0,9.8,1.0,0.0
N20001002,BELFAST EAST,8.2,0.255,25.9,21.5,30.3,8.8,1.0,0.0
N20001003,BELFAST EAST,6.8,0.244,25.1,20.8,29.4,8.6,1.0,0.0
N20001004,BELFAST EAST,1.4,0.2,22.0,18.0,26.0,8.0,1.0,0.0
N20001005,BELFAST EAST,16.7,0.324,30.7,25.7,35.6,9.9,1.0,0.0
N20001006,BELFAST EAST,10.9,0.277,27.4,22.8,32.0,9.2,1.0,0.0
N20001007,BELFAST EAST,10.9,0.277,27.4,22.8,32.0,9.2,1.0,0.0
N20001008,BELFAST EAST,7.8,0.252,25.6,21.3,30.0,8.7,1.0,0.0
N20001009,BELFAST EAST,8.2,0.255,25.9,21.5,30.3,8.8,1.0,0.0
N20001010,BELFAST EAST,23.5,0.379,34.5,29.1,40.0,10.9,1.0,0.0
N20001013,BELFAST EAST,7.4,0.249,25.4,21.1,29.8,8.7,1.0,0.0
N20001014,BELFAST EAST,5.4,0.233,24.3,20.1,28.5,8.4,1.0,0.0
N20001015,BELFAST EAST,11.1,0.279,27.5,22.9,32.1,9.2,1.0,0.0
N20001016,BELFAST EAST,9.9,0.269,26.8,22.3,31.3,9.0,1.0,0.0
N20001017,BELFAST EAST,17.4,0.33,31.1,26.1,36.1,10.0,1.0,0.0
N20001018,BELFAST EAST,7.8,0.252,25.6,21.3,30.0,8.7,1.0,0.0
N20001019,BELFAST EAST,21.4,0.362,33.3,28.0,38.6,10.6,1.0,0.0
N20001020,BELFAST EAST,11.2,0.28,27.6,23.0,32.2,9.2,1.0,0.0
N20001021,BELFAST SOUTH,35.4,0.549,41.3,34.2,48.4,14.2,0.978,0.022
N20001022,BELFAST EAST,9.0,0.262,26.3,21.9,30.8,8.9,1.0,0.0
N20001023,BELFAST EAST,17.4,0.33,31.1,26.1,36.1,10.0,1.0,0.0
N20001024,BELFAST SOUTH,59.4,0.717,54.9,46.0,63.7,17.7,0.185,0.185
N20001025,BELFAST EAST,15.7,0.316,30.1,25.2,35.0,9.8,1.0,0.0
N20001026,BELFAST SOUTH,25.0,0.477,35.4,29.0,41.8,12.8,1.0,0.0
N20001027,BELFAST SOUTH,39.5,0.578,43.6,36.2,51.0,14.8,0.922,0.078
N20001028,BELFAST EAST,16.7,0.324,30.7,25.7,35.6,9.9,1.0,0.0
N20001029,BELFAST SOUTH,34.9,0.546,41.0,33.9,48.1,14.2,0.982,0.018
N20001030,BELFAST SOUTH,42.2,0.597,45.1,37.5,52.7,15.2,0.854,0.146
N20001031,BELFAST EAST,11.9,0.285,28.0,23.3,32.6,9.3,1.0,0.0
N20001032,BELFAST SOUTH,28.9,0.504,37.6,30.9,44.2,13.3,0.999,0.001
N20001033,BELFAST EAST,10.0,0.27,26.9,22.4,31.4,9.0,1.0,0.0
N20001034,BELFAST EAST,9.3,0.264,26.5,22.0,31.0,9.0,1.0,0.0
N20001035,BELFAST SOUTH,60.0,0.721,55.2,46.3,64.1,17.8,0.169,0.169
N20001036,BELFAST SOUTH,23.8,0.468,34.7,28.4,41.0,12.6,1.0,0.0
N20001037,BELFAST SOUTH,35.8,0.552,41.5,34.4,48.6,14.2,0.975,0.025
N20001038,BELFAST EAST,15.9,0.318,30.2,25.3,35.1,9.8,1.0,0.0
N20001039,BELFAST EAST,10.7,0.276,27.3,22.7,31.8,9.1,1.0,0.0
N20001040,BELFAST EAST,4.4,0.224,23.7,19.5,27.9,8.4,1.0,0.0
N20001041,BELFAST EAST,11.1,0.279,27.5,22.9,32.1,9.2,1.0,0.0
N20001042,BELFAST SOUTH,57.1,0.701,53.5,44.9,62.2,17.3,0.251,0.251
N20001043,BELFAST EAST,9.2,0.263,26.4,22.0,30.9,8.9,1.0,0.0
N20001044,BELFAST EAST,10.6,0.275,27.2,22.7,31.8,9.1,1.0,0.0
N20001045,BELFAST EAST,10.5,0.274,27.2,22.6,31.7,9.1,1.0,0.0
N20001046,BELFAST EAST,11.7,0.284,27.9,23.2,32.5,9.3,1.0,0.0
N20001048,BELFAST EAST,9.2,0.263,26.4,22.0,30.9,8.9,1.0,0.0
N20001049,BELFAST SOUTH,17.1,0.421,30.9,25.1,36.8,11.7,1.0,0.0
N20001050,BELFAST SOUTH,13.5,0.396,28.9,23.3,34.5,11.2,1.0,0.0
N20001051,BELFAST EAST,8.0,0.254,25.8,21.4,30.1,8.7,1.0,0.0
N20001052,BELFAST SOUTH,19.6,0.439,32.3,26.3,38.3,12.0,1.0,0.0
N20001053,BELFAST SOUTH,27.8,0.496,37.0,30.4,43.5,13.1,0.999,0.001
N20001054,BELFAST EAST,12.4,0.289,28.2,23.6,32.9,9.3,1.0,0.0
N20001056,BELFAST EAST,10.9,0.277,27.4,22.8,32.0,9.2,1.0,0.0
N20001057,BELFAST SOUTH,58.3,0.709,54.2,45.5,63.0,17.5,0.215,0.215
N20001058,BELFAST EAST,4.6,0.226,23.8,19.7,28.0,8.3,1.0,0.0
N20001059,BELFAST SOUTH,40.7,0.586,44.3,36.8,51.8,15.0,0.895,0.105
N20001060,BELFAST EAST,15.4,0.314,29.9,25.1,34.8,9.7,1.0,0.0
N20001061,BELFAST SOUTH,62.3,0.737,56.5,47.4,65.6,18.2,0.12,0.12
N20001062,BELFAST SOUTH,70.3,0.793,61.0,51.3,70.7,19.4,0.031,0.031
N20001063,BELFAST SOUTH,50.7,0.656,49.9,41.7,58.1,16.4,0.506,0.494
N20001064,BELFAST SOUTH,50.2,0.652,49.6,41.5,57.8,16.3,0.529,0.471
N20001065,BELFAST SOUTH,9.5,0.368,26.6,21.3,32.0,10.7,1.0,0.0
N20001066,BELFAST SOUTH,47.6,0.634,48.2,40.2,56.2,16.0,0.646,0.354
N20001067,BELFAST EAST,13.8,0.301,29.0,24.3,33.8,9.5,1.0,0.0
N20001069,BELFAST SOUTH,65.3,0.758,58.2,48.9,67.5,18.6,0.074,0.074
N20001070,BELFAST SOUTH,61.6,0.732,56.1,47.1,65.1,18.0,0.134,0.134
N20001071,BELFAST SOUTH,68.9,0.783,60.2,50.7,69.8,19.1,0.04,0.04
N20001072,BELFAST SOUTH,65.5,0.759,58.3,49.0,67.6,18.6,0.072,0.072
N20001073,BELFAST SOUTH,76.8,0.838,64.7,54.5,74.9,20.4,0.009,0.009
N20001074,BELFAST SOUTH,38.9,0.574,43.2,35.9,50.6,14.7,0.934,0.066
N20001075,BELFAST SOUTH,65.9,0.762,58.5,49.2,67.9,18.7,0.067,0.067
N20001076,BELFAST SOUTH,70.7,0.796,61.2,51.5,71.0,19.5,0.029,0.029
N20001077,BELFAST SOUTH,48.6,0.641,48.7,40.7,56.8,16.1,0.601,0.399
N20001078,BELFAST SOUTH,45.5,0.62,47.0,39.1,54.8,15.7,0.736,0.264
N20001079,BELFAST SOUTH,55.6,0.69,52.7,44.1,61.3,17.2,0.303,0.303
N20001080,BELFAST SOUTH,30.2,0.513,38.3,31.6,45.1,13.5,0.998,0.002
N20001081,BELFAST SOUTH,57.5,0.703,53.8,45.1,62.5,17.4,0.239,0.239
N20001082,BELFAST SOUTH,88.4,0.919,71.3,60.2,82.3,22.1,0.001,0.001
N20001083,BELFAST SOUTH,91.0,0.937,72.7,61.5,84.0,22.5,0.0,0.0
N20001084,BELFAST SOUTH,18.3,0.43,31.6,25.7,37.5,11.8,1.0,0.0
N20001085,BELFAST SOUTH,29.2,0.506,37.8,31.1,44.4,13.3,0.999,0.001
N20001086,BELFAST SOUTH,76.2,0.834,64.4,54.2,74.5,20.3,0.01,0.01
N20001087,BELFAST SOUTH,24.2,0.471,34.9,28.6,41.3,12.7,1.0,0.0
N20001088,BELFAST SOUTH,24.7,0.474,35.2,28.9,41.6,12.7,1.0,0.0
N20001089,BELFAST SOUTH,5.3,0.339,24.2,19.1,29.3,10.2,1.0,0.0
N20001090,BELFAST SOUTH,23.1,0.463,34.3,28.1,40.6,12.5,1.0,0.0
N20001091,BELFAST SOUTH,14.1,0.401,29.2,23.6,34.9,11.3,1.0,0.0
N20001092,BELFAST SOUTH,7.5,0.354,25.5,20.2,30.7,10.5,1.0,0.0
N20001093,BELFAST SOUTH,4.9,0.336,24.0,18.9,29.1,10.2,1.0,0.0
N20001094,BELFAST SOUTH,84.2,0.89,68.9,58.2,79.6,21.4,0.002,0.002
N20001095,BELFAST SOUTH,13.1,0.394,28.6,23.1,34.2,11.1,1.0,0.0
N20001096,BELFAST SOUTH,15.9,0.413,30.2,24.5,36.0,11.5,1.0,0.0
N20001097,BELFAST SOUTH,11.9,0.385,28.0,22.5,33.5,11.0,1.0,0.0
N20001098,BELFAST SOUTH,17.2,0.422,31.0,25.1,36.8,11.7,1.0,0.0
N20001099,BELFAST SOUTH,33.7,0.537,40.3,33.3,47.3,14.0,0.989,0.011
N20001100,BELFAST SOUTH,14.3,0.402,29.3,23.7,35.0,11.3,1.0,0.0
N20001101,BELFAST SOUTH,40.3,0.583,44.0,36.6,51.5,14.9,0.905,0.095
N20001102,BELFAST SOUTH,28.1,0.498,37.1,30.5,43.7,13.2,0.999,0.001
N20001103,BELFAST SOUTH,44.9,0.615,46.6,38.9,54.4,15.5,0.76,0.24
N20001104,BELFAST SOUTH,15.1,0.407,29.8,24.1,35.5,11.4,1.0,0.0
N20001105,BELFAST SOUTH,55.7,0.691,52.8,44.2,61.3,17.1,0.299,0.299
N20001106,BELFAST SOUTH,21.5,0.452,33.4,27.3,39.5,12.2,1.0,0.0
N20001108,BELFAST SOUTH,27.9,0.497,37.0,30.4,43.6,13.2,0.999,0.001
N20001109,BELFAST SOUTH,77.8,0.845,65.3,55.0,75.5,20.5,0.007,0.007
N20001110,BELFAST SOUTH,48.3,0.639,48.6,40.5,56.6,16.1,0.615,0.385
N20001111,BELFAST SOUTH,9.5,0.368,26.6,21.3,32.0,10.7,1.0,0.0
N20001112,BELFAST SOUTH,45.2,0.618,46.8,39.0,54.6,15.6,0.748,0.252
N20001113,BELFAST SOUTH,63.2,0.743,57.0,47.9,66.1,18.2,0.105,0.105
N20001114,BELFAST SOUTH,66.8,0.768,59.0,49.6,68.4,18.8,0.058,0.058
N20001115,BELFAST SOUTH,40.6,0.585,44.2,36.7,51.7,15.0,0.898,0.102
N20001116,BELFAST SOUTH,11.1,0.38,27.5,22.1,33.0,10.9,1.0,0.0
N20001117,BELFAST SOUTH,13.9,0.399,29.1,23.5,34.7,11.2,1.0,0.0
N20001118,BELFAST SOUTH,72.3,0.807,62.2,52.3,72.0,19.7,0.021,0.021
N20001119,BELFAST SOUTH,56.4,0.696,53.2,44.5,61.8,17.3,0.275,0.275
N20001120,BELFAST SOUTH,64.4,0.752,57.7,48.5,66.9,18.4,0.086,0.086
N20001121,BELFAST SOUTH,63.6,0.746,57.2,48.1,66.4,18.3,0.098,0.098
N20001122,BELFAST SOUTH,44.0,0.609,46.1,38.4,53.9,15.5,0.794,0.206
N20001123,BELFAST SOUTH,39.4,0.577,43.5,36.1,50.9,14.8,0.924,0.076
N20001124,BELFAST SOUTH,45.3,0.618,46.9,39.1,54.7,15.6,0.744,0.256
N20001125,BELFAST SOUTH,34.3,0.541,40.6,33.6,47.7,14.1,0.985,0.015
N20001126,BELFAST SOUTH,32.5,0.529,39.6,32.7,46.5,13.8,0.993,0.007
N20001127,BELFAST SOUTH,69.4,0.786,60.5,50.9,70.1,19.2,0.036,0.036
N20001128,BELFAST SOUTH,23.7,0.468,34.6,28.4,40.9,12.5,1.0,0.0
N20001129,BELFAST SOUTH,22.8,0.461,34.1,27.9,40.4,12.5,1.0,0.0
N20001130,BELFAST SOUTH,81.4,0.87,67.3,56.8,77.8,21.0,0.003,0.003
N20001131,BELFAST SOUTH,67.0,0.77,59.2,49.7,68.6,18.9,0.056,0.056
N20001132,BELFAST SOUTH,43.7,0.607,46.0,38.3,53.7,15.4,0.805,0.195
N20001133,BELFAST SOUTH,38.7,0.572,43.1,35.8,50.5,14.7,0.937,0.063
N20001134,BELFAST SOUTH,59.9,0.72,55.1,46.2,64.0,17.8,0.172,0.172
N20001135,BELFAST SOUTH,50.4,0.654,49.8,41.6,57.9,16.3,0.519,0.481
