DZ21,yes,pop
N20002161,37.4,570.97
N20002995,55.3,454.04
N20000175,19.5,349.97
N20001894,18.2,326.0
N20000692,21.3,655.03
N20001486,29.8,353.02
N20000161,21.5,422.04
N20001962,51.2,379.01
N20002150,17.1,320.03
N20000845,16.4,271.04
N20002602,41.1,349.0
N20003343,46.0,511.02
N20000035,33.2,495.05
N20003082,42.5,266.02
N20001043,11.6,209.0
N20002686,49.6,342.01
N20003650,12.6,692.01
N20000551,11.1,522.96
N20002751,9.3,481.03
N20000330,50.3,456.03
N20002731,17.9,457.99
N20002618,15.9,355.99
N20002605,34.4,440.02
N20000285,24.4,510.01
N20001426,54.7,284.04
N20001497,28.8,437.98
N20001129,20.4,373.0
N20003566,22.2,306.97
N20002754,15.8,228.01
N20001328,52.9,459.99
N20000660,23.6,484.99
N20002259,9.2,393.0
N20003279,41.6,299.97
N20000203,26.3,233.01
N20002317,15.3,518.0
N20003211,51.6,469.0
N20001188,42.7,301.97
N20000738,48.0,366.99
N20000169,38.1,360.05
N20003420,48.9,585.0
N20000600,40.6,382.94
N20000335,50.2,245.0
N20002894,46.2,504.02
N20003188,55.6,433.03
N20001460,46.9,313.01
N20002180,30.3,460.0
N20001420,51.4,247.97
N20002105,33.2,239.99
N20000909,14.7,555.99
N20000384,12.5,532.99
N20002219,49.1,494.98
N20001904,52.2,463.01
N20000561,10.8,599.0
N20002417,15.2,445.99
N20002620,17.5,474.01
N20000968,15.9,443.0
N20000140,24.0,608.98
N20002313,11.5,427.02
N20000929,17.0,275.0
N20002308,36.7,353.97
N20003042,49.1,428.01
N20000809,27.3,428.97
N20001067,14.0,311.02
N20002775,9.7,676.98
N20002893,46.5,412.99
N20000913,20.8,246.03
N20001442,55.9,414.98
N20002265,14.5,227.99
N20002513,10.8,317.99
N20003583,26.4,322.01
N20000916,21.5,336.95
N20000465,31.3,190.99
N20002756,14.4,320.0
N20000690,10.8,430.0
N20002029,24.3,497.98
N20001206,14.2,139.98
N20000157,15.5,546.0
N20002934,16.2,391.0
N20001807,53.4,478.0
N20003779,47.0,398.93
N20002234,45.2,381.02
N20002655,30.6,438.97
N20002748,11.2,359.0
N20001811,54.9,410.98
N20001593,15.1,465.0
N20003719,13.4,605.01
N20002507,10.8,203.06
N20000857,27.3,511.0
N20002393,22.6,481.99
N20003488,11.2,534.99
N20001309,55.4,707.01
N20000819,31.6,300.02
N20002554,8.1,276.01
N20000912,22.6,285.99
N20002283,15.4,193.97
N20001926,48.8,368.97
N20002408,19.5,481.97
N20003196,50.9,351.0
N20003667,12.5,425.94
N20001023,16.6,376.99
N20003175,52.5,385.03
N20000890,18.2,378.01
N20000481,54.5,528.0
N20001444,56.1,482.04
N20001474,53.5,262.99
N20003622,11.7,402.99
N20000659,32.2,316.06
N20002902,34.2,397.02
N20000789,43.8,397.99
N20002487,43.2,623.99
N20001106,19.6,455.04
N20000478,48.5,470.02
N20003579,15.8,285.98
N20000652,27.8,441.98
N20002441,13.5,475.02
N20001174,35.0,433.0
N20000019,30.1,350.99
N20000784,55.3,275.01
N20001136,32.0,474.97
N20000578,15.9,524.03
N20001289,35.1,314.02
N20003022,51.1,477.98
N20003487,10.4,490.0
N20002051,43.6,567.99
N20001425,48.2,252.03
N20000434,35.6,424.99
N20003274,43.4,591.0
N20000971,14.7,429.03
N20001727,36.5,463.03
N20003381,27.1,437.01
N20002119,12.4,374.0
N20001002,11.4,224.03
N20003636,17.6,243.01
N20001649,11.6,286.0
N20000122,8.3,551.04
N20002922,30.4,393.96
N20003582,16.3,370.99
N20001850,35.5,492.0
N20001482,33.6,598.98
N20000257,15.1,262.95
N20002403,17.6,343.02
N20002879,30.2,814.01
N20000356,33.9,559.01
N20003766,9.3,489.01
N20001758,56.2,350.99
N20003696,12.1,491.01
N20003045,31.8,417.02
N20002613,21.8,594.02
N20000946,14.2,272.99
N20001779,55.6,455.98
N20000758,55.3,417.04
N20001193,45.7,289.99
N20001058,9.3,434.97
N20002492,18.3,289.0
N20002433,17.3,318.98
N20000850,14.6,238.0
N20001268,54.8,382.02
N20000836,46.4,407.01
N20003408,44.5,222.98
N20002497,39.0,371.97
N20003051,30.2,323.01
N20000917,19.1,368.01
N20002599,19.6,336.99
N20002419,22.4,230.96
N20000001,11.2,593.99
N20001847,55.7,502.0
N20000165,11.6,377.04
N20000151,13.2,512.99
N20000006,24.9,356.99
N20002851,49.8,625.03
N20001168,34.1,436.02
N20001905,8.4,329.97
N20000552,10.8,483.0
N20000986,11.5,275.96
N20000780,50.1,157.02
N20002483,35.9,671.05
N20003007,49.9,319.03
N20001228,11.5,323.98
N20003678,13.9,352.99
N20001788,56.9,598.02
N20003154,33.7,568.97
N20002385,43.8,482.0
N20001718,55.1,257.99
N20002905,32.3,362.96
N20000364,23.4,433.99
N20000070,22.9,373.04
N20000084,27.1,262.01
N20000083,23.6,240.03
N20002672,11.8,194.01
N20000512,46.1,397.03
N20001986,56.2,560.98
N20003110,44.0,545.99
N20001025,15.2,222.04
N20001484,18.9,634.02
N20000023,36.9,401.03
N20002677,10.0,471.98
N20002263,18.6,362.0
N20003691,11.6,353.99
N20001771,52.5,533.96
N20000817,38.0,624.0
N20002543,12.2,226.02
N20001948,15.5,543.03
N20003457,9.0,429.0
N20001162,32.1,2084.0
N20002897,39.3,195.0
N20002457,33.5,399.04
N20003244,54.6,472.0
N20003675,11.9,323.03
N20000830,38.5,309.99
N20003081,31.1,479.99
N20000771,51.3,346.99
N20002484,31.0,705.01
N20000956,11.9,708.01
N20001165,38.5,384.01
N20001659,39.0,312.02
N20002274,13.1,420.02
N20002281,13.9,525.04
N20001638,26.5,521.98
N20003057,30.5,551.98
N20000220,16.7,375.02
N20001833,53.2,287.98
N20000008,33.7,511.99
N20003354,18.2,362.99
N20003714,9.9,516.0
N20003773,40.4,567.0
N20003421,55.3,564.97
N20002746,7.9,571.99
N20000553,12.5,547.02
N20003503,19.4,339.96
N20003601,16.0,255.0
N20001772,54.7,408.98
N20001170,34.6,382.98
N20000922,13.8,338.95
N20002006,39.5,439.0
N20000565,17.4,455.99
N20003632,20.8,508.02
N20001352,55.6,418.02
N20001813,53.9,313.0
N20002700,20.7,336.97
N20001431,53.9,222.99
N20002999,54.2,366.95
N20000879,17.0,242.99
N20000041,26.8,734.99
N20001450,36.8,458.99
N20002884,34.2,478.04
N20000657,18.0,499.95
N20001262,54.7,333.98
N20000135,14.8,465.0
N20002406,26.9,472.01
N20003543,11.6,328.01
N20003514,10.5,497.03
N20001422,41.4,254.94
N20000545,10.3,373.0
N20002737,20.7,431.97
N20003395,36.0,556.02
N20000549,10.5,529.99
N20002442,12.4,430.99
N20002145,25.5,473.04
N20003237,52.7,454.04
N20002430,18.1,318.96
N20002017,25.4,462.09
N20001966,52.7,492.98
N20001906,55.2,274.0
N20002940,26.0,469.04
N20001283,53.9,293.01
N20000606,31.7,343.0
N20001119,37.3,402.01
N20000429,53.9,284.99
N20002199,41.1,242.98
N20002935,11.5,261.04
N20001215,13.7,527.0
N20001891,41.0,448.98
N20003694,12.0,353.07
N20003134,54.7,272.98
N20000339,40.3,423.98
N20003528,9.2,421.98
N20001750,51.9,193.99
N20001226,29.8,368.95
N20000166,19.1,330.02
N20002078,46.2,362.04
N20000670,10.3,359.97
N20003625,11.7,416.02
N20001163,34.4,253.03
N20001257,56.7,403.98
N20003709,13.1,478.98
N20000646,36.3,428.04
N20002027,20.9,325.03
N20002198,49.3,311.02
N20002348,18.5,328.0
N20001623,22.1,381.97
N20003701,12.7,446.99
N20001373,29.0,486.03
N20003289,35.8,443.02
N20003287,8.0,439.99
N20001150,32.8,322.99
N20000350,54.3,443.03
N20003314,13.9,339.02
N20000103,10.8,311.96
N20001853,12.0,431.01
N20000351,52.2,345.02
N20002160,48.1,554.03
N20001675,55.6,478.97
N20002431,12.7,308.02
N20002395,42.4,294.0
N20003338,38.1,504.99
N20000593,18.5,463.03
N20003372,22.6,253.98
N20000808,49.8,400.99
N20001501,29.8,500.04
N20001273,55.0,246.99
N20001838,55.5,383.01
N20003396,43.7,527.03
N20003739,11.9,636.98
N20002680,9.2,338.99
N20000005,9.4,556.03
N20002411,20.5,493.97
N20002662,10.3,516.02
N20002968,14.2,313.98
N20002742,11.6,672.0
N20000746,52.5,474.01
N20000846,51.9,317.05
N20003365,25.6,446.97
N20001988,41.2,571.97
N20002649,20.4,339.01
N20002930,48.4,531.99
N20003433,9.3,405.01
N20002769,12.4,411.0
N20000866,15.6,325.02
N20002658,21.2,504.99
N20002266,15.9,403.99
N20002065,22.4,579.0
N20000124,11.7,384.99
N20003111,50.6,468.05
N20001617,8.0,398.01
N20002718,26.0,398.97
N20002822,12.3,463.99
N20003560,19.7,291.01
N20000477,53.0,431.98
N20001449,35.0,374.99
N20000239,28.9,400.06
N20000265,25.5,427.97
N20002364,29.5,349.98
N20003120,52.7,369.0
N20003034,44.8,299.02
N20003686,13.4,268.01
N20003550,18.8,500.98
N20001723,22.0,541.97
N20002625,12.2,275.99
N20000464,14.0,411.0
N20000954,11.7,278.01
N20002342,21.4,370.03
N20000143,17.8,520.0
N20002802,7.8,757.01
N20001489,23.3,566.95
N20000981,14.6,401.99
N20003390,44.0,288.02
N20000254,48.0,430.99
N20001217,23.4,466.98
N20001871,25.6,457.01
N20000474,14.3,596.0
N20003495,14.3,333.03
N20003554,13.1,953.0
N20000283,45.9,534.02
N20000516,52.2,395.02
N20000580,15.5,637.0
N20002174,40.8,490.01
N20002033,19.5,241.99
N20002886,30.5,406.99
N20000997,16.3,533.01
N20002135,39.2,285.98
N20003397,38.8,599.01
N20001147,20.7,332.01
N20001494,32.0,363.99
N20000653,23.6,520.01
N20003283,44.1,477.97
N20003615,12.5,551.95
N20001329,55.1,238.04
N20000822,50.1,206.02
N20002113,34.6,404.0
N20002648,9.0,554.03
N20002733,21.4,316.98
N20003611,13.4,364.02
N20002418,21.2,354.97
N20003361,20.4,376.01
N20001182,37.9,374.98
N20000888,18.2,430.99
N20000739,12.0,260.95
N20002280,13.1,363.97
N20001555,20.1,432.99
N20000048,30.2,487.0
N20002474,31.2,601.98
N20003133,55.8,680.01
N20003546,14.3,477.99
N20000899,19.7,352.98
N20002178,50.2,394.99
N20001809,54.0,411.95
N20002246,22.0,413.02
N20003197,54.2,619.0
N20000684,14.6,302.96
N20000906,16.7,193.0
N20002446,9.3,499.0
N20000463,10.0,368.99
N20002723,14.7,313.0
N20000520,10.2,529.03
N20003262,44.5,441.95
N20002410,17.9,341.99
N20001247,53.0,409.0
N20001648,12.0,249.99
N20000679,10.9,587.96
N20002384,16.4,382.01
N20000791,37.1,396.02
N20001681,55.0,372.99
N20003726,9.1,274.03
N20002413,18.7,244.0
N20003449,13.3,205.0
N20002696,23.8,350.0
N20001411,9.8,327.96
N20002236,46.3,488.96
N20002289,38.0,738.0
N20003777,53.0,360.98
N20001585,18.8,411.98
N20001610,17.9,446.05
N20003645,13.0,513.02
N20001234,22.0,355.06
N20001062,44.7,233.97
N20003010,53.9,421.01
N20000437,36.4,304.0
N20000677,8.2,268.99
N20002840,29.2,519.02
N20000688,16.7,530.0
N20001882,40.7,277.96
N20003461,9.3,297.0
N20000577,13.3,371.0
N20001141,38.9,277.03
N20002378,37.7,437.02
N20000378,55.6,336.97
N20002302,15.8,373.02
N20003330,29.1,467.0
N20000488,35.2,424.02
N20000961,12.1,342.02
N20001614,17.2,412.0
N20002584,18.2,532.01
N20003311,24.7,513.93
N20002470,31.2,536.0
N20002120,22.9,436.01
N20002633,15.7,413.01
N20003551,19.2,374.0
N20000759,40.9,306.99
N20002681,9.8,460.06
N20001539,33.3,607.06
N20002516,16.4,475.99
N20002914,26.4,468.03
N20000973,16.8,259.01
N20003717,13.1,331.99
N20001080,27.1,1429.0
N20000860,8.5,426.02
N20003728,10.2,563.02
N20000424,49.7,633.04
N20000861,12.6,352.04
N20001737,54.4,271.0
N20001662,43.0,357.96
N20002473,33.9,361.01
N20001548,24.6,652.96
N20001510,33.1,437.0
N20000111,8.6,472.0
N20001571,24.1,177.02
N20000965,13.4,404.97
N20003021,46.7,394.0
N20002399,26.6,578.98
N20000723,12.0,458.98
N20002896,38.0,293.04
N20000799,49.1,440.98
N20002095,52.2,446.03
N20001536,12.9,311.99
N20002514,10.2,477.0
N20001453,42.0,355.0
N20001134,39.0,517.04
N20001615,21.5,484.0
N20002938,10.8,491.0
N20002698,29.9,337.0
N20000645,29.9,521.0
N20001114,42.7,395.06
N20002567,8.3,429.99
N20001173,32.2,330.0
N20000661,29.2,417.01
N20003327,44.9,526.95
N20003409,53.2,377.01
N20003109,37.3,356.02
N20000617,25.0,253.01
N20000278,14.7,429.03
N20003548,16.9,535.01
N20002316,13.6,254.98
N20001139,31.4,620.06
N20000641,27.0,546.99
N20000139,10.9,400.0
N20003003,51.5,253.99
N20003293,27.9,638.99
N20002435,15.7,527.98
N20002392,38.0,545.02
N20001725,42.1,446.97
N20000844,9.3,403.98
N20000543,55.4,375.01
N20000802,52.8,420.99
N20002577,34.2,479.02
N20003204,54.6,630.02
N20002047,42.9,319.02
N20003458,8.9,289.99
N20002753,8.9,339.01
N20003083,34.3,342.02
N20002705,18.2,318.97
N20000939,25.5,279.97
N20001314,56.6,499.04
N20001577,23.7,247.01
N20001066,33.5,525.97
N20003439,8.6,292.06
N20002941,34.9,501.01
N20003299,46.7,447.99
N20003496,12.3,487.01
N20002563,10.9,569.0
N20001800,49.9,337.96
N20003475,10.2,478.03
N20000022,55.1,307.0
N20000848,40.6,328.05
N20002640,52.8,526.01
N20001513,34.6,418.98
N20001789,48.6,367.0
N20002182,46.0,442.02
N20002318,28.8,799.01
N20002482,39.1,464.97
N20001447,36.4,257.95
N20000584,13.6,508.0
N20000226,21.2,500.08
N20001797,44.6,312.0
N20000743,46.4,315.04
N20002819,10.5,446.98
N20001584,18.6,331.97
N20003608,11.7,208.97
N20000979,15.2,437.98
N20003020,51.1,472.98
N20000337,42.2,347.0
N20000801,12.5,409.01
N20000249,49.6,249.98
N20000767,48.0,439.05
N20003671,14.3,284.0
N20001900,46.5,399.0
N20001490,28.7,304.0
N20002826,11.4,481.0
N20003282,40.1,574.03
N20001145,36.5,211.99
N20002598,45.5,314.0
N20002388,10.7,383.98
N20001148,27.5,365.01
N20001161,36.0,401.96
N20000009,15.8,313.01
N20003039,35.6,571.0
N20002604,39.3,600.03
N20002532,12.1,387.0
N20001634,15.3,539.97
N20001854,32.2,422.96
N20002479,37.9,270.97
N20003498,13.9,295.01
N20001994,54.3,424.01
N20003510,13.9,158.04
N20000229,14.2,369.98
N20000718,10.6,304.99
N20001933,8.3,466.05
N20001013,10.5,444.0
N20001124,32.3,581.98
N20001020,12.5,484.03
N20002969,17.6,403.0
N20001687,16.0,420.0
N20003703,13.6,309.01
N20001736,55.8,461.03
N20000071,26.7,266.0
N20002117,12.0,376.02
N20000123,9.5,386.01
N20002821,11.0,486.99
N20000419,18.2,420.95
N20003469,11.6,626.06
N20002439,15.4,596.04
N20001098,16.2,325.96
N20002485,46.7,336.07
N20002749,9.7,287.97
N20003025,52.3,441.01
