DZ21,con,catholic_bg_pct,p_soft,soft_v11b,soft_v11c,band_v11b,band_v11c
N20000001,SOUTH ANTRIM,9.2,0.385,0.239,0.52,8.5,13.6
N20000004,SOUTH ANTRIM,44.3,0.385,0.533,0.706,13.9,17.5
N20000005,SOUTH ANTRIM,6.3,0.385,0.214,0.505,8.2,13.3
N20000006,SOUTH ANTRIM,36.1,0.385,0.464,0.662,12.5,16.6
N20000007,SOUTH ANTRIM,87.7,0.385,0.897,0.935,21.6,22.4
N20000008,SOUTH ANTRIM,52.6,0.385,0.602,0.749,15.3,18.4
N20000009,SOUTH ANTRIM,18.3,0.385,0.315,0.568,9.8,14.6
N20000010,SOUTH ANTRIM,5.9,0.385,0.211,0.503,8.2,13.3
N20000011,SOUTH ANTRIM,23.5,0.385,0.358,0.596,10.5,15.2
N20000012,SOUTH ANTRIM,18.5,0.385,0.317,0.569,9.8,14.6
N20000013,SOUTH ANTRIM,28.2,0.385,0.398,0.621,11.2,15.7
N20000015,SOUTH ANTRIM,91.6,0.385,0.93,0.956,22.3,22.9
N20000016,SOUTH ANTRIM,54.4,0.385,0.618,0.759,15.6,18.6
N20000017,SOUTH ANTRIM,87.1,0.385,0.892,0.932,21.5,22.4
N20000018,SOUTH ANTRIM,84.5,0.385,0.87,0.918,21.0,22.1
N20000019,SOUTH ANTRIM,44.7,0.385,0.536,0.708,14.0,17.5
N20000020,SOUTH ANTRIM,52.6,0.385,0.602,0.749,15.3,18.4
N20000022,SOUTH ANTRIM,93.8,0.385,0.948,0.967,22.7,23.2
N20000023,SOUTH ANTRIM,58.3,0.385,0.65,0.78,16.3,19.1
N20000025,SOUTH ANTRIM,44.5,0.385,0.535,0.707,13.9,17.5
N20000026,SOUTH ANTRIM,5.0,0.385,0.203,0.498,8.1,13.2
N20000027,SOUTH ANTRIM,47.6,0.385,0.561,0.723,14.4,17.9
N20000028,SOUTH ANTRIM,58.3,0.385,0.65,0.78,16.3,19.1
N20000030,SOUTH ANTRIM,13.9,0.385,0.278,0.545,9.2,14.1
N20000031,SOUTH ANTRIM,4.9,0.385,0.202,0.497,8.0,13.2
N20000032,SOUTH ANTRIM,85.4,0.385,0.878,0.923,21.2,22.2
N20000033,SOUTH ANTRIM,85.8,0.385,0.881,0.925,21.3,22.2
N20000034,SOUTH ANTRIM,86.8,0.385,0.889,0.93,21.4,22.3
N20000035,SOUTH ANTRIM,50.1,0.385,0.582,0.736,14.9,18.1
N20000036,SOUTH ANTRIM,47.3,0.385,0.558,0.721,14.4,17.8
N20000037,SOUTH ANTRIM,43.9,0.385,0.53,0.704,13.8,17.4
N20000038,SOUTH ANTRIM,39.5,0.385,0.493,0.68,13.1,16.9
N20000039,SOUTH ANTRIM,33.9,0.385,0.446,0.651,12.2,16.3
N20000040,SOUTH ANTRIM,55.1,0.385,0.623,0.763,15.7,18.7
N20000041,SOUTH ANTRIM,37.6,0.385,0.477,0.67,12.8,16.7
N20000042,SOUTH ANTRIM,40.0,0.385,0.497,0.683,13.2,17.0
N20000043,SOUTH ANTRIM,34.6,0.385,0.452,0.654,12.3,16.4
N20000044,SOUTH ANTRIM,39.5,0.385,0.493,0.68,13.1,16.9
N20000045,SOUTH ANTRIM,48.2,0.385,0.566,0.726,14.5,17.9
N20000046,SOUTH ANTRIM,19.7,0.385,0.327,0.576,10.0,14.8
N20000047,SOUTH ANTRIM,29.7,0.385,0.41,0.628,11.5,15.9
