DZ21,con,pop,cath_bg_pct,prot_bg_pct,oldP_share,soft_id_pct,density,recruit_naive,recruit_refined
N20003724,NORTH DOWN,309.0,6.1,85.1,37.2,41.0,40.14,5.89,7.43
N20003764,STRANGFORD,366.0,0.8,89.9,25.4,39.6,15.88,6.01,7.39
N20003704,NORTH DOWN,522.0,5.6,81.8,30.7,41.0,22.9,5.82,7.31
N20003461,STRANGFORD,334.0,6.3,88.0,26.0,39.6,0.52,5.94,7.29
N20003688,NORTH DOWN,363.0,5.8,81.0,33.1,41.0,11.06,5.81,7.27
N20003458,STRANGFORD,328.0,4.6,86.9,28.4,39.6,0.39,5.93,7.26
N20003735,NORTH DOWN,549.0,3.6,80.1,18.8,41.0,60.8,5.8,7.25
N20003460,STRANGFORD,434.0,5.1,86.4,19.4,39.6,6.02,5.92,7.24
N20003658,NORTH DOWN,373.0,7.8,80.2,35.1,41.0,38.65,5.78,7.23
N20003439,STRANGFORD,329.0,5.2,85.7,24.9,39.6,57.51,5.91,7.22
N20002546,STRANGFORD,613.0,5.5,85.6,17.9,39.6,9.85,5.9,7.21
N20003497,STRANGFORD,395.0,4.1,84.6,19.5,39.6,39.43,5.89,7.18
N20003750,STRANGFORD,443.0,2.9,84.2,27.5,39.6,36.25,5.89,7.18
N20003684,NORTH DOWN,519.0,8.3,78.8,38.9,41.0,32.44,5.75,7.18
N20003528,STRANGFORD,495.0,4.4,84.0,17.6,39.6,15.89,5.88,7.16
N20003453,STRANGFORD,453.0,6.4,84.3,23.4,39.6,15.99,5.87,7.16
N20003459,STRANGFORD,370.0,4.9,84.1,24.1,39.6,0.44,5.87,7.16
N20003541,NORTH DOWN,341.0,8.8,78.3,47.2,41.0,5.16,5.74,7.15
N20003726,NORTH DOWN,321.0,4.0,77.6,25.9,41.0,0.62,5.75,7.15
N20002746,EAST ANTRIM,672.0,2.4,86.6,21.1,38.9,0.31,5.94,7.14
