DZ21,label,con,margin_rate,prot_pct,old65_pct,pop
N20001571,Coleraine_G1,EAST LONDONDERRY,6.55,54.8,49.15,177.0
N20003692,Bangor_East_and_Donaghadee_D1,NORTH DOWN,6.46,79.53,65.5,171.0
N20002793,Carrick_Castle_G3,EAST ANTRIM,6.45,82.31,61.73,277.0
N20003543,Holywood_and_Clandeboye_B3,NORTH DOWN,6.39,83.54,59.15,328.0
N20002352,Lisburn_South_F3,LAGAN VALLEY,6.34,71.43,48.79,455.0
N20002693,Coast_Road_C3,EAST ANTRIM,6.28,73.16,46.96,313.0
N20002628,Ballymena_G5,NORTH ANTRIM,6.28,68.11,10.31,417.0
N20003563,Holywood_and_Clandeboye_H4,NORTH DOWN,6.27,59.34,57.51,273.0
N20000068,Antrim_G4,SOUTH ANTRIM,6.27,55.83,47.15,369.0
N20002804,Knockagh_B2,EAST ANTRIM,6.26,85.17,37.25,553.0
N20003696,Bangor_East_and_Donaghadee_F1,NORTH DOWN,6.25,79.02,48.68,491.0
N20002726,Larne_Lough_A2,EAST ANTRIM,6.22,63.39,39.67,489.0
N20003658,Bangor_Central_J4,NORTH DOWN,6.22,82.39,43.88,335.0
N20002606,Ballymena_E1,NORTH ANTRIM,6.2,59.48,41.01,612.0
N20001594,Coleraine_H6,EAST LONDONDERRY,6.2,74.79,41.95,472.0
N20003541,Holywood_and_Clandeboye_B1,NORTH DOWN,6.2,82.78,57.28,302.0
N20002695,Coast_Road_D1,EAST ANTRIM,6.19,67.97,35.94,409.0
N20003615,Bangor_West_G5,NORTH DOWN,6.19,76.99,42.03,552.0
N20002725,Larne_Lough_A1,EAST ANTRIM,6.18,71.31,34.6,237.0
N20002755,Larne_Lough_J1,EAST ANTRIM,6.18,79.86,40.05,432.0
N20000198,Macedon_K3,BELFAST NORTH,6.17,82.87,42.51,327.0
N20002537,Castlereagh_East_G5,BELFAST EAST,6.17,84.75,42.03,295.0
N20002800,Carrick_Castle_J3,EAST ANTRIM,6.16,73.09,44.07,472.0
N20003442,Comber_A2,STRANGFORD,6.16,84.84,51.26,277.0
N20000604,Banbridge_C1,UPPER BANN,6.14,73.93,45.53,257.0
N20000393,Portadown_F2,UPPER BANN,6.14,57.11,28.18,401.0
N20000326,Armagh_C6,NEWRY AND ARMAGH,6.13,74.59,25.41,429.0
N20003683,Bangor_East_and_Donaghadee_B1,NORTH DOWN,6.13,81.48,39.63,270.0
N20001577,Coleraine_H1,EAST LONDONDERRY,6.13,60.73,41.7,247.0
N20003680,Bangor_East_and_Donaghadee_A1,NORTH DOWN,6.13,75.9,50.23,444.0
N20001640,Causeway_K3,EAST LONDONDERRY,6.12,85.89,44.53,411.0
N20003718,Bangor_East_and_Donaghadee_J5,NORTH DOWN,6.12,77.08,39.58,384.0
N20002722,Coast_Road_J4,EAST ANTRIM,6.11,77.39,44.93,345.0
N20002620,Ballymena_G4,NORTH ANTRIM,6.11,62.87,15.19,474.0
N20003752,Ards_Peninsula_D7,STRANGFORD,6.11,82.65,36.76,340.0
N20003514,Newtownards_G4,STRANGFORD,6.1,83.5,40.04,497.0
N20000039,Antrim_B2,SOUTH ANTRIM,6.1,56.98,31.35,437.0
N20002633,Ballymena_K2,NORTH ANTRIM,6.1,74.09,36.08,413.0
N20002607,Ballymena_F1,NORTH ANTRIM,6.1,77.41,43.7,270.0
N20003501,Newtownards_G3,STRANGFORD,6.1,83.09,42.27,414.0
N20002713,Coast_Road_J1,EAST ANTRIM,6.1,72.77,37.66,393.0
N20000548,Lurgan_T3,UPPER BANN,6.09,78.08,24.38,406.0
N20003589,Bangor_West_C2,NORTH DOWN,6.09,67.77,43.13,422.0
N20000400,Portadown_L2,UPPER BANN,6.09,35.73,11.31,389.0
N20003508,Newtownards_N1,STRANGFORD,6.08,82.73,46.14,440.0
N20003481,Newtownards_B4,STRANGFORD,6.08,82.37,33.22,295.0
N20003045,Dungannon_E3,FERMANAGH AND SOUTH TYRONE,6.07,44.6,17.51,417.0
N20002419,Lisburn_North_K2,LAGAN VALLEY,6.07,56.71,21.65,231.0
N20003287,The_Mournes_H4,SOUTH DOWN,6.07,91.36,31.36,440.0
N20002666,Braid_G2,NORTH ANTRIM,6.07,73.63,20.4,402.0
N20000463,Craigavon_K1,UPPER BANN,6.06,86.18,42.55,369.0
N20003542,Holywood_and_Clandeboye_B2,NORTH DOWN,6.06,83.78,45.14,370.0
