SA,margin_rate,pop,protNI_pct,protBrit_pct,prot_pct,council
N00002041,6.52778005188101,355.0,6.197183098591549,60.28169014084507,84.22535211267606,Coleraine
N00000785,6.511167227992561,332.0,5.72289156626506,62.04819277108434,76.20481927710843,Banbridge
N00000487,6.448050996006696,290.0,5.862068965517241,68.96551724137932,89.65517241379311,Ballymena
N00002323,6.444933565047333,331.0,10.574018126888218,58.91238670694864,83.68580060422961,Craigavon
N00002324,6.43244547962583,291.0,8.24742268041237,55.32646048109966,78.69415807560138,Craigavon
N00002297,6.418810938205181,335.0,6.865671641791045,58.507462686567166,82.38805970149254,Craigavon
N00003628,6.3997028931259115,313.0,13.099041533546325,59.424920127795524,88.17891373801918,Moyle
N00003129,6.397242750994039,322.0,7.453416149068323,61.80124223602485,80.74534161490683,Larne
N00000602,6.391464114147267,214.0,7.4766355140186915,55.14018691588785,85.51401869158879,Ballymena
N00000538,6.382820314640322,395.0,5.063291139240507,64.55696202531645,82.0253164556962,Ballymena
N00000560,6.379442958986293,413.0,8.474576271186441,65.13317191283294,88.86198547215497,Ballymena
N00000482,6.379288152292563,225.0,7.555555555555555,73.33333333333333,87.11111111111111,Ballymena
N00003802,6.378749545514749,282.0,8.156028368794326,67.73049645390071,82.97872340425532,Newry and Mourne
N00001249,6.3784743016009475,403.0,3.970223325062035,69.23076923076923,85.11166253101737,Belfast
N00001910,6.377839614604654,386.0,12.953367875647668,53.626943005181346,87.30569948186529,Castlereagh
N00004381,6.376587049836782,292.0,5.47945205479452,66.0958904109589,81.5068493150685,Omagh
N00002056,6.3667530214926495,470.0,5.1063829787234045,63.61702127659574,82.34042553191489,Coleraine
N00002341,6.363998813074522,236.0,12.288135593220339,64.40677966101696,83.47457627118644,Craigavon
N00000604,6.36198381933298,340.0,6.470588235294118,65.58823529411765,85.0,Ballymena
N00000523,6.357043682214598,397.0,5.541561712846348,65.4911838790932,84.1309823677582,Ballymena
N00000191,6.3514317494349015,303.0,11.551155115511552,57.755775577557756,81.18811881188118,Ards
N00000524,6.3503511852433,488.0,9.631147540983607,54.30327868852459,82.17213114754098,Ballymena
N00000571,6.350311164737477,303.0,12.211221122112212,64.35643564356435,91.08910891089108,Ballymena
N00000976,6.350050415003256,141.0,6.382978723404255,39.716312056737586,61.702127659574465,Belfast
N00001123,6.34065290261315,186.0,6.989247311827957,62.365591397849464,83.87096774193549,Belfast
N00000398,6.339236469641619,463.0,9.719222462203025,65.01079913606911,88.98488120950324,Armagh
N00000185,6.338595516261082,211.0,7.109004739336493,55.45023696682465,81.04265402843602,Ards
N00002002,6.336125586683752,300.0,9.0,58.0,78.66666666666667,Coleraine
N00000189,6.331420201142626,341.0,8.79765395894428,60.117302052785924,82.40469208211144,Ards
N00000247,6.325492555546046,309.0,4.854368932038835,57.605177993527505,72.49190938511327,Ards
N00000488,6.324037073896977,409.0,8.312958435207824,60.63569682151589,83.61858190709046,Ballymena
N00000455,6.314628594980733,273.0,17.216117216117215,52.014652014652015,83.51648351648352,Armagh
N00000137,6.3136841753959345,315.0,5.396825396825397,58.41269841269841,78.0952380952381,Ards
N00000542,6.311615621663411,265.0,10.566037735849056,59.62264150943396,87.16981132075472,Ballymena
N00000459,6.311247600549494,690.0,13.043478260869565,54.34782608695652,80.0,Armagh
N00000108,6.310949167905139,243.0,10.2880658436214,50.205761316872426,71.19341563786008,Antrim
N00002913,6.308711354558923,309.0,12.62135922330097,64.07766990291262,86.08414239482201,Fermanagh
N00000486,6.307052179687565,372.0,5.913978494623656,59.40860215053763,81.72043010752688,Ballymena
N00001827,6.306708050951046,334.0,7.485029940119761,56.287425149700596,74.25149700598803,Castlereagh
N00002217,6.3063643314684406,235.0,9.361702127659575,54.8936170212766,82.12765957446808,Craigavon
N00000460,6.306293295046317,359.0,11.699164345403899,45.682451253481894,70.47353760445682,Armagh
N00000569,6.3055288276292725,380.0,5.7894736842105265,65.0,84.21052631578948,Ballymena
N00000664,6.3049637943628705,378.0,14.55026455026455,46.2962962962963,79.62962962962963,Ballymoney
N00002317,6.30494355338916,304.0,5.2631578947368425,62.828947368421055,84.53947368421052,Craigavon
N00003694,6.303971909451979,516.0,4.263565891472868,53.87596899224806,71.12403100775194,Newry and Mourne
N00002555,6.301518700919926,355.0,10.704225352112676,62.816901408450704,88.45070422535211,Derry
N00000603,6.299352723627198,414.0,11.83574879227053,64.73429951690821,88.16425120772946,Ballymena
N00002294,6.297678564040329,292.0,8.561643835616438,60.273972602739725,80.82191780821918,Craigavon
N00001290,6.294826152710602,318.0,5.345911949685535,56.60377358490566,77.67295597484276,Belfast
N00002326,6.294507650292009,307.0,8.794788273615636,59.60912052117264,84.69055374592834,Craigavon
