DZ21,DEA2014,u_open_1972,n_open_1972,u_open_1984,n_open_1984,u_open_1993,n_open_1993,u_open_2012,n_open_2012,u_open_mean,n_open_mean,n_vintages_u
N20003396,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003420,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003423,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003425,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003426,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003424,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003414,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003402,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003421,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003419,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003415,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003418,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003412,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003410,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003413,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003416,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003417,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003411,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003409,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003407,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003403,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003405,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003400,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003399,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003397,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003398,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003401,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003406,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003404,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003408,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003328,Slieve Croob,5.9,5.3,,,9.2,4.6,29.5,14.0,14.9,8.0,3
N20003422,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003429,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003427,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003428,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003430,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003431,Downpatrick,2.9,23.1,,19.2,54.2,11.6,81.3,0.0,46.1,13.5,3
N20003279,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003277,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003272,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003275,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003264,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003263,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003265,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003267,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003269,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003270,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003268,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003274,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003273,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003278,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003271,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003266,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003259,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003262,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003258,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003343,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003345,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003342,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003341,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003337,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003339,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003340,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003338,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003335,Slieve Croob,2.9,23.1,,19.2,54.2,11.6,29.5,14.0,28.9,17.0,3
N20003330,Slieve Croob,5.9,5.3,,,9.2,4.6,29.5,14.0,14.9,8.0,3
N20003329,Slieve Croob,5.9,5.3,,,9.2,4.6,29.5,14.0,14.9,8.0,3
N20003324,Slieve Croob,5.9,5.3,,,9.2,4.6,29.5,14.0,14.9,8.0,3
N20003326,Slieve Croob,5.9,5.3,,,9.2,4.6,29.5,14.0,14.9,8.0,3
N20003325,Slieve Croob,5.9,5.3,,,9.2,4.6,29.5,14.0,14.9,8.0,3
N20003332,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003333,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003334,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003336,Slieve Croob,1.9,,0.7,,,18.5,29.5,14.0,10.7,16.2,3
N20003327,Slieve Croob,1.9,,0.7,,,18.5,29.5,14.0,10.7,16.2,3
N20003323,Slieve Croob,1.9,,0.7,,,18.5,29.5,14.0,10.7,16.2,3
N20000591,Lagan River,1.9,,2.0,22.9,3.5,100.0,3.5,65.3,2.7,62.7,4
N20000593,Lagan River,1.9,,2.0,22.9,3.5,100.0,3.5,65.3,2.7,62.7,4
N20000650,Banbridge,1.9,,0.7,,,18.5,5.7,10.8,2.8,14.7,3
N20003331,Slieve Croob,1.9,,0.7,,,18.5,29.5,14.0,10.7,16.2,3
N20000655,Banbridge,1.9,,2.0,22.9,3.5,100.0,5.7,10.8,3.3,44.6,4
N20000656,Banbridge,1.9,,2.0,22.9,3.5,100.0,5.7,10.8,3.3,44.6,4
N20003261,The Mournes,,,,,,,,55.2,,55.2,0
N20003344,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003346,Slieve Croob,5.9,5.3,,,9.9,7.6,29.5,14.0,15.1,9.0,3
N20003257,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003260,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003276,The Mournes,5.9,5.3,,,9.9,7.6,,55.2,7.9,22.7,2
N20003280,The Mournes,,,,,,,,55.2,,55.2,0
N20003282,The Mournes,,,,,,,,55.2,,55.2,0
N20003281,The Mournes,,,,,,,,55.2,,55.2,0
N20003287,The Mournes,,,,,,,,55.2,,55.2,0
N20003285,The Mournes,,,,,,,,55.2,,55.2,0
N20003284,The Mournes,,,,,,,,55.2,,55.2,0
N20003283,The Mournes,,,,,,,,55.2,,55.2,0
N20003286,The Mournes,,,,,,,,55.2,,55.2,0
N20003289,The Mournes,,,,,,,,55.2,,55.2,0
N20003309,The Mournes,,,,,,,,55.2,,55.2,0
N20003304,The Mournes,,,,,,,,55.2,,55.2,0
N20003303,The Mournes,,,,,,,,55.2,,55.2,0
N20003305,The Mournes,,,,,,,,55.2,,55.2,0
N20003308,The Mournes,,,,,,,,55.2,,55.2,0
N20003307,The Mournes,,,,,,,,55.2,,55.2,0
N20003306,The Mournes,,,,,,,,55.2,,55.2,0
N20003296,The Mournes,,,,,,,,55.2,,55.2,0
N20003297,The Mournes,,,,,,,,55.2,,55.2,0
N20003294,The Mournes,,,,,,,,55.2,,55.2,0
N20003288,The Mournes,,,,,,,,55.2,,55.2,0
N20003292,The Mournes,,,,,,,,55.2,,55.2,0
N20003293,The Mournes,,,,,,,,55.2,,55.2,0
N20003298,The Mournes,,,,,,,,55.2,,55.2,0
N20003300,The Mournes,,,,,,,,55.2,,55.2,0
N20003301,The Mournes,,,,,,,,55.2,,55.2,0
N20003299,The Mournes,,,,,,,,55.2,,55.2,0
N20003302,The Mournes,,,,,,,,55.2,,55.2,0
N20003290,The Mournes,,,,,,,,55.2,,55.2,0
N20003291,The Mournes,,,,,,,,55.2,,55.2,0
N20003310,The Mournes,,,,,,,,55.2,,55.2,0
N20003255,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003251,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003249,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003253,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003250,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003252,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003254,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003256,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003295,The Mournes,,,,,,,,55.2,,55.2,0
N20003244,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003239,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003230,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003232,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003225,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003226,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003221,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003222,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003231,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003234,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003235,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003240,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003246,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003243,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003245,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003247,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003248,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003242,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003241,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003238,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003237,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003236,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003204,Newry,,,,,,,,2.6,,2.6,0
N20003205,Newry,,,,,,,,2.6,,2.6,0
N20003202,Newry,,,,,,,,2.6,,2.6,0
N20003201,Newry,,,,,,,,2.6,,2.6,0
N20003233,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003229,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003228,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003192,Newry,,,,,,,,2.6,,2.6,0
N20003197,Newry,,,,,,,,2.6,,2.6,0
N20003227,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003223,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003169,Newry,,,,,,,,2.6,,2.6,0
N20003168,Newry,,,,,,,,2.6,,2.6,0
N20003175,Newry,,,,,,,,2.6,,2.6,0
N20003178,Newry,,,,,,,,2.6,,2.6,0
N20003181,Newry,,,,,,,,2.6,,2.6,0
N20003180,Newry,,,,,,,,2.6,,2.6,0
N20003187,Newry,,,,,,,,2.6,,2.6,0
N20003184,Newry,,,,,,,,2.6,,2.6,0
N20003224,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003189,Newry,,,,,,,,2.6,,2.6,0
N20003190,Newry,,,,,,,,2.6,,2.6,0
N20003191,Newry,,,,,,,,2.6,,2.6,0
N20003186,Newry,,,,,,,,2.6,,2.6,0
N20003188,Newry,,,,,,,,2.6,,2.6,0
N20003183,Newry,,,,,,,,2.6,,2.6,0
N20003185,Newry,,,,,,,,2.6,,2.6,0
N20003179,Newry,,,,,,,,2.6,,2.6,0
N20003170,Newry,,,,,,,,2.6,,2.6,0
N20003172,Newry,,,,,,,,2.6,,2.6,0
N20003174,Newry,,,,,,,,2.6,,2.6,0
N20003167,Newry,,,,,,,,2.6,,2.6,0
N20003171,Newry,,,,,,,,2.6,,2.6,0
N20003176,Newry,,,,,,,,2.6,,2.6,0
N20003182,Newry,,,,,,,,2.6,,2.6,0
N20003177,Newry,,,,,,,,2.6,,2.6,0
N20003173,Newry,,,,,,,,2.6,,2.6,0
N20003194,Newry,,,,,,,,2.6,,2.6,0
N20003196,Newry,,,,,,,,2.6,,2.6,0
N20003193,Newry,,,,,,,,2.6,,2.6,0
N20003195,Newry,,,,,,,,2.6,,2.6,0
N20003198,Newry,,,,,,,,2.6,,2.6,0
N20003199,Newry,,,,,,,,2.6,,2.6,0
N20003200,Newry,,,,,,,,2.6,,2.6,0
N20003129,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003124,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003130,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003203,Newry,,,,,,,,2.6,,2.6,0
N20003206,Newry,,,,,,,,2.6,,2.6,0
N20003135,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003138,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003143,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003149,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003139,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003145,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003142,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003141,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003148,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003151,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003144,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003140,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003146,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003147,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003150,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003153,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003152,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003125,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003128,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003131,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003132,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003137,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003133,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003134,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003136,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003127,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003126,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003107,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003106,Slieve Gullion,,,,,,,,2.4,,2.4,0
