con,dep__mdm_rank,dep__income_rank,dep__employment_rank
Belfast East,2828.0,2987.0,2678.0
Belfast North,1697.0,2050.0,1564.0
Belfast South,3131.0,3106.0,3167.0
Belfast West,1341.0,2221.0,1055.0
East Antrim,2803.0,2782.0,2744.0
East Londonderry,2126.0,1756.0,2201.0
Fermanagh and South Tyrone,2051.0,1731.0,2462.0
Foyle,1723.0,1827.0,1451.0
Lagan Valley,3098.0,2842.0,3129.0
Mid Ulster,2227.0,2110.0,2356.0
Newry and Armagh,1880.0,1527.0,2137.0
North Antrim,2523.0,2286.0,2654.0
North Down,3133.0,2630.0,3076.0
South Antrim,2954.0,2988.0,2964.0
South Down,2146.0,1884.0,2322.0
Strangford,2654.0,2345.0,2710.0
Upper Bann,2424.0,2360.0,2405.0
West Tyrone,1699.0,1827.0,1725.0
