con,mean_hardness,mean_softness
BELFAST WEST,0.436,0.564
FOYLE,0.444,0.556
SOUTH DOWN,0.456,0.544
WEST TYRONE,0.458,0.542
MID ULSTER,0.46,0.54
NEWRY AND ARMAGH,0.46,0.54
FERMANAGH AND SOUTH TYRONE,0.476,0.524
BELFAST SOUTH,0.484,0.516
BELFAST NORTH,0.489,0.511
UPPER BANN,0.497,0.503
EAST LONDONDERRY,0.505,0.495
SOUTH ANTRIM,0.517,0.483
NORTH ANTRIM,0.529,0.471
LAGAN VALLEY,0.535,0.465
EAST ANTRIM,0.54,0.46
STRANGFORD,0.545,0.455
BELFAST EAST,0.546,0.454
NORTH DOWN,0.547,0.453
