DZ21,yes,pop
N20002161,35.0,570.97
N20002995,48.0,454.04
N20000175,22.4,349.97
N20001894,20.8,326.0
N20000692,23.1,655.03
N20001486,29.3,353.02
N20000161,23.9,422.04
N20001962,45.0,379.01
N20002150,19.9,320.03
N20000845,20.0,271.04
N20002602,37.7,349.0
N20003343,41.3,511.02
N20000035,32.2,495.05
N20003082,38.5,266.02
N20001043,16.3,209.0
N20002686,43.8,342.01
N20003650,17.2,692.01
N20000551,15.6,522.96
N20002751,14.4,481.03
N20000330,44.3,456.03
N20002731,21.0,457.99
N20002618,19.2,355.99
N20002605,32.9,440.02
N20000285,25.4,510.01
N20001426,47.7,284.04
N20001497,28.7,437.98
N20001129,23.5,373.0
N20003566,24.1,306.97
N20002754,19.9,228.01
N20001328,46.4,459.99
N20000660,24.8,484.99
N20002259,14.3,393.0
N20003279,38.2,299.97
N20000203,27.2,233.01
N20002317,18.8,518.0
N20003211,45.2,469.0
N20001188,39.0,301.97
N20000738,43.2,366.99
N20000169,35.7,360.05
N20003420,43.6,585.0
N20000600,37.4,382.94
N20000335,44.3,245.0
N20002894,41.3,504.02
N20003188,48.3,433.03
N20001460,41.9,313.01
N20002180,29.7,460.0
N20001420,45.3,247.97
N20002105,32.2,239.99
N20000909,18.6,555.99
N20000384,17.0,532.99
N20002219,43.6,494.98
N20001904,45.9,463.01
N20000561,15.6,599.0
N20002417,18.8,445.99
N20002620,20.9,474.01
N20000968,19.7,443.0
N20000140,25.8,608.98
N20002313,16.3,427.02
N20000929,20.8,275.0
N20002308,34.7,353.97
N20003042,43.6,428.01
N20000809,27.7,428.97
N20001067,18.0,311.02
N20002775,14.8,676.98
N20002893,41.5,412.99
N20000913,23.4,246.03
N20001442,48.4,414.98
N20002265,18.3,227.99
N20002513,16.0,317.99
N20003583,27.2,322.01
N20000916,24.1,336.95
N20000465,30.5,190.99
N20002756,18.7,320.0
N20000690,15.3,430.0
N20002029,25.3,497.98
N20001206,18.4,139.98
N20000157,19.1,546.0
N20002934,19.4,391.0
N20001807,46.6,478.0
N20003779,42.0,398.93
N20002234,40.5,381.02
N20002655,30.0,438.97
N20002748,16.2,359.0
N20001811,47.7,410.98
N20001593,18.8,465.0
N20003719,17.6,605.01
N20002507,15.6,203.06
N20000857,29.2,511.0
N20002393,24.2,481.99
N20003488,16.2,534.99
N20001309,48.1,707.01
N20000819,31.0,300.02
N20002554,13.8,276.01
N20000912,25.0,285.99
